Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
12/31/2017,2903,3320,577,783,51.0,732,-1777,-282.0,-603.0,-650.0,-242,0.0,-457.0,-242.0,62.0,62.0,0.0,-304.0,,,0.0,0.0,0.0,-324.0,0.0,-324.0,0.0,109.0,-2241.0,-842.0,331.0,-1716.0,20.0,-1736.0,-14.0,7.0,212.0,,
03/31/2018,3136,2477,501,-108,45.0,-153,266,92.0,283.0,591.0,-700,0.0,119.0,-387.0,27.0,27.0,0.0,-414.0,-394.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,-2845.0,-1006.0,1316.0,-2949.0,51.0,-3000.0,-206.0,8.0,418.0,,
06/30/2018,4680,2196,507,488,53.0,435,1489,-30.0,125.0,91.0,1303,0.0,-1414.0,-418.0,14.0,14.0,0.0,-432.0,-376.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-996.0,-4332.0,-991.0,-376.0,-2955.0,10.0,-2965.0,-10.0,-44.0,-1110.0,,
09/30/2018,4559,2363,523,47,52.0,-5,1626,-52.0,-581.0,499.0,1760,0.0,-902.0,-361.0,76.0,76.0,0.0,-437.0,,,0.0,0.0,0.0,-250.0,0.0,-250.0,0.0,-291.0,-3689.0,-979.0,-273.0,-2441.0,9.0,-2450.0,4.0,-1.0,-33.0,,
12/31/2018,2947,3424,583,701,52.0,649,-1761,-805.0,741.0,-1179.0,-518,0.0,-2424.0,-492.0,3.0,3.0,0.0,-495.0,-495.0,0.0,0.0,0.0,0.0,-2980.0,0.0,-2980.0,0.0,1048.0,-856.0,-970.0,698.0,-574.0,11.0,-585.0,-10.0,-16.0,-349.0,,
03/31/2019,2788,2149,521,-22,47.0,-69,140,206.0,-2725.0,1624.0,1035,0.0,-767.0,-391.0,110.0,110.0,0.0,-501.0,-501.0,0.0,0.0,0.0,0.0,-276.0,0.0,-276.0,0.0,-100.0,-2823.0,-1161.0,863.0,-2299.0,42.0,-2341.0,-226.0,1.0,-801.0,,
06/30/2019,-590,-2942,546,-1233,57.0,-1290,3039,382.0,-2508.0,378.0,4787,0.0,-86.0,-220.0,221.0,221.0,0.0,-441.0,-421.0,-20.0,0.0,0.0,0.0,-216.0,0.0,-216.0,0.0,350.0,2919.0,-1156.0,4385.0,-305.0,5.0,-310.0,-5.0,-3.0,2240.0,,
09/30/2019,-2424,1167,576,664,56.0,608,-4831,-273.0,-4332.0,-376.0,150,0.0,-1194.0,-462.0,3.0,3.0,0.0,-465.0,-465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-732.0,4240.0,-1156.0,5395.0,4.0,4.0,0.0,-3.0,-25.0,597.0,,
12/31/2019,-2220,-1010,628,192,52.0,140,-2030,288.0,-2826.0,-26.0,534,0.0,517.0,-554.0,0.0,0.0,0.0,-554.0,-447.0,-107.0,0.0,0.0,0.0,501.0,464.0,37.0,0.0,570.0,1403.0,-1157.0,2575.0,7.0,7.0,0.0,-22.0,22.0,-278.0,,
03/31/2020,-4302,-628,556,39,55.0,-16,-4269,-54.0,-2973.0,-1030.0,-212,0.0,-379.0,-370.0,58.0,58.0,0.0,-428.0,-428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,10280.0,-1158.0,11579.0,21.0,21.0,0.0,-162.0,-47.0,5552.0,,
06/30/2020,-5280,-2376,547,1332,60.0,1272,-4783,197.0,-3768.0,-2151.0,939,0.0,-12307.0,-310.0,38.0,38.0,0.0,-348.0,-348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11997.0,22462.0,0.0,22458.0,6.0,6.0,0.0,-2.0,36.0,4911.0,,
