Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2009,222491,25140,24972,168.0,22942,,,12717,0.0,0.0,10296.0,2421.0,4019,,,4019.0,64818,122224,,,,,,35449.0,,,,,29105.0,6344.0,157673,,47342,,8874.0,,38468.0,2163,2163.0,,,,,0,,,20063.0,0,49505,7041,7041.0,,,,54567,,20451.0,14053,61608,111113,0.0,5066,-155412,268249.0,-10900,107003,4375.0,111378,222491,
06/30/2009,224661,15729,15576,153.0,26862,,,12441,0.0,0.0,9855.0,2586.0,4464,,,4464.0,59496,127861,,,,,,37304.0,,,,,30358.0,6946.0,165165,,49457,,7562.0,,41895.0,2157,2157.0,,,,,0,,,21880.0,0,51614,7117,7117.0,,,,54777,,18287.0,14610,61894,113508,0.0,5260,-160579,270160.0,-8249,106592,4561.0,111153,224661,
09/30/2009,229307,12623,12472,151.0,26937,,,12585,0.0,0.0,9860.0,2725.0,5179,,,5179.0,57324,132874,,,,,,39109.0,,,,,32064.0,7045.0,171983,,50515,,7870.0,,42645.0,2418,2418.0,,,,,0,,,23238.0,0,52933,7185,7185.0,,,,57084,,18632.0,15214,64269,117202,0.0,5445,-164679,272879.0,-6380,107265,4840.0,112105,229307,
12/31/2009,233323,10862,10693,169.0,27645,22186.0,5459.0,11553,0.0,0.0,8718.0,2835.0,5175,,,5175.0,55235,139116,305906.0,-166790.0,7254.0,1577.0,5677.0,31718.0,0.0,0.0,0.0,,24411.0,7307.0,178088,,49585,24236.0,8310.0,0.0,17039.0,2476,2128.0,,,,348.0,0,0.0,,23148.0,0,52061,7129,7129.0,,,,58741,0.0,17942.0,17651,65870,117931,0.0,5503,-166410,276937.0,-5461,110569,4823.0,115392,233323,
03/31/2010,242748,13827,13742,85.0,29052,,,13488,0.0,0.0,10631.0,2857.0,5329,,,5329.0,61696,140819,,,,,,40233.0,,,,,32541.0,7692.0,181052,,55348,,9212.0,,46136.0,2396,2396.0,,,,,0,,,23662.0,0,57744,7054,7054.0,,,,60284,,17587.0,19035,67338,125082,0.0,5300,-168473,281251.0,-5537,112541,5125.0,117666,242748,
06/30/2010,291068,13267,13252,15.0,29206,,,13439,0.0,0.0,10439.0,3000.0,6304,78.0,,5305.0,62216,188069,,,,,,40783.0,,,,,32642.0,8063.0,228852,,54875,,9421.0,,45454.0,2946,1920.0,,,,1026.0,0,,5.0,34283.0,0,57821,17486,17486.0,,,,70394,,17143.0,18963,87880,145701,0.0,9002,-148820,286745.0,-6755,140172,5195.0,145367,291068,
09/30/2010,299994,12259,12244,15.0,30244,,,14302,0.0,0.0,11154.0,3148.0,5828,53.0,,5036.0,62633,195440,,,,,,41921.0,,,,,33173.0,8695.0,237361,,58694,,10443.0,,48251.0,3046,2020.0,,,,1026.0,0,,3.0,35304.0,0,61740,15248,15248.0,,,,72406,,18012.0,19087,87654,149394,0.0,9341,-151832,291861.0,-4339,145031,5569.0,150600,299994,
12/31/2010,302510,7827,7825,2.0,32284,25439.0,6845.0,12976,0.0,0.0,9852.0,3124.0,5897,,,5897.0,58984,199548,373938.0,-174390.0,8623.0,1557.0,7066.0,35355.0,0.0,0.0,0.0,,26715.0,8640.0,243526,,59846,30780.0,9812.0,0.0,19254.0,2787,2442.0,,,,345.0,0,0.0,,35150.0,0,62633,12227,12227.0,,,,74971,0.0,19367.0,20454,87198,149831,0.0,9371,-156608,298899.0,-4823,146839,5840.0,152679,302510,
03/31/2011,319533,12833,12833,0.0,35146,,,16262,0.0,0.0,13026.0,3236.0,7781,,,7781.0,72022,203726,,,,,,43785.0,,,,,35207.0,8578.0,247511,,70016,,12316.0,,57700.0,3560,3560.0,,,,,0,,,36121.0,0,73576,12316,12316.0,,,,76110,,20076.0,19913,88426,162002,0.0,9156,-161381,307361.0,-3656,151480,6051.0,157531,319533,
06/30/2011,326204,10041,8287,1754.0,35331,,,19048,0.0,0.0,15762.0,3286.0,7885,,,7885.0,72305,209807,,,,,,44092.0,,,,,35241.0,8851.0,253899,,70168,,12315.0,,57853.0,4365,4365.0,,,,,0,,,37193.0,0,74533,12123,12123.0,,,,77713,,20257.0,20263,89836,164369,0.0,9352,-166735,315733.0,-2799,155551,6284.0,161835,326204,
09/30/2011,323227,11022,11022,0.0,34368,,,16730,0.0,0.0,13398.0,3332.0,7256,,,7256.0,69376,209194,,,,,,44657.0,,,,,35342.0,9315.0,253851,,67540,,12968.0,,54572.0,7431,7431.0,,,,,0,,,36891.0,0,74971,9331,9331.0,,,,76713,,19557.0,20265,86044,161015,0.0,9506,-172025,323786.0,-5328,155939,6273.0,162212,323227,
12/31/2011,331052,12664,12664,0.0,38642,30044.0,8598.0,15024,0.0,0.0,11665.0,3359.0,6633,,,6633.0,72963,214664,393995.0,-179331.0,7625.0,1544.0,6081.0,35800.0,0.0,0.0,0.0,,26708.0,9092.0,258089,,69794,33969.0,12727.0,0.0,23098.0,7711,4280.0,,,,3431.0,0,0.0,,36618.0,0,77505,9322,9322.0,,,,83481,0.0,24994.0,21869,92803,170308,0.0,9512,-176932,330939.0,-9123,154396,6348.0,160744,331052,
03/31/2012,345152,18670,18670,0.0,35844,,,14749,0.0,0.0,11343.0,3406.0,6897,,,6897.0,76160,214602,,,,,,54390.0,,,,,34527.0,19863.0,268992,,73575,,14491.0,,59084.0,6419,6419.0,,,,,0,,,36286.0,0,79994,9231,9231.0,,,,91810,,23559.0,31965,101041,181035,0.0,9007,-182165,338168.0,-7998,157012,7105.0,164117,345152,
06/30/2012,329645,17802,17802,0.0,33741,,,15158,0.0,0.0,11729.0,3429.0,6096,,,6096.0,72797,214940,,,,,,41908.0,,,,,33921.0,7987.0,256848,,63432,,12110.0,,51322.0,6704,6704.0,,,,,0,,,36851.0,0,70136,8877,8877.0,,,,82647,,22117.0,23679,91524,161660,0.0,9221,-187172,351421.0,-10659,162811,5174.0,167985,329645,
09/30/2012,335191,13055,13055,0.0,36635,,,16575,0.0,0.0,13010.0,3565.0,5873,,,5873.0,72138,220330,,,,,,42723.0,,,,,35105.0,7618.0,263053,,66565,,13049.0,,53516.0,3496,3496.0,,,,,0,,,37642.0,0,70061,8928,8928.0,,,,83847,,21652.0,24553,92775,162836,0.0,9645,-192188,358369.0,-9113,166713,5642.0,172355,335191,
12/31/2012,333795,9582,9582,0.0,34987,28373.0,6614.0,14542,0.0,0.0,10836.0,3706.0,5349,,,5349.0,64460,226949,409314.0,-182365.0,6229.0,437.0,5792.0,36157.0,0.0,0.0,0.0,50.0,28489.0,7618.0,269335,,60486,33789.0,9758.0,0.0,16939.0,3653,2628.0,,,,1025.0,0,0.0,,37570.0,0,64139,7928,7928.0,,,,90068,0.0,25267.0,27231,97996,162135,0.0,9653,-197333,365727.0,-12184,165863,5797.0,171660,333795,
03/31/2013,339639,6214,6214,0.0,34291,,,16231,0.0,0.0,12446.0,3785.0,5858,,,5858.0,62594,233728,,,,,,43317.0,,,,,35641.0,7676.0,277045,,64147,,10169.0,,53978.0,5937,5937.0,,,,,0,,,38712.0,0,70084,7475,7475.0,,,,89003,,25286.0,25005,96478,166562,0.0,9665,-202563,372666.0,-12767,167001,6076.0,173077,339639,
06/30/2013,341615,4609,4609,0.0,35340,,,17197,0.0,0.0,13373.0,3824.0,5698,,,5698.0,62844,235240,,,,,,43531.0,,,,,35643.0,7888.0,278771,,60827,,8208.0,,52619.0,11861,11861.0,,,,,0,,,38947.0,0,72688,7496,7496.0,,,,89843,,25281.0,25615,97339,170027,0.0,9882,-206586,376732.0,-14381,165647,5941.0,171588,341615,
09/30/2013,347564,5310,5310,0.0,33230,,,16867,0.0,0.0,12829.0,4038.0,5896,,,5896.0,61303,240981,,,,,,45280.0,,,,,37048.0,8232.0,286261,,58860,,7600.0,,51260.0,13889,13889.0,,,,,0,,,39506.0,0,72749,7404,7404.0,,,,91933,,25319.0,27108,99337,172086,0.0,10062,-209598,381832.0,-13051,169245,6233.0,175478,347564,
12/31/2013,346808,4644,4644,0.0,33152,25993.0,7159.0,16135,0.0,0.0,12117.0,4018.0,5377,,,5377.0,59308,243650,434517.0,-190867.0,6233.0,115.0,6118.0,37617.0,0.0,0.0,0.0,202.0,30095.0,7320.0,287500,,55916,30920.0,7831.0,0.0,17165.0,15808,14774.0,,,,1034.0,0,0.0,,40530.0,0,71724,6891,6891.0,,,,87698,0.0,20646.0,26522,94589,166313,0.0,10077,-212781,387432.0,-10725,174003,6492.0,180495,346808,
03/31/2014,353033,5601,5601,0.0,32480,,,18568,0.0,0.0,14439.0,4129.0,5215,,,5215.0,61864,245897,,,,,,45272.0,,,,,37169.0,8103.0,291169,,60885,,8776.0,,52109.0,9223,9223.0,,,,,0,,,40783.0,0,70108,12144,12144.0,,,,87890,,20215.0,26892,100034,170142,0.0,10276,-216638,393800.0,-11040,176398,6493.0,182891,353033,
06/30/2014,358586,6083,6083,0.0,34182,,,18177,0.0,0.0,13944.0,4233.0,5571,,,5571.0,64013,251353,,,,,,43220.0,,,,,35110.0,8110.0,294573,,59581,,7218.0,,52363.0,9948,9948.0,,,,,0,,,41000.0,0,69529,11817,11817.0,,,,89109,,20161.0,27948,100926,170455,0.0,10487,-219635,399614.0,-9311,181155,6976.0,188131,358586,
09/30/2014,352764,4962,4962,0.0,30963,,,17761,0.0,0.0,13441.0,4320.0,4909,,,4909.0,58595,251406,,,,,,42763.0,,,,,35012.0,7751.0,294169,,55741,,6469.0,,49272.0,10243,10243.0,,,,,0,,,41132.0,0,65984,11591,11591.0,,,,87694,,19268.0,27294,99285,165269,0.0,10681,-222636,404738.0,-12196,180587,6908.0,187495,352764,
12/31/2014,349493,4616,4616,0.0,28009,18541.0,9468.0,16678,0.0,0.0,12384.0,4294.0,3607,,,3607.0,52910,252668,446789.0,-194121.0,5404.0,526.0,4878.0,38511.0,0.0,0.0,0.0,302.0,29835.0,8374.0,296583,,47165,25286.0,8228.0,,13651.0,17468,16698.0,,,,770.0,0,0.0,,39230.0,0,64633,11653,11653.0,,,,92143,0.0,25802.0,27111,103796,168429,0.0,10792,-225820,408384.0,-18957,174399,6665.0,181064,349493,
03/31/2015,342961,5184,5184,0.0,25031,,,16102,0.0,0.0,11792.0,4310.0,4341,,,4341.0,50658,249497,,,,,,42806.0,,,,,34471.0,8335.0,292303,,42656,,4512.0,,38144.0,13277,13277.0,,,,,0,,,38935.0,0,55933,19494,19494.0,,,,90088,,24632.0,26521,109582,165515,0.0,11006,-227598,410414.0,-22595,171227,6219.0,177446,342961,
06/30/2015,348260,4343,4343,0.0,25957,,,16663,0.0,0.0,12299.0,4364.0,4684,,,4684.0,51647,253653,,,,,,42960.0,,,,,34162.0,8798.0,296613,,43963,,4049.0,,39914.0,14409,14409.0,,,,,0,,,39419.0,0,58372,19431,19431.0,,,,91459,,25039.0,27001,110890,169262,0.0,11224,-228601,411538.0,-21493,172668,6330.0,178998,348260,
09/30/2015,340662,4296,4296,0.0,22157,,,16584,0.0,0.0,12249.0,4335.0,4197,,,4197.0,47234,250583,,,,,,42845.0,,,,,34315.0,8530.0,293428,,40355,,3674.0,,36681.0,14473,14473.0,,,,,0,,,38210.0,0,54828,19839,19839.0,,,,89156,,24422.0,26524,108995,163823,0.0,11443,-229102,412718.0,-24336,170723,6116.0,176839,340662,
12/31/2015,336758,3705,3705,0.0,19875,13243.0,6632.0,16245,0.0,0.0,12037.0,4208.0,2798,,,2798.0,42623,251605,447337.0,-195732.0,4798.0,274.0,4524.0,37732.0,0.0,0.0,0.0,454.0,29447.0,7831.0,294135,,35214,18074.0,5739.0,,11401.0,18762,18204.0,,,,558.0,0,0.0,,36818.0,0,53976,19925,18687.0,1238.0,1238.0,,86047,0.0,22647.0,26582,105972,159948,0.0,11612,-229734,412444.0,-23511,170811,5999.0,176810,336758,
03/31/2016,342789,4846,4846,0.0,19814,,,16223,0.0,0.0,11837.0,4386.0,3368,,,3368.0,44251,255257,,,,,,43281.0,,,,,34915.0,8366.0,298538,,35186,,2892.0,,32294.0,13540,13540.0,,,,,0,,,36293.0,0,48726,29568,29568.0,,,,85997,,22401.0,27303,115565,164291,0.0,11825,-230454,411200.0,-20384,172187,6311.0,178498,342789,
06/30/2016,342473,4358,4358,0.0,21827,,,15875,0.0,0.0,11543.0,4332.0,3768,,,3768.0,45828,254062,,,,,,42583.0,,,,,34182.0,8401.0,296645,,36532,,2731.0,,33801.0,14972,14972.0,,,,,0,,,36012.0,0,51504,29499,29499.0,,,,84595,,21583.0,27000,114094,165598,0.0,12019,-230451,409767.0,-20744,170591,6284.0,176875,342473,
09/30/2016,339386,5093,5093,0.0,20388,,,15342,0.0,0.0,10981.0,4361.0,2122,,4334.0,2122.0,42945,251923,,,,,,44518.0,,,,,35553.0,4631.0,296441,,32782,,2755.0,,30027.0,17239,17239.0,,,,,0,,,34857.0,0,50021,28916,28916.0,,,,83439,,21019.0,27563,112355,162376,0.0,12228,-230449,409284.0,-20466,170597,6413.0,177010,339386,
12/31/2016,330314,3657,3657,0.0,21394,16033.0,5361.0,15080,0.0,0.0,10877.0,4203.0,1285,,,1285.0,41416,244224,453915.0,-209691.0,4849.0,154.0,4695.0,39825.0,0.0,0.0,0.0,1035.0,30253.0,8537.0,288898,,33808,17801.0,5268.0,,10739.0,13830,10870.0,,,,2960.0,0,0.0,,34041.0,0,47638,28932,27707.0,1225.0,1225.0,,79914,0.0,20680.0,25193,108846,156484,0.0,12157,-230424,407831.0,-22239,167325,6505.0,173830,330314,
03/31/2017,344209,4897,4897,0.0,21842,,,14873,0.0,0.0,10686.0,4187.0,1519,,,1519.0,43131,253147,,,,,,47931.0,,,,,38268.0,9663.0,301078,,34891,,2822.0,,32069.0,18483,18483.0,,,,,0,,,34772.0,0,53374,25124,25124.0,,,,81940,,20584.0,26584,107064,160438,0.0,14415,-225292,408707.0,-20679,177151,6620.0,183771,344209,
06/30/2017,343012,4042,4042,0.0,21289,,,15305,0.0,0.0,11135.0,4170.0,1544,,,1544.0,42180,252987,,,,,,47845.0,,,,,37719.0,10126.0,300832,,33764,,2664.0,,31100.0,17185,17185.0,,,,,0,,,34585.0,0,50949,24750,24750.0,,,,81475,,20778.0,26112,106225,157174,0.0,14617,-225305,408768.0,-18902,179178,6660.0,185838,343012,
09/30/2017,349427,4266,4266,0.0,23263,,,16743,0.0,0.0,12488.0,4255.0,1480,,,1480.0,45752,255556,,,,,,48119.0,,,,,37649.0,10470.0,303675,,38036,,3338.0,,34698.0,15741,15741.0,,,,,0,,,34430.0,0,53777,24869,24869.0,,,,81583,,20874.0,26279,106452,160229,0.0,14783,-225305,409449.0,-16651,182276,6922.0,189198,349427,
12/31/2017,348691,3177,3177,0.0,25597,21274.0,4323.0,16992,0.0,0.0,12871.0,4121.0,1368,0.0,,1343.0,47134,252630,477185.0,-224555.0,5694.0,174.0,5520.0,43233.0,0.0,0.0,0.0,1403.0,39160.0,2670.0,301557,,39841,21701.0,6356.0,,11784.0,17930,13164.0,,,,4766.0,0,0.0,63.0,26893.0,0,57771,24406,24406.0,,,,72014,0.0,21132.0,23926,96420,154191,0.0,14656,-225246,414540.0,-16262,187688,6812.0,194500,348691,
03/31/2018,348826,4125,4125,0.0,24686,,,18048,0.0,0.0,13879.0,4169.0,1456,,,1456.0,48315,250352,,,,,,50159.0,,,,,40350.0,9809.0,300511,,40470,,3263.0,,37207.0,19836,19836.0,,,,,0,,,26760.0,0,60306,20781,20781.0,,,,72828,,21696.0,24372,93609,153915,0.0,14888,-225671,415970.0,-16992,188195,6716.0,194911,348826,
06/30/2018,348790,3430,3430,0.0,26993,,,18483,0.0,0.0,14373.0,4110.0,1649,,,1649.0,50555,248209,,,,,,50026.0,,,,,39691.0,10335.0,298235,,41947,,3457.0,,38490.0,20500,20500.0,,,,,0,,,26783.0,0,62447,20720,20720.0,,,,72090,,21504.0,23803,92810,155257,0.0,15086,-225673,416418.0,-18609,187222,6311.0,193533,348790,
09/30/2018,354628,5669,5669,0.0,27880,,,18761,0.0,0.0,14617.0,4144.0,1665,,,1665.0,53975,249153,,,,,,51500.0,0.0,,,,40427.0,11073.0,300653,,45875,,4161.0,,41714.0,19413,19413.0,,,,,0,,,27084.0,0,65288,20624,20624.0,,,,71885,,21448.0,23353,92509,157797,0.0,15254,-225674,419155.0,-18370,190365,6466.0,196831,354628,
12/31/2018,346196,3042,3042,0.0,24701,19638.0,5063.0,18958,0.0,0.0,14803.0,4155.0,1272,0.0,,1272.0,47973,247101,477190.0,-230089.0,5800.0,210.0,5590.0,45322.0,0.0,0.0,0.0,1174.0,40790.0,3358.0,298223,,39880,21063.0,5892.0,,12925.0,17258,13188.0,,,,4070.0,0,0.0,0.0,27244.0,0,57138,20538,20538.0,,,,69992,0.0,20272.0,22476,90530,147668,0.0,15258,-225553,421653.0,-19564,191794,6734.0,198528,346196,
03/31/2019,356189,4586,4586,0.0,27105,,,18332,0.0,0.0,13979.0,4353.0,1553,,,1553.0,51576,253003,,,,,,51610.0,0.0,,,,42068.0,9542.0,304613,,43938,,2748.0,,41190.0,22694,21620.0,1074.0,208.0,866.0,,0,,,27287.0,0,66632,21642,17584.0,4058.0,1447.0,2611.0,69894,,20051.0,22556,91536,158168,0.0,15476,-225970,420498.0,-18782,191222,6799.0,198021,356189,
06/30/2019,360729,4213,4213,0.0,27132,,,18835,0.0,0.0,14379.0,4456.0,1563,,,1563.0,51743,257118,,,,,,51868.0,,,,,42533.0,9335.0,308986,,42936,,2612.0,,40324.0,27351,26023.0,1328.0,204.0,1124.0,,0,,,26846.0,0,70287,23177,17562.0,5615.0,1439.0,4176.0,68800,,19822.0,22132,91977,162264,0.0,15639,-225970,419913.0,-18205,191377,7088.0,198465,360729,
09/30/2019,359361,5351,5351,0.0,25308,,,17590,0.0,0.0,13131.0,4459.0,1759,,,1759.0,50008,257065,,,,,,52288.0,0.0,,,,42920.0,9368.0,309353,,41794,,2458.0,,39336.0,22401,21027.0,1374.0,192.0,1182.0,,0,,,26513.0,0,64195,30347,24530.0,5817.0,1420.0,4397.0,67710,,19365.0,21832,98057,162252,0.0,15795,-225970,419367.0,-19277,189915,7194.0,197109,359361,
12/31/2019,362597,3089,3089,0.0,26966,21100.0,5866.0,18528,0.0,0.0,14010.0,4518.0,1469,0.0,,1469.0,50052,259651,493335.0,-233684.0,5331.0,190.0,5141.0,47563.0,0.0,0.0,0.0,1151.0,43164.0,3248.0,312545,,42185,24694.0,4881.0,,12610.0,21804,18877.0,1310.0,99.0,1211.0,1617.0,0,0.0,0.0,25620.0,0,63989,30824,24533.0,6291.0,1809.0,4482.0,68846,0.0,22304.0,20922,99670,163659,0.0,15637,-225835,421341.0,-19493,191650,7288.0,198938,362597,
03/31/2020,355804,11412,11412,0.0,20871,,,16501,0.0,0.0,12067.0,4434.0,1465,,,1465.0,50249,248409,,,,,,57146.0,0.0,,,,42981.0,14165.0,305555,,37018,,1203.0,,35815.0,27755,27755.0,,,,,0,,,24863.0,0,64773,31857,31857.0,,,,70431,,21913.0,23655,102288,167061,0.0,15636,-226137,416919.0,-24339,182079,6664.0,188743,355804,
06/30/2020,361495,12576,12576,0.0,19036,,,19657,0.0,0.0,15028.0,4629.0,1747,,,1747.0,53016,250524,,,,,,57955.0,,,,,43192.0,14763.0,308479,,34318,,1102.0,,33216.0,22952,22952.0,,,,,0,,,24725.0,0,57270,46563,46563.0,,,,70509,,22341.0,23443,117072,174342,0.0,15812,-226136,412124.0,-21617,180183,6970.0,187153,361495,
