Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
05/05/2001,606.780599,-34.133,7.694,,103.5,683.841599,254.822,40.616587,0.151351,0.970876,8.481651,10.262807,34.21608,-56.020314,740.4804,817.5414,30.541694,,
08/04/2001,617.616517,-24.513,7.669,,103.245,704.017517,261.886,39.423642,0.146651,0.967595,8.57366,10.457621,44.089636,-44.080627,754.4634,840.8644,31.324294,,
11/03/2001,423.087375,-9.926,7.662,,104.245,525.068375,267.327,38.995313,0.198536,0.712398,6.444534,7.96427,17.730017,-86.682954,516.90132,618.88232,23.55494,,
02/02/2002,552.913419,-46.383999,7.634,0.0,103.245003,617.408423,264.432004,39.044065,0.167223,0.827451,7.275869,8.997762,19.935774,-48.412323,672.753948,737.248952,27.648149,,
05/04/2002,569.817664,-44.266,7.626,,103.245,636.422664,274.224,37.649877,0.162227,0.831829,7.450162,9.269866,9.129287,42.331673,710.164,776.769,29.039095,,
08/03/2002,302.849993,-32.214,7.6,,103.245,381.480993,277.952,37.144903,0.270643,0.493222,4.612662,5.843855,5.741632,27.375321,303.7368,382.3678,17.068079,,
11/02/2002,360.172328,-10.26,7.597,,108.245,465.754328,290.481,37.264055,0.232408,0.581416,5.334185,6.760448,9.267702,92.089171,438.2364,543.8184,21.000642,,
02/01/2003,361.421486,-55.929,7.599,,103.245,416.336486,286.024,36.096621,0.247985,0.502635,4.701339,6.012687,8.708416,36.101082,448.81044,503.72544,19.156791,,
05/03/2003,329.442962,-57.671,7.594,,103.245,382.610962,289.789,35.627646,0.269843,0.460722,4.676195,6.195126,8.117888,16.231699,333.43635,386.60435,17.595022,,
08/02/2003,407.555853,-32.968,7.596,,86.25,468.433853,272.103,31.697556,0.184124,0.560934,6.021697,8.248091,9.99302,17.598979,407.23488,468.11288,21.51627,,
11/01/2003,366.102916,-44.306,7.579,,86.25,415.625916,280.834,30.712093,0.207518,0.4981,5.449402,7.577086,5.317454,7.293529,372.06485,421.58785,19.129311,,
01/31/2004,375.811308,-81.549,7.58,0.0,86.25,388.092308,298.495,28.894956,0.222241,0.463461,4.798312,6.896476,5.257692,7.568958,402.052,414.333,17.86534,,
05/01/2004,485.158736,-11.536,7.516,,190.25,671.388736,412.336,46.139556,0.283368,0.77157,7.827233,11.137281,11.003063,18.535208,494.55075,680.78075,30.790746,,
07/31/2004,471.550473,-15.286,7.502,0.0,202.25,666.016473,431.935,46.824175,0.303671,0.711085,7.079859,9.964489,12.32787,27.263057,480.51086,674.97686,30.31004,,
10/30/2004,565.721143,-15.012,7.493,0.0,192.25,750.452143,434.968998,44.198552,0.256179,0.741162,7.233274,10.139053,11.276401,23.685766,575.718408,760.449408,33.959443,,
01/29/2005,632.734483,-60.068,7.474,0.0,161.25,741.390483,433.315,37.213113,0.217497,0.66631,6.112998,8.308106,6.901993,10.9914,756.6906,865.3466,33.04263,,
04/30/2005,583.057795,-62.376999,7.472,0.0,161.25,689.402796,446.417007,36.120936,0.233898,0.587606,5.2393,7.10095,5.905775,9.660011,692.085558,798.43056,30.422943,,
07/30/2005,847.629905,-38.848,7.229,0.0,151.25,967.260906,444.58099,34.020798,0.156369,0.804396,7.060917,9.546405,7.970963,12.985623,1011.582347,1131.213348,42.530135,,
10/29/2005,819.849871,-33.397999,6.704,0.0,151.25,944.405872,462.965002,32.669856,0.160154,0.767556,6.646673,8.932326,9.087928,18.492842,980.354124,1104.910125,41.296525,,
01/28/2006,893.171328,-60.451,6.695,0.0,106.25,945.665328,455.001,23.351597,0.112355,0.736571,6.316985,8.21746,8.442054,17.171315,1062.6048,1115.0988,40.656868,,
04/29/2006,962.463861,-34.719,6.677,0.0,106.25,1040.671861,468.459,22.680747,0.102098,0.792706,6.900549,9.026871,11.459505,38.398361,1133.92988,1212.13788,44.688398,,
07/29/2006,597.002543,-19.36,6.648,0.0,129.25,713.540543,485.77,26.607242,0.181139,0.531722,4.726717,6.256548,8.816633,66.541881,717.675,834.213,31.374136,,
10/28/2006,857.965745,-18.638,6.615,0.0,158.25,1004.192744,515.357004,30.706869,0.157589,0.722491,6.499461,8.640224,12.090586,103.155424,1016.504341,1162.73134,44.687191,,
02/03/2007,929.237875,-16.739,6.602,0.0,109.25,1028.350875,514.476,21.235199,0.106238,0.704119,6.330027,8.418755,13.353893,276.395913,1097.98992,1197.10292,45.218149,,
05/05/2007,1162.117723,-13.729,6.335,0.0,132.25,1286.973723,538.138,24.575481,0.10276,0.869512,8.184773,11.150546,14.211822,82.511221,1367.80812,1492.66412,56.512579,,
08/04/2007,1099.559474,-22.129,5.676,0.0,188.220001,1271.326475,592.197011,31.783342,0.14805,0.845417,8.881886,12.687003,15.256299,381.75092,1081.523794,1253.290796,55.787344,,
11/03/2007,1032.639079,-17.98,5.361,0.0,215.220001,1235.24008,626.738991,34.339654,0.174233,0.816966,9.665567,14.775246,20.261245,-52.32218,1219.385367,1421.986369,54.187738,,
02/02/2008,779.573129,-17.703,5.338,0.0,155.22,922.428129,576.635,26.918241,0.168273,0.614085,9.226403,16.813301,33.909895,-17.254654,753.36696,896.22196,39.615134,,
05/03/2008,427.663134,-16.48,5.319,0.0,86.22,502.722134,519.425,16.599124,0.171506,0.329783,1.726458,2.049593,2.361726,3.697162,566.02701,641.08601,26.22562,,
08/02/2008,571.816512,-24.283,5.223,0.0,99.82,652.576512,528.828,18.875702,0.152963,0.421136,2.182866,2.585875,2.83958,4.011944,550.57662,631.33662,33.940303,,
11/01/2008,477.493731,-16.0,5.209,0.0,130.319,597.021731,569.537,22.881569,0.218282,0.381037,1.978977,2.343375,2.918636,3.918853,579.93375,699.46175,31.020531,,
01/31/2009,296.350131,-17.672,5.203,0.0,113.735,397.616131,563.49,20.184032,0.286042,0.256268,1.282844,1.510746,2.125396,2.888421,357.6342,458.9002,20.662344,,
05/02/2009,492.007146,-16.69,5.254,0.0,51.648,532.219146,561.245,9.202398,0.097043,0.340078,4.833522,8.463372,21.436021,-28.563657,416.44068,456.65268,23.895427,,
08/01/2009,492.443355,-21.457,5.244,0.0,53.042,529.272355,561.973,9.438532,0.100217,0.342236,5.108905,9.406109,12.447847,318.802442,473.45256,510.28156,23.344402,,
10/31/2009,591.018736,-23.62,5.235,0.0,29.042,601.675736,551.033,5.270465,0.048269,0.388919,5.657399,10.153665,5.7986,9.009517,618.92787,629.58487,26.540083,,
