Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/2016,7302,1931,1931,0.0,617,617.0,0.0,554,187.0,0.0,367.0,0.0,297,,,,291.0,3399,594,,,76.0,76.0,,3233,2991.0,2478.0,513.0,,242,3903,,586,250,,,336.0,80.0,80.0,,,,281,,,0,947,1653.0,1653.0,,,,654,,242.0,,412,2307,3254,0.0,9091,6.0,9085.0,-10274.0,5666.0,-438,4045,3.0,4048,7302,
04/30/2016,7640,2139,2139,0.0,602,602.0,0.0,555,188.0,0.0,367.0,0.0,192,,,,189.0,3488,610,,,157.0,157.0,,3385,3046.0,2556.0,490.0,,339,4152,,606,220,,,386.0,235.0,235.0,,,,292,,,0,1133,1654.0,1654.0,,,,688,,242.0,,446,2342,3475,0.0,9109,6.0,9103.0,-10368.0,5720.0,-299,4162,3.0,4165,7640,
07/31/2016,7734,2199,2199,0.0,590,590.0,0.0,543,192.0,0.0,351.0,0.0,198,,,,193.0,3530,623,,,155.0,155.0,,3426,2967.0,2525.0,442.0,,459,4204,,615,261,,,354.0,235.0,235.0,,,,301,,,0,1151,1652.0,1652.0,,,,585,,229.0,,356,2237,3388,0.0,9150,6.0,9144.0,-10462.0,6000.0,-345,4343,3.0,4346,7734,
10/31/2016,7794,2289,2289,0.0,631,631.0,0.0,533,194.0,0.0,339.0,0.0,182,0.0,,,173.0,3635,639,1406.0,-767.0,135.0,135.0,,3385,2925.0,2517.0,408.0,,460,4159,,668,257,0.0,0.0,411.0,0.0,0.0,0.0,0.0,,277,0.0,0.0,0,945,1904.0,1904.0,0.0,0.0,,699,0.0,360.0,,339,2603,3548,0.0,9165,6.0,9159.0,-10508.0,6089.0,-503,4243,3.0,4246,7794,
01/31/2017,7872,2241,2241,0.0,653,653.0,0.0,551,197.0,0.0,354.0,0.0,190,,,,182.0,3635,653,,,133.0,133.0,,3451,2974.0,2563.0,411.0,,477,4237,,597,268,,,329.0,190.0,190.0,,,,302,,,0,1089,1802.0,1802.0,,,,681,,350.0,,331,2483,3572,0.0,5239,3.0,5236.0,0.0,-453.0,-489,4297,3.0,4300,7872,
04/30/2017,8016,2389,2389,0.0,677,677.0,0.0,548,206.0,0.0,342.0,0.0,186,,,,180.0,3800,675,,,134.0,134.0,,3407,2941.0,2568.0,373.0,,466,4216,,641,265,,,376.0,241.0,241.0,,,,305,,,0,1187,1802.0,1802.0,,,,652,,317.0,,335,2454,3641,0.0,5242,3.0,5239.0,0.0,-393.0,-477,4372,3.0,4375,8016,
07/31/2017,8261,2563,2563,0.0,678,678.0,0.0,566,208.0,0.0,358.0,0.0,189,,,,182.0,3996,716,,,137.0,137.0,,3412,2987.0,2612.0,375.0,,425,4265,,652,289,,,363.0,280.0,280.0,,,,309,,,0,1241,1801.0,1801.0,,,,608,,323.0,,285,2409,3650,0.0,5285,3.0,5282.0,0.0,-260.0,-417,4608,3.0,4611,8261,
10/31/2017,8426,2678,2678,0.0,724,724.0,0.0,575,212.0,0.0,363.0,0.0,192,0.0,240.0,,188.0,4169,757,1600.0,-843.0,138.0,138.0,,3362,2968.0,2607.0,361.0,,154,4257,,756,305,,,451.0,210.0,210.0,0.0,0.0,,297,0.0,0.0,0,1263,1801.0,1801.0,0.0,0.0,,527,0.0,234.0,,293,2328,3591,0.0,5303,3.0,5300.0,0.0,-126.0,-346,4831,4.0,4835,8426,
01/31/2018,8698,2887,2887,0.0,751,751.0,0.0,608,236.0,0.0,372.0,0.0,151,,,,142.0,4397,792,,,140.0,140.0,,3369,2974.0,2633.0,341.0,,395,4301,,679,292,,,387.0,345.0,345.0,,,,337,,,0,1361,1800.0,1800.0,,,,1011,,241.0,,770,2811,4172,0.0,5323,3.0,5320.0,-3.0,-529.0,-269,4522,4.0,4526,8698,
04/30/2018,8784,3011,3011,0.0,754,754.0,0.0,594,227.0,0.0,367.0,0.0,166,,,,160.0,4525,798,,,139.0,139.0,,3322,2932.0,2618.0,314.0,,390,4259,,709,271,,,438.0,315.0,315.0,,,,341,,,0,1365,1800.0,1800.0,,,,1002,,226.0,,776,2802,4167,0.0,5335,3.0,5332.0,,-412.0,-310,4613,4.0,4617,8784,
07/31/2018,8349,2131,2131,0.0,733,733.0,0.0,623,242.0,0.0,381.0,0.0,180,,,,169.0,3667,801,,,70.0,70.0,,3811,3448.0,2933.0,515.0,,363,4682,,684,273,,,411.0,0.0,0.0,,,,330,,,0,1014,1799.0,1799.0,,,,968,,218.0,,750,2767,3781,0.0,5315,3.0,5312.0,0.0,-416.0,-335,4564,4.0,4568,8349,
10/31/2018,8541,2247,2247,0.0,776,776.0,0.0,638,252.0,0.0,386.0,0.0,187,0.0,165.0,,171.0,3848,822,1660.0,-838.0,68.0,68.0,,3803,3464.0,2973.0,491.0,,174,4693,,842,340,,,502.0,0.0,0.0,0.0,0.0,,329,0.0,0.0,0,1171,1799.0,1799.0,0.0,0.0,,1000,0.0,239.0,,761,2799,3970,0.0,5311,3.0,5308.0,0.0,-336.0,-408,4567,4.0,4571,8541,
01/31/2019,8952,2057,2057,0.0,833,833.0,0.0,653,257.0,0.0,396.0,0.0,169,,,,165.0,3712,829,,,77.0,77.0,,4334,3699.0,3133.0,566.0,,635,5240,,743,315,,,428.0,0.0,0.0,,,,352,,,0,1095,1798.0,1798.0,,,,1023,,238.0,,785,2821,3916,0.0,5327,3.0,5324.0,0.0,90.0,-381,5036,0.0,5036,8952,
04/30/2019,9022,2155,2155,0.0,819,819.0,0.0,657,256.0,0.0,401.0,0.0,181,,,,175.0,3812,827,,,96.0,96.0,,4287,3650.0,3112.0,538.0,,637,5210,,769,314,,,455.0,0.0,0.0,,,,349,,,0,1118,1798.0,1798.0,,,,981,,229.0,,752,2779,3897,0.0,5346,3.0,5343.0,-1.0,178.0,-398,5125,0.0,5125,9022,
07/31/2019,8625,1765,1765,0.0,856,856.0,0.0,660,251.0,0.0,409.0,0.0,176,,,,166.0,3457,839,,,99.0,99.0,,4230,3618.0,3107.0,511.0,,612,5168,,769,316,,,453.0,504.0,504.0,,,,349,,,0,1622,1294.0,1294.0,,,,962,,225.0,,737,2256,3878,0.0,5273,3.0,5270.0,0.0,-122.0,-404,4747,0.0,4747,8625,
10/31/2019,9452,1382,1382,0.0,930,930.0,0.0,679,263.0,0.0,416.0,0.0,198,0.0,410.0,,186.0,3189,850,1775.0,-925.0,102.0,102.0,,5311,4700.0,3593.0,1107.0,,201,6263,,1122,354,0.0,0.0,768.0,616.0,616.0,0.0,0.0,,342,0.0,0.0,0,2080,1791.0,1791.0,0.0,0.0,,833,0.0,360.0,,473,2624,4704,0.0,5280,3.0,5277.0,0.0,-18.0,-514,4748,0.0,4748,9452,
01/31/2020,9501,1226,1226,0.0,966,966.0,0.0,706,283.0,0.0,423.0,0.0,204,,,,198.0,3102,1035,,,118.0,118.0,,5246,4648.0,3589.0,1059.0,,598,6399,,781,329,,,452.0,726.0,675.0,51.0,,51.0,385,,,0,1892,1928.0,1787.0,141.0,,141.0,833,,354.0,,479,2761,4653,0.0,5296,3.0,5293.0,0.0,73.0,-521,4848,0.0,4848,9501,
04/30/2020,9455,1324,1324,0.0,886,886.0,0.0,750,332.0,0.0,418.0,0.0,211,,,,203.0,3171,1024,,,141.0,141.0,,5119,4503.0,3582.0,921.0,,616,6284,,788,333,,,455.0,751.0,700.0,51.0,,51.0,406,,,0,1945,1926.0,1788.0,138.0,,138.0,816,,340.0,,476,2742,4687,0.0,5291,3.0,5288.0,0.0,15.0,-538,4768,0.0,4768,9455,
07/31/2020,9546,1358,1358,0.0,930,930.0,0.0,746,,,,,211,,,,211.0,3245,846,,,148.0,148.0,,5307,4482.0,,4482.0,,825,6301,,877,311,,,566.0,40.0,40.0,,,,397,,,0,1314,2283.0,2283.0,,,,968,,355.0,,613,3251,4565,0.0,5327,3.0,5324.0,0.0,130.0,-476,4981,0.0,4981,9546,
