Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2012,2426.1,2426.1,-1514.1,1514.1,912.0,0.0,-745.2,635.0,2.3,107.9,166.8,-31.4,31.4,33.9,-2.5,,0.0,135.4,-29.8,,105.6,-15.5,-15.5,0.0,121.1,0.7,121.8,0.0,0.0,121.8,192.11,85.81,164.53,0.74,0.65,1.167629,168.948,0.72,0.63,1.137908,
06/30/2012,2567.0,2567.0,-1636.7,1636.7,930.3,0.0,-733.1,622.9,3.3,106.9,197.2,-32.4,32.4,34.6,-2.2,,0.0,164.8,-38.6,,126.2,-28.3,-28.3,0.0,154.5,0.3,154.8,0.0,0.0,154.8,205.16,78.66,164.082,0.94,0.77,1.25035,167.921,0.92,0.75,1.218435,
09/29/2012,2517.2,2517.2,-1605.3,1605.3,911.9,0.0,-774.8,604.6,4.6,165.6,137.1,-34.2,34.2,36.7,-2.5,,0.0,102.9,-12.9,,90.0,-25.0,-25.0,0.0,115.0,0.2,115.2,0.0,0.0,115.2,266.86,176.66,162.99,0.71,0.55,1.637278,166.043,0.69,0.54,1.603941,
12/29/2012,2659.5,2659.5,-1713.4,1713.4,946.1,0.0,-777.0,636.6,,140.4,169.1,-36.1,36.1,,,,0.0,133.0,4.7,,137.7,-354.8,-354.8,0.0,492.5,-0.4,492.1,0.0,0.0,492.1,269.61,132.31,161.212,3.05,0.85,1.672394,164.553,2.99,0.83,1.634057,
03/30/2013,2476.5,2476.5,-1567.9,1567.9,908.6,0.0,-778.4,663.2,1.5,113.7,130.2,-36.7,36.7,39.9,-3.2,,0.0,93.5,-8.8,,84.7,4.0,4.0,0.0,80.7,0.4,81.1,0.0,0.0,81.1,150.985,65.885,155.552,0.52,0.55,0.97064,158.994,0.51,0.53,0.944387,
06/29/2013,2858.2,2858.2,-1852.5,1852.5,1005.7,0.0,-717.7,673.8,3.4,40.5,288.0,-36.3,36.3,39.6,-3.3,,0.0,251.7,-54.4,,197.3,10.5,10.5,0.0,186.8,0.3,187.1,0.0,0.0,187.1,204.615,7.015,155.064,1.21,1.27,1.319552,158.351,1.18,1.25,1.2943,
09/28/2013,2759.3,2759.3,-1771.6,1771.6,987.7,0.0,-764.7,665.0,4.6,95.1,223.0,-36.1,36.1,39.1,-3.0,,0.0,186.9,-17.3,,169.6,3.9,3.9,0.0,165.7,0.3,166.0,0.0,0.0,166.0,242.425,72.525,155.043,1.07,1.1,1.563598,158.925,1.04,1.07,1.526347,
12/28/2013,2880.6,2880.6,-1853.8,1853.8,1026.8,0.0,-928.3,696.9,,231.4,98.5,-38.3,38.3,,,,0.0,60.2,10.2,,70.4,14.4,14.4,0.0,56.0,0.1,56.1,0.0,0.0,56.1,178.765,108.265,155.512,0.36,0.45,1.149525,159.2,0.35,0.44,1.120057,
03/29/2014,2617.1,2617.1,-1660.7,1660.7,956.4,0.0,-697.8,636.9,3.7,57.2,258.6,-40.7,40.7,44.1,-3.4,,0.0,217.9,-48.0,,169.9,7.8,7.8,0.0,162.1,-0.2,161.9,0.0,0.0,161.9,167.295,-2.405,155.905,1.04,1.09,1.073057,158.951,1.02,1.07,1.05487,
06/28/2014,2860.1,2860.1,-1811.5,1811.5,1048.6,0.0,-711.5,649.0,6.9,55.6,337.1,-40.3,40.3,43.3,-3.0,,0.0,296.8,-74.1,,222.7,5.3,5.3,0.0,217.4,-0.9,216.5,0.0,0.0,216.5,221.195,-0.605,156.316,1.38,1.42,1.41505,159.666,1.36,1.39,1.386211,
09/27/2014,2878.9,2878.9,-1832.3,1832.3,1046.6,0.0,-701.8,637.2,3.9,60.7,344.8,-40.4,40.4,43.5,-3.1,,0.0,304.4,-58.3,,246.1,9.7,9.7,0.0,236.4,0.3,236.7,0.0,0.0,236.7,246.27,-0.13,156.628,1.51,1.57,1.572324,160.582,1.47,1.53,1.52919,
01/03/2015,2982.5,2982.5,-1931.4,1931.4,1051.1,0.0,-743.2,658.3,,84.9,307.9,-42.2,42.2,,,,0.0,265.7,-46.7,,219.0,73.5,73.5,0.0,145.5,0.3,145.8,0.0,0.0,145.8,236.995,17.695,155.799,0.94,1.41,1.521159,160.013,0.91,1.37,1.480585,
04/04/2015,2630.0,2630.0,-1656.4,1656.4,973.6,0.0,-711.6,613.7,9.3,88.6,262.0,-40.7,40.7,44.4,-3.7,,0.0,221.3,-55.3,,166.0,4.5,4.5,0.0,161.5,0.8,162.3,0.0,0.0,162.3,182.985,16.185,152.172,1.07,1.1,1.202488,156.537,1.04,1.07,1.173394,
07/04/2015,2866.9,2866.9,-1809.7,1809.7,1057.2,0.0,-700.0,631.5,13.0,55.5,357.2,-43.2,43.2,46.2,-3.0,,0.0,314.0,-78.5,,235.5,8.5,8.5,0.0,227.0,0.2,227.2,0.0,0.0,227.2,238.95,3.25,148.059,1.53,1.59,1.613884,152.663,1.49,1.54,1.561289,
10/03/2015,2829.5,2829.5,-1802.5,1802.5,1027.0,0.0,-676.3,598.4,9.9,68.0,350.7,-41.6,41.6,45.2,-3.6,,0.0,309.1,-75.7,,233.4,5.4,5.4,0.0,228.0,0.7,228.7,0.0,0.0,228.7,243.2,9.1,145.911,1.57,1.6,1.666769,150.781,1.52,1.55,1.610352,
01/02/2016,2845.4,2845.4,-1831.2,1831.2,1014.2,0.0,-668.1,610.6,,57.5,346.1,-39.7,39.7,44.6,-4.9,,0.0,306.4,-39.1,,267.3,1.7,1.7,0.0,265.6,-0.1,265.5,0.0,0.0,265.5,269.605,2.405,145.908,1.82,1.83,1.847774,150.02,1.77,1.78,1.796031,
04/02/2016,2672.1,2672.1,-1694.5,1694.5,977.6,0.0,-682.0,620.4,7.4,54.2,295.6,-41.5,41.5,47.3,-5.8,,0.0,254.1,-65.5,,188.6,0.0,0.0,0.0,188.6,0.8,189.4,0.0,0.0,189.4,194.6,5.2,145.87,1.3,1.3,1.334065,147.619,1.28,1.28,1.315226,
07/02/2016,2932.4,2932.4,-1803.5,1803.5,1128.9,0.0,-724.7,659.7,7.2,57.8,404.2,-42.2,42.2,47.7,-5.5,,0.0,362.0,-90.5,,271.5,0.0,0.0,0.0,271.5,0.0,271.5,0.0,0.0,271.5,278.13,6.63,145.135,1.87,1.87,1.916354,147.263,1.84,1.84,1.885021,
10/01/2016,2882.0,2882.0,-1797.9,1797.9,1084.1,0.0,-711.3,643.8,1.6,65.9,372.8,-45.1,45.1,50.2,-5.1,,0.0,327.7,-78.7,,249.0,0.0,0.0,0.0,249.0,-0.1,248.9,0.0,0.0,248.9,254.815,5.915,145.41,1.71,1.71,1.75239,147.975,1.68,1.68,1.719973,
12/31/2016,3107.0,3107.0,-2029.6,2029.6,1077.4,0.0,-749.4,685.4,7.0,57.0,328.0,-42.5,42.5,49.3,-6.8,,0.0,285.5,-27.0,,258.5,0.0,0.0,0.0,258.5,-0.3,258.2,0.0,0.0,258.2,240.455,-17.745,147.749,1.747558,1.747558,1.627456,149.971,1.721666,1.721666,1.603343,
04/01/2017,2856.3,2856.3,-1790.3,1790.3,1066.0,0.0,-549.9,682.0,8.3,-140.4,516.1,-42.7,42.7,51.3,-8.6,,0.0,473.4,-79.7,,393.7,0.0,0.0,0.0,393.7,0.0,393.7,0.0,0.0,393.7,225.72,-167.98,149.208,2.64,2.64,1.512788,151.526,2.6,2.6,1.491411,
07/01/2017,3286.7,3286.7,-2073.4,2073.4,1213.3,0.0,-808.7,738.6,5.6,64.5,404.6,-46.3,46.3,56.0,-9.7,,0.0,358.3,-80.7,,277.6,0.0,0.0,0.0,277.6,0.0,277.6,0.0,0.0,277.6,338.895,61.295,149.514,1.86,1.86,2.266644,152.226,1.82,1.82,2.222658,
09/30/2017,3359.4,3359.4,-2106.4,2106.4,1253.0,0.0,-851.7,763.4,5.5,82.8,401.3,-46.9,46.9,57.2,-10.3,,0.0,354.4,-79.9,,274.5,0.0,0.0,0.0,274.5,0.0,274.5,0.0,0.0,274.5,312.995,38.495,149.689,1.83,1.83,2.090969,152.622,1.8,1.8,2.052224,
12/30/2017,3464.2,3464.2,-2218.2,2218.2,1246.0,0.0,-857.7,795.8,,61.9,388.3,-46.6,46.6,58.1,-11.5,,0.0,341.7,-60.6,,281.1,0.0,0.0,0.0,281.1,0.4,281.5,0.0,0.0,281.5,322.325,40.825,150.08,1.88,1.88,2.147688,153.412,1.84,1.84,2.106113,
03/31/2018,3209.3,3209.3,-2043.6,2043.6,1165.7,0.0,-866.5,778.8,6.8,80.9,299.2,-47.4,47.4,63.2,-15.8,,0.0,251.8,-81.7,,170.1,0.0,0.0,0.0,170.1,0.5,170.6,0.0,0.0,170.6,230.751,60.151,150.612,1.13,1.13,1.532089,153.905,1.11,1.11,1.500832,
06/30/2018,3643.6,3643.6,-2356.5,2356.5,1287.1,0.0,-939.3,801.8,4.0,133.5,347.8,-53.4,53.4,69.0,-15.6,,0.0,294.4,-1.0,0.0,293.4,0.0,0.0,0.0,293.4,0.2,293.6,0.0,0.0,293.6,398.831,105.231,149.748,1.96,1.96,2.663348,152.494,1.93,1.93,2.620066,
09/29/2018,3494.8,3494.8,-2256.4,2256.4,1238.4,0.0,-880.1,792.9,6.0,81.2,358.3,-53.4,53.4,72.1,-18.7,,0.0,304.9,-56.6,0.0,248.3,0.0,0.0,0.0,248.3,-0.5,247.8,0.0,0.0,247.8,330.922,83.122,147.964,1.67,1.67,2.236503,150.599,1.65,1.65,2.201943,
12/29/2018,3634.7,3634.7,-2474.8,2474.8,1159.9,0.0,-933.9,781.4,,152.5,226.0,-55.0,55.0,73.6,-18.6,,0.0,171.0,-277.0,0.0,-106.0,0.0,0.0,0.0,-106.0,-0.8,-106.8,0.0,0.0,-106.8,316.7,423.5,147.582,-0.72,-0.72,2.145926,147.582,-0.72,-0.72,2.145926,
03/30/2019,3333.6,3333.6,-2228.0,2228.0,1105.6,0.0,-853.0,760.6,18.3,74.1,252.6,-57.8,57.8,74.4,-16.6,,0.0,194.8,-24.7,0.3,170.4,0.0,0.0,0.0,170.4,-0.5,169.9,0.0,0.0,169.9,210.1,40.2,147.863,1.15,1.15,1.42091,149.908,1.13,1.13,1.398164,
06/29/2019,3761.3,3761.3,-2461.5,2461.5,1299.8,0.0,-835.8,776.2,6.1,53.5,464.0,-60.3,60.3,72.4,-12.1,,0.0,403.7,-51.6,5.3,357.4,0.0,0.0,0.0,357.4,-1.1,356.3,0.0,0.0,356.3,393.427,37.127,148.099,2.41,2.41,2.656514,150.358,2.37,2.37,2.616924,
09/28/2019,3633.1,3633.1,-2393.6,2393.6,1239.5,0.0,-885.1,752.8,3.3,129.0,354.4,-59.7,59.7,72.4,-12.7,,0.0,294.7,-59.2,-4.4,231.1,0.0,0.0,0.0,231.1,-0.6,230.5,0.0,0.0,230.5,373.615567,143.115567,148.35,1.55,1.55,2.518474,150.623,1.53,1.53,2.480157,
12/28/2019,3714.2,3714.2,-2553.6,2553.6,1160.6,0.0,-871.2,723.7,5.3,142.2,289.4,-52.6,52.6,65.1,-12.5,,0.0,236.8,-25.3,-12.4,199.1,0.0,0.0,0.0,199.1,0.0,199.1,0.0,0.0,199.1,321.341,122.241,149.016,1.34,1.34,2.15642,151.244,1.32,1.32,2.128237,
03/28/2020,3129.4,3129.4,-2106.3,2106.3,1023.1,0.0,-827.3,737.8,10.7,78.8,195.8,-49.6,49.6,59.7,-10.1,,0.0,146.2,-12.9,-0.2,133.1,0.0,0.0,0.0,133.1,0.1,133.2,0.0,0.0,133.2,181.8,48.6,150.33,0.89,0.89,1.209339,151.903,0.88,0.88,1.199941,
06/27/2020,3147.4,3147.4,-2134.7,2134.7,1012.7,0.0,-846.8,713.0,19.0,114.8,165.9,-54.8,54.8,57.3,-2.5,,0.0,111.1,117.3,10.3,238.7,0.0,0.0,0.0,238.7,-0.3,238.4,-4.7,0.0,233.7,259.837,26.137,153.33,1.52,1.52,1.694626,154.154,1.52,1.52,1.689551,
09/30/2020,3856.375,,,,1351.62087375,,,,,,600.917,,,,,,,473.25,,,340.333,,,,,,340.333,,,340.333,385.308,,,2.277,2.277,2.481,,2.277,2.277,2.481,
12/31/2020,3811.063,,,,1301.70667828,,,,,,569.917,,,,,,,449.5,,,319.25,,,,,,319.25,,,319.25,352.846,,,1.997,1.997,2.325,,1.997,1.997,2.325,
