Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2013,73.771,58.757,9.42,28.67,-41.237,-163.547,17.568,7.821,96.921,18.161,1.942,0.0,16.219,0.0,-2963.902,-9.202,0.0,-9.202,-1881.123,594.73,0.0,553.145,41.585,-2475.853,0.0,-2429.981,-45.872,-1073.577,-1073.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.166,0.0,-0.5,-0.5,0.0,0.0,0.0,10.486,10.486,0.0,2475.988,0.192,,-403.965,34.949,3.574,
03/31/2014,49.99,90.95,9.765,0.494,6.551,-223.912,15.828,7.078,207.557,-57.77,-6.604,,-51.166,0.0,-716.619,-5.974,0.0,-5.974,-778.043,807.951,0.0,696.34,111.611,-1585.994,0.0,-1531.045,-54.949,67.398,67.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990.314,0.0,-0.27,-0.27,0.0,0.0,0.0,10.14,10.14,0.0,3003.926,-23.482,0.0,2323.685,15.486,12.688,
06/30/2014,155.703,50.797,9.577,1.947,102.397,57.32,-10.66,7.687,48.05,-9.015,-4.722,,-4.293,0.0,-4716.887,-12.77,0.0,-12.77,-4198.872,525.694,74.236,378.295,73.163,-4724.566,-120.426,-4514.224,-89.916,-505.245,-505.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3348.551,0.0,0.1,0.1,0.0,0.0,0.0,442.908,442.908,0.0,2875.642,29.901,0.0,-1212.633,59.571,4.847,
09/30/2014,30.681,63.977,9.931,16.61,-70.762,-5.644,-24.084,7.52,-48.554,10.769,-6.162,,16.931,0.0,-3543.439,-10.588,0.0,-10.588,-2872.564,685.43,253.677,304.66,127.093,-3557.994,-1457.208,-2015.481,-85.305,-660.287,-660.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.464,0.0,1.72,1.72,0.0,0.0,0.0,7.559,7.559,0.0,2770.588,-44.403,0.0,-777.294,79.689,12.724,
12/31/2014,19.143,57.99,10.072,40.435,-137.366,-94.787,-24.194,7.26,-25.645,48.012,-9.154,,57.166,0.0,-3256.986,-13.099,0.0,-13.099,-867.645,674.562,270.541,220.276,183.745,-1542.207,-1035.214,-401.321,-105.672,-2376.242,-2376.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3176.32,0.0,1.151,1.151,0.0,0.0,0.0,6.007,6.007,0.0,3220.364,-51.202,0.0,-61.523,53.812,4.922,
03/31/2015,53.206,88.516,9.892,6.452,-10.152,-33.263,1.311,7.771,14.029,-41.502,0.772,,-42.274,0.0,-538.21,-12.038,0.0,-12.038,-489.832,811.956,336.511,430.325,45.12,-1301.788,-739.291,-552.573,-9.924,-52.335,-52.335,0.0,0.0,0.0,0.0,0.0,0.0,15.995,-62.164,0.0,416.416,69.985,0.0,346.431,0.0,12.641,12.641,0.0,-491.924,0.703,0.0,-547.168,46.599,11.859,
06/30/2015,157.818,86.143,9.861,26.513,-20.753,24.921,2.972,8.215,-56.861,56.054,1.315,,54.739,0.0,-421.625,-12.501,0.0,-12.501,-668.032,732.98,398.095,368.303,-33.418,-1401.012,-293.346,-1158.76,51.094,203.629,203.629,0.0,0.0,0.0,0.0,0.0,0.0,55.279,1572.038,0.0,-75.229,-75.229,0.0,0.0,0.0,14.627,14.627,0.0,1695.851,-63.211,0.0,1308.231,46.84,12.989,
09/30/2015,43.183,81.733,8.751,33.403,-75.804,-68.664,-1.152,8.188,-14.176,-4.9,-26.684,,21.784,0.0,-2412.274,-12.926,0.0,-12.926,-1325.484,970.477,418.757,448.084,103.636,-2295.961,-1024.393,-1200.153,-71.415,-1057.869,-1057.869,0.0,0.0,0.0,0.0,0.0,0.0,-15.995,1471.159,0.0,1.219,1.219,0.0,0.0,0.0,1.769,1.769,0.0,1422.452,45.719,0.0,-897.932,89.04,7.335,
12/31/2015,339.813,343.904,40.008,97.629,-194.398,-89.445,-9.133,32.239,-128.059,52.67,-8.397,,61.067,0.0,-6496.352,-53.918,0.0,-53.918,-4168.153,3346.787,1495.362,1712.972,138.453,-7514.94,-2888.805,-4586.68,-39.455,-2329.56,-2329.56,,,0.0,0.0,0.0,0.0,55.279,5848.782,0.0,1113.55,767.119,0.0,346.431,0.0,39.012,39.012,0.0,4719.738,-23.518,,-307.757,220.484,35.28,
03/31/2016,56.061,79.174,11.536,33.341,-5.592,4.684,-5.982,6.877,-11.171,-62.398,-4.628,,-57.77,0.0,1474.078,-13.68,0.0,-13.68,2479.697,2590.308,351.834,2228.497,9.977,-110.611,-98.199,0.0,-12.412,-991.939,-991.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1164.884,0.0,-774.9,-774.9,0.0,0.0,0.0,4.078,4.078,0.0,-383.055,-11.007,0.0,365.255,35.778,17.407,
06/30/2016,86.006,92.964,12.232,36.333,5.901,-23.27,-0.392,7.548,22.015,-61.424,2.262,,-63.686,0.0,554.073,-10.377,0.0,-10.377,1658.34,1719.609,391.283,1310.239,18.087,-61.269,-42.442,0.0,-18.827,-1093.89,-1093.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-654.134,0.0,503.219,503.219,0.0,0.0,0.0,0.515,0.515,0.0,-1163.154,5.286,0.0,-14.055,122.047,3.535,
09/30/2016,130.937,111.081,11.346,18.95,-107.821,-23.178,-0.465,7.917,-92.095,97.381,-9.337,,106.718,0.0,444.293,-13.127,0.0,-13.127,737.231,832.802,463.25,343.196,26.356,-95.571,-84.885,0.0,-10.686,-279.811,-279.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.632,0.0,-500.798,-500.798,0.0,0.0,0.0,2.096,2.096,0.0,592.849,-2.515,0.0,666.862,28.649,18.375,
12/31/2016,164.973,99.466,11.705,7.073,-1.168,-9.976,2.604,13.152,-6.948,47.897,3.095,,44.802,0.0,-1457.1,-16.127,0.0,-16.127,-649.332,867.427,450.213,374.926,42.288,-1516.759,-1080.484,-429.268,-7.007,-791.641,-791.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.558,0.0,510.247,510.247,0.0,0.0,0.0,15.818,15.818,0.0,790.452,0.041,0.0,24.431,54.278,3.601,
03/31/2017,96.731,101.483,12.391,30.734,-11.732,-15.97,-15.386,9.203,10.421,-36.145,-6.75,,-29.395,0.0,-446.211,-10.599,0.0,-10.599,83.842,1269.785,416.206,826.629,26.95,-1185.943,-589.855,-595.543,-0.545,-519.454,-519.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.409,0.0,-507.505,-507.505,0.0,0.0,0.0,8.837,8.837,0.0,2099.832,-1.755,0.0,1249.929,3.304,17.956,
06/30/2017,303.848,123.193,13.877,15.806,-20.105,-4.371,5.559,-3.136,-18.157,171.077,-8.329,,179.406,0.0,-1573.319,-10.897,0.0,-10.897,-1015.82,1280.681,,,,-2296.501,-1708.435,-579.123,-8.943,-546.602,-546.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.894,0.0,-50.928,-4.693,0.0,0.0,-46.235,5.079,5.079,0.0,1385.591,-7.848,0.0,62.423,134.067,4.337,
09/30/2017,107.954,148.62,12.997,23.522,-201.548,-15.238,12.152,-5.755,-192.707,124.363,-6.893,,131.256,0.0,-2751.496,-13.974,0.0,-13.974,-1542.978,1226.867,477.378,721.035,28.454,-2769.845,-1514.492,-1246.075,-9.278,-1197.544,-1197.544,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2344.869,0.0,4.37,4.37,0.0,0.0,0.0,2.37,2.37,0.0,2346.742,-8.613,0.0,-298.673,53.335,19.031,
12/31/2017,112.067,117.21,16.858,22.242,10.46,-15.765,22.862,5.546,-2.183,-54.703,-5.919,,-48.784,0.0,-1169.347,-15.414,0.0,-15.414,-247.434,1932.288,424.237,1479.095,28.956,-2179.722,-2154.441,0.0,-25.281,-906.499,-906.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.784,0.0,977.344,1028.89,0.0,0.0,-51.546,10.717,10.717,0.0,-557.958,-5.319,0.0,-632.496,87.117,4.268,
03/31/2018,348.404,194.961,14.377,27.972,-29.3,-9.058,-8.834,7.98,-19.388,140.394,-18.365,,158.759,0.0,-2396.653,-7.717,0.0,-7.717,-924.938,1391.448,470.232,911.839,9.377,-2316.386,-2295.985,0.0,-20.401,-1463.998,-1463.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744.558,0.0,68.41,68.41,0.0,0.0,0.0,2.098,2.098,0.0,1682.457,-8.407,0.0,-303.691,9.385,20.411,
06/30/2018,-1.024,237.798,14.525,29.08,-69.571,-36.114,-9.76,-0.001,-23.696,-212.856,-20.017,,-192.839,0.0,-2173.454,-7.134,0.0,-7.134,-774.781,1395.079,465.588,863.729,65.762,-2169.86,-1771.404,-390.758,-7.698,-1391.539,-1391.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.195,0.0,-684.894,-684.894,0.0,0.0,0.0,7.644,7.644,0.0,2950.763,-6.318,0.0,92.717,184.297,7.319,
09/30/2018,356.524,274.817,14.487,17.174,-4.559,-32.193,2.062,8.446,17.126,54.605,-11.442,,66.047,0.0,-1166.189,-13.867,0.0,-13.867,349.121,1308.363,546.384,754.098,7.881,-959.242,-659.206,-271.7,-28.336,-1501.443,-1501.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.705,0.0,2214.006,2214.006,0.0,0.0,0.0,1.943,1.943,0.0,-291.184,-8.06,0.0,1107.04,83.706,26.951,
12/31/2018,229.658,266.264,14.517,13.644,-24.803,-10.729,-4.529,11.261,-20.806,-39.964,-29.03,,-10.934,0.0,935.921,-17.147,0.0,-17.147,1771.497,1802.442,409.557,1380.88,12.005,-30.945,0.0,-5.806,-25.139,-818.429,-818.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1413.181,0.0,-1999.84,-1999.84,0.0,0.0,0.0,-140.421,6.702,-147.123,732.789,-5.709,0.0,-247.602,99.037,20.92,
03/31/2019,340.75,288.732,20.83,28.551,-53.979,-29.028,-8.834,12.318,-28.435,56.616,-3.361,,59.977,0.0,904.427,-5.504,0.0,-5.504,1515.484,1735.977,428.433,1287.565,19.979,-220.493,0.0,-204.328,-16.165,-505.516,-505.516,0.0,0.0,-100.037,0.0,-100.037,0.0,0.0,2250.167,0.0,-616.957,-616.957,0.0,0.0,0.0,-115.453,0.57,-116.023,2998.297,-15.72,0.0,3495.344,17.57,46.548,
06/30/2019,109.821,317.987,19.994,23.946,-22.471,-47.698,4.98,12.081,8.166,-229.635,-0.489,,-229.146,0.0,-1221.448,-13.128,0.0,-13.128,-866.715,1783.294,460.51,1283.576,39.208,-2650.009,-277.889,-2348.998,-23.122,-339.314,-339.314,0.0,0.0,-2.291,0.0,-2.291,0.0,0.0,3065.669,0.0,9.797,9.797,0.0,0.0,0.0,-219.969,10.789,-230.758,3283.343,-7.502,0.0,1954.042,293.034,48.303,
09/30/2019,259.173,267.281,19.584,36.536,5.036,-29.849,2.134,18.22,14.531,-69.264,-24.857,,-44.407,0.0,-6247.755,-15.239,0.0,-15.239,-4392.195,1078.132,627.397,419.551,31.184,-5470.327,-130.59,-5278.956,-60.781,-1840.321,-1840.321,0.0,0.0,102.328,0.0,102.328,0.0,-102.328,3913.853,0.0,-5.354,-5.354,0.0,0.0,0.0,-4.347,1.383,-5.73,3932.334,-8.78,0.0,-2074.729,68.975,69.652,
12/31/2019,454.385,262.856,22.309,17.383,-8.113,-28.095,-1.352,14.608,6.726,159.95,-12.501,,172.451,0.0,-2807.106,-31.608,0.0,-31.608,-686.874,1473.08,608.173,841.752,23.155,-2159.954,-84.023,-2039.813,-36.118,-2088.624,-2088.624,0.0,0.0,-102.328,0.0,-102.328,0.0,102.328,2188.308,0.0,-359.863,-1.468,0.0,0.0,-358.395,352.214,352.214,0.0,2214.933,-18.976,0.0,-164.413,42.767,53.458,
03/31/2020,168.125,135.622,24.824,243.48,-143.123,-46.055,-60.126,16.596,-53.538,-92.678,23.982,,-116.66,0.0,-599.041,-25.088,0.0,-25.088,2222.456,4131.836,646.212,3439.904,45.72,-1909.38,-358.65,-1538.553,-12.177,-2796.409,-2796.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.581,0.0,3120.732,3120.732,0.0,0.0,0.0,-60.02,0.0,-60.02,154.15,-4.281,0.0,2779.665,31.988,46.145,
06/30/2020,577.353,233.529,24.826,66.481,1.448,-34.868,-12.629,20.548,28.397,251.069,-7.376,,258.445,0.0,-5933.827,-26.126,0.0,-26.126,-5174.09,1674.283,897.73,764.528,12.025,-6848.373,-209.352,-6532.461,-106.56,-733.611,-733.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9997.132,-7.963,-2592.214,-3087.238,0.0,495.024,0.0,13.341,13.341,0.0,12593.807,-9.839,0.0,4640.658,25.551,21.348,
