Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2013,-77.803,47.815,15.472,47.251,-0.312,28.808,15.334,3.421,-188.341,-16.842,-171.499,0.0,38.996,-11.863,0.0,-11.863,55.498,56.096,0.0,0.0,56.096,-0.598,0.0,0.0,-0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.639,-214.293,-14.114,-104.509,0.0,0.0,0.0,-104.509,-81.285,8.665,-89.95,0.0,-14.385,-12.656,-265.756,,,
09/30/2013,178.02,86.288,15.799,20.973,-11.606,9.577,17.624,5.378,54.96,-21.748,76.708,0.0,17.839,-7.066,1.351,-8.417,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.578,-153.248,-16.316,-49.04,0.0,0.0,0.0,-49.04,-72.684,4.337,-77.021,0.0,-15.208,1.965,44.576,,,
12/31/2013,215.137,81.734,16.972,48.111,-12.046,44.937,16.185,-0.965,68.32,8.944,59.376,0.0,-5.581,-11.301,,,12.348,14.297,0.0,0.0,14.297,-1.949,0.0,0.0,-1.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.628,-110.279,-15.826,-10.741,0.0,0.0,0.0,-10.741,-82.931,7.118,-90.049,0.0,-0.781,-5.795,93.482,,,
03/31/2014,121.97,68.947,14.602,49.5,-3.484,35.108,17.345,0.531,-11.079,-14.647,3.568,0.0,86.373,-10.222,,-10.222,89.2,107.833,0.0,0.0,107.833,-18.633,0.0,0.0,-18.633,0.0,0.0,0.0,0.0,1.351,0.0,1.351,0.0,6.044,-161.251,-15.71,-75.456,0.0,0.0,393.74,-469.196,-84.517,5.483,-90.0,0.0,14.432,5.592,52.684,,,
06/30/2014,-7.824,72.188,13.969,15.065,-7.339,3.622,16.38,2.402,-109.046,27.219,-136.265,0.0,-28.15,-11.775,0.0,-11.775,-0.181,2.136,0.0,0.0,2.136,-2.317,0.0,0.0,-2.317,0.0,0.0,0.0,0.0,-10.558,0.0,-10.558,0.0,-5.636,457.63,-15.507,579.371,0.0,0.0,658.769,-79.398,-81.211,8.788,-89.999,0.0,-25.023,3.712,425.368,,,
09/30/2014,139.445,4.897,14.016,29.498,3.066,1.017,18.319,7.096,91.034,44.082,46.952,0.0,0.023,-8.829,0.0,-8.829,0.228,0.552,0.0,0.0,0.552,-0.324,0.0,0.0,-0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.624,-747.702,-19.252,-645.342,0.0,0.0,0.0,-645.342,-82.927,7.095,-90.022,0.0,-0.181,-16.182,-624.416,,,
12/31/2014,249.426,77.036,13.122,85.86,-3.221,68.55,16.234,4.297,73.408,-10.4,83.808,0.0,-152.452,-14.29,0.0,-14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.189,0.0,-173.189,0.0,35.027,-79.273,-18.004,-0.219,0.0,0.0,0.0,-0.219,-80.632,5.869,-86.501,,19.582,-11.555,6.146,,,
03/31/2015,187.071,82.959,13.979,26.61,-7.726,27.198,15.311,-8.173,63.523,-13.544,77.067,0.0,-27.464,-10.879,,-10.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.585,-137.717,-18.052,0.0,0.0,0.0,0.0,0.0,-87.464,2.536,-90.0,0.0,-32.201,-17.458,4.432,,,
06/30/2015,2.67,94.548,13.975,40.607,-2.14,23.364,18.871,0.512,-146.46,40.974,-187.434,0.0,6.813,-9.528,0.0,-9.528,3.993,3.993,0.0,0.0,3.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.348,-115.541,-18.037,0.0,0.0,0.0,0.0,0.0,-62.859,5.141,-68.0,0.0,-34.645,-33.251,-139.309,,,
09/30/2015,149.038,64.319,13.559,61.883,20.724,23.385,18.17,-0.396,9.277,-53.347,62.624,0.0,1.232,-10.33,0.0,-10.33,5.472,5.472,0.0,0.0,5.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09,-87.276,-22.346,0.0,0.0,0.0,0.0,0.0,-88.773,1.205,-89.978,0.0,23.843,25.698,88.692,,,
12/31/2015,154.684,-138.626,17.221,266.449,5.099,-102.98,17.535,346.795,9.64,-50.642,60.282,0.0,-214.764,-10.054,0.0,-10.054,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.053,0.0,-209.053,0.0,5.296,8.968,-21.899,40.0,40.0,0.0,0.0,0.0,-22.85,2.15,-25.0,0.0,13.717,-4.351,-55.463,6.519,0.464,
03/31/2016,148.059,-45.273,15.542,81.592,6.13,48.504,38.351,-11.393,96.198,-19.408,115.606,0.0,-37.85,-10.418,0.0,-10.418,0.237,0.237,0.0,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-25.0,0.0,-2.669,659.621,-21.811,699.793,0.0,0.0,699.793,0.0,-25.128,1.526,-26.654,0.0,6.767,-4.176,765.654,,,
06/30/2016,-165.97,33.452,20.918,40.656,-9.368,16.093,37.471,-3.54,-260.996,16.392,-277.388,0.0,-1007.816,-11.971,0.0,-11.971,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-997.933,0.0,-997.933,0.0,1.088,334.98,-21.878,460.0,460.0,0.0,0.0,0.0,-109.74,1.933,-111.673,0.0,6.598,0.368,-838.438,5.483,5.842,
09/30/2016,303.829,66.441,19.424,27.783,-17.057,14.214,17.51,13.116,190.181,8.61,181.571,0.0,-17.924,-6.713,0.0,-6.713,1.436,1.436,0.0,0.0,1.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.995,0.0,-11.995,0.0,-0.652,-205.605,-22.225,0.0,-500.0,0.0,500.0,0.0,-88.224,1.776,-90.0,0.0,-95.156,-0.12,80.18,,,
12/31/2016,209.102,51.439,20.297,72.856,-8.141,29.422,16.941,34.634,64.51,36.933,27.577,0.0,10.794,-8.805,0.0,-8.805,3.105,3.105,0.0,0.0,3.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.081,12.081,0.0,0.0,4.413,-100.653,-22.075,0.0,0.0,0.0,0.0,0.0,-89.404,0.597,-90.001,0.0,10.826,-0.605,118.638,3.411,14.116,
03/31/2017,192.811,75.924,19.574,15.743,-21.568,-1.925,21.086,18.15,81.57,36.538,45.032,0.0,-4.719,-12.488,0.0,-12.488,22.217,22.217,0.0,0.0,22.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.581,-12.081,-0.5,0.0,-1.867,-145.599,-21.719,0.0,0.0,0.0,0.0,0.0,-84.798,5.2,-89.998,0.0,-39.082,1.71,44.203,7.116,45.78,
06/30/2017,-115.484,50.92,18.473,101.577,-12.039,,21.068,92.548,-286.454,,-286.454,0.0,-3.678,-8.371,0.0,-8.371,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693,-123.546,-21.153,0.0,0.0,0.0,0.0,0.0,-82.117,7.532,-89.649,0.0,-20.276,-0.412,-243.12,8.132,11.094,
09/30/2017,290.39,75.664,18.161,62.839,-8.889,51.194,18.463,2.071,184.92,32.52,184.92,0.0,-3.684,-7.475,0.0,-7.475,8.173,8.173,0.0,0.0,5.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,0.0,-2.25,0.0,-2.132,-114.623,-26.486,0.0,0.0,0.0,0.0,0.0,-87.91,2.09,-90.0,0.0,-0.227,-0.833,171.25,-0.855,45.576,
12/31/2017,116.912,149.222,17.917,-2.866,-15.103,,15.471,-3.234,-47.361,,-47.361,0.0,-5.002,-8.694,0.0,-8.694,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,-0.7,0.0,-0.7,0.0,12.565,-94.766,-28.361,225.5,225.5,0.0,0.0,0.0,-298.062,1.428,-299.49,0.0,6.157,6.886,24.03,9.493,10.812,
03/31/2018,197.55,9.269,18.435,57.618,21.814,,15.873,19.931,112.228,,112.228,0.0,-7.119,-12.806,0.0,-12.806,6.612,6.612,0.0,0.0,6.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.925,-129.361,-26.178,-100.0,-100.0,0.0,0.0,0.0,3.576,3.576,0.0,0.0,-6.759,6.196,67.266,16.109,47.543,
06/30/2018,-102.17,66.09,17.547,43.789,-10.725,21.796,19.085,13.633,-229.596,-4.385,-225.211,0.0,-14.311,-17.99,0.0,-17.99,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.679,-30.078,-24.572,0.0,0.0,0.0,0.0,0.0,4.952,4.952,0.0,0.0,-10.458,-10.062,-156.621,13.269,12.135,
09/30/2018,289.568,72.803,18.596,44.039,-0.751,19.87,16.14,8.78,154.13,-8.159,162.289,0.0,-6.926,-11.841,0.0,-11.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915,-255.233,-30.147,-125.5,-125.5,0.0,0.0,0.0,0.596,0.596,0.0,0.0,-100.182,-4.497,22.912,8.835,46.584,
12/31/2018,256.591,-216.888,17.888,345.365,13.473,-61.3,14.75,378.442,110.226,32.919,77.307,0.0,-5.691,-8.231,0.0,-8.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,-23.87,-29.911,0.0,0.0,0.0,0.0,0.0,0.481,0.481,0.0,0.0,5.56,-1.911,225.119,8.438,11.029,
03/31/2019,116.877,49.487,18.764,17.586,-20.757,33.111,15.909,-10.677,31.04,-14.769,45.809,0.0,-9.573,-13.273,0.0,-13.273,13.911,13.911,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.211,-22.348,-30.131,0.0,0.0,0.0,0.0,0.0,0.443,0.443,0.0,0.0,7.34,0.664,85.62,8.631,45.554,
06/30/2019,-187.577,45.35,16.496,40.642,-20.993,22.294,23.834,15.507,-290.065,-4.817,-285.248,0.0,-18.949,-9.19,0.0,-9.19,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.247,0.0,-10.247,0.0,0.488,-68.123,-30.131,0.0,0.0,0.0,0.0,0.0,9.599,9.599,0.0,0.0,-47.591,-2.697,-277.346,4.776,11.081,
09/30/2019,229.303,67.083,16.249,42.825,-7.699,21.826,18.689,10.009,103.146,-2.026,105.172,0.0,-14.746,-7.93,0.0,-7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.245,0.0,-9.245,0.0,2.429,-279.294,-35.935,-250.0,0.0,0.0,0.0,-250.0,2.085,2.085,0.0,0.0,4.556,-1.527,-66.264,4.65,45.558,
12/31/2019,335.358,74.775,18.255,42.951,-16.767,27.528,15.426,16.764,199.377,-5.473,204.85,0.0,-5.384,-6.089,0.0,-6.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.548,0.0,-3.548,0.0,4.253,-77.693,-35.978,0.0,0.0,0.0,0.0,0.0,0.491,0.491,0.0,0.0,-42.206,-8.647,243.634,5.238,11.079,
03/31/2020,183.472,64.159,16.378,90.616,43.874,25.403,9.352,11.987,12.319,5.725,6.594,0.0,-6.293,-6.397,0.0,-6.397,8.631,8.631,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.357,0.0,-1.357,0.0,-7.17,16.099,-35.906,0.0,0.0,0.0,0.0,0.0,31.919,31.919,0.0,0.0,20.086,5.58,198.858,2.491,42.168,
06/30/2020,-211.492,49.422,19.448,-3.529,-26.034,9.026,7.421,6.058,-276.833,-42.79,-234.043,0.0,-5.947,-5.762,0.0,-5.762,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-0.25,0.0,0.065,121.115,-36.266,250.0,250.0,0.0,0.0,0.0,53.437,53.437,0.0,0.0,-146.056,-0.945,-97.269,4.587,10.947,
