Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,42184,1850,1850,0.0,666,666.0,0.0,475,,,,,689,0.0,339.0,350.0,3680,37202,50210,-13008,1036,1036.0,266,0.0,0.0,0.0,1.0,,265,38504,,2470,1899,224.0,347.0,,212,0.0,,,,212.0,0,0.0,0.0,0,2682,9636,9636.0,,,,13065,0.0,678.0,11044.0,1343,22701,25383,0.0,5352.0,1384.0,3968.0,-2924.0,15027.0,-654.0,16801,0.0,16801,42184,
03/31/2010,42712,1753,1753,0.0,1218,1218.0,0.0,506,,,,,635,,355.0,280.0,4112,37301,50472,-13171,1036,1036.0,263,,,,,,263,38600,,2670,1938,447.0,285.0,,239,0.0,,,,239.0,0,,,0,2909,9480,9480.0,,,,13110,,,11116.0,1994,22590,25499,0.0,5344.0,1385.0,3959.0,-2889.0,15406.0,-648.0,17213,,17213,42712,
06/30/2010,42535,1317,1317,0.0,1250,1250.0,0.0,496,,,,,639,,364.0,275.0,3702,37527,50867,-13340,1064,1064.0,242,,,,,,242,38833,,2787,2787,,,,248,0.0,,,,248.0,0,,,0,3035,9117,9117.0,,,,13060,,,11189.0,1871,22177,25212,0.0,5363.0,1385.0,3978.0,-3343.0,15951.0,-648.0,17323,,17323,42535,
09/30/2010,43001,1358,1358,0.0,1297,1297.0,0.0,504,,,,,751,,357.0,394.0,3910,37749,51222,-13473,1104,1104.0,238,,,,,,238,39091,,2526,1949,273.0,304.0,,659,0.0,,,,659.0,0,,,0,3185,9060,9060.0,,,,13320,,,11480.0,1840,22380,25565,0.0,5369.0,1385.0,3984.0,-3850.0,16566.0,-649.0,17436,,17436,43001,
12/31/2010,43088,1086,1086,0.0,1184,1184.0,0.0,534,,,,,628,,261.0,367.0,3432,38253,51908,-13655,1137,1137.0,266,0.0,0.0,0.0,1.0,,265,39656,,2713,1993,337.0,383.0,,239,0.0,,,,239.0,0,0.0,,0,2952,9003,9003.0,,,,13370,0.0,632.0,11557.0,1181,22373,25325,0.0,5370.0,1385.0,3985.0,-4027.0,17154.0,-734.0,17763,0.0,17763,43088,
03/31/2011,43587,1248,1248,0.0,1275,1275.0,0.0,582,,,,,572,,307.0,265.0,3677,38512,52290,-13778,1157,1157.0,241,,,,,,241,39910,,2767,1981,464.0,322.0,,180,0.0,,,,180.0,0,,,0,2947,9016,9016.0,,,,13578,,,11788.0,1790,22594,25541,0.0,5374.0,1386.0,3988.0,-4207.0,17607.0,-728.0,18046,,18046,43587,
06/30/2011,44029,1055,1055,0.0,1427,1427.0,0.0,630,,,,,587,,315.0,272.0,3699,38908,52935,-14027,1176,1176.0,246,,,,,,246,40330,,2974,2156,418.0,400.0,,179,0.0,,,,179.0,0,,,0,3153,8759,8759.0,,,,13811,,,12016.0,1795,22570,25723,0.0,5385.0,1386.0,3999.0,-4519.0,18159.0,-719.0,18306,0.0,18306,44029,
09/30/2011,45066,1647,1647,0.0,1424,1424.0,0.0,607,,,,,536,,305.0,231.0,4214,39425,53710,-14285,1171,1171.0,256,,,,,,256,40852,,3082,2157,567.0,358.0,,642,0.0,,,,642.0,0,,,0,3724,8765,8765.0,,,,14012,,,12290.0,1722,22777,26501,0.0,5406.0,1386.0,4020.0,-4942.0,18833.0,-732.0,18565,,18565,45066,
12/31/2011,45096,1217,1217,0.0,1401,1401.0,0.0,614,,,,,495,0.0,306.0,189.0,3727,39934,54444,-14510,1175,1175.0,260,0.0,0.0,0.0,0.0,,260,41369,,3108,2145,482.0,481.0,,209,0.0,,,,209.0,0,0.0,0.0,0,3317,8697,8697.0,,,,14504,0.0,955.0,12368.0,1181,23201,26518,0.0,5417.0,1386.0,4031.0,-5293.0,19508.0,-1054.0,18578,0.0,18578,45096,
03/31/2012,45336,995,995,0.0,1327,1327.0,0.0,682,,,,,561,,314.0,247.0,3565,40309,55011,-14702,1210,1210.0,252,,,,,,252,41771,,3133,2014,704.0,415.0,,769,0.0,,,,769.0,0,,,0,3902,8066,8066.0,,,,14613,,,12505.0,2108,22679,26581,0.0,5443.0,1387.0,4056.0,-5726.0,20084.0,-1046.0,18755,,18755,45336,
06/30/2012,46374,1201,1201,0.0,1497,1497.0,0.0,646,,,,,612,,324.0,288.0,3956,40937,55807,-14870,1211,1211.0,270,,,,,,270,42418,,3137,2145,513.0,479.0,,780,0.0,,,,780.0,0,,,0,3917,8636,8636.0,,,,14734,,,12646.0,2088,23370,27287,0.0,5463.0,1386.0,4077.0,-6117.0,20802.0,-1061.0,19087,,19087,46374,
09/30/2012,47070,1130,1130,0.0,1583,1583.0,0.0,680,,,,,553,,293.0,260.0,3946,41617,56727,-15110,1235,1235.0,272,,,,,,272,43124,,3161,2143,613.0,405.0,,713,0.0,,,,713.0,0,,,0,3874,8773,8773.0,,,,14874,,,12858.0,2016,23647,27521,0.0,5483.0,1386.0,4097.0,-6479.0,21560.0,-1015.0,19549,0.0,19549,47070,
12/31/2012,47153,1063,1063,0.0,1331,1331.0,0.0,660,,,,,560,0.0,263.0,297.0,3614,41997,57279,-15282,1259,1259.0,283,0.0,0.0,0.0,1.0,,282,43539,,2923,2065,368.0,490.0,,196,0.0,,,,196.0,0,0.0,0.0,0,3119,8801,8801.0,,,,15356,0.0,1046.0,13108.0,1202,24157,27276,0.0,5499.0,1386.0,4113.0,-6707.0,22271.0,-1186.0,19877,0.0,19877,47153,
03/31/2013,48561,1917,1917,0.0,1512,1512.0,0.0,655,,,,,562,,251.0,311.0,4646,42376,57750,-15374,1240,1240.0,299,,,,,,299,43915,,3058,2033,585.0,440.0,,552,0.0,,,,552.0,0,,,0,3610,9309,9309.0,,,,15498,,,13288.0,2210,24807,28417,0.0,5521.0,1387.0,4134.0,-7113.0,22905.0,-1169.0,20144,0.0,20144,48561,
06/30/2013,49026,1845,1845,0.0,1468,1468.0,0.0,654,,,,,576,,242.0,334.0,4543,42911,58483,-15572,1272,1272.0,300,,,,,,300,44483,,3092,2180,413.0,499.0,,733,0.0,,,,733.0,0,,,0,3825,9076,9076.0,,,,15601,,,13477.0,2124,24677,28502,0.0,5549.0,1387.0,4162.0,-7567.0,23690.0,-1148.0,20524,0.0,20524,49026,
09/30/2013,48958,1366,1366,0.0,1469,1469.0,0.0,683,,,,,546,,230.0,316.0,4064,43311,59103,-15792,1282,1282.0,301,,,,,,301,44894,,2964,2076,415.0,473.0,,691,0.0,,,,691.0,0,,,0,3655,8764,8764.0,,,,15765,,,13739.0,2026,24529,28184,0.0,5576.0,1387.0,4189.0,-8135.0,24476.0,-1143.0,20774,0.0,20774,48958,
12/31/2013,49731,1432,1432,0.0,1414,1414.0,0.0,653,,,,,491,0.0,268.0,223.0,3990,43749,59812,-16063,1321,1321.0,671,0.0,0.0,0.0,364.0,,307,45741,,3086,2070,491.0,525.0,,705,0.0,,,,705.0,0,0.0,0.0,0,3791,8872,8872.0,,,,15843,0.0,596.0,14163.0,1084,24715,28506,0.0,6984.0,2774.0,4210.0,-8910.0,23901.0,-750.0,21225,0.0,21225,49731,
03/31/2014,50898,1857,1857,0.0,1542,1542.0,0.0,705,,,,,575,,259.0,316.0,4679,44189,60519,-16330,1344,1344.0,686,,,,,,686,46219,,3556,2142,877.0,537.0,,632,0.0,,,,632.0,0,,,0,4188,9544,9544.0,,,,15894,,,14229.0,1665,25438,29626,0.0,5621.0,1388.0,4233.0,-9577.0,25962.0,-734.0,21272,0.0,21272,50898,
06/30/2014,51562,1537,1537,0.0,1666,1666.0,0.0,739,,,,,561,,239.0,322.0,4503,44901,61442,-16541,1369,1369.0,789,,,,,,789,47059,,3319,2245,509.0,565.0,,458,0.0,,,,458.0,0,,,0,3777,10385,10385.0,,,,15960,,,14301.0,1659,26345,30122,0.0,7044.0,2775.0,4269.0,-10346.0,25456.0,-714.0,21440,0.0,21440,51562,
09/30/2014,52568,1887,1887,0.0,1635,1635.0,0.0,736,,,,,522,,218.0,304.0,4780,45553,62357,-16804,1384,1384.0,851,,,,,,851,47788,,3373,2244,562.0,567.0,,460,0.0,,,,460.0,0,,,0,3833,11045,11045.0,,,,16137,,,14421.0,1716,27182,31015,0.0,7074.0,2775.0,4299.0,-11193.0,26380.0,-708.0,21553,0.0,21553,52568,
12/31/2014,52372,1586,1586,0.0,1611,1611.0,0.0,712,,,,,492,0.0,,492.0,4401,46272,63214,-16942,1390,1390.0,309,0.0,0.0,0.0,1.0,,308,47971,,3303,2275,412.0,616.0,,461,0.0,,,,461.0,0,0.0,0.0,0,3764,10952,10952.0,,,,16467,0.0,801.0,14403.0,1263,27419,31183,0.0,7096.0,2775.0,4321.0,-12064.0,27367.0,-1210.0,21189,0.0,21189,52372,
03/31/2015,53145,1587,1587,0.0,1564,1564.0,0.0,744,,,,,584,,250.0,334.0,4479,46928,64146,-17218,1375,1375.0,363,,,,,,363,48666,,2974,2166,675.0,133.0,,416,0.0,,,,416.0,0,,,0,3390,11884,11884.0,,,,16814,,,14774.0,2040,28698,32088,0.0,7127.0,2776.0,4351.0,-12886.0,28034.0,-1218.0,21057,0.0,21057,53145,
06/30/2015,54177,2041,2041,0.0,1513,1513.0,0.0,762,,,,,667,,235.0,432.0,4983,47512,64896,-17384,1375,1375.0,307,,,,,,307,49194,,2982,2327,476.0,179.0,,431,0.0,,,,431.0,0,,,0,3413,12908,12908.0,,,,16866,,,14907.0,1959,29774,33187,0.0,7153.0,2776.0,4377.0,-13714.0,28759.0,-1208.0,20990,0.0,20990,54177,
09/30/2015,53763,1078,1078,0.0,1508,1508.0,0.0,741,,,,,615,,218.0,397.0,3942,48149,65588,-17439,1373,1373.0,299,,,,,,299,49821,,2350,934,562.0,143.0,711.0,521,0.0,,,,521.0,637,,,637,3508,12798,12798.0,,,,16858,,,15062.0,1796,29656,33164,0.0,7176.0,2776.0,4400.0,-14948.0,29583.0,-1212.0,20599,0.0,20599,53763,
12/31/2015,54600,1391,1391,0.0,1356,1356.0,0.0,736,,,,,647,0.0,,647.0,4130,48866,66564,-17698,1410,1410.0,194,0.0,0.0,0.0,1.0,,193,50470,,2612,1970,434.0,208.0,0.0,594,0.0,,,,594.0,0,0.0,0.0,0,3206,13607,12339.0,1268.0,1268.0,,17085,0.0,699.0,15241.0,1145,30692,33898,0.0,7193.0,2776.0,4417.0,-15529.0,30233.0,-1195.0,20702,0.0,20702,54600,
03/31/2016,55772,2673,2673,0.0,1355,1355.0,0.0,716,,,,,339,,,339.0,5083,49071,67014,-17943,1404,1404.0,214,,,,,,214,50689,,2885,1959,764.0,162.0,,402,0.0,,,,402.0,0,,,0,3287,14791,13594.0,1197.0,1197.0,,17219,,,15404.0,1815,32010,35297,0.0,7159.0,2778.0,4381.0,-16223.0,30747.0,-1208.0,20475,0.0,20475,55772,
06/30/2016,55690,2160,1830,330.0,1373,1373.0,0.0,660,,,,,373,,,373.0,4566,49461,67650,-18189,1408,1408.0,255,,,,,,255,51124,,2135,787,470.0,198.0,680.0,409,0.0,,,,409.0,551,,,551,3095,14777,13615.0,1162.0,1162.0,,17396,,,15593.0,1803,32173,35268,0.0,7171.0,2778.0,4393.0,-16817.0,31266.0,-1198.0,20422,0.0,20422,55690,
09/30/2016,56305,2239,1909,330.0,1351,1351.0,0.0,690,,,,,322,,,322.0,4602,49939,68336,-18397,1446,1446.0,318,,,,,,318,51703,,2258,819,593.0,169.0,677.0,407,0.0,,,,407.0,592,,,592,3257,15205,14070.0,1135.0,1135.0,,17559,,,15774.0,1785,32764,36021,0.0,7183.0,2777.0,4406.0,-17654.0,31940.0,-1185.0,20284,0.0,20284,56305,
12/31/2016,55718,1337,1277,60.0,1258,1258.0,0.0,717,,,,,284,0.0,,284.0,3596,50389,69058,-18669,1457,1457.0,276,0.0,0.0,0.0,67.0,,209,52122,,2312,955,472.0,212.0,673.0,758,0.0,,,,758.0,570,0.0,0.0,570,3640,14249,13144.0,1105.0,1105.0,,17897,0.0,715.0,15996.0,1186,32146,35786,0.0,7198.0,2777.0,4421.0,-18581.0,32587.0,-1272.0,19932,0.0,19932,55718,
03/31/2017,55900,1139,1049,90.0,1279,1279.0,0.0,760,,,,,410,,,410.0,3588,50550,69381,-18831,1480,1480.0,282,,,,,,282,52312,,2548,789,901.0,170.0,688.0,723,0.0,,,,723.0,577,,,577,3848,14310,13375.0,935.0,935.0,,18019,,,16157.0,1862,32329,36177,0.0,7185.0,2779.0,4406.0,-19377.0,33167.0,-1252.0,19723,0.0,19723,55900,
06/30/2017,56478,1376,1286,90.0,1357,1357.0,0.0,726,,,,,410,,,410.0,3869,50814,69878,-19064,1504,1504.0,291,,,,,,291,52609,,2249,828,523.0,205.0,693.0,531,0.0,,,,531.0,626,,,626,3406,15229,14325.0,904.0,904.0,,18228,,,16329.0,1899,33457,36863,0.0,7209.0,2778.0,4431.0,-20220.0,33847.0,-1221.0,19615,0.0,19615,56478,
09/30/2017,57397,1937,1847,90.0,1428,1428.0,0.0,742,,,,,342,,,342.0,4449,51036,69971,-18935,1566,1566.0,346,,,,,,346,52948,,2272,838,561.0,179.0,694.0,903,0.0,,,,903.0,656,,,656,3831,15930,15046.0,884.0,884.0,,18485,,,16524.0,1961,34415,38246,0.0,7232.0,2778.0,4454.0,-21470.0,34561.0,-1172.0,19151,0.0,19151,57397,
12/31/2017,57806,1365,1275,90.0,1493,1493.0,0.0,749,,,,,399,0.0,,399.0,4006,51605,70813,-19208,1809,1809.0,386,0.0,0.0,0.0,196.0,,190,53800,,2468,1013,547.0,220.0,688.0,800,0.0,,,,800.0,671,0.0,0.0,671,3939,16144,15252.0,892.0,892.0,,12867,0.0,781.0,10936.0,1150,29011,32950,0.0,7254.0,2778.0,4476.0,-22574.0,41317.0,-1141.0,24856,0.0,24856,57806,
03/31/2018,57789,1138,1048,90.0,1571,1571.0,0.0,808,,,,,380,,,380.0,3897,51696,71171,-19475,1810,1810.0,386,,,,,,386,53892,,2264,768,641.0,165.0,690.0,1891,0.0,,,,1891.0,591,,,591,4746,15697,14878.0,819.0,819.0,,12957,,,11050.0,1907,28654,33400,0.0,7252.0,2779.0,4473.0,-23800.0,42359.0,-1422.0,24389,0.0,24389,57789,
06/30/2018,58689,1694,1604,90.0,1634,1634.0,0.0,772,,,,,394,,,394.0,4494,51947,71746,-19799,1856,1856.0,392,,,,,,392,54195,,2346,844,579.0,223.0,700.0,1456,0.0,,,,1456.0,570,,,570,4372,21357,20537.0,820.0,820.0,,13051,,,11109.0,1942,34408,38780,0.0,6557.0,2779.0,3778.0,-28531.0,43311.0,-1428.0,19909,0.0,19909,58689,
09/30/2018,59312,1900,1810,90.0,1792,1792.0,0.0,789,,,,,335,,,335.0,4816,52210,72167,-19957,1887,1887.0,399,,,,,,399,54496,,2483,905,644.0,240.0,694.0,1468,0.0,,,,1468.0,578,,,578,4529,20943,20161.0,782.0,782.0,,13195,,,11270.0,1925,34138,38667,0.0,6582.0,2779.0,3803.0,-28858.0,44313.0,-1392.0,20645,0.0,20645,59312,
12/31/2018,59147,1333,1273,60.0,1755,1755.0,0.0,742,,,,,333,0.0,,333.0,4163,52679,72805,-20126,1912,1912.0,393,0.0,0.0,0.0,172.0,,221,54984,,2585,872,694.0,317.0,702.0,1466,0.0,,,,1466.0,575,0.0,0.0,575,4626,20925,20171.0,754.0,754.0,,13173,0.0,714.0,11302.0,1157,34098,38724,0.0,7228.0,2779.0,4449.0,-30674.0,45284.0,-1415.0,20423,0.0,20423,59147,
03/31/2019,61319,1119,1059,60.0,1672,1672.0,0.0,780,,,,,382,,,382.0,3953,55002,75205,-20203,1951,1951.0,413,,,,,,413,57366,,2633,794,934.0,198.0,707.0,2120,0.0,516.0,99.0,417.0,1604.0,509,,,509,5262,25072,22849.0,2223.0,560.0,1663.0,13243,,,11408.0,1835,38315,43577,0.0,6709.0,2780.0,3929.0,-33638.0,46049.0,-1378.0,17742,0.0,17742,61319,
06/30/2019,61708,1109,1049,60.0,1809,1809.0,0.0,775,,,,,393,,,393.0,4086,55191,75607,-20416,1989,1989.0,442,,,,,,442,57622,,2377,746,644.0,299.0,688.0,2739,0.0,554.0,112.0,442.0,2185.0,549,,,549,5665,24567,22416.0,2151.0,539.0,1612.0,13305,,,11574.0,1731,37872,43537,0.0,6734.0,2780.0,3954.0,-34262.0,46997.0,-1298.0,18171,0.0,18171,61708,
09/30/2019,61978,1310,1250,60.0,1650,1650.0,0.0,771,,,,,342,,,342.0,4073,55419,76060,-20641,2003,2003.0,483,,,,,,483,57905,,2173,711,580.0,201.0,681.0,1798,0.0,491.0,114.0,377.0,1307.0,616,,,616,4587,25856,23812.0,2044.0,502.0,1542.0,13519,,,11744.0,1775,39375,43962,0.0,7285.0,2780.0,4505.0,-35839.0,47875.0,-1305.0,18016,0.0,18016,61978,
12/31/2019,61673,891,831,60.0,1595,1595.0,0.0,751,,,,,222,0.0,,222.0,3459,55728,76058,-20330,2050,2050.0,436,0.0,0.0,0.0,203.0,,233,58214,,2194,749,496.0,289.0,660.0,1619,0.0,476.0,114.0,362.0,1143.0,538,0.0,0.0,538,4351,25414,23452.0,1962.0,491.0,1471.0,13780,0.0,678.0,11992.0,1110,39194,43545,0.0,7303.0,2780.0,4523.0,-36424.0,48605.0,-1356.0,18128,0.0,18128,61673,
03/31/2020,62216,1190,1130,60.0,1669,1669.0,0.0,692,,,,,253,,,253.0,3804,55894,76431,-20537,2078,2078.0,440,,,,,,440,58412,,2317,711,754.0,204.0,648.0,1837,0.0,445.0,119.0,326.0,1392.0,487,,,487,4641,27704,25932.0,1772.0,433.0,1339.0,13880,,,12088.0,1792,41584,46225,0.0,6893.0,2781.0,4112.0,-38992.0,49419.0,-1329.0,15991,0.0,15991,62216,
06/30/2020,63555,2766,2706,60.0,1388,1388.0,0.0,668,,,,,261,,,261.0,5083,55970,76717,-20747,2042,2042.0,460,,,,,,460,58472,,2517,970,595.0,342.0,610.0,2309,0.0,424.0,105.0,319.0,1885.0,453,,,453,5279,27759,26012.0,1747.0,427.0,1320.0,14065,,,12171.0,1894,41824,47103,0.0,6916.0,2781.0,4135.0,-38984.0,49892.0,-1372.0,16452,0.0,16452,63555,
