Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/2009,25342,1173,1173,0.0,765.0,765.0,0.0,8795.0,,,,,683.0,0.0,27.0,,582.0,11416,8091,10959.0,-2868.0,0.0,5835,4675.0,1392.0,3283.0,1160,13926,,3006,3006,0.0,0.0,0.0,787,442.0,59.0,59.0,286.0,4719,0.0,0.0,,3644,8512,2132,1527.0,605.0,605.0,4999,0.0,2057.0,2942,7131,15643,0,10442,1.0,10441.0,-5012.0,4562.0,-612,9380,319,9699,25342,
05/02/2009,25748,1141,1141,0.0,813.0,813.0,0.0,9462.0,,,,,577.0,,28.0,,495.0,11993,7959,,,0.0,5796,4656.0,1392.0,3264.0,1140,13755,,6593,3467,,,3126.0,930,839.0,,,91.0,1483,,,,427,9006,2114,2114.0,,,4898,,2044.0,2854,7012,16018,0,10475,1.0,10474.0,-5085.0,4588.0,-575,9403,327,9730,25748,
08/01/2009,25760,1189,1189,0.0,896.0,896.0,0.0,9377.0,,,,,525.0,,32.0,,468.0,11987,7867,,,0.0,5906,4636.0,1392.0,3244.0,1270,13773,,6449,3361,,,3088.0,1298,1015.0,,,283.0,1497,,,,468,9244,1941,1941.0,,,4928,,2045.0,2883,6869,16113,0,10475,1.0,10474.0,-5177.0,4494.0,-517,9275,372,9647,25760,
10/31/2009,27175,1468,1468,0.0,844.0,844.0,0.0,10805.0,,,,,454.0,,29.0,,412.0,13571,7758,,,0.0,5846,4617.0,1392.0,3225.0,1229,13604,,7766,4495,,,3271.0,1972,1603.0,,,369.0,1528,,,,512,11266,1831,1831.0,,,4753,,2001.0,2752,6584,17850,0,10477,1.0,10476.0,-5400.0,4367.0,-505,8939,386,9325,27175,
01/30/2010,24808,1689,1689,0.0,652.0,652.0,0.0,8705.0,,,,,392.0,0.0,30.0,,338.0,11438,7709,11392.0,-3683.0,0.0,5661,4600.0,1392.0,3208.0,1061,13370,,3335,3335,0.0,0.0,0.0,807,325.0,60.0,60.0,422.0,4644,0.0,0.0,,3632,8786,1698,1123.0,575.0,575.0,4889,0.0,2271.0,2618,6587,15373,0,10466,1.0,10465.0,-5446.0,4797.0,-721,9096,339,9435,24808,
05/01/2010,25417,1744,1744,0.0,716.0,716.0,0.0,9316.0,,,,,429.0,,28.0,,395.0,12205,7591,,,0.0,5621,4583.0,1392.0,3191.0,1038,13212,,6844,3734,,,3110.0,1858,1069.0,,,789.0,1527,,,,521,10229,1391,1391.0,,,4854,,2216.0,2638,6245,16474,0,10194,1.0,10193.0,-5443.0,4813.0,-759,8805,138,8943,25417,
07/31/2010,24833,1193,1193,0.0,754.0,754.0,0.0,9430.0,,,,,384.0,,28.0,,352.0,11761,7485,,,0.0,5587,4565.0,1392.0,3173.0,1022,13072,,6722,3673,,,3049.0,1808,1218.0,,,590.0,1548,,,,544,10078,1378,1378.0,,,4758,,2172.0,2586,6136,16214,0,10194,1.0,10193.0,-5714.0,4774.0,-743,8511,108,8619,24833,
10/30/2010,26045,790,790,0.0,688.0,688.0,0.0,11226.0,,,,,419.0,,25.0,,389.0,13123,7448,,,0.0,5474,4548.0,1392.0,3156.0,926,12922,,7708,4616,,,3092.0,1467,968.0,,,499.0,1507,,,,512,10682,2570,2570.0,,,4415,,2055.0,2360,6985,17667,0,10189,1.0,10188.0,-5749.0,4556.0,-705,8291,87,8378,26045,
01/29/2011,24360,1359,1359,0.0,689.0,689.0,0.0,8951.0,,,,,561.0,0.0,,401.0,346.0,11560,7102,11329.0,-4227.0,0.0,5698,4385.0,1392.0,2993.0,899,12800,,3046,3046,0.0,0.0,0.0,849,360.0,64.0,64.0,425.0,4748,0.0,0.0,0.0,3480,8643,2344,1811.0,533.0,533.0,4759,0.0,2151.0,2207,7103,15746,0,10186,1.0,10185.0,-5826.0,4930.0,-779,8511,103,8614,24360,
04/30/2011,24730,940,940,0.0,652.0,652.0,0.0,9698.0,,,,,744.0,,,411.0,520.0,12034,7020,,,0.0,5676,4371.0,1392.0,2979.0,896,12696,,3770,3770,,,,1162,873.0,,,289.0,4528,,,0.0,3228,9460,2135,2135.0,,,4737,,2075.0,2251,6872,16332,0,10178,1.0,10177.0,-5917.0,4760.0,-727,8294,104,8398,24730,
07/30/2011,23891,647,647,0.0,781.0,781.0,0.0,9262.0,,,,,637.0,,,396.0,432.0,11327,6895,,,0.0,5669,4356.0,1392.0,2964.0,903,12564,,3270,3270,,,,1214,927.0,,,287.0,4468,,,0.0,3231,8952,2103,2103.0,,,4686,,2044.0,2246,6789,15741,0,10166,1.0,10165.0,-5974.0,4614.0,-745,8061,89,8150,23891,
10/29/2011,25606,591,591,0.0,653.0,653.0,0.0,10941.0,,,,,851.0,,,362.0,611.0,13036,6796,,,0.0,5774,4342.0,1392.0,2950.0,1056,12570,,4471,4471,,,,2159,2002.0,,,157.0,4739,,,0.0,3428,11369,2073,2073.0,,,4448,,1859.0,2227,6521,17890,0,10153,1.0,10152.0,-5969.0,4193.0,-744,7633,83,7716,25606,
01/28/2012,21381,747,747,0.0,695.0,695.0,0.0,8407.0,,,,,395.0,0.0,,,394.0,10244,6577,11210.0,-4633.0,0.0,4560,3778.0,841.0,2937.0,782,11137,,2912,2912,0.0,0.0,0.0,1405,1175.0,60.0,60.0,170.0,4895,0.0,0.0,816.0,3409,9212,2088,1693.0,395.0,395.0,5740,0.0,2738.0,2186,7828,17040,0,10006,1.0,10005.0,-5981.0,1865.0,-1609,4281,60,4341,21381,
04/28/2012,21607,777,777,0.0,644.0,644.0,0.0,8817.0,,,,,390.0,,,0.0,388.0,10628,6436,,,0.0,4543,3763.0,841.0,2922.0,780,10979,,3258,3258,,,,1254,1103.0,,,151.0,4875,,,867.0,3393,9387,1975,1975.0,,,5667,,2666.0,2134,7642,17029,0,9999,1.0,9998.0,-5971.0,2054.0,-1568,4514,64,4578,21607,
07/28/2012,21183,730,730,0.0,569.0,569.0,0.0,8653.0,,,,,393.0,,,,393.0,10345,6341,,,0.0,4497,3748.0,841.0,2907.0,749,10838,,3088,3088,,,,1330,1176.0,,,154.0,4754,,,839.0,3277,9172,1970,1970.0,,,5545,,2582.0,2124,7515,16687,0,9998,1.0,9997.0,-5969.0,1922.0,-1514,4437,59,4496,21183,
10/27/2012,21802,622,622,0.0,665.0,665.0,0.0,9567.0,,,,,424.0,,,0.0,424.0,11278,6174,,,0.0,4350,3568.0,674.0,2894.0,782,10524,,3851,3851,,,,2044,1890.0,,,154.0,4780,,,869.0,3334,10675,1960,1960.0,,,5266,,2260.0,2137,7226,17901,0,9853,1.0,9852.0,-5971.0,1424.0,-1464,3842,59,3901,21802,
02/02/2013,19340,609,609,0.0,635.0,635.0,0.0,7558.0,,,,,463.0,,,,463.0,9265,6053,11244.0,-5191.0,0.0,4022,3260.0,379.0,2881.0,762,10075,,2761,2761,0.0,0.0,0.0,1177,1094.0,69.0,69.0,14.0,4476,0.0,,955.0,3163,8414,1943,1579.0,364.0,364.0,5811,0.0,2730.0,2126,7754,16168,0,9299,1.0,9298.0,-5970.0,885.0,-1459,2755,417,3172,19340,
05/04/2013,19396,471,471,0.0,608.0,608.0,0.0,7900.0,,,,,472.0,,,,472.0,9451,5910,,,0.0,4035,3250.0,379.0,2871.0,785,9945,,2862,2862,,,,1826,1754.0,,,72.0,4147,,,966.0,2843,8835,1929,1929.0,,,5711,,2638.0,2107,7640,16475,0,9301,1.0,9300.0,-5970.0,606.0,-1419,2518,403,2921,19396,
08/03/2013,19278,671,671,0.0,641.0,641.0,0.0,7708.0,,,,,480.0,,,,479.0,9500,5786,,,0.0,3992,3243.0,379.0,2864.0,749,9778,,2903,2903,,,,1831,1756.0,,,75.0,4226,,,963.0,2918,8960,1911,1911.0,,,5583,,2539.0,2081,7494,16454,0,9298,1.0,9297.0,-5965.0,412.0,-1385,2360,464,2824,19278,
11/02/2013,20209,599,599,0.0,541.0,541.0,0.0,8912.0,,,,,476.0,,,,472.0,10528,5682,,,0.0,3999,3237.0,379.0,2858.0,762,9681,,3517,3517,,,,1833,1751.0,,,82.0,4325,,,919.0,2983,9675,2862,2862.0,,,5345,,2387.0,2039,8207,17882,0,9298,1.0,9297.0,-5963.0,-122.0,-1339,1874,453,2327,20209,
02/01/2014,18261,1028,1028,0.0,553.0,553.0,0.0,7034.0,,,,,344.0,0.0,,,336.0,8959,5394,10109.0,-4715.0,0.0,3908,3229.0,379.0,2850.0,679,9302,,2496,2496,0.0,0.0,0.0,1415,1332.0,70.0,70.0,13.0,4274,0.0,0.0,1109.0,2987,8185,2834,2558.0,276.0,276.0,5059,0.0,1942.0,2008,7893,16078,0,9299,1.0,9298.0,-5963.0,-480.0,-1117,1739,444,2183,18261,
05/03/2014,16930,831,831,0.0,562.0,562.0,0.0,6726.0,,,,,408.0,,,,408.0,8527,5190,,,0.0,3213,2581.0,269.0,2312.0,632,8403,,2612,2612,,,,1308,1230.0,,,78.0,4092,,,800.0,2719,8012,2821,2821.0,,,4635,,1837.0,1998,7456,15468,0,8977,1.0,8976.0,-5962.0,-882.0,-1081,1052,410,1462,16930,
08/02/2014,16438,829,829,0.0,516.0,516.0,0.0,6383.0,,,,,429.0,,,,425.0,8157,5091,9920.0,-4829.0,0.0,3190,2571.0,269.0,2302.0,619,8281,,2506,2506,,,,1489,1404.0,,,85.0,4183,,,798.0,2810,8178,2815,2815.0,,,4526,,1721.0,2007,7341,15519,0,8974,1.0,8973.0,-5958.0,-1455.0,-1049,512,407,919,16438,
11/01/2014,15169,326,326,0.0,546.0,546.0,0.0,6464.0,,,,,255.0,,,,255.0,7591,4561,8562.0,-4001.0,0.0,3017,2373.0,269.0,2104.0,644,7578,,2431,2431,,,,2171,2096.0,,,75.0,3812,0.0,,710.0,2506,8414,2769,2769.0,,,3860,,1320.0,1830,6629,15043,0,8972,1.0,8971.0,-5954.0,-2003.0,-895,120,6,126,15169,
01/31/2015,13185,250,250,0.0,429.0,429.0,0.0,4943.0,,,,,241.0,,,,241.0,5863,4449,8313.0,-3864.0,0.0,2873,2366.0,269.0,2097.0,507,7322,,1621,1621,0.0,0.0,0.0,689,614.0,62.0,62.0,13.0,3285,0.0,,1195.0,2467,5595,3087,2877.0,210.0,210.0,5448,0.0,2404.0,1849,8535,14130,0,9190,1.0,9189.0,-5949.0,-2162.0,-2030,-951,6,-945,13185,
05/02/2015,13269,286,286,0.0,474.0,474.0,0.0,5054.0,,,,,249.0,,,,249.0,6063,4351,,,0.0,2855,2363.0,269.0,2094.0,492,7206,,1685,1685,,,,787,714.0,,,73.0,3087,0.0,,1198.0,2283,5559,3080,3080.0,,,5812,,2329.0,2285,8892,14451,0,9186,1.0,9185.0,-5944.0,-2465.0,-1965,-1188,6,-1182,13269,
08/01/2015,13167,1819,1819,0.0,460.0,460.0,0.0,5028.0,,,,,270.0,,,,270.0,7577,2732,5829.0,-3097.0,0.0,2858,2360.0,269.0,2091.0,498,5590,,1704,1704,,,,76,6.0,,,70.0,3233,716.0,,961.0,2431,5013,3049,3049.0,,,6011,,2258.0,2076,9060,14073,0,9183,1.0,9182.0,-5939.0,-2257.0,-1899,-912,6,-906,13167,
10/31/2015,12756,294,294,0.0,475.0,475.0,0.0,6208.0,,,,,242.0,,,,242.0,7219,2668,5593.0,-2925.0,0.0,2869,2359.0,269.0,2090.0,510,5537,,2295,2295,,,,757,686.0,,,71.0,3044,703.0,,959.0,2251,6096,2111,2111.0,,,5842,,2133.0,2047,7953,14049,0,9179,1.0,9178.0,-5934.0,-2711.0,-1834,-1300,7,-1293,12756,
01/30/2016,11337,238,238,0.0,419.0,419.0,0.0,5172.0,,,,,216.0,0.0,,,216.0,6045,2631,5591.0,-2960.0,0.0,2661,2178.0,269.0,1909.0,483,5292,,1574,1574,0.0,0.0,0.0,868,797.0,58.0,58.0,13.0,2996,0.0,0.0,893.0,2209,5438,2108,1971.0,137.0,137.0,5747,0.0,2206.0,2648,7855,13293,0,9174,1.0,9173.0,-5928.0,-3291.0,-1918,-1963,7,-1956,11337,
04/30/2016,11175,286,286,0.0,437.0,437.0,0.0,5028.0,,,,,369.0,,,0.0,369.0,6120,2520,5519.0,-2999.0,0.0,2535,2176.0,269.0,1907.0,359,5055,,1337,1337,,,,446,380.0,,,66.0,2811,678.0,,892.0,2038,4594,3312,3312.0,,,5629,,2137.0,1922,8941,13535,0,9168,1.0,9167.0,-5919.0,-3762.0,-1854,-2367,7,-2360,11175,
07/30/2016,10614,276,276,0.0,390.0,390.0,0.0,4684.0,,,,,275.0,,,,275.0,5625,2465,5497.0,-3032.0,0.0,2524,2175.0,269.0,1906.0,349,4989,,1345,1345,,,,714,164.0,,,550.0,2894,686.0,,892.0,2119,4953,2837,2837.0,,,5517,,2072.0,1867,8354,13307,0,9158,1.0,9157.0,-5909.0,-4157.0,-1790,-2698,5,-2693,10614,
10/29/2016,10865,258,258,0.0,372.0,372.0,0.0,5032.0,,,,,304.0,,,,304.0,5966,2392,5278.0,-2886.0,0.0,2507,2173.0,269.0,1904.0,334,4899,,1556,1556,,,,1212,618.0,,,594.0,2962,669.0,,890.0,2203,5730,3087,3087.0,,,5423,,1997.0,1867,8510,14240,0,9154,1.0,9153.0,-5903.0,-4905.0,-1726,-3380,5,-3375,10865,
01/28/2017,9362,286,286,0.0,466.0,466.0,0.0,3959.0,,,,,285.0,0.0,,,285.0,4996,2240,5081.0,-2841.0,0.0,2126,1790.0,269.0,1521.0,336,4366,,1048,1048,0.0,0.0,0.0,590,0.0,42.0,42.0,548.0,3043,639.0,0.0,743.0,2295,4681,3573,3470.0,103.0,103.0,4932,0.0,1750.0,1800,8505,13186,0,9131,1.0,9130.0,-5891.0,-5512.0,-1552,-3824,0,-3824,9362,
04/29/2017,9087,236,236,0.0,479.0,479.0,0.0,3884.0,,,,,355.0,,,,355.0,4954,2130,4933.0,-2803.0,0.0,2003,1520.0,269.0,1251.0,483,4133,,961,961,,,,1135,551.0,,,584.0,2730,504.0,,647.0,2005,4826,3146,3146.0,,,4648,,1677.0,1820,7794,12620,0,9117,1.0,9116.0,-5875.0,-5274.0,-1501,-3533,0,-3533,9087,
07/29/2017,8351,212,212,0.0,370.0,370.0,0.0,3433.0,,,,,548.0,,,,548.0,4563,1969,4645.0,-2676.0,0.0,1819,1518.0,269.0,1249.0,301,3788,,670,670,,,,1598,546.0,,,1052.0,2692,455.0,,643.0,1988,4960,2405,2405.0,,,4637,,1731.0,1808,7042,12002,0,9103,1.0,9102.0,-5861.0,-5519.0,-1374,-3651,0,-3651,8351,
10/28/2017,8210,200,200,0.0,378.0,378.0,0.0,3452.0,,,,,518.0,0.0,,,518.0,4548,1855,4306.0,-2451.0,0.0,1807,1513.0,269.0,1244.0,294,3662,,772,772,,,,2371,1061.0,,,1310.0,2513,446.0,,634.0,1837,5656,2032,2032.0,,,4532,,1641.0,1811,6564,12220,0,9087,1.0,9086.0,-5844.0,-6080.0,-1173,-4010,0,-4010,8210,
02/03/2018,7273,182,182,0.0,343.0,343.0,0.0,2798.0,,,,,500.0,0.0,,,500.0,3823,1729,4110.0,-2381.0,0.0,1721,1437.0,269.0,1168.0,284,3450,,576,576,0.0,0.0,0.0,1883,915.0,22.0,22.0,946.0,2463,362.0,0.0,126.0,1822,4922,2249,2199.0,50.0,50.0,3828,0.0,1619.0,1721,6077,10999,0,9064,1.0,9063.0,-5820.0,-5898.0,-1072,-3726,0,-3726,7273,
05/05/2018,7283,186,186,0.0,345.0,345.0,0.0,2838.0,,,,,585.0,,,,585.0,3954,1626,3983.0,-2357.0,0.0,1703,1429.0,269.0,1160.0,274,3329,,494,494,,,,2136,1704.0,,,432.0,2291,329.0,,125.0,1675,4921,3043,3043.0,,,3432,,1329.0,1649,6475,11396,0,9012,1.0,9011.0,-5768.0,-6322.0,-1035,-4113,0,-4113,7283,
08/04/2018,6937,193,193,0.0,327.0,327.0,0.0,2714.0,,,,,634.0,,,,634.0,3868,1444,3720.0,-2276.0,0.0,1625,1359.0,269.0,1090.0,266,3069,,487,487,,,,1450,1254.0,,,196.0,2340,1158.0,,119.0,1688,4277,3504,3504.0,,,3558,,1164.0,1117,7062,11339,0,8961,1.0,8960.0,-5715.0,-6830.0,-818,-4402,0,-4402,6937,
11/03/2018,6677,526,526,0.0,354.0,354.0,0.0,2324.0,,,,,591.0,,,,591.0,3795,1495,1806.0,-311.0,0.0,1387,1130.0,269.0,861.0,257,2882,,102,102,,,,1447,934.0,,,513.0,1899,249.0,,83.0,1280,3448,1779,1779.0,,,6761,,137.0,6292,8540,11988,0,8920,1.0,8919.0,-5675.0,-7780.0,-776,-5311,0,-5311,6677,
