Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2016,12089,1582,464.0,3.0,467,-70.0,,275.0,262,9573,-6147.0,9233.0,6487.0,,-3298.0,-330,0.0,-330,-1759.0,13730.0,0.0,13730.0,0.0,-15489.0,0.0,-15489.0,0.0,-1219.0,-1219.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-6365.0,-355.0,-463.0,31.0,0.0,7445.0,-7939.0,-611.0,42.0,-653.0,-4898.0,-38.0,69.0,2495.0,218.0,469.0,
09/30/2016,-8443,1597,478.0,7.0,121,-45.0,,302.0,-136,-10646,-20176.0,4275.0,5255.0,,-2574.0,-296,0.0,-296,605.0,11135.0,0.0,11135.0,0.0,-10530.0,0.0,-10530.0,0.0,-2985.0,-2985.0,0.0,0.0,0.0,0.0,0.0,0.0,102,-2904.0,-520.0,-251.0,-149.0,0.0,6900.0,-7002.0,-1279.0,0.0,-1279.0,-850.0,-4.0,340.0,-13581.0,164.0,702.0,
12/31/2016,-2482,1666,379.0,6.0,1855,15.0,,342.0,1498,-6388,-3570.0,373.0,-3191.0,,-4520.0,-335,0.0,-335,-2514.0,7167.0,0.0,7167.0,0.0,-9681.0,0.0,-9681.0,0.0,-1895.0,-1895.0,0.0,0.0,0.0,0.0,0.0,0.0,224,12825.0,-435.0,10248.0,2844.0,0.0,16098.0,-8694.0,-1025.0,0.0,-1025.0,4020.0,17.0,-2484.0,3339.0,327.0,1050.0,
03/31/2017,90,1930,434.0,25.0,230,-2.0,,269.0,-37,-2529,-12838.0,16523.0,-6214.0,,-2168.0,-350,0.0,-350,-774.0,5675.0,0.0,5675.0,0.0,-6449.0,0.0,-6449.0,0.0,-1105.0,-1105.0,0.0,0.0,0.0,0.0,0.0,0.0,61,2722.0,-511.0,7094.0,199.0,0.0,18433.0,-11538.0,-167.0,994.0,-1161.0,-3754.0,60.0,877.0,1521.0,262.0,737.0,
06/30/2017,-14249,1757,455.0,0.0,205,,,249.0,-44,-16666,-5959.0,-16991.0,6284.0,,4863.0,-373,0.0,-373,9557.0,11526.0,0.0,11526.0,0.0,-1969.0,0.0,-1969.0,0.0,-4221.0,-4221.0,0.0,0.0,0.0,0.0,0.0,0.0,-100,4643.0,-443.0,12879.0,4073.0,0.0,15089.0,-6283.0,-548.0,0.0,-548.0,-7196.0,-49.0,692.0,-4051.0,470.0,1185.0,
09/30/2017,5610,1781,451.0,7.0,363,,,257.0,106,3008,-849.0,-7402.0,11259.0,,-11523.0,-454,0.0,-454,-7007.0,4288.0,0.0,4288.0,0.0,-11295.0,0.0,-11295.0,0.0,-4024.0,-4024.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,10168.0,-608.0,2451.0,-2872.0,0.0,12599.0,-7276.0,-1299.0,0.0,-1299.0,9726.0,-102.0,1837.0,6092.0,235.0,1500.0,
12/31/2017,1608,686,413.0,-3.0,3190,-8.0,,208.0,2990,-2678,-8989.0,6844.0,-533.0,,-3563.0,-452,0.0,-452,-162.0,4087.0,0.0,4087.0,0.0,-4249.0,0.0,-4249.0,0.0,-2775.0,-2775.0,0.0,0.0,0.0,0.0,0.0,0.0,-174,-1272.0,-523.0,-4300.0,-3037.0,0.0,10082.0,-11345.0,-1284.0,0.0,-1284.0,4797.0,38.0,1452.0,-1775.0,-478.0,2588.0,
03/31/2018,12648,2668,390.0,26.0,320,0.0,,321.0,-1,9244,33832.0,-11861.0,-12727.0,,-6922.0,-410,0.0,-410,-2547.0,2935.0,0.0,2935.0,0.0,-5482.0,0.0,-5482.0,0.0,-3801.0,-3801.0,0.0,0.0,0.0,0.0,0.0,0.0,-164,363.0,-599.0,1892.0,-2101.0,0.0,15370.0,-11377.0,-1868.0,0.0,-1868.0,988.0,-50.0,860.0,6949.0,250.0,1407.0,
06/30/2018,-12729,2437,517.0,-55.0,290,,,205.0,85,-15918,5274.0,-18249.0,-2943.0,0.0,-2381.0,-498,0.0,-498,-1141.0,5765.0,0.0,5765.0,0.0,-6906.0,0.0,-6906.0,0.0,-759.0,-759.0,0.0,0.0,0.0,0.0,0.0,0.0,17,11463.0,-516.0,1086.0,-174.0,0.0,12864.0,-11604.0,-1305.0,0.0,-1305.0,12378.0,-180.0,-2108.0,-5755.0,540.0,2527.0,
09/30/2018,14565,2112,468.0,2.0,214,,,217.0,-3,11769,-29067.0,9872.0,30964.0,0.0,-4763.0,-453,0.0,-453,-1075.0,3373.0,0.0,3373.0,0.0,-4448.0,0.0,-4448.0,0.0,-3137.0,-3137.0,0.0,0.0,0.0,0.0,0.0,0.0,-98,1536.0,-673.0,1146.0,401.0,0.0,5999.0,-5254.0,-1207.0,0.0,-1207.0,2383.0,-113.0,-446.0,10892.0,219.0,2884.0,
12/31/2018,-7179,1531,469.0,12.0,879,,,177.0,702,-10070,13693.0,26251.0,-50014.0,0.0,-8815.0,-504,0.0,-504,-7161.0,3803.0,0.0,3803.0,0.0,-10964.0,0.0,-10964.0,0.0,-1097.0,-1097.0,,,0.0,0.0,0.0,0.0,-53,10843.0,-587.0,-72.0,648.0,0.0,5826.0,-6546.0,-1186.0,0.0,-1186.0,12635.0,53.0,-134.0,-5285.0,368.0,3159.0,
03/31/2019,17041,2429,658.0,36.0,240,,,293.0,-53,13678,23977.0,-21978.0,11679.0,0.0,-7227.0,-529,0.0,-529,-5357.0,10538.0,0.0,10538.0,0.0,-15895.0,0.0,-15895.0,0.0,-1329.0,-1329.0,0.0,0.0,0.0,0.0,0.0,0.0,-12,-15864.0,-663.0,-5411.0,-1575.0,0.0,8091.0,-11927.0,-1645.0,0.0,-1645.0,-8089.0,-56.0,-464.0,-6514.0,245.0,2896.0,
06/30/2019,10531,2201,675.0,18.0,315,,,299.0,16,7322,-21356.0,3128.0,25550.0,0.0,-10595.0,-479,0.0,-479,-5795.0,4371.0,0.0,4371.0,0.0,-10166.0,0.0,-10166.0,0.0,-3557.0,-3557.0,0.0,0.0,0.0,0.0,0.0,0.0,-764,-1397.0,-749.0,3804.0,1789.0,0.0,8601.0,-6586.0,-1264.0,0.0,-1264.0,-3138.0,-50.0,359.0,-1102.0,870.0,3415.0,
09/30/2019,13337,2173,654.0,50.0,285,,,233.0,52,10175,14415.0,545.0,-4785.0,0.0,-7899.0,-452,0.0,-452,-2182.0,6835.0,0.0,6835.0,0.0,-9017.0,0.0,-9017.0,0.0,-5193.0,-5193.0,0.0,0.0,0.0,0.0,0.0,0.0,-72,-3919.0,-670.0,-5674.0,-801.0,0.0,7005.0,-11878.0,-1538.0,0.0,-1538.0,4143.0,-180.0,-1443.0,76.0,488.0,3449.0,
12/31/2019,-136,2239,656.0,58.0,478,,,328.0,150,-3567,-30704.0,24667.0,2470.0,0.0,-7840.0,-366,0.0,-366,-89.0,7419.0,0.0,7419.0,0.0,-7508.0,0.0,-7508.0,0.0,-7280.0,-7280.0,0.0,0.0,0.0,0.0,0.0,0.0,-105,9214.0,-545.0,1033.0,4282.0,0.0,6908.0,-10157.0,-1010.0,497.0,-1507.0,9597.0,139.0,1277.0,2515.0,305.0,2751.0,
03/31/2020,23836,1698,824.0,407.0,1280,,,154.0,1126,19627,35079.0,37374.0,-52826.0,0.0,-21108.0,-354,0.0,-354,-7418.0,5506.0,0.0,5506.0,0.0,-12924.0,0.0,-12924.0,0.0,-13243.0,-13243.0,0.0,0.0,0.0,0.0,0.0,0.0,-93,47954.0,-688.0,5893.0,259.0,0.0,20601.0,-14967.0,-1782.0,0.0,-1782.0,44694.0,-163.0,-1344.0,49338.0,342.0,2123.0,
06/30/2020,-16810,3196,686.0,239.0,-11,,,394.0,-405,-20920,-17540.0,-35672.0,32292.0,0.0,-12510.0,-428,,-428,-16580.0,3691.0,0.0,3691.0,0.0,-20271.0,0.0,-20271.0,0.0,4543.0,4543.0,,,0.0,0.0,0.0,0.0,-45,3645.0,-640.0,2721.0,73.0,0.0,12313.0,-9665.0,-28.0,0.0,-28.0,1593.0,-1.0,442.0,-25233.0,337.0,619.0,
