Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2018,1016.16,1184.444,-168.284,-408.501,408.501,607.659,0.0,-268.086,,268.086,339.573,2.988,,,-3.4,,0.412,342.561,-74.828,267.733,0.0,0.0,0.0,267.733,0.0,267.733,0.0,0.0,267.733,312.17919,44.44619,552.694,0.48,0.48,0.564832,559.955,0.48,0.48,0.559375,
12/31/2018,924.229,1063.187,-138.958,-372.028,372.028,552.201,0.0,-245.691,,245.691,306.51,4.384,,,-4.7,,0.316,310.894,-71.789,239.105,0.0,0.0,0.0,239.105,0.0,239.105,0.0,0.0,239.105,239.00309,-0.10191,550.324,0.43,0.43,0.434295,556.666,0.43,0.43,0.429817,
03/31/2019,945.991,1090.426,-144.435,-372.459,372.459,573.532,0.0,-262.071,,262.071,311.461,2.742,,,-3.3,0.2,0.358,314.203,-52.718,261.485,0.0,0.0,0.0,261.485,0.0,261.485,0.0,0.0,261.485,269.84715,8.36215,542.768,0.48,0.48,0.497168,548.273,0.48,0.48,0.495252,
06/30/2019,1104.045,1286.436,-182.391,-442.762,442.762,661.283,0.0,-282.293,,282.293,378.99,2.973,,,-4.1,,1.127,381.963,-89.49,292.473,0.0,0.0,0.0,292.473,0.0,292.473,0.0,0.0,292.473,293.80336,1.33036,544.156,0.54,0.54,0.539925,548.299,0.53,0.53,0.532426,
09/30/2019,1133.577,1318.267,-184.69,-460.575,460.575,673.002,0.0,-277.559,,277.559,395.443,3.121,,,-6.1,,2.979,398.564,-99.641,298.923,0.0,0.0,0.0,298.923,0.0,298.923,0.0,0.0,298.923,299.00832,0.08532,544.469,0.55,0.55,0.549174,548.422,0.55,0.55,0.549174,
12/31/2019,1017.206,1172.57,-155.364,-406.438,406.438,610.768,0.0,-293.722,,293.722,317.046,4.188,,,-4.3,,0.112,321.234,-66.28,254.954,0.0,0.0,0.0,254.954,0.0,254.954,0.0,0.0,254.954,254.99745,0.04345,537.403,0.47,0.47,0.474499,541.245,0.47,0.47,0.47008,
03/31/2020,1062.097,1236.06,-173.963,-424.901,424.901,637.196,0.0,-272.208,,272.208,364.988,0.872,,,-4.5,2.9,0.728,365.86,-87.025,278.835,0.0,0.0,0.0,278.835,0.0,278.835,0.0,0.0,278.835,281.19078,2.35578,536.061,0.52,0.52,0.52455,540.518,0.52,0.52,0.524358,
06/30/2020,1093.896,1274.277,-180.381,-434.427,434.427,659.469,0.0,-252.205,,252.205,407.264,-1.796,,,-0.9,1.5,1.196,405.468,-94.099,311.369,0.0,0.0,0.0,311.369,0.0,311.369,0.0,0.0,311.369,312.22141,0.85241,526.911,0.59,0.59,0.592551,531.191,0.59,0.59,0.591605,
09/30/2020,1235.077,,,,,735.21663656,,,,,432.545,,,,,,,434.0,,346.143,,,,,,346.143,,,346.143,334.167,,,0.628,0.628,0.63,,0.628,0.628,0.63,
12/31/2020,1097.615,,,,,660.07273255,,,,,356.364,,,,,,,357.909,,278.429,,,,,,278.429,,,278.429,275.5,,,0.524,0.524,0.529,,0.524,0.524,0.529,
