Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2018,1891.0,1891.0,-1109.0,786.0,67.0,782.0,0.0,-312.0,239.0,6.0,470.0,-111.0,112.0,112.0,0.0,,-1.0,359.0,-89.0,,270.0,0.0,0.0,0.0,270.0,0.0,270.0,0.0,0.0,270.0,286.0,16.0,83.456,3.22,3.22,3.426956,84.199,3.2,3.2,3.390026,
09/30/2018,2116.0,2116.0,-1178.0,835.0,75.0,938.0,0.0,-360.0,265.0,20.0,578.0,-118.0,118.0,118.0,0.0,,0.0,460.0,-127.0,,333.0,0.0,0.0,0.0,333.0,0.0,333.0,0.0,0.0,333.0,357.0,24.0,82.344,4.05,4.05,4.335471,83.172,4.01,4.01,4.298559,
12/31/2018,2306.0,2306.0,-1308.0,933.0,95.0,998.0,0.0,-435.0,302.0,38.0,563.0,-138.0,142.0,142.0,0.0,0.0,-4.0,425.0,-115.0,,310.0,0.0,0.0,0.0,310.0,0.0,310.0,0.0,0.0,310.0,348.0,38.0,80.6,3.846154,3.846154,4.317618,81.5,3.8,3.8,4.266258,
03/31/2019,2117.0,2117.0,-1356.0,961.0,104.0,761.0,0.0,-393.0,280.0,9.0,368.0,-148.0,151.0,151.0,0.0,,-3.0,220.0,-45.0,,175.0,0.0,0.0,0.0,175.0,0.0,175.0,0.0,0.0,175.0,195.47,20.47,79.401,2.21,2.21,2.461808,80.047,2.19,2.19,2.445725,
06/30/2019,2290.0,2290.0,-1379.0,980.0,105.0,911.0,0.0,-382.0,271.0,6.0,529.0,-178.0,180.0,180.0,0.0,,-2.0,351.0,-81.0,,270.0,0.0,0.0,0.0,270.0,0.0,270.0,0.0,0.0,270.0,310.05,40.05,78.3,3.45,3.45,3.95977,78.5,3.44,3.44,3.950191,
09/30/2019,2488.0,2488.0,-1455.0,1038.0,102.0,1033.0,0.0,-377.0,273.0,2.0,656.0,-146.0,147.0,147.0,0.0,,-1.0,510.0,-119.0,,391.0,0.0,0.0,0.0,391.0,0.0,391.0,0.0,0.0,391.0,406.0,15.0,76.699,5.1,5.1,5.29342,76.857,5.08,5.08,5.275168,
12/31/2019,2456.0,2456.0,-1491.0,1071.0,96.0,965.0,0.0,-366.0,268.0,2.0,599.0,-166.0,170.0,170.0,0.0,,-4.0,433.0,-95.0,,338.0,0.0,0.0,0.0,338.0,0.0,338.0,0.0,0.0,338.0,368.372,30.372,75.1,4.49,4.49,4.905087,75.4,4.49,4.49,4.892812,
03/31/2020,2125.0,2125.0,-1398.0,972.0,100.0,727.0,0.0,-369.0,267.0,2.0,358.0,-132.0,136.0,136.0,0.0,,-4.0,226.0,-53.0,,173.0,0.0,0.0,0.0,173.0,0.0,173.0,0.0,0.0,173.0,197.26,24.26,74.0,2.33,2.33,2.665676,74.3,2.33,2.33,2.656514,
06/30/2020,1939.0,1939.0,-1238.0,843.0,95.0,701.0,0.0,-320.0,222.0,3.0,381.0,-130.0,130.0,130.0,0.0,,0.0,251.0,-39.0,,212.0,0.0,0.0,0.0,212.0,0.0,212.0,0.0,0.0,212.0,218.47,6.47,72.2,2.94,2.94,3.0259,72.3,2.93,2.93,3.019488,
09/30/2020,2148.273,,,,,817.8475311,,,,,448.167,,,,,,,320.167,,,234.5,,,,,,234.5,,,234.5,301.833,,,3.313,3.313,4.21,,3.313,3.313,4.21,
12/31/2020,2152.0,,,,,795.14248,,,,,443.286,,,,,,,327.875,,,247.833,,,,,,247.833,,,247.833,276.667,,,3.215,3.215,3.947,,3.215,3.215,3.947,
