Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2016,476.473,476.473,-311.074,311.074,165.399,0.0,-193.808,148.759,95.82,52.939,37.589,7.46,0.0,-28.409,-3.715,,,1.1,2.615,-32.124,2.282,-29.842,0.0,0.0,0.0,-29.842,0.0,-29.842,0.0,0.0,-29.842,-122.46245,-92.62045,90.428,-0.33,-0.33,-1.354254,90.428,-0.33,-0.33,-1.354254,
03/31/2017,571.556,571.556,-314.9,314.9,256.656,0.0,-145.153,100.354,38.312,62.042,36.421,8.378,0.0,111.503,-0.392,,,,0.392,111.111,-11.831,99.28,0.0,0.0,0.0,99.28,0.0,99.28,0.0,-1.37,97.91,129.48895,31.57895,100.49,0.97,0.97,1.288575,115.839,0.89,0.89,1.162611,
06/30/2017,418.216,418.216,-194.569,194.569,223.647,0.0,-173.428,112.817,52.214,60.603,42.269,7.743,10.599,50.219,-2.808,,,1.1,1.708,47.411,12.865,60.276,0.0,0.0,0.0,60.276,0.0,60.276,0.0,-1.11,59.166,85.0477,25.8817,105.494,0.57,0.57,0.806185,117.753,0.56,0.56,0.779797,
09/30/2017,443.562,443.562,-246.548,246.548,197.014,0.0,-208.333,137.738,76.914,60.824,49.999,18.883,1.713,-11.319,-2.969,,,0.6,2.369,-14.288,11.552,-2.736,0.0,0.0,0.0,-2.736,0.0,-2.736,0.0,0.0,-2.736,-68.0909,-65.3549,109.43,-0.03,-0.03,-0.622232,109.43,-0.03,-0.03,-0.62723,
12/31/2017,480.84,480.84,-267.983,267.983,212.857,0.0,-204.005,145.464,79.513,65.951,49.977,7.864,0.7,8.852,3.374,,,0.4,-3.774,12.226,12.914,25.14,0.0,0.0,0.0,25.14,0.0,25.14,0.0,-0.121,25.019,-51.1339,-76.1529,113.991,0.22,0.22,-0.448578,117.639,0.21,0.21,-0.448578,
03/31/2018,450.274,450.274,-189.211,189.211,261.063,0.0,-173.238,107.901,47.451,60.45,54.128,9.479,1.73,87.825,3.451,,,0.0,-3.451,91.276,-0.423,90.853,0.0,0.0,0.0,90.853,0.0,90.853,0.0,-0.16,90.693,103.24136,12.54836,113.33,0.8,0.8,0.91098,118.675,0.77,0.77,0.875737,
06/30/2018,387.982,387.982,-131.365,131.365,256.617,0.0,-185.771,126.041,58.306,67.735,50.712,9.26,-0.242,70.846,6.601,,,1.5,-8.101,77.447,-5.754,71.693,0.0,0.0,0.0,71.693,0.0,71.693,0.0,0.0,71.693,143.73705,72.04405,112.941,0.63,0.63,1.272674,115.985,0.62,0.62,1.24115,
09/30/2018,492.667,492.667,-234.88,234.88,257.787,0.0,-231.801,161.485,94.165,67.32,60.565,9.751,0.0,25.986,4.975,,,0.9,-5.875,30.961,-5.594,25.367,0.0,0.0,0.0,25.367,0.0,25.367,0.0,0.0,25.367,-41.88728,-67.25428,113.735,0.22,0.22,-0.368288,116.095,0.22,0.22,-0.368288,
12/31/2018,1248.738,1248.738,-898.484,898.484,350.254,0.0,-298.475,231.96,161.322,70.638,62.305,10.14,-5.93,51.779,8.071,,,-2.2,-5.871,59.85,120.098,179.948,0.0,0.0,0.0,179.948,0.0,179.948,0.0,0.0,179.948,-2.79638,-182.74438,113.433,1.59,1.59,-0.024652,114.737,1.57,1.57,-0.024652,
03/31/2019,539.007,539.007,-258.915,258.915,280.092,0.0,-222.031,153.148,77.607,75.541,56.588,11.081,1.214,58.061,6.466,,,0.0,-6.466,64.527,-7.698,56.829,0.0,0.0,0.0,56.829,0.0,56.829,0.0,0.0,56.829,83.85016,27.02116,112.614,0.5,0.5,0.74458,113.939,0.5,0.5,0.737155,
06/30/2019,540.459,540.459,-241.469,241.469,298.99,0.0,-247.26,166.654,91.821,74.833,68.963,11.257,0.386,51.73,10.425,,,1.0,-11.425,62.155,-15.875,46.28,0.0,0.0,0.0,46.28,0.0,46.28,0.0,0.0,46.28,116.85465,70.57465,112.621,0.41,0.41,1.037592,113.728,0.41,0.41,1.030557,
09/30/2019,857.841,857.841,-468.248,468.248,389.593,0.0,-314.773,226.225,149.566,76.659,76.197,12.024,0.327,74.82,8.054,,,2.7,-10.754,82.874,-11.059,71.815,0.0,0.0,0.0,71.815,0.0,71.815,0.0,0.0,71.815,-22.38381,-94.19881,113.117,0.63,0.63,-0.197882,114.077,0.63,0.63,-0.197882,
12/31/2019,930.129,930.129,-437.093,437.093,493.036,0.0,-316.203,221.599,137.068,84.531,82.52,12.33,-0.246,176.833,11.943,,,1.0,-12.943,188.776,-25.134,163.642,0.0,0.0,0.0,163.642,0.0,163.642,0.0,0.0,163.642,188.70396,25.06196,113.251,1.44,1.44,1.666245,114.254,1.43,1.43,1.649353,
03/31/2020,760.541,760.541,-395.64,395.64,364.901,0.0,-243.017,162.181,79.969,82.212,68.718,12.502,-0.384,121.884,2.75,,,1.889,-4.639,124.634,-1.912,122.722,0.0,0.0,0.0,122.722,0.0,122.722,0.0,0.0,122.722,134.82875,12.10675,113.394,1.08,1.08,1.189029,114.4,1.07,1.07,1.175828,
06/30/2020,831.31,831.31,-476.689,476.689,354.621,0.0,-272.478,186.952,84.779,102.173,73.108,12.418,0.0,82.143,8.218,,,,-8.218,90.361,-1.856,88.505,0.0,0.0,0.0,88.505,0.0,88.505,0.0,0.0,88.505,-42.76298,-131.26798,113.862,0.78,0.78,-0.375568,114.956,0.77,0.77,-0.375568,
09/30/2020,850.842,,,,472.16625948,,,,,,,,,187.8,,,,,,189.615,,113.488,,,,,,113.488,,,113.488,162.313,,,1.015,1.015,1.447,,1.015,1.015,1.447,
12/31/2020,654.105,,,,374.69096715,,,,,,,,,95.82,,,,,,98.262,,115.863,,,,,,115.863,,,115.863,77.056,,,0.966,0.966,0.651,,0.966,0.966,0.651,
