Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
06/30/2016,762.0,491.0,234.0,-20.0,,-61.0,41.0,57.0,,57.0,0.0,-45.0,-135.0,0.0,0.0,0.0,-135.0,-135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,-722.0,-265.0,-266.0,,,,-174.0,21.0,-195.0,-17.0,-5.0,-10.0,
09/30/2016,798.0,523.0,233.0,-7.0,,-31.0,24.0,49.0,,49.0,0.0,-167.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,-460.0,-259.0,56.0,,482.0,-426.0,-252.0,20.0,-272.0,-5.0,0.0,171.0,
12/31/2016,639.0,504.0,229.0,-150.0,,22.0,-172.0,56.0,,56.0,0.0,-158.0,-151.0,0.0,,,-151.0,-151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-396.0,-257.0,11.0,,,,-147.0,16.0,-163.0,-3.0,-36.0,49.0,
03/31/2017,463.0,434.0,225.0,-30.0,,-37.0,7.0,-166.0,,-166.0,0.0,-229.0,-116.0,0.0,0.0,0.0,-116.0,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.0,-563.0,-263.0,-60.0,,,,-217.0,38.0,-255.0,-23.0,8.0,-321.0,
06/30/2017,574.0,516.0,228.0,45.0,,-68.0,113.0,-215.0,,-215.0,0.0,-357.0,-130.0,0.0,0.0,0.0,-130.0,-130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.0,-126.0,-274.0,349.0,,,,-199.0,11.0,-210.0,-2.0,-1.0,90.0,
09/30/2017,750.0,1401.0,232.0,-1112.0,,-73.0,-1039.0,229.0,,229.0,0.0,151.0,-105.0,0.0,0.0,0.0,-105.0,-105.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,0.0,-344.0,-426.0,-266.0,158.0,,,,-314.0,10.0,-324.0,-4.0,4.0,479.0,
12/31/2017,879.0,634.0,229.0,55.0,,-28.0,83.0,-39.0,,-39.0,0.0,218.0,-169.0,0.0,0.0,0.0,-169.0,-169.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,380.0,-1327.0,-265.0,-1001.0,,,,-54.0,7.0,-61.0,-7.0,0.0,-230.0,
03/31/2018,339.0,488.0,230.0,80.0,,-12.0,92.0,-459.0,,-459.0,0.0,-137.0,-131.0,0.0,0.0,0.0,-131.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-443.0,-284.0,146.0,,,,-281.0,19.0,-300.0,-24.0,-3.0,-244.0,
06/30/2018,499.0,610.0,227.0,-315.0,,-97.0,-218.0,-23.0,,-23.0,0.0,100.0,-149.0,0.0,0.0,0.0,-149.0,-149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,-725.0,-294.0,-132.0,,,,-298.0,2.0,-300.0,-1.0,65.0,-61.0,
09/30/2018,1000.0,416.0,223.0,-183.0,,-102.0,-81.0,544.0,,544.0,0.0,-219.0,-131.0,0.0,0.0,0.0,-131.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,-700.0,-286.0,-420.0,,,,7.0,7.0,0.0,-1.0,-10.0,71.0,
12/31/2018,820.0,631.0,223.0,163.0,,96.0,67.0,-197.0,,-197.0,0.0,-142.0,-154.0,0.0,0.0,0.0,-154.0,-154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-713.0,-285.0,242.0,,,,-670.0,1.0,-671.0,0.0,-9.0,-44.0,
03/31/2019,551.0,522.0,221.0,114.0,,-3.0,117.0,-306.0,,-306.0,0.0,-68.0,-149.0,0.0,0.0,0.0,-149.0,-149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,-471.0,-302.0,27.0,,,,-160.0,20.0,-180.0,-36.0,8.0,20.0,
06/30/2019,1431.0,1158.0,442.0,164.0,,7.0,157.0,-333.0,,-333.0,0.0,-710.0,-298.0,0.0,0.0,0.0,-298.0,-298.0,0.0,0.0,0.0,0.0,-243.0,0.0,-243.0,0.0,-169.0,-599.0,-609.0,475.0,,,,-415.0,25.0,-440.0,-50.0,7.0,129.0,
09/30/2019,2514.0,1759.0,668.0,81.0,,-71.0,152.0,6.0,,6.0,0.0,-832.0,-441.0,0.0,0.0,0.0,-441.0,-441.0,0.0,0.0,0.0,0.0,-277.0,0.0,-277.0,0.0,-114.0,-1423.0,-907.0,0.0,0.0,0.0,0.0,-938.0,40.0,-978.0,-53.0,7.0,266.0,
12/31/2019,937.0,452.0,216.0,211.0,,0.0,211.0,58.0,,58.0,0.0,-1034.0,-146.0,0.0,0.0,0.0,-146.0,-146.0,0.0,0.0,0.0,0.0,-939.0,0.0,-939.0,0.0,51.0,-71.0,-294.0,250.0,,,,-25.0,26.0,-51.0,-2.0,-11.0,-179.0,
03/31/2020,323.0,438.0,199.0,-68.0,,-16.0,-52.0,-246.0,,-246.0,0.0,1100.0,-112.0,0.0,0.0,0.0,-112.0,-112.0,0.0,0.0,0.0,0.0,1207.0,1402.0,-195.0,0.0,5.0,-1530.0,-291.0,79.0,,,,-1286.0,14.0,-1300.0,-32.0,-24.0,-131.0,
06/30/2020,757.0,51.0,198.0,167.0,,48.0,119.0,341.0,,341.0,0.0,-200.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,-116.0,-504.0,-301.0,-200.0,,,,3.0,3.0,0.0,-6.0,0.0,53.0,
