Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
12/31/2005,,12.247564,4.541718,4.873879,,,109.366419,42.518062,43.592505,25.624965,24.984277,10.879425,,,300.201793,-24.519842,
03/31/2006,,9.102641,3.337892,3.613527,,,,44.776224,51.847394,25.510588,24.947198,18.027984,,0.875261,184.8194,-7.720805,
06/30/2006,,9.689363,3.458222,3.748495,,,,42.023097,,41.257598,41.65278,34.356468,,,103.683384,-0.356896,
09/30/2006,,9.278354,3.465701,3.759017,,,,42.621524,13.942896,30.522142,32.343975,25.242019,,,149.033079,-4.549462,
12/31/2006,,10.835332,3.607048,3.88891,,,,43.820265,,27.73082,31.910184,24.810052,,0.327487,169.801857,-7.563263,
03/31/2007,,9.103474,3.020613,3.276413,,,65.911114,42.127873,15.353013,28.586364,28.549385,22.252962,,,191.81594,-8.35844,
06/30/2007,,11.000431,3.932821,4.326199,,,,45.115687,54.383601,47.11725,50.549577,44.199791,,,86.554584,1.479054,
09/30/2007,,10.822033,3.706612,4.109901,,,,41.894734,38.115511,19.81887,18.692965,14.129313,,1.041554,245.771732,-15.775465,
12/31/2007,,10.631054,3.393415,3.772432,,,,41.53771,30.79625,20.877964,18.166805,13.680613,,1.330257,215.633959,-12.293109,
03/31/2008,,8.004572,2.573053,2.825287,,,64.671998,41.180706,29.012961,17.626728,17.01003,12.534308,,2.431248,288.101381,-15.05671,
06/30/2008,,4.658431,1.787887,1.960998,4.786909,,38.440669,38.250222,-96.983271,16.447623,16.467835,11.72148,,0.774984,342.874802,-11.314155,
09/30/2008,,4.549736,1.701099,1.867943,4.507587,,63.652517,36.715875,-174.755382,16.338957,15.817105,11.075563,,,340.621214,-10.94763,
12/31/2008,,-4.937144,-0.794366,-0.951406,2.970573,,92.690014,32.990578,-151.263071,-90.21476,-84.203036,-89.03914,,,,,
03/31/2009,,-2.888694,-0.27267,-0.466783,2.529272,,57.590073,28.887733,-130.974323,35.984706,42.087294,36.998835,,,7.310559,-2.677514,
06/30/2009,,-14.695014,-3.212553,-3.952892,0.506677,,10.273654,-18.322733,-482.315764,-71.357532,-114.740525,-120.091555,,,,,
09/30/2009,,-21.696465,-5.18795,-6.069555,-1.030184,,22.55203,-1.944784,-315.318334,-71.030081,-70.436324,-75.835833,,,,,
12/31/2009,,-17.767263,-4.08778,-4.786944,-1.17453,,26.265256,-8.088795,-594.056882,-33.224959,-39.075707,-44.265403,,,,,
03/31/2010,,-20.894731,-5.430997,-6.175296,-1.582,,57.514186,30.216543,,-9.833722,-11.995686,-17.223484,,,,,
06/30/2010,,-15.914815,-3.929997,-4.660068,-0.968882,,20.036623,-6.443032,,-27.842319,-44.036114,-49.410987,,,,,
09/30/2010,,-10.041105,-2.503001,-3.183173,0.044379,,56.539649,30.332864,,-6.452599,-7.414815,-12.890172,,,,,
12/31/2010,,-10.378119,-2.585513,-3.182362,0.019927,,52.31213,17.369662,,-46.926982,-43.537098,-48.999266,,,,,
03/31/2011,,-7.205753,-1.864385,-2.388612,0.194614,,51.126795,23.498083,-161.227181,19.412704,18.365744,12.869856,,0.865847,38.359897,-4.441633,
06/30/2011,,-4.562416,-0.974718,-1.02481,1.445278,,57.009191,29.213165,,7.439308,-7.159518,-14.374672,,2.741642,3597.363934,159.564298,
09/30/2011,,-5.571626,-1.360261,-1.460623,0.982931,,35.170585,6.610687,-782.443654,-19.731574,-22.977588,-26.701445,,,,,
12/31/2011,,-2.065965,-0.208092,-0.265364,1.061155,,59.481297,21.553468,,-7.69182,2.749304,-0.929989,,,,,
03/31/2012,,-3.785421,-0.871739,-0.946565,1.107587,,58.649205,27.807686,,0.445473,-7.900453,-11.556059,,17.251462,,,
06/30/2012,,-4.213255,-1.184724,-1.271886,0.258871,,39.252415,6.387721,,-4.463171,-19.665013,-23.31851,,,,,
09/30/2012,,-1.963272,-0.265071,-0.270074,0.874418,,48.501853,17.47999,217.121539,15.420449,13.553531,6.717965,,0.857124,215.777249,2.273023,
12/31/2012,,-2.149569,-0.332658,-0.340743,2.135127,,59.378545,23.595561,52.467707,2.337361,-0.001973,-3.469297,,6.785995,,,
03/31/2013,,-1.401839,-0.057685,-0.053165,2.228386,,61.149136,28.244145,36.799342,5.842032,3.14667,-0.362943,,2.992622,954.786878,11.982734,
06/30/2013,,-1.069619,0.123741,0.136597,2.108651,,58.449687,22.997111,209.243796,0.001444,-11.224362,-17.349061,,99.82415,,,
09/30/2013,,-1.741957,-0.213431,-0.215046,2.119851,,58.00969,23.293605,149.008002,1.479167,-0.181686,-3.383236,,11.686433,,,
12/31/2013,,-1.329123,-0.114655,-0.110976,1.675245,,64.052274,16.299168,,3.056739,3.098423,0.258703,,3.039804,17978.171642,237.622909,
03/31/2014,,-2.062702,-0.375786,-0.407409,1.221495,,60.015651,14.760343,,-8.856703,-6.889927,-9.626023,,,,,
06/30/2014,,1.20021,0.743348,0.775897,1.742357,,59.593042,18.31722,,28.73492,31.406792,28.018096,,0.914634,92.126674,0.094496,
09/30/2014,,3.375963,1.504582,1.553337,1.881026,,64.190663,22.70669,19.596971,3.632288,27.961933,25.681971,,,1023.865515,-31.189354,
12/31/2014,,2.617525,1.220904,1.245767,1.454464,,48.931633,5.442615,,-13.237607,-4.304848,-6.555438,,,,,
03/31/2015,,-4.12113,-1.170304,-1.244468,-1.015888,,-44.487975,-84.288998,,-93.852603,-94.189897,-96.351203,,,,,
06/30/2015,,-5.805453,-1.769497,-1.887776,-0.742424,,63.820957,25.231324,134.731401,7.401981,7.227492,5.053571,,2.920489,479.014149,22.003487,
09/30/2015,,-6.053488,-1.877774,-1.975359,-0.628516,,64.631808,26.848154,113.106961,23.265211,23.160985,20.985475,,0.874882,115.761383,0.954113,
12/31/2015,,-2.897708,-0.775312,-0.798399,-0.20131,,63.496126,21.888614,,38.021336,37.912627,35.643532,,0.30313,71.201008,-0.834511,
03/31/2016,,6.288002,2.393731,2.538827,3.101197,,64.265023,26.178058,,18.03021,17.912296,15.713595,,0.988539,173.796243,-4.640309,
06/30/2016,,7.099942,2.65584,2.823743,3.137912,,64.883161,26.915798,,16.076418,15.955946,13.782008,,0.588758,195.936725,-6.811451,
09/30/2016,,3.244357,1.339603,1.430001,1.92676,,24.41647,-13.192277,-3074.002999,-23.670607,-23.782506,-25.986604,,,,,
12/31/2016,,1.293845,0.693997,0.748933,1.92192,,60.81329,17.970177,-85.231862,14.659212,14.533011,12.123548,,1.958864,247.404697,-1.907188,
03/31/2017,,-2.126069,-0.467473,-0.48021,0.325833,,49.935738,12.133715,-267.326096,-22.472247,-22.560841,-24.887593,,,,,
06/30/2017,,-2.577784,-0.599697,-0.620709,-0.194131,,50.570523,12.348266,-189.71799,12.650146,12.5371,9.827806,,1.558433,301.184732,5.186108,
09/30/2017,,-0.569322,0.123386,0.14385,0.364083,,59.385993,21.918531,,0.54128,0.432232,-3.253834,,88.273957,,,
12/31/2017,,-10.650658,-3.145386,-3.356617,-3.255577,,-70.797204,-108.916498,-1186.783075,-105.147733,-104.10921,-108.111941,,,,,
03/31/2018,,-10.901559,-3.220561,-3.431729,-2.369857,,49.276973,14.672104,,-25.060446,-25.179478,-29.077315,,,,,
06/30/2018,,-12.607825,-3.666745,-3.906041,-2.291048,,52.67592,18.417519,,-1.244823,-1.573876,-5.53717,,,,,
09/30/2018,,-15.510939,-4.640011,-4.93553,-2.769124,,48.254971,13.813109,-35.934669,-6.032132,-6.197994,-12.01499,,,,,
12/31/2018,,4.137196,2.011778,2.169344,1.382098,,53.88636,16.362798,,149.253842,148.858744,141.958531,,0.138233,21.368633,3.253134,
03/31/2019,,9.069795,3.707025,3.95152,1.788859,,60.834058,28.314329,,27.548809,27.316023,20.917861,,0.747931,132.272777,-2.927075,
06/30/2019,,10.457366,4.148249,4.450477,1.824859,,61.171953,28.855018,-2.210985,13.630817,13.428729,6.912955,,1.714958,406.006296,-32.0002,
09/30/2019,,15.320098,5.907004,6.282019,2.653905,,59.295654,24.713324,,19.507039,19.28586,12.444807,,1.031056,238.07319,-21.152948,
12/31/2019,,4.08826,2.426496,2.601922,3.129869,,59.147345,20.564978,,21.729641,21.47023,8.716187,,,390.722496,-11.885493,
03/31/2020,,3.987306,2.318439,2.468339,3.784301,,63.256515,30.008507,,26.779058,26.550924,22.581394,,0.668369,133.267123,-1.326462,
06/30/2020,,2.83941,1.888644,2.028197,3.426904,,55.964898,17.968597,-84.392488,-4.093111,-4.28833,-9.060063,,,,,
