Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/02/2014,2799,2799.0,,-1791,1791.0,1008,0.0,-1078,964.0,,160.0,-46.0,-70,-106,106.0,,,,0.0,-176,4,-172,0.0,0.0,0.0,-172,0.0,-172,0.0,0.0,-172,-171.746,0.254,305.2,-0.56,-0.56,-0.562733,305.2,-0.56,-0.56,-0.562733,
11/01/2014,2764,2764.0,,-1751,1751.0,1013,0.0,-1067,988.0,,156.0,-77.0,-54,-137,103.0,,,,34.0,-191,3,-188,0.0,0.0,0.0,-188,0.0,-188,0.0,0.0,-188,-148.2,39.8,305.3,-0.62,-0.62,-0.485424,305.3,-0.62,-0.62,-0.489636,
01/31/2015,3893,3893.0,,-2579,2579.0,1314,0.0,-1246,1032.0,,157.0,57.0,68,-100,100.0,,,0.0,0.0,-32,-3,-35,0.0,0.0,0.0,-35,0.0,-35,0.0,0.0,-35,11.0,46.0,305.3,-0.11,-0.11,0.03603,305.3,-0.11,-0.11,0.03603,
05/02/2015,2857,2857.0,,-1816,1816.0,1041,0.0,-1087,965.0,,154.0,-32.0,-46,-98,98.0,,,,0.0,-144,-6,-150,0.0,0.0,0.0,-150,0.0,-150,0.0,0.0,-150,-130.0,20.0,305.5,-0.49,-0.49,-0.425532,305.5,-0.49,-0.49,-0.425532,
08/01/2015,2875,2875.0,,-1810,1810.0,1065,0.0,-1074,901.0,,153.0,20.0,-9,-103,103.0,,,,0.0,-112,-5,-117,0.0,0.0,0.0,-117,0.0,-117,0.0,0.0,-117,-98.0,19.0,305.9,-0.38,-0.38,-0.320366,305.9,-0.38,-0.38,-0.320366,
10/31/2015,2897,2897.0,,-1815,1815.0,1082,0.0,-1098,947.0,,152.0,-1.0,-16,-102,102.0,,,,0.0,-118,3,-115,0.0,0.0,0.0,-115,0.0,-115,0.0,0.0,-115,-102.0,13.0,306.0,-0.38,-0.38,-0.333333,306.0,-0.38,-0.38,-0.337516,
01/30/2016,3996,3996.0,,-2633,2633.0,1363,0.0,-1381,962.0,,157.0,262.0,-18,-112,102.0,,,,10.0,-130,-1,-131,0.0,0.0,0.0,-131,0.0,-131,0.0,0.0,-131,121.0,252.0,306.4,-0.43,-0.43,0.394909,306.4,-0.43,-0.43,0.392454,
04/30/2016,2811,2811.0,,-1793,1793.0,1018,0.0,-996,872.0,,154.0,-30.0,22,-91,95.0,,,,-4.0,-69,1,-68,0.0,0.0,0.0,-68,0.0,-68,0.0,0.0,-68,-71.0,-3.0,307.2,-0.22,-0.22,-0.23112,307.2,-0.22,-0.22,-0.23112,
07/30/2016,2918,2918.0,,-1834,1834.0,1084,0.0,-1008,853.0,,153.0,2.0,76,-127,93.0,,,,34.0,-51,-5,-56,0.0,0.0,0.0,-56,0.0,-56,0.0,0.0,-56,-11.65,44.35,308.0,-0.18,-0.18,-0.037825,308.0,-0.18,-0.18,-0.037825,
10/29/2016,2857,2857.0,,-1795,1795.0,1062,0.0,-1039,888.0,,149.0,2.0,23,-87,87.0,,,,0.0,-64,-3,-67,0.0,0.0,0.0,-67,0.0,-67,0.0,0.0,-67,-65.0,2.0,308.3,-0.22,-0.22,-0.210834,308.3,-0.22,-0.22,-0.213513,
01/28/2017,3961,3961.0,,-2649,2649.0,1312,0.0,-1038,925.0,,153.0,-40.0,274,-88,88.0,,,,0.0,186,6,192,0.0,0.0,0.0,192,0.0,192,0.0,0.0,192,202.0,10.0,308.8,0.62,0.62,0.654145,313.8,0.61,0.61,0.641867,
04/29/2017,2784,2701.0,83.0,-1725,1725.0,1059,0.0,-1065,938.0,,145.0,-18.0,-6,-193,87.0,,,,106.0,-199,12,-187,0.0,0.0,0.0,-187,0.0,-187,0.0,0.0,-187,2.0,189.0,309.6,-0.6,-0.6,0.00646,309.6,-0.6,-0.6,0.00646,
07/29/2017,3068,2985.0,83.0,-1932,1932.0,1136,0.0,-1083,935.0,,144.0,4.0,53,-100,79.0,,,,21.0,-47,-1,-48,0.0,0.0,0.0,-48,0.0,-48,0.0,0.0,-48,-23.0,25.0,310.8,-0.15,-0.15,-0.074003,310.8,-0.15,-0.15,-0.074003,
10/28/2017,2886,2817.0,69.0,-1859,1859.0,1027,0.0,-1105,920.0,,131.0,54.0,-78,-76,78.0,,,,-2.0,-154,29,-125,0.0,0.0,0.0,-125,0.0,-125,0.0,0.0,-125,-108.0,17.0,311.6,-0.4,-0.4,-0.346598,311.6,-0.4,-0.4,-0.346598,
02/03/2018,4135,4051.0,84.0,-2692,2692.0,1443,0.0,-1200,1052.0,0.0,150.0,-2.0,243,-87,81.0,,,,6.0,156,86,242,0.0,0.0,0.0,242,0.0,242,0.0,0.0,242,235.0,-7.0,312.4,0.77,0.77,0.752241,314.6,0.77,0.77,0.74775,
05/05/2018,2671,2584.0,87.0,-1712,1712.0,959,0.0,-956,826.0,,141.0,-11.0,3,-82,78.0,,,,4.0,-79,1,-78,0.0,0.0,0.0,-78,0.0,-78,0.0,0.0,-78,-69.0,9.0,313.9,-0.25,-0.25,-0.219815,313.9,-0.25,-0.25,-0.221328,
08/04/2018,2829,2762.0,67.0,-1831,1831.0,998,0.0,-1034,880.0,,140.0,14.0,-36,-60,79.0,,,,-19.0,-96,-5,-101,0.0,0.0,0.0,-101,0.0,-101,0.0,0.0,-101,-120.0,-19.0,315.7,-0.32,-0.32,-0.380108,315.7,-0.32,-0.32,-0.380184,
11/03/2018,2733,2653.0,80.0,-1808,1808.0,925,0.0,-1025,883.0,,138.0,4.0,-100,-59,78.0,,,,-19.0,-159,8,-151,0.0,0.0,0.0,-151,0.0,-151,0.0,0.0,-151,-164.0,-13.0,316.3,-0.48,-0.48,-0.518495,316.3,-0.48,-0.48,-0.5211,
02/02/2019,3786,3665.0,121.0,-2519,2519.0,1267,0.0,-1140,1007.0,0.0,137.0,-4.0,127,-64,78.0,,,,-14.0,63,12,75,0.0,0.0,0.0,75,0.0,75,0.0,0.0,75,57.0,-18.0,316.9,0.24,0.24,0.179867,317.1,0.24,0.24,0.179867,
05/04/2019,2555,2439.0,116.0,-1630,1630.0,925,0.0,-1018,856.0,,147.0,15.0,-93,-60,73.0,,,,-13.0,-153,-1,-154,0.0,0.0,0.0,-154,0.0,-154,0.0,0.0,-154,-151.0,3.0,317.7,-0.48,-0.48,-0.475291,317.7,-0.48,-0.48,-0.475291,
08/03/2019,2619,2509.0,110.0,-1585,1585.0,1034,0.0,-1017,870.0,,137.0,10.0,17,-60,74.0,,,,-14.0,-43,-5,-48,0.0,0.0,0.0,-48,0.0,-48,0.0,0.0,-48,-56.0,-8.0,319.4,-0.15,-0.15,-0.175329,319.4,-0.15,-0.15,-0.175329,
11/02/2019,2500,2384.0,116.0,-1541,1541.0,959,0.0,-993,854.0,,131.0,8.0,-34,-60,73.0,,,,-13.0,-94,1,-93,0.0,0.0,0.0,-93,0.0,-93,0.0,0.0,-93,-97.0,-4.0,320.9,-0.29,-0.29,-0.302275,320.9,-0.29,-0.29,-0.302465,
02/01/2020,3493,3384.0,109.0,-2257,2257.0,1236,0.0,-1134,1005.0,0.0,129.0,0.0,102,-77,73.0,,,,4.0,25,2,27,0.0,0.0,0.0,27,0.0,27,0.0,0.0,27,43.0,16.0,322.8,0.08,0.08,0.133209,323.7,0.08,0.08,0.129428,
05/02/2020,1196,1082.0,114.0,-813,813.0,383,0.0,-860,572.0,,135.0,153.0,-477,-129,75.0,,,,54.0,-606,60,-546,0.0,0.0,0.0,-546,0.0,-546,0.0,0.0,-546,-407.0,139.0,323.7,-1.69,-1.69,-1.257337,323.7,-1.69,-1.69,-1.26059,
08/01/2020,1459,1390.0,69.0,-919,919.0,540,0.0,-693,470.0,,161.0,62.0,-153,-252,67.0,,,,185.0,-405,7,-398,0.0,0.0,0.0,-398,0.0,-398,0.0,0.0,-398,-277.0,121.0,324.6,-1.23,-1.23,-0.853358,324.6,-1.23,-1.23,-0.857234,
