Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
11/30/2014,144.372,120.412,38.499,-13.394,12.505,8.238,-34.137,-1.145,-20.969,13.47,29.307,-22.953,,105.002,-44.975,0.0,0.0,0.0,-44.975,-44.975,0.0,0.0,0.0,0.0,-0.687,0.0,-0.687,0.0,150.664,1.491,0.0,-0.184,,,6.715,8.849,-2.134,-5.04,-5.594,245.271,
02/28/2015,85.073,94.883,37.887,26.603,11.231,5.082,10.29,-74.3,9.579,0.523,-61.597,-22.805,,-109.259,-50.015,0.0,0.0,0.0,-50.015,-50.015,0.0,0.0,0.0,0.0,-10.783,0.0,-10.783,0.0,-48.461,-442.243,-201.941,-0.092,,,-241.591,9.484,-251.075,1.381,-1.975,-468.404,
05/31/2015,202.63,105.215,39.042,12.168,10.986,5.438,-4.256,46.205,1.725,8.415,0.17,35.895,,88.063,-54.68,0.0,0.0,0.0,-54.68,-54.68,0.0,0.0,0.0,0.0,-1.697,0.0,-1.697,0.0,144.44,-230.61,0.0,-0.062,,,-229.048,8.274,-237.322,-1.5,-1.33,58.753,
08/31/2015,143.083,100.181,39.768,39.222,23.917,5.632,9.673,-36.088,-19.255,-8.109,15.531,-24.255,,-201.862,-62.631,0.0,0.0,0.0,-62.631,-62.631,0.0,0.0,0.0,0.0,-121.434,0.0,-121.434,0.0,-17.797,-209.719,0.0,-0.016,,,-209.754,11.844,-221.598,0.051,-1.715,-270.213,
11/30/2015,121.954,345.1,41.126,-462.928,16.324,-104.055,-375.197,198.656,-20.163,-11.732,3.837,226.714,,515.13,-59.186,0.0,0.0,0.0,-59.186,-59.186,0.0,0.0,0.0,0.0,0.197,0.0,0.197,0.0,574.119,-174.5,0.0,0.0,,,-175.095,5.6,-180.695,0.595,-2.659,459.925,
02/29/2016,32.117,117.341,41.777,40.811,16.928,23.883,0.0,-167.812,-2.105,-4.168,18.002,-179.541,,-111.49,-85.685,0.0,0.0,0.0,-85.685,-85.685,0.0,0.0,0.0,0.0,-30.494,0.0,-30.494,0.0,4.689,-210.096,-115.273,0.0,,,-95.33,4.816,-100.146,0.507,-2.2,-291.669,
05/31/2016,168.691,130.898,42.608,33.029,22.124,15.238,-4.333,-37.844,-11.239,6.092,-37.934,5.237,,-73.397,-67.883,0.0,0.0,0.0,-67.883,-67.883,0.0,0.0,0.0,0.0,-4.848,0.0,-4.848,0.0,-0.666,-272.409,0.0,0.0,,,-271.746,5.966,-277.712,-0.663,1.356,-175.759,
08/31/2016,157.588,138.091,43.168,22.749,20.779,1.97,0.0,-46.42,-22.946,-13.017,17.48,-27.937,,-100.606,-78.58,0.0,0.0,0.0,-78.58,-78.58,0.0,0.0,0.0,0.0,-10.991,0.0,-10.991,0.0,-11.035,-97.028,0.0,-86.2,,,-2.588,16.282,-18.87,-8.24,-0.102,-40.148,
11/30/2016,144.133,140.377,43.882,-12.876,18.803,-5.803,-25.876,-27.25,-21.974,-1.599,-2.029,-1.648,,8.561,-76.593,0.0,0.0,0.0,-76.593,-76.593,0.0,0.0,0.0,0.0,-6.787,0.0,-6.787,0.0,91.941,-106.044,0.0,-97.8,,,2.583,2.943,-0.36,-10.827,-2.286,44.364,
02/28/2017,182.037,118.005,44.664,24.357,23.996,0.361,0.0,-4.989,16.274,-8.748,0.087,-12.602,,-73.43,-63.448,0.0,0.0,0.0,-63.448,-63.448,0.0,0.0,0.0,0.0,-1.852,0.0,-1.852,0.0,-8.13,-104.562,-142.444,33.5,,,5.065,5.889,-0.824,-0.683,-0.374,3.671,
05/31/2017,280.129,84.235,64.881,133.655,25.29,7.374,100.991,-2.642,-64.911,22.696,-1.812,41.385,,-2144.874,-54.696,0.0,0.0,0.0,-54.696,-54.696,0.0,0.0,0.0,0.0,-2082.741,0.0,-2082.741,0.0,-7.437,1886.136,0.0,1883.229,,,6.086,6.756,-0.67,-3.179,0.631,22.022,
08/31/2017,254.366,217.211,68.509,-46.701,28.63,24.938,-100.269,15.347,8.955,-5.827,17.684,-5.465,,72.622,-62.517,0.0,0.0,0.0,-62.517,-62.517,0.0,0.0,0.0,0.0,128.209,128.511,-0.302,0.0,6.93,-311.433,0.0,-293.0,,,-17.784,17.256,-35.04,-0.649,6.593,22.148,
11/30/2017,124.643,137.109,70.33,45.007,26.574,17.224,1.209,-127.803,-33.755,8.422,-26.39,-76.08,,-78.84,-69.949,0.0,0.0,0.0,-69.949,-69.949,0.0,0.0,0.0,0.0,127.038,127.835,-0.797,0.0,-135.929,1.912,0.0,-7.5,,,10.645,11.302,-0.657,-1.233,-3.127,44.588,
02/28/2018,281.855,302.095,66.063,-131.75,30.84,-162.59,0.0,45.447,-15.246,1.416,8.126,51.151,,-83.765,-63.574,0.0,0.0,0.0,-63.574,-63.574,0.0,0.0,0.0,0.0,-11.199,0.0,-11.199,0.0,-8.992,-282.769,-175.589,-112.5,,,5.927,7.28,-1.353,-0.607,1.24,-83.439,
05/31/2018,303.296,186.171,74.514,30.584,26.791,1.133,2.66,12.027,-26.221,-7.334,35.855,9.727,,-45.715,-75.659,0.0,0.0,0.0,-75.659,-75.659,0.0,0.0,0.0,0.0,120.787,127.835,-7.048,0.0,-90.843,-271.85,0.0,-187.5,,,-84.259,6.01,-90.269,-0.091,0.43,-13.839,
08/31/2018,162.985,212.515,86.295,55.194,46.172,9.022,0.0,-191.019,-15.051,-34.629,-0.329,-141.01,,-70.785,-64.528,0.0,0.0,0.0,-64.528,-64.528,0.0,0.0,0.0,0.0,-7.613,0.0,-7.613,0.0,1.356,-112.508,0.0,0.0,,,-111.956,27.512,-139.468,-0.552,-0.06,-20.368,
11/30/2018,181.582,243.013,88.376,-30.556,28.612,10.205,-69.373,-119.251,-70.697,-18.598,-1.626,-28.33,,-15.855,-73.086,0.0,0.0,0.0,-73.086,-73.086,0.0,0.0,0.0,0.0,1.033,0.0,1.033,0.0,56.198,-194.871,0.0,173.5,,,-363.561,5.1,-368.661,-4.81,-0.733,-29.877,
02/28/2019,326.15,203.334,91.658,34.202,30.769,5.852,-2.419,-3.044,24.646,-17.489,2.034,-12.235,,-76.374,-70.191,0.0,0.0,0.0,-70.191,-70.191,0.0,0.0,0.0,0.0,2.377,3.2,-0.823,0.0,-8.56,-257.919,-220.76,44.0,,,-78.433,21.662,-100.095,-2.726,0.523,-7.62,
05/31/2019,397.145,226.119,93.764,39.505,33.657,6.629,-0.781,37.757,-33.816,10.677,12.197,48.699,,-72.624,-68.914,0.0,0.0,0.0,-68.914,-68.914,0.0,0.0,0.0,0.0,-2.41,0.0,-2.41,0.0,-1.3,-308.007,-0.004,95.0,,,-396.979,11.097,-408.076,-6.024,-0.728,15.786,
08/31/2019,276.901,250.812,91.994,48.305,40.395,7.91,0.0,-114.21,-6.636,-1.726,13.357,-119.205,0.0,-78.139,-64.743,0.0,0.0,0.0,-64.743,-64.743,0.0,0.0,0.0,0.0,-3.896,0.0,-3.896,0.0,-9.5,-193.607,0.0,26.5,,,-218.915,37.915,-256.83,-1.192,0.331,5.486,
11/30/2019,294.45,246.12,94.336,28.725,29.003,-0.278,0.0,-74.731,-31.304,-11.676,14.698,-46.449,0.0,-53.534,-48.124,13.3,13.3,0.0,-61.424,-61.424,0.0,0.0,0.0,0.0,-2.686,0.0,-2.686,0.0,-2.724,-116.385,0.0,-139.0,,,23.375,25.286,-1.911,-0.76,-0.127,124.404,
02/29/2020,363.198,234.52,96.163,24.411,27.03,-2.619,0.0,8.104,6.805,-4.378,-13.784,19.461,,-104.807,-63.212,0.0,0.0,0.0,-63.212,-63.212,0.0,0.0,0.0,0.0,-41.268,0.0,-41.268,0.0,-0.327,-250.3,-268.042,0.0,,,15.76,18.346,-2.586,1.982,-0.185,7.906,
05/31/2020,356.934,144.585,96.56,6.962,19.007,-21.265,9.22,108.827,70.816,-56.993,-11.642,106.646,0.0,-48.918,-40.91,0.0,0.0,0.0,-40.91,-40.91,0.0,0.0,0.0,0.0,-5.87,0.0,-5.87,0.0,-2.138,-394.915,,-200.0,,,-194.219,8.972,-203.191,-0.696,-2.14,-89.039,
