Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
10/01/2006,626.006573,-74.914999,0.0,0.0,2.159,553.250574,233.303989,0.925402,0.003902,1.933503,37.178319,252.856719,,,638.249427,565.493428,6.39855,,
12/31/2006,630.40432,-45.787,0.0,0.0,80.637,665.25432,303.865,26.537114,0.121212,1.967929,464.887646,,,,629.91656,664.76656,7.682453,,
03/31/2007,496.673327,-41.044,0.0,0.0,84.707001,540.336328,296.330994,28.585265,0.156767,1.359374,,,,,496.049841,539.712842,6.22285,,
07/01/2007,346.900792,-43.629002,0.0,0.0,30.972999,334.24479,232.389992,13.328026,0.092666,0.755134,,,,,346.216214,333.560212,3.834797,,
09/30/2007,444.837298,-39.356001,0.0,0.0,30.254,435.735297,232.046968,13.037878,0.069432,0.879492,,,,,444.577185,435.475184,4.995647,,
12/30/2007,357.28604,-35.841,0.0,0.0,74.731,396.17604,274.157,27.258469,0.188631,0.774367,,,,,357.15925,396.04925,4.53519,,
03/30/2008,270.158701,-26.444,0.0,0.0,79.794001,323.508702,279.843012,28.513844,0.246652,0.640168,,,,,270.044363,323.394364,3.700202,,
06/29/2008,167.633058,-37.737999,0.0,0.0,108.990002,238.885061,306.022015,35.615085,0.456245,0.450003,296.751692,,,,167.315997,238.568,2.721841,,
09/28/2008,165.89097,-39.447,0.0,0.0,110.416,236.85997,296.518,37.237537,0.466166,0.439092,66.627284,,,,165.942,236.911,2.698552,,
12/28/2008,106.2259,-28.414,0.0,0.0,97.846,175.6579,282.065,34.689167,0.557026,0.32683,26.949664,,,,106.13515,175.56715,2.000887,,
03/29/2009,85.30374,-28.404,0.0,0.0,86.03,142.92974,202.28,42.530156,0.601904,0.276171,,,,,85.22905,142.85505,1.625273,,
06/28/2009,143.62093,-75.681,18.051,0.0,94.882,180.87293,231.896,40.915755,0.524578,0.393684,,,,,143.44815,180.70015,2.052785,,
09/27/2009,156.06975,-75.767,18.276,0.0,88.031,186.60975,225.878,38.972808,0.471738,0.444828,,,,,155.99718,186.53718,2.116357,,
01/03/2010,383.83965,-89.553,18.533,0.0,79.919,392.73865,221.034,36.156881,0.203492,0.910019,,,,,688.431,697.33,4.450851,,
04/04/2010,367.6192,-101.114,18.793,0.0,74.431,359.7292,215.263,34.576774,0.206908,0.740018,7.763325,12.774021,4.6314,5.313985,397.53792,389.64792,4.070716,,
07/04/2010,614.80766,-145.215,19.058,0.0,73.808,562.45866,234.545,31.468588,0.131224,0.922836,5.500442,6.656631,4.627673,5.208604,987.40932,935.06032,6.34908,,
10/03/2010,977.92484,-194.589,19.326,0.0,39.675,842.33684,296.782,13.368398,0.047101,1.022992,4.200553,4.574387,4.691285,5.258015,1356.85613,1221.26813,8.105316,,
01/02/2011,1060.545,-227.907,19.597,0.0,36.014,888.249,337.644,10.666264,0.040545,0.848263,3.173054,3.357242,4.153339,4.769638,1446.2886,1273.9926,8.542909,,
04/03/2011,893.78321,-243.57,19.873,0.0,36.062,706.14821,383.896,9.39369,0.051069,0.619806,2.284419,2.396103,3.424616,4.104302,1216.1396,1028.5046,6.818274,,
07/03/2011,851.41805,-142.715,20.153,0.0,35.986,764.84205,426.349,8.440503,0.04705,0.645404,2.435748,2.560887,11.743046,28.775652,1151.72343,1065.14743,7.37517,,
10/02/2011,467.307,-182.706,20.436,0.0,36.02,341.057,422.14,8.532714,0.105613,0.305594,1.367696,1.469769,5.927935,17.657745,629.046,502.796,3.284257,,
01/01/2012,476.41004,-204.881,36.326,0.0,0.0,307.85504,440.585,0.0,0.0,0.302795,1.605787,1.779622,7.267416,2080.054209,520.39363,351.83863,2.526633,,
04/01/2012,554.8816,-223.996,36.326,0.0,0.0,367.2116,460.316,0.0,0.0,0.367978,2.289192,2.617518,8.608155,205.654724,710.85105,523.18105,3.011116,,
07/01/2012,547.3268,-259.169,36.326,0.0,0.0,324.4838,482.766,0.0,0.0,0.306367,1.934595,2.211103,1.727195,2.157466,704.34256,481.49956,2.679691,,
09/30/2012,677.97432,-287.38,36.326,0.0,0.0,426.92032,517.008,0.0,0.0,0.388904,2.4026,2.737213,2.663879,3.532656,875.14716,624.09316,3.516874,,
12/30/2012,510.722749,-265.766,36.326,0.0,0.0,281.282749,516.933,0.0,0.0,0.275072,2.160954,2.605966,3.048709,4.61733,504.07795,274.63795,2.307661,,
03/31/2013,504.628206,-290.079,36.326,0.0,0.0,250.875206,498.872,0.0,0.0,0.250515,2.319654,2.935037,2.32219,3.075436,505.394859,251.641859,2.058195,,
09/12/2020,,-290.079,36.326,0.0,0.0,,,,,,,,,,,,,,
06/30/2013,,,,,,,,,,,,,,,,,,,
09/30/2013,,,,,,,,,,,,,,,,,,,
