Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2012,39321,4652,4652,0.0,6428,6428.0,0.0,,2878,0.0,2056.0,0.0,822.0,1833,,4073.0,,512.0,15791,4486,,,0.0,,19044,10183.0,10183.0,0.0,,4788,23530,,4014,2184,,,1830.0,150,0.0,,,,150.0,8504,,,8475,12668,6374,6374.0,,,,17837,854.0,14212.0,2771,24211,36879,0,321,,,0.0,12703.0,-10582,2442,0,2442,39321,
12/31/2012,38657,1898,1898,0.0,6563,6563.0,0.0,,2937,0.0,2068.0,0.0,869.0,2457,0.0,4809.0,,1149.0,13855,4675,12985.0,-8310.0,0.0,,20127,10370.0,10370.0,0.0,185.0,4763,24802,,3816,2038,0.0,0.0,1778.0,150,0.0,0.0,0.0,,150.0,8189,0.0,0.0,8164,12155,6158,6158.0,0.0,0.0,,20305,821.0,16498.0,2986,26463,38618,0,321,,,0.0,13211.0,-13493,39,0,39,38657,
03/31/2013,39580,3065,3065,0.0,6968,6968.0,0.0,,2895,0.0,2064.0,0.0,831.0,1944,,4750.0,,644.0,14872,4617,,,0.0,,20091,10356.0,10356.0,0.0,,4985,24708,,3936,2123,,,1813.0,150,0.0,,,,150.0,8539,,,8518,12625,6154,6154.0,,,,20497,883.0,16617.0,2997,26651,39276,0,318,318.0,0.0,0.0,13268.0,-13282,304,0,304,39580,
06/30/2013,38947,2845,2845,0.0,6826,6826.0,0.0,,2895,0.0,2177.0,0.0,718.0,1813,,4681.0,,539.0,14379,4594,,,0.0,,19974,10352.0,10352.0,0.0,,4941,24568,,3835,2044,,,1791.0,0,0.0,,,,0.0,8418,,,8386,12253,6140,6140.0,,,,19860,875.0,15985.0,3000,26000,38253,0,319,,,0.0,13416.0,-13041,694,0,694,38947,
09/29/2013,38907,2661,2661,0.0,6919,6919.0,0.0,,2920,0.0,2310.0,0.0,610.0,1619,,4657.0,,414.0,14119,4598,,,0.0,,20190,10534.0,10534.0,0.0,,4999,24788,,3759,1928,,,1831.0,0,0.0,,,,0.0,8534,,,8513,12293,6156,6156.0,,,,19181,888.0,15354.0,2939,25337,37630,0,318,,,0.0,13694.0,-12735,1277,0,1277,38907,
12/31/2013,36188,2617,2617,0.0,5834,5834.0,0.0,,2977,0.0,2239.0,0.0,738.0,1901,0.0,2850.0,,785.0,13329,4706,13366.0,-8660.0,0.0,,18153,10348.0,10348.0,0.0,210.0,4745,22859,,3340,1397,0.0,0.0,1943.0,0,0.0,0.0,0.0,,0.0,7780,0.0,0.0,7757,11120,6152,6152.0,0.0,0.0,,13998,863.0,10263.0,2872,20150,31270,0,319,,,0.0,14200.0,-9601,4918,0,4918,36188,
03/31/2014,36919,3264,3264,0.0,6255,6255.0,0.0,,2949,0.0,2214.0,0.0,735.0,1766,,2782.0,,610.0,14234,4612,,,0.0,,18073,10370.0,10370.0,0.0,,4921,22685,,3790,1942,,,1848.0,0,0.0,,,,,8205,,,8191,11995,6152,6152.0,,,,13972,874.0,10340.0,2758,20124,32119,0,315,315.0,0.0,0.0,13922.0,-9437,4800,0,4800,36919,
06/29/2014,37250,3436,3436,0.0,6434,6434.0,0.0,,2646,0.0,2070.0,0.0,576.0,1647,,3113.0,,469.0,14163,4559,,,0.0,,18528,10505.0,10505.0,0.0,,4910,23087,,3901,1956,,,1945.0,0,0.0,,,,,8246,,,8231,12147,6169,6169.0,,,,14615,848.0,10947.0,2820,20784,32931,0,315,,,0.0,13988.0,-9984,4319,0,4319,37250,
09/28/2014,36933,2963,2963,0.0,6081,6081.0,0.0,,2898,0.0,2397.0,0.0,501.0,1742,,2954.0,,536.0,13684,4590,,,0.0,,18659,10774.0,10774.0,0.0,,4931,23249,,4048,2000,,,2048.0,0,0.0,,,,,8085,,,8067,12133,6165,6165.0,,,,14061,834.0,10457.0,2770,20226,32359,0,314,,,0.0,14124.0,-9864,4574,0,4574,36933,
12/31/2014,37046,1446,1446,0.0,5877,5877.0,0.0,,2804,0.0,2030.0,0.0,774.0,2195,27.0,4013.0,,744.0,12322,4751,13489.0,-8738.0,0.0,,19973,11186.0,10862.0,324.0,204.0,4543,24724,,3515,1562,0.0,0.0,1953.0,0,0.0,0.0,0.0,,0.0,7597,0.0,18.0,7597,11112,6142,6142.0,0.0,0.0,,16392,836.0,12515.0,3023,22534,33646,0,314,,,0.0,14956.0,-11870,3400,0,3400,37046,
03/29/2015,39752,3486,3486,0.0,6545,6545.0,0.0,,3087,0.0,2280.0,0.0,807.0,2100,,4024.0,,595.0,15218,4654,,,0.0,,19880,10841.0,10841.0,0.0,,5015,24534,,3794,1945,,,1849.0,0,0.0,,,,,7773,,,7744,11567,8404,8404.0,,,,16261,823.0,12498.0,2940,24665,36232,0,313,313.0,0.0,0.0,14922.0,-11715,3520,0,3520,39752,
06/28/2015,39848,3202,3202,0.0,7064,7064.0,0.0,,3032,0.0,2365.0,0.0,667.0,1989,,4035.0,,493.0,15287,4640,,,0.0,,19921,10867.0,10867.0,0.0,,5019,24561,,3952,2016,,,1936.0,452,0.0,,,,452.0,8220,,,8192,12624,7950,7950.0,,,,16292,827.0,12477.0,2988,24242,36866,0,309,,,0.0,14129.0,-11456,2982,0,2982,39848,
09/27/2015,39617,3300,3300,0.0,6740,6740.0,0.0,,3237,0.0,2645.0,0.0,592.0,1778,,4096.0,,477.0,15055,4677,,,0.0,,19885,10832.0,10832.0,0.0,,4957,24562,,4291,2215,,,2076.0,952,0.0,,,,952.0,7737,,,7703,12980,7460,7460.0,,,,16364,847.0,12456.0,3061,23824,36804,0,306,306.0,0.0,0.0,13828.0,-11321,2813,0,2813,39617,
12/31/2015,49304,1090,1090,0.0,7254,7254.0,0.0,,4819,0.0,3049.0,0.0,1770.0,1410,15.0,6068.0,205.0,441.0,14573,5389,14266.0,-8877.0,0.0,,29342,14717.0,10695.0,4022.0,201.0,5180,34731,,3594,1745,0.0,0.0,1849.0,956,0.0,0.0,0.0,,956.0,9368,0.0,35.0,8420,13918,14305,14305.0,0.0,0.0,,17984,858.0,12877.0,4009,32289,46207,0,303,303.0,0.0,0.0,14238.0,-11444,3097,0,3097,49304,
03/27/2016,50158,1452,1452,0.0,8620,8620.0,0.0,,5223,0.0,3649.0,0.0,1574.0,472,,5893.0,,443.0,15767,5417,,,0.0,,28974,17704.0,13583.0,4121.0,,5377,34391,,4820,2715,,,2105.0,956,0.0,,,,956.0,9136,,,9105,14912,14320,14320.0,,,,17749,849.0,12872.0,4028,32069,46981,0,303,303.0,0.0,0.0,14128.0,-11254,3177,0,3177,50158,
06/26/2016,50408,1269,1269,0.0,9275,9275.0,0.0,,5136,0.0,3651.0,0.0,1485.0,393,,5830.0,,320.0,16073,5438,,,0.0,,28897,17672.0,13621.0,4051.0,,5395,34335,,4893,2778,,,2115.0,502,0.0,,,,502.0,10200,,,10142,15595,14307,14307.0,,,,17509,1000.0,12889.0,3620,31816,47411,0,301,301.0,0.0,0.0,13800.0,-11104,2997,0,2997,50408,
09/25/2016,48739,2895,2895,0.0,8955,8955.0,0.0,,4852,0.0,3384.0,0.0,1468.0,408,,5850.0,0.0,318.0,17110,5369,,,0.0,,26260,14996.0,10791.0,4205.0,,5414,31629,,4800,2840,,,1960.0,0,0.0,,,,0.0,9625,,,9538,14425,14304,14304.0,,,,17580,896.0,12942.0,3742,31884,46309,0,291,291.0,0.0,0.0,13023.0,-10991,2323,107,2430,48739,
12/31/2016,47806,1837,1837,0.0,8202,8202.0,0.0,,4670,0.0,3118.0,0.0,1552.0,399,27.0,6625.0,0.0,399.0,15108,5549,14877.0,-9328.0,1200.0,1200.0,25949,14857.0,10764.0,4093.0,208.0,4232,32698,,3547,1653,0.0,0.0,1894.0,0,0.0,0.0,0.0,,0.0,8995,0.0,85.0,8995,12542,14282,14282.0,0.0,0.0,,19376,1000.0,14717.0,3574,33658,46200,0,289,289.0,0.0,0.0,13324.0,-12102,1511,95,1606,47806,
03/26/2017,48836,2216,2216,0.0,8869,8869.0,0.0,,5074,0.0,3470.0,0.0,1604.0,427,,6489.0,,404.0,16586,5481,,,0.0,,26769,14792.0,10773.0,4019.0,,5488,32250,,4501,2718,,,1783.0,0,0.0,,,,,9096,,,8990,13597,14276,14276.0,,,,19378,978.0,14769.0,3631,33654,47251,0,288,288.0,0.0,0.0,13087.0,-11892,1483,102,1585,48836,
06/25/2017,48711,2452,2452,0.0,8762,8762.0,0.0,,4941,0.0,3456.0,0.0,1485.0,411,,6332.0,,382.0,16566,5532,,,0.0,,26613,14724.0,10780.0,3944.0,,5557,32145,,4486,2554,,,1932.0,0,0.0,,,,,9155,,,9068,13641,14283,14283.0,,,,19438,975.0,14819.0,3644,33721,47362,0,286,286.0,0.0,0.0,12616.0,-11637,1265,84,1349,48711,
09/24/2017,48946,2941,2941,0.0,9021,9021.0,0.0,,4803,0.0,3238.0,0.0,1565.0,443,,5970.0,,415.0,17208,5511,,,0.0,,26227,14689.0,10812.0,3877.0,,5568,31738,,4870,2848,,,2022.0,0,0.0,,,,,8214,,,8109,13084,14268,14268.0,,,,19419,952.0,14856.0,3611,33687,46771,0,285,285.0,0.0,0.0,13173.0,-11360,2098,77,2175,48946,
12/31/2017,46620,2861,2861,0.0,2265,2265.0,0.0,7992.0,2878,0.0,1823.0,492.0,563.0,1509,0.0,3156.0,0.0,1486.0,17505,5775,15361.0,-9586.0,1400.0,1400.0,21940,14604.0,10807.0,3797.0,112.0,4068,29115,,3373,1467,0.0,0.0,1906.0,750,0.0,0.0,0.0,,750.0,8790,0.0,,1656,12913,13513,13513.0,0.0,0.0,,20970,920.0,16422.0,3628,34483,47396,0,284,284.0,0.0,0.0,11405.0,-12539,-850,74,-776,46620,
03/25/2018,46634,2393,2393,0.0,2373,2373.0,0.0,9405.0,3196,0.0,2298.0,0.0,898.0,449,,3084.0,,425.0,17816,5749,,,0.0,,23069,14536.0,10806.0,3730.0,,5449,28818,,4606,2715,,,1891.0,750,0.0,,,,750.0,8618,,91.0,8527,13974,13473,13473.0,,,,19298,911.0,14912.0,3384,32771,46745,0,284,284.0,0.0,0.0,14123.0,-14589,-182,71,-111,46634,
06/24/2018,45125,1181,1181,0.0,2482,2482.0,0.0,9281.0,3038,0.0,2074.0,518.0,446.0,522,,3051.0,,505.0,16504,5786,,,0.0,,22835,14427.0,10781.0,3646.0,,5357,28621,,4847,2675,,,2172.0,750,0.0,,,,750.0,8284,,,8183,13881,13479,13479.0,,,,17286,910.0,12902.0,3474,30765,44646,0,283,283.0,0.0,0.0,14528.0,-14395,416,63,479,45125,
09/30/2018,45495,897,897,0.0,2416,2416.0,0.0,9769.0,3050,0.0,2089.0,491.0,470.0,727,,3036.0,,711.0,16859,5902,,,0.0,,22734,14358.0,10788.0,3570.0,,5340,28636,,4974,2691,,,2283.0,1240,0.0,,,,1240.0,8990,,,2423,15204,13486,13486.0,,,,15803,899.0,11392.0,3512,29289,44493,0,283,283.0,0.0,0.0,14737.0,-14077,943,59,1002,45495,
12/31/2018,44876,772,772,0.0,2444,2444.0,0.0,9472.0,2997,0.0,2161.0,390.0,446.0,418,,3208.0,0.0,396.0,16103,6124,16089.0,-9965.0,1300.0,1300.0,21349,14263.0,10769.0,3494.0,107.0,3771,28773,,4638,2402,0.0,0.0,2236.0,1500,0.0,0.0,0.0,,1500.0,8260,0.0,,1708,14398,12604,12604.0,0.0,0.0,,16425,864.0,12114.0,3447,29029,43427,0,281,281.0,0.0,0.0,15434.0,-14321,1394,55,1449,44876,
03/31/2019,47684,991,991,0.0,2833,2833.0,0.0,10497.0,3285,0.0,2495.0,352.0,438.0,425,,3169.0,,405.0,18031,7109,,,0.0,,22544,14194.0,10769.0,3425.0,,5181,29653,,5067,3097,,,1970.0,1588,0.0,288.0,,288.0,1300.0,8748,,78.0,1874,15403,13433,12621.0,812.0,,812.0,16326,830.0,12116.0,3302,29759,45162,0,281,281.0,0.0,0.0,16278.0,-14094,2465,57,2522,47684,
06/30/2019,47840,1167,1167,0.0,2546,2546.0,0.0,10388.0,3599,0.0,2810.0,337.0,452.0,400,,3163.0,,374.0,18100,7141,,,0.0,,22599,14126.0,10775.0,3351.0,,5310,29740,,4796,2611,,,2185.0,1185,0.0,285.0,,285.0,900.0,9151,,49.0,2336,15132,13452,12637.0,815.0,,815.0,16360,823.0,12114.0,3374,29812,44944,0,281,281.0,0.0,0.0,16408.0,-13839,2850,46,2896,47840,
09/29/2019,49275,2539,2539,0.0,2384,2384.0,0.0,11004.0,3474,0.0,2696.0,318.0,460.0,402,,3278.0,,372.0,19803,7224,,,0.0,,22248,13674.0,10762.0,2912.0,,5296,29472,,5321,2904,,,2417.0,1182,0.0,282.0,,282.0,900.0,9012,,37.0,2198,15515,13470,12652.0,818.0,,818.0,16353,828.0,12113.0,3375,29823,45338,0,281,281.0,0.0,0.0,17265.0,-13653,3893,44,3937,49275,
12/31/2019,47528,1514,1514,0.0,2337,2337.0,0.0,9094.0,3619,0.0,2783.0,304.0,532.0,531,,3319.0,0.0,513.0,17095,7591,17978.0,-10387.0,1800.0,1800.0,21042,13817.0,10604.0,3213.0,2.0,3904,30433,,3854,1281,0.0,0.0,2573.0,1495,0.0,245.0,0.0,245.0,1250.0,8623,0.0,,1546,13972,12259,11404.0,855.0,0.0,855.0,18126,810.0,13571.0,3745,30385,44357,0,280,280.0,0.0,0.0,18401.0,-15554,3127,44,3171,47528,
03/29/2020,49248,1988,1988,0.0,2892,2892.0,0.0,10189.0,3539,0.0,2717.0,301.0,521.0,614,,3164.0,,548.0,19222,6605,,,0.0,,23421,13707.0,10565.0,3142.0,,6550,30026,,5295,3166,,,2129.0,1250,0.0,,,,1250.0,9107,,37.0,1865,15652,11439,11439.0,,,,18670,812.0,13078.0,4743,30109,45761,0,279,279.0,0.0,0.0,18708.0,-15541,3446,41,3487,49248,
06/28/2020,49603,2855,2855,0.0,2835,2835.0,0.0,9821.0,3521,0.0,2644.0,313.0,564.0,538,,3127.0,,488.0,19570,6663,,,0.0,,23370,13656.0,10579.0,3077.0,,6587,30033,,4048,1453,,,2595.0,500,0.0,,,,500.0,10340,,,2831,14888,12174,12174.0,,,,18755,805.0,12921.0,5029,30929,45817,0,278,278.0,0.0,0.0,18876.0,-15403,3751,35,3786,49603,
