Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2009,35829,544,544,0.0,101,101.0,,1881,1091.0,250.0,540.0,0.0,2356,,1561.0,795.0,4882,2824,6081,-3257,5031,5031.0,23092,17147.0,4998.0,12149.0,4780.0,1165,30947,,5809,293,,667.0,4849.0,1168,393.0,,,775.0,0,,,0,6977,11684,11684.0,,,13791,,3944.0,8191.0,1656,25475,32452,,7017,935.0,6082.0,-24063.0,22404.0,-2015.0,3343,34.0,3377,35829,
09/30/2009,35880,1030,1030,0.0,92,92.0,,1762,1057.0,231.0,474.0,0.0,2124,,1501.0,623.0,5008,2774,6127,-3353,4836,4836.0,23262,17140.0,4998.0,12142.0,4962.0,1160,30872,,6395,312,,709.0,5374.0,775,0.0,,,775.0,0,,,0,7170,11184,11184.0,,,13771,,3970.0,8306.0,1495,24955,32125,,7016,935.0,6081.0,-24042.0,22581.0,-1834.0,3721,34.0,3755,35880,
12/31/2009,36677,1871,1871,0.0,96,96.0,0.0,1810,1150.0,293.0,367.0,0.0,1996,0.0,1336.0,660.0,5773,2684,6144,-3460,4803,4803.0,23417,17312.0,5174.0,12138.0,4980.0,1125,30904,,7217,494,0.0,710.0,6013.0,775,0.0,0.0,0.0,775.0,0,0.0,0.0,0,7992,11185,11185.0,0.0,0.0,13396,0.0,3483.0,8563.0,1350,24581,32573,0.0,6932,935.0,5997.0,-23901.0,22599.0,-1561.0,4069,35.0,4104,36677,
03/31/2010,37999,3290,3290,0.0,170,170.0,,1813,1144.0,281.0,388.0,0.0,1765,,1261.0,504.0,7038,2635,6012,-3377,4715,4715.0,23611,17306.0,5174.0,12132.0,5177.0,1128,30961,,8065,311,204.0,733.0,6817.0,975,200.0,,,775.0,0,,,0,9040,11185,11185.0,,,13477,,3504.0,8481.0,1492,24662,33702,,6755,935.0,5820.0,-23684.0,22683.0,-1491.0,4263,34.0,4297,37999,
06/30/2010,35245,854,854,0.0,90,90.0,,1650,1011.0,248.0,391.0,0.0,2058,,1267.0,791.0,4652,2535,5821,-3286,4691,4691.0,23367,17302.0,5174.0,12128.0,5119.0,946,30593,,5351,277,,733.0,4341.0,200,200.0,,,,0,,,0,5551,11984,11984.0,,,13154,,3517.0,8464.0,1173,25138,30689,,6744,935.0,5809.0,-23643.0,22996.0,-1576.0,4521,35.0,4556,35245,
09/30/2010,37110,1700,1700,0.0,82,82.0,,1618,1003.0,225.0,390.0,0.0,2106,,1264.0,842.0,5506,2422,5177,-2755,4647,4647.0,24535,17296.0,5174.0,12122.0,5374.0,1865,31604,,6349,320,132.0,796.0,5101.0,0,,,,,0,,,0,6349,12194,12194.0,,,13382,,3516.0,8771.0,1095,25576,31925,,6695,935.0,5760.0,-23510.0,23334.0,-1369.0,5150,35.0,5185,37110,
12/31/2010,37402,2314,2314,0.0,85,85.0,,1803,1120.0,299.0,384.0,0.0,1779,,1165.0,614.0,5981,2380,5150,-2770,4502,4502.0,24539,17292.0,5174.0,12118.0,5367.0,1880,31421,,6840,529,,797.0,5514.0,0,0.0,0.0,0.0,,0,,,0,6840,12194,12194.0,0.0,0.0,13141,,3593.0,8498.0,1050,25335,32175,,6686,935.0,5751.0,-23469.0,23459.0,-1484.0,5192,35.0,5227,37402,
03/31/2011,38584,3432,3432,0.0,71,71.0,0.0,1824,1099.0,299.0,426.0,0.0,1661,,1163.0,498.0,6988,2339,5099,-2760,4483,4483.0,24774,17286.0,5174.0,12112.0,5649.0,1839,31596,,7884,282,337.0,798.0,6467.0,0,0.0,,,,0,,,0,7884,12194,12194.0,,,13018,,3399.0,8512.0,1107,25212,33096,0.0,6556,935.0,5621.0,-23313.0,23601.0,-1391.0,5453,35.0,5488,38584,
06/30/2011,36832,2064,2064,0.0,166,166.0,,1673,990.0,279.0,404.0,0.0,1754,,1163.0,591.0,5657,2305,4737,-2432,3869,3869.0,25001,17281.0,5174.0,12107.0,5927.0,1793,31175,,5446,252,42.0,792.0,4360.0,0,,,,,0,,,0,5446,13688,13688.0,,,13030,,3406.0,8212.0,1412,26718,32164,,6562,935.0,5627.0,-23906.0,23256.0,-1279.0,4633,35.0,4668,36832,
09/30/2011,37201,3043,3043,0.0,194,194.0,,1625,959.0,243.0,423.0,0.0,1713,,1187.0,526.0,6575,2284,4762,-2478,3814,3814.0,24528,17276.0,5174.0,12102.0,5539.0,1713,30626,,6379,326,192.0,846.0,5015.0,600,0.0,,,600.0,0,,,0,6979,13088,13088.0,,,12679,,3399.0,8080.0,1200,25767,32746,,6585,935.0,5650.0,-24290.0,23585.0,-1461.0,4419,36.0,4455,37201,
12/31/2011,36962,3270,3270,0.0,268,268.0,0.0,1779,1104.0,316.0,359.0,0.0,1814,0.0,1207.0,607.0,7131,2216,4728,-2512,3559,3559.0,24056,17272.0,5174.0,12098.0,5509.0,1275,29831,,7043,503,0.0,841.0,5699.0,600,0.0,0.0,0.0,600.0,0,0.0,0.0,0,7643,13089,13089.0,0.0,0.0,12515,0.0,4021.0,7562.0,932,25604,33247,0.0,6609,935.0,5674.0,-24625.0,23583.0,-1887.0,3680,35.0,3715,36962,
03/31/2012,37815,4156,4156,0.0,244,244.0,0.0,1830,1110.0,310.0,410.0,0.0,1663,,1207.0,456.0,7893,2165,4737,-2572,3247,3247.0,24510,17267.0,5174.0,12093.0,5965.0,1278,29922,,8181,328,309.0,839.0,6705.0,600,0.0,,,600.0,0,,,0,8781,13089,13089.0,,,12209,,3521.0,7446.0,1242,25298,34079,0.0,6568,935.0,5633.0,-24902.0,23720.0,-1685.0,3701,35.0,3736,37815,
06/30/2012,34547,1528,1528,0.0,256,256.0,,1684,983.0,269.0,432.0,0.0,1675,,1207.0,468.0,5143,2131,4750,-2619,3012,3012.0,24261,17262.0,5174.0,12088.0,6486.0,513,29404,,5481,335,,836.0,4310.0,600,0.0,,,600.0,0,,,0,6081,13089,13089.0,,,11069,,3506.0,6838.0,725,24158,30239,,6582,935.0,5647.0,-24969.0,24334.0,-1674.0,4273,35.0,4308,34547,
09/30/2012,35038,2186,2186,0.0,196,196.0,,1624,934.0,261.0,429.0,0.0,1928,,1287.0,641.0,5934,2111,4719,-2608,2805,2805.0,24188,17257.0,5174.0,12083.0,6468.0,463,29104,,6348,289,,895.0,5164.0,0,0.0,,,0.0,0,,,0,6348,13878,13878.0,,,10911,,3475.0,6815.0,621,24789,31137,,6605,935.0,5670.0,-25233.0,24098.0,-1604.0,3866,35.0,3901,35038,
12/31/2012,35329,2900,2900,0.0,193,193.0,0.0,1746,1049.0,349.0,348.0,0.0,1476,0.0,1216.0,260.0,6315,2102,4750,-2648,2581,2581.0,24331,17252.0,5174.0,12078.0,6637.0,442,29014,,6800,451,0.0,888.0,5461.0,1459,0.0,0.0,0.0,1459.0,0,0.0,0.0,0,8259,12419,12419.0,0.0,0.0,11447,0.0,4239.0,6652.0,556,23866,32125,0.0,6623,935.0,5688.0,-25731.0,24316.0,-2040.0,3168,36.0,3204,35329,
03/31/2013,36006,3775,3775,0.0,112,112.0,0.0,1816,1038.0,339.0,439.0,0.0,1413,,1216.0,197.0,7116,2068,4763,-2695,2385,2385.0,24437,17247.0,5174.0,12073.0,6749.0,441,28890,,7514,259,600.0,886.0,5769.0,1984,0.0,,,1984.0,0,,,0,9498,11894,11894.0,,,11009,,3824.0,6657.0,528,22903,32401,0.0,6591,935.0,5656.0,-25771.0,24817.0,-2068.0,3569,36.0,3605,36006,
06/30/2013,34440,2571,2571,0.0,114,114.0,0.0,1701,941.0,311.0,449.0,0.0,1474,,1217.0,257.0,5860,2040,4776,-2736,2345,2345.0,24195,17242.0,5174.0,12068.0,6502.0,451,28580,,5086,275,,885.0,3926.0,1984,0.0,,,1984.0,0,,,0,7070,12890,12890.0,,,10881,,3791.0,6560.0,530,23771,30841,0.0,6605,935.0,5670.0,-25911.0,25201.0,-2330.0,3565,34.0,3599,34440,
09/30/2013,35950,4211,4211,0.0,92,92.0,0.0,1718,975.0,307.0,436.0,0.0,1528,,1218.0,310.0,7549,2041,4787,-2746,2153,2153.0,24207,17237.0,5174.0,12063.0,6520.0,450,28401,,6353,347,,963.0,5043.0,1984,0.0,,,1984.0,0,,,0,8337,12892,12892.0,,,10706,,3735.0,6466.0,505,23598,31935,0.0,6636,935.0,5701.0,-26068.0,25636.0,-2223.0,3981,34.0,4015,35950,
12/31/2013,34859,3175,3175,0.0,115,115.0,,1879,1113.0,394.0,372.0,0.0,1421,,1100.0,321.0,6590,2028,4817,-2789,1997,1997.0,24244,17232.0,5174.0,12058.0,6455.0,557,28269,,6533,409,,959.0,5165.0,525,0.0,0.0,0.0,525.0,0,,,0,7058,13992,13992.0,0.0,0.0,9656,,2367.0,6854.0,435,23648,30706,0.0,6649,935.0,5714.0,-26320.0,25168.0,-1378.0,4119,34.0,4153,34859,
03/31/2014,35406,3620,3620,0.0,113,113.0,,1970,1164.0,379.0,427.0,0.0,1274,,1100.0,174.0,6977,2003,4828,-2825,1874,1874.0,24552,17227.0,5174.0,12053.0,6734.0,591,28429,,7584,321,518.0,957.0,5788.0,0,,,,,0,,,0,7584,13992,13992.0,,,9683,,2369.0,6908.0,406,23675,31259,0.0,6613,935.0,5678.0,-26568.0,25388.0,-1318.0,4115,32.0,4147,35406,
06/30/2014,33282,1193,1193,0.0,105,105.0,,1850,1029.0,335.0,486.0,0.0,1327,,1101.0,226.0,4475,1997,4816,-2819,1783,1783.0,25027,17344.0,5285.0,12059.0,7033.0,650,28807,,5046,311,,954.0,3781.0,0,0.0,,,0.0,0,,,0,5046,13993,13993.0,,,9816,,2365.0,6970.0,481,23809,28855,0.0,6627,935.0,5692.0,-26701.0,25698.0,-1229.0,4395,32.0,4427,33282,
09/30/2014,34082,2241,2241,0.0,106,106.0,,1890,1028.0,347.0,515.0,0.0,1425,,1095.0,330.0,5662,1998,4851,-2853,1773,1773.0,24649,17339.0,5285.0,12054.0,6640.0,670,28420,,6067,332,,1031.0,4704.0,1300,0.0,,,1300.0,0,,,0,7367,12693,12693.0,,,9696,,2365.0,6829.0,502,22389,29756,0.0,6658,935.0,5723.0,-26976.0,26066.0,-1454.0,4294,32.0,4326,34082,
12/31/2014,34475,3321,3321,0.0,124,124.0,0.0,2040,1191.0,429.0,420.0,0.0,1393,0.0,1143.0,250.0,6878,1983,4755,-2772,0,,25614,17334.0,5285.0,12049.0,6183.0,2097,27597,,6673,416,0.0,1028.0,5229.0,1000,0.0,0.0,0.0,1000.0,0,0.0,0.0,0,7673,13693,13693.0,0.0,0.0,10064,0.0,3473.0,6088.0,503,23757,31430,0.0,6670,935.0,5735.0,-27251.0,26277.0,-2682.0,3014,31.0,3045,34475,
03/31/2015,34212,3674,3674,0.0,172,172.0,,2085,1219.0,410.0,456.0,0.0,1302,,1143.0,159.0,7233,1972,4784,-2812,0,,25007,17329.0,5285.0,12044.0,5850.0,1828,26979,,7895,274,482.0,1026.0,6113.0,1000,0.0,,,1000.0,0,,,0,8895,12901,12901.0,,,9854,,3432.0,5907.0,515,22755,31650,0.0,6689,935.0,5754.0,-27482.0,26271.0,-2945.0,2533,29.0,2562,34212,
06/30/2015,31869,1123,1123,0.0,142,142.0,,1914,1066.0,367.0,481.0,0.0,1454,,1143.0,311.0,4633,1991,4805,-2814,1339,1339.0,23906,17324.0,5285.0,12039.0,6117.0,465,27236,,5258,290,,1023.0,3945.0,1003,0.0,,,1003.0,0,,,0,6261,12917,12917.0,,,9882,,3396.0,6011.0,475,22799,29060,0.0,6703,935.0,5768.0,-27744.0,26698.0,-2878.0,2779,30.0,2809,31869,
09/30/2015,31999,1907,1907,0.0,137,137.0,0.0,1954,1050.0,393.0,511.0,0.0,1513,,1143.0,370.0,5511,2016,4866,-2850,0,,24472,17318.0,5285.0,12033.0,5442.0,1712,26488,,6564,307,,1110.0,5147.0,3,0.0,,,3.0,0,,,0,6567,12918,12918.0,,,9598,,3347.0,5831.0,420,22516,29083,0.0,6735,935.0,5800.0,-27809.0,27118.0,-3157.0,2887,29.0,2916,31999,
12/31/2015,31459,2369,2369,0.0,124,124.0,0.0,2031,1138.0,444.0,449.0,0.0,387,0.0,,235.0,4911,1982,4877,-2895,0,,24566,17313.0,5285.0,12028.0,5483.0,1770,26548,,7066,400,,1110.0,5556.0,4,0.0,0.0,0.0,4.0,0,0.0,0.0,0,7070,12843,12843.0,0.0,0.0,8636,0.0,3522.0,4667.0,447,21479,28549,0.0,6748,935.0,5813.0,-27845.0,27257.0,-3280.0,2880,30.0,2910,31459,
03/31/2016,34063,3815,3815,0.0,104,104.0,,2108,1172.0,436.0,500.0,0.0,1471,,1175.0,296.0,7498,1955,4849,-2894,0,,24610,17308.0,5285.0,12023.0,5743.0,1559,26565,,8612,208,590.0,1109.0,6705.0,4,0.0,,,4.0,0,,,0,8616,12846,12846.0,,,9816,,3793.0,5606.0,417,22662,31278,0.0,6753,935.0,5818.0,-28048.0,27367.0,-3327.0,2745,40.0,2785,34063,
06/30/2016,31324,819,819,0.0,122,122.0,0.0,1970,1016.0,391.0,563.0,0.0,1689,,1188.0,501.0,4600,1962,4866,-2904,0,,24762,17332.0,5285.0,12047.0,5877.0,1553,26724,,5512,193,,1107.0,4212.0,0,0.0,,,0.0,0,,,0,5512,12837,12837.0,,,9796,,3722.0,5659.0,415,22633,28145,0.0,6786,935.0,5851.0,-28221.0,27915.0,-3340.0,3140,39.0,3179,31324,
09/30/2016,32934,2298,2298,0.0,146,146.0,0.0,1980,1018.0,410.0,552.0,0.0,1979,,1188.0,791.0,6403,1969,4820,-2851,0,,24562,17327.0,5285.0,12042.0,5826.0,1409,26531,,6895,296,,1193.0,5406.0,0,0.0,,,0.0,0,,,0,6895,13878,13878.0,,,9178,,3159.0,5607.0,412,23056,29951,0.0,6799,935.0,5864.0,-28393.0,27816.0,-3278.0,2944,39.0,2983,32934,
12/31/2016,45932,4569,4569,0.0,151,151.0,0.0,2051,1056.0,512.0,483.0,0.0,489,0.0,,489.0,7260,1958,4835,-2877,0,,36714,17321.0,5285.0,12036.0,17852.0,1541,38672,,7375,425,,1188.0,5762.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,7375,13881,13881.0,0.0,0.0,11865,0.0,3022.0,8416.0,427,25746,33121,0.0,6828,935.0,5893.0,-28912.0,36906.0,-2052.0,12770,41.0,12811,45932,
03/31/2017,46175,5228,5228,0.0,135,135.0,0.0,2122,1058.0,492.0,572.0,0.0,141,,,141.0,7626,1923,4856,-2933,0,,36626,17508.0,5307.0,12201.0,17579.0,1539,38549,,8300,235,416.0,1184.0,6465.0,0,0.0,,,0.0,0,,,0,8300,13884,13884.0,,,11690,,2950.0,8309.0,431,25574,33874,0.0,6844,935.0,5909.0,-29496.0,37124.0,-2212.0,12260,41.0,12301,46175,
06/30/2017,43726,2255,2255,0.0,119,119.0,0.0,1999,947.0,434.0,618.0,0.0,238,,,238.0,4611,1900,4852,-2952,0,,37215,17503.0,5307.0,12196.0,18219.0,1493,39115,,5582,194,108.0,1176.0,4104.0,0,0.0,,,,0,,,0,5582,13887,13887.0,,,11800,,2879.0,8527.0,394,25687,31269,0.0,6863,935.0,5928.0,-30546.0,37939.0,-1838.0,12418,39.0,12457,43726,
09/30/2017,44160,2582,2582,0.0,148,148.0,0.0,1987,964.0,432.0,591.0,0.0,439,,,439.0,5156,1907,4846,-2939,0,,37097,17503.0,5307.0,12196.0,18213.0,1381,39004,,6662,270,,1264.0,5128.0,0,0.0,,,0.0,0,,,0,6662,13890,13890.0,,,11402,,2796.0,8234.0,372,25292,31954,0.0,6875,935.0,5940.0,-31305.0,38542.0,-1946.0,12166,40.0,12206,44160,
12/31/2017,43202,1253,1253,0.0,142,142.0,0.0,2225,1111.0,560.0,554.0,0.0,724,0.0,,724.0,4344,1914,4879,-2965,0,,36944,17707.0,5307.0,12400.0,17952.0,1285,38858,,5928,374,,1258.0,4296.0,864,0.0,0.0,0.0,864.0,0,0.0,0.0,0,6792,13030,13030.0,0.0,0.0,7962,0.0,2432.0,5247.0,283,20992,27784,0.0,6887,935.0,5952.0,-31864.0,42251.0,-1897.0,15377,41.0,15418,43202,
03/31/2018,43899,2191,2191,0.0,133,133.0,0.0,2257,1104.0,547.0,606.0,0.0,243,,,243.0,4824,1891,4879,-2988,0,,37184,17707.0,5307.0,12400.0,18199.0,1278,39075,,6611,203,,1330.0,5078.0,864,0.0,,,864.0,0,,,0,7475,13033,13033.0,,,7957,,2369.0,5292.0,296,20990,28465,0.0,6873,935.0,5938.0,-32368.0,42816.0,-1927.0,15394,40.0,15434,43899,
06/30/2018,43177,1430,1430,0.0,144,144.0,0.0,2123,1001.0,501.0,621.0,0.0,434,,,434.0,4131,1878,4818,-2940,0,,37168,17712.0,5307.0,12405.0,18178.0,1278,39046,,5524,209,,1325.0,3990.0,864,0.0,,,864.0,0,,,0,6388,13036,13036.0,,,7918,,2312.0,5376.0,230,20954,27342,0.0,6883,935.0,5948.0,-32804.0,43369.0,-1652.0,15796,39.0,15835,43177,
09/30/2018,43953,2393,2393,0.0,187,187.0,0.0,2077,982.0,506.0,589.0,0.0,508,,,508.0,5165,1891,4861,-2970,0,,36897,17692.0,5307.0,12385.0,17825.0,1380,38788,,6639,289,,1508.0,4842.0,2007,0.0,,,2007.0,0,,,0,8646,11896,11896.0,,,7877,,2243.0,5427.0,207,19773,28419,0.0,6894,935.0,5959.0,-33171.0,43805.0,-2034.0,15494,40.0,15534,43953,
12/31/2018,55459,1333,1333,0.0,142,142.0,0.0,2331,1126.0,647.0,558.0,0.0,493,4.0,,456.0,4299,1938,4950,-3012,0,,49222,17475.0,5196.0,12279.0,30496.0,1247,51160,,7345,399,,1503.0,5443.0,13848,12704.0,0.0,0.0,1144.0,0,0.0,4.0,0,21193,11898,11898.0,0.0,0.0,7540,0.0,2293.0,4993.0,250,19438,40631,0.0,6896,935.0,5961.0,-33524.0,43962.0,-2547.0,14787,41.0,14828,55459,
03/31/2019,59233,3352,3352,0.0,158,158.0,0.0,2356,1120.0,651.0,585.0,0.0,396,,,396.0,6262,1922,4917,-2995,0,,51049,17523.0,5196.0,12327.0,32015.0,1511,52971,,7975,205,,1501.0,6269.0,2144,0.0,,,2144.0,0,,,0,10119,27024,27024.0,,,7971,,2261.0,5353.0,357,34995,45114,0.0,6878,935.0,5943.0,-33664.0,43582.0,-2717.0,14079,40.0,14119,59233,
06/30/2019,57501,1796,1796,0.0,163,163.0,0.0,2235,1031.0,603.0,601.0,0.0,289,,,289.0,4483,1917,4933,-3016,0,,51101,17527.0,5196.0,12331.0,32094.0,1480,53018,,5808,224,,1498.0,4086.0,2144,0.0,,,2144.0,0,,,0,7952,27096,27096.0,,,7949,,2207.0,5378.0,364,35045,42997,0.0,6888,935.0,5953.0,-33859.0,44081.0,-2646.0,14464,40.0,14504,57501,
09/30/2019,52913,1604,1604,0.0,165,165.0,0.0,2188,1021.0,598.0,569.0,0.0,334,,,334.0,4291,1962,5009,-3047,0,,46660,17950.0,5262.0,12688.0,27346.0,1364,48622,,6662,246,,1573.0,4843.0,1000,0.0,,,1000.0,0,,,0,7662,26903,26903.0,,,7672,,2116.0,5240.0,316,34575,42237,0.0,6895,935.0,5960.0,-33858.0,39910.0,-2402.0,10545,131.0,10676,52913,
12/31/2019,49271,2117,2117,0.0,152,152.0,0.0,2293,1066.0,696.0,531.0,0.0,262,303.0,,216.0,4824,1999,5074,-3075,0,,42448,17864.0,5177.0,12687.0,23581.0,700,44447,,7167,318,,1565.0,5284.0,1000,0.0,0.0,0.0,1000.0,7,0.0,21.0,0,8174,27042,27042.0,,,7698,0.0,2270.0,5083.0,324,34740,42914,0.0,6905,935.0,5970.0,-34358.0,36539.0,-2864.0,6222,135.0,6357,49271,
03/31/2020,52618,5616,5616,0.0,147,147.0,0.0,2006,1088.0,467.0,451.0,0.0,166,,,166.0,7935,1997,5103,-3106,0,,42686,17845.0,5177.0,12668.0,23861.0,980,44683,,8154,278,393.0,1565.0,5918.0,3000,3000.0,,,0.0,0,,,0,11154,26971,26971.0,,,7818,,2225.0,5191.0,402,34789,45943,0.0,6894,935.0,5959.0,-34346.0,36528.0,-2533.0,6543,132.0,6675,52618,
06/30/2020,50200,4826,4826,0.0,140,140.0,0.0,1914,962.0,433.0,519.0,0.0,124,,,124.0,7004,2002,5137,-3135,0,,41194,17827.0,5177.0,12650.0,22319.0,1048,43196,,7900,273,1066.0,1565.0,4996.0,1500,0.0,,,1500.0,0,,,0,9400,27542,27542.0,,,7434,,2177.0,4847.0,410,34976,44376,0.0,6899,935.0,5964.0,-34345.0,36908.0,-3774.0,5688,136.0,5824,50200,
