Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2011,295.4,295.4,-210.1,210.1,85.3,0.0,-58.4,48.4,7.2,2.8,26.9,-2.5,3.9,4.7,-0.8,,,0.0,24.4,-5.5,,,18.9,0.0,0.0,0.0,18.9,0.0,18.9,0.0,0.0,18.9,20.335,1.435,67.6,0.28,0.28,0.300814,74.2,0.27,0.27,0.28934,
03/31/2012,316.3,316.3,-215.2,215.2,101.1,0.0,-59.4,51.3,8.3,-0.2,41.7,-2.7,3.9,4.3,-0.4,,,0.0,39.0,-9.8,,,29.2,0.0,0.0,0.0,29.2,,29.2,0.0,0.0,29.2,29.86,0.66,67.8,0.43,0.43,0.440413,74.2,0.405,0.405,0.413895,
06/30/2012,324.8,324.8,-226.1,226.1,98.7,0.0,-62.8,54.4,8.2,0.2,35.9,-13.8,4.3,4.9,-0.6,,,11.6,22.1,-6.5,,,15.6,0.0,0.0,0.0,15.6,0.0,15.6,0.0,0.0,15.6,28.005,12.405,68.0,0.23,0.23,0.411838,73.2,0.225,0.225,0.394467,
09/30/2012,303.8,303.8,-213.4,213.4,90.4,0.0,-64.1,53.7,8.2,2.2,26.3,-2.5,3.9,4.4,-0.5,,,0.0,23.8,-9.0,,,14.8,0.0,0.0,0.0,14.8,0.0,14.8,0.0,0.0,14.8,17.715,2.915,68.2,0.215,0.215,0.25975,69.4,0.215,0.215,0.257003,
12/31/2012,321.5,321.5,-224.0,224.0,97.5,0.0,-66.0,58.6,8.6,-1.2,31.5,-3.1,3.2,4.2,-1.0,,,0.0,28.4,-7.3,,,21.1,0.0,0.0,0.0,21.1,0.0,21.1,0.0,0.0,21.1,21.49,0.39,68.4,0.31,0.31,0.314182,70.0,0.3,0.3,0.305571,
03/31/2013,339.4,339.4,-227.7,227.7,111.7,0.0,-68.4,59.1,9.1,0.2,43.3,-3.0,4.0,4.6,-0.6,,,0.2,40.3,-8.6,,,31.7,0.0,0.0,0.0,31.7,0.0,31.7,0.0,0.0,31.7,29.196,-2.504,69.0,0.46,0.46,0.423131,70.2,0.45,0.45,0.41433,
06/30/2013,344.5,344.5,-233.6,233.6,110.9,0.0,-68.4,59.7,9.5,-0.8,42.5,-2.0,3.7,4.1,-0.4,,,0.0,40.5,-10.3,,,30.2,0.0,0.0,0.0,30.2,0.0,30.2,0.0,0.0,30.2,30.33,0.13,69.4,0.435,0.435,0.437032,70.8,0.43,0.43,0.431836,
09/30/2013,341.8,341.8,-236.3,236.3,105.5,0.0,-65.8,56.1,9.6,0.1,39.7,-2.3,4.0,4.4,-0.4,,,0.0,37.4,-10.6,,,26.8,0.0,0.0,0.0,26.8,0.0,26.8,0.0,0.0,26.8,29.723,2.923,69.8,0.38,0.38,0.425831,71.4,0.37,0.37,0.410938,
12/31/2013,342.7,342.7,-236.1,236.1,106.6,0.0,-69.7,60.0,9.7,0.0,36.9,-3.4,3.4,3.9,-0.5,,0.8,0.0,33.5,-10.7,,,23.6,0.0,0.0,0.0,23.6,0.0,23.6,0.0,0.0,23.6,30.235,7.435,70.1,0.34,0.34,0.442725,72.2,0.33,0.33,0.432978,
03/31/2014,346.8,346.8,-240.4,240.4,106.4,0.0,-67.1,56.4,10.0,0.7,39.3,-3.6,3.6,4.0,-0.4,,1.2,0.0,35.7,-9.8,,,27.1,0.0,0.0,0.0,27.1,0.0,27.1,0.0,0.0,27.1,27.1,0.0,70.6,0.38,0.38,0.38,72.3,0.38,0.38,0.38,
06/30/2014,368.9,368.9,-247.1,247.1,121.8,0.0,-67.7,57.5,9.9,0.3,54.1,-3.7,3.7,4.2,-0.5,,1.2,0.0,50.4,-14.0,,,37.6,0.0,0.0,0.0,37.6,0.0,37.6,0.0,0.0,37.6,37.6,0.0,70.8,0.53,0.53,0.53,72.4,0.52,0.52,0.52,
09/30/2014,355.9,355.9,-246.0,246.0,109.9,0.0,-65.9,56.0,9.6,0.3,44.0,-2.7,2.7,4.5,-1.8,,1.4,0.0,41.3,-11.7,,,31.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,31.0,32.58,1.58,71.0,0.44,0.44,0.458873,72.6,0.43,0.43,0.451763,
12/31/2014,349.8,349.8,-240.1,240.1,109.7,0.0,-65.1,58.8,7.8,-1.5,44.6,-2.9,2.9,3.7,-0.8,,1.5,0.0,41.7,-11.8,,,31.4,0.0,0.0,0.0,31.4,0.0,31.4,0.0,0.0,31.4,31.4,0.0,71.3,0.44,0.44,0.44,73.2,0.43,0.43,0.43,
03/31/2015,335.9,335.9,-226.2,226.2,109.7,0.0,-61.9,55.2,7.5,-0.8,47.8,-3.7,3.7,4.1,-0.4,,1.3,0.0,44.1,-12.5,,,32.9,0.0,0.0,0.0,32.9,0.0,32.9,0.0,0.0,32.9,33.03,0.13,71.7,0.46,0.46,0.460669,73.3,0.45,0.45,0.451774,
06/30/2015,359.7,359.7,-241.5,241.5,118.2,0.0,-79.1,60.8,8.1,10.2,39.1,-3.0,3.0,3.4,-0.4,,0.9,0.0,36.1,-9.2,,,27.8,0.0,0.0,0.0,27.8,0.0,27.8,0.0,0.0,27.8,34.765,6.965,72.0,0.39,0.39,0.482847,73.7,0.38,0.38,0.474505,
09/30/2015,344.5,344.5,-236.2,236.2,108.3,0.0,-111.8,54.6,8.5,48.7,-3.5,-3.2,3.2,3.7,-0.5,,1.6,0.0,-6.7,6.6,,,1.5,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.5,1.825,0.325,72.2,0.02,0.02,0.025277,73.9,0.02,0.02,0.024398,
12/31/2015,359.7,359.7,-240.1,240.1,119.6,0.0,-74.4,62.4,10.0,2.0,45.2,-2.6,2.6,2.9,-0.3,,2.0,0.0,42.6,-11.2,,,33.4,0.0,0.0,0.0,33.4,0.0,33.4,0.0,0.0,33.4,34.395,0.995,72.3,0.46,0.46,0.475726,74.1,0.45,0.45,0.463428,
03/31/2016,362.1,362.1,-238.8,238.8,123.3,0.0,-93.3,58.1,9.4,25.8,30.0,-2.2,2.2,2.5,-0.3,,1.2,0.0,27.8,-6.9,-7.9,14.8,22.1,0.0,0.0,0.0,22.1,0.0,22.1,0.0,0.0,22.1,39.73,17.63,72.5,0.31,0.31,0.548,74.1,0.3,0.3,0.537922,
06/30/2016,388.0,388.0,-254.7,254.7,133.3,0.0,-72.1,62.5,8.8,0.8,61.2,-1.7,1.7,2.0,-0.3,,2.2,0.0,59.5,-17.0,,,44.7,0.0,0.0,0.0,44.7,0.0,44.7,0.0,0.0,44.7,45.005,0.305,73.3,0.61,0.61,0.613984,74.8,0.6,0.6,0.604078,
09/30/2016,376.7,376.7,-255.6,255.6,121.1,0.0,-69.8,58.3,9.0,2.5,51.3,-2.0,2.0,2.2,-0.2,,2.7,0.0,49.3,-14.4,,,37.6,0.0,0.0,0.0,37.6,0.0,37.6,0.0,0.0,37.6,39.5,1.9,73.3,0.51,0.51,0.538881,75.0,0.5,0.5,0.525333,
12/31/2016,382.3,382.3,-258.9,258.9,123.4,0.0,-69.1,60.9,9.6,-1.4,54.3,-1.1,1.1,1.4,-0.3,,2.0,0.0,53.2,-16.1,,,39.1,0.0,0.0,0.0,39.1,0.0,39.1,0.0,0.0,39.1,40.56,1.46,73.2,0.53,0.53,0.554098,74.9,0.52,0.52,0.539493,
03/31/2017,387.7,387.7,-253.5,253.5,134.2,0.0,-73.7,62.5,10.3,0.9,60.5,-1.0,1.8,2.1,-0.3,,3.6,-0.8,59.5,-2.2,,,60.9,0.0,0.0,0.0,60.9,0.0,60.9,0.0,0.0,60.9,45.195,-15.705,73.3,0.83,0.83,0.616576,74.9,0.81,0.81,0.60032,
06/30/2017,397.6,397.6,-272.6,272.6,125.0,0.0,-82.3,60.6,10.0,11.7,42.7,-2.0,2.0,2.3,-0.3,,1.0,0.0,40.7,-2.9,,,38.8,0.0,0.0,0.0,38.8,0.0,38.8,0.0,0.0,38.8,50.16,11.36,73.9,0.53,0.53,0.678755,75.8,0.51,0.51,0.659868,
09/30/2017,398.2,398.2,-273.1,273.1,125.1,0.0,-62.2,62.6,9.1,-9.5,62.9,0.0,1.1,1.4,-0.3,,2.1,-1.1,62.9,-14.0,,,51.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,0.0,51.0,50.87,-0.13,74.2,0.69,0.69,0.68558,75.9,0.67,0.67,0.668287,
12/31/2017,415.6,415.6,-287.0,287.0,128.6,0.0,-68.2,59.6,9.7,-1.1,60.4,-1.1,1.7,2.1,-0.4,,2.5,-0.6,59.3,-61.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.915,46.915,74.2,0.0,0.0,0.632278,75.9,0.0,0.0,0.618116,
03/31/2018,415.7,415.7,-281.3,281.3,134.4,0.0,-81.0,68.3,9.6,3.1,53.4,0.3,1.3,1.9,-0.6,,2.4,-1.6,53.7,-12.5,,,43.6,0.0,0.0,0.0,43.6,0.0,43.6,0.0,0.0,43.6,46.837,3.237,73.9,0.59,0.59,0.633789,75.5,0.58,0.58,0.622874,
06/30/2018,447.5,447.5,-305.3,305.3,142.2,0.0,-81.9,70.0,10.8,1.1,60.3,-0.2,1.9,2.2,-0.3,,2.0,-1.7,60.1,-6.0,,,56.1,0.0,0.0,0.0,56.1,0.0,56.1,0.0,0.0,56.1,53.137,-2.963,73.6,0.76,0.76,0.72197,75.0,0.75,0.75,0.710493,
09/30/2018,431.7,431.7,-296.1,296.1,135.6,0.0,-74.8,64.9,10.1,-0.2,60.8,0.3,1.5,2.0,-0.5,,2.1,-1.8,61.1,-8.0,,,55.2,0.0,0.0,0.0,55.2,0.0,55.2,0.0,0.0,55.2,57.758,2.558,73.9,0.75,0.75,0.78157,75.7,0.73,0.73,0.763791,
12/31/2018,422.5,422.5,-289.3,289.3,133.2,0.0,-67.4,59.7,9.8,-2.1,65.8,0.0,1.6,2.3,-0.7,,1.1,-1.6,65.8,-14.9,,,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,0.0,52.0,52.114,0.114,73.9,0.7,0.7,0.705196,75.5,0.69,0.69,0.69151,
03/31/2019,443.5,443.5,-296.7,296.7,146.8,0.0,-76.1,68.6,9.8,-2.3,70.7,-0.8,1.4,2.3,-0.9,,1.6,-0.6,69.9,-16.1,,,55.4,0.0,0.0,0.0,55.4,0.0,55.4,0.0,0.0,55.4,55.958,0.558,74.1,0.75,0.75,0.755169,75.3,0.73,0.73,0.73741,
06/30/2019,469.7,469.7,-311.8,311.8,157.9,0.0,-77.4,70.3,9.6,-2.5,80.5,-0.9,1.4,2.0,-0.6,,2.0,-0.5,79.6,-15.5,,,66.1,0.0,0.0,0.0,66.1,0.0,66.1,0.0,0.0,66.1,67.279,1.179,73.7,0.9,0.9,0.912877,75.1,0.88,0.88,0.895699,
09/30/2019,456.1,456.1,-308.3,308.3,147.8,0.0,-80.5,64.8,9.3,6.4,67.3,-2.4,1.1,2.1,-1.0,,2.3,1.3,64.9,-10.9,,,56.3,0.0,0.0,0.0,56.3,0.0,56.3,0.0,0.0,56.3,59.579,3.279,74.0,0.76,0.76,0.805122,75.5,0.75,0.75,0.79343,
12/31/2019,470.6,470.6,-317.4,317.4,153.2,0.0,-75.1,69.0,10.2,-4.1,78.1,-0.7,0.8,2.1,-1.3,,3.0,-0.1,77.4,-16.5,,,63.9,0.0,0.0,0.0,63.9,0.0,63.9,0.0,0.0,63.9,63.443,-0.457,74.1,0.86,0.86,0.856181,75.7,0.84,0.84,0.833963,
03/31/2020,491.5,491.5,-324.5,324.5,167.0,0.0,-79.0,71.8,10.7,-3.5,88.0,-1.5,1.2,2.0,-0.8,,2.8,0.3,86.5,-15.0,,,74.3,0.0,0.0,0.0,74.3,0.0,74.3,0.0,0.0,74.3,75.4,1.1,73.9,1.01,1.01,1.020298,75.5,0.99,0.99,1.00457,
06/30/2020,527.2,527.2,-332.1,332.1,195.1,0.0,-91.5,77.7,10.8,3.0,103.6,-1.6,1.8,2.0,-0.2,,5.2,-0.2,102.0,-16.0,,,91.2,0.0,0.0,0.0,91.2,0.0,91.2,0.0,0.0,91.2,93.5,2.3,73.8,1.24,1.24,1.266938,75.5,1.21,1.21,1.240464,
09/30/2020,510.5,,,,181.059035,,,,,,95.15,,,,,,,,94.267,,,,74.133,,,,,,74.133,,,74.133,76.633,,,0.98,0.98,0.998,,0.98,0.98,0.998,
12/31/2020,522.25,,,,181.0484075,,,,,,93.45,,,,,,,,92.533,,,,76.433,,,,,,76.433,,,76.433,74.967,,,1.007,1.007,0.995,,1.007,1.007,0.995,
