Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2014,434.366,434.366,-219.629,219.629,214.737,0.0,-127.317,90.258,36.096,0.963,87.42,-4.636,3.122,3.593,-0.471,,1.514,82.784,-10.032,,72.752,0.0,0.0,0.0,72.752,0.0,72.752,0.0,0.0,72.752,82.852,10.1,140.634,0.52,0.52,0.589132,142.52,0.51,0.51,0.580867,
03/31/2015,344.517,344.517,-168.62,168.62,175.897,0.0,-110.143,75.369,34.774,0.0,65.754,-2.714,3.414,3.661,-0.247,,-0.7,63.04,-15.13,,47.91,0.0,0.0,0.0,47.91,0.0,47.91,0.0,0.0,47.91,48.04,0.13,139.768,0.34,0.34,0.343712,141.472,0.34,0.34,0.340919,
06/30/2015,392.975,392.975,-203.36,203.36,189.615,0.0,-119.084,83.958,35.126,0.0,70.531,-4.083,3.063,3.358,-0.295,,1.02,66.448,-15.948,,50.5,0.0,0.0,0.0,50.5,0.0,50.5,0.0,0.0,50.5,50.5,0.0,140.063,0.36,0.36,0.36,141.491,0.36,0.36,0.36,
09/30/2015,381.928,381.928,-201.189,201.189,180.739,0.0,-104.757,73.557,31.2,0.0,75.982,-4.806,3.351,3.67,-0.319,,1.455,71.176,1.896,,73.072,0.0,0.0,0.0,73.072,0.0,73.072,0.0,0.0,73.072,72.735,-0.337,139.596,0.52,0.52,0.521039,140.525,0.52,0.52,0.517602,
12/31/2015,437.647,437.647,-230.337,230.337,207.31,0.0,-113.813,81.553,31.994,0.266,93.497,11.285,3.091,3.397,-0.306,,-14.376,104.782,-34.578,,70.204,0.0,0.0,0.0,70.204,0.0,70.204,0.0,0.0,70.204,53.369232,-16.834768,138.0,0.51,0.51,0.386734,138.97,0.51,0.51,0.386734,
03/31/2016,379.472,379.472,-201.782,201.782,177.69,0.0,-120.313,83.033,37.28,0.0,57.377,-1.757,3.187,3.447,-0.26,,-1.43,55.62,-54.495,,1.125,0.0,0.0,0.0,1.125,0.0,1.125,0.0,0.0,1.125,41.857283,40.732283,137.496,0.01,0.01,0.304425,138.779,0.01,0.01,0.303505,
06/30/2016,402.729,402.729,-219.407,219.407,183.322,0.0,-118.11,79.902,38.208,0.0,65.212,-5.359,4.032,4.36,-0.328,,1.327,59.853,-14.485,,45.368,0.0,0.0,0.0,45.368,,45.368,0.0,0.0,45.368,46.438878,1.070878,137.861,0.33,0.33,0.336853,138.993,0.33,0.33,0.336853,
09/30/2016,405.228,405.228,-213.852,213.852,191.376,0.0,-110.527,76.688,33.839,0.0,80.849,-5.641,5.4,5.736,-0.336,,0.241,75.208,-16.575,,58.633,0.0,0.0,0.0,58.633,,58.633,0.0,0.0,58.633,61.55643,2.92343,136.963,0.43,0.43,0.449438,137.938,0.43,0.43,0.449438,
12/31/2016,474.738,474.738,-260.005,260.005,214.733,0.0,-122.453,83.795,38.444,0.214,92.28,-7.004,4.05,4.528,-0.478,,2.954,85.276,-23.776,,61.5,0.0,0.0,0.0,61.5,0.0,61.5,0.0,0.0,61.5,65.188413,3.688413,136.242,0.45,0.45,0.478475,137.543,0.45,0.45,0.476816,
03/31/2017,406.814,406.814,-215.493,215.493,191.321,0.0,-132.235,90.252,41.983,0.0,59.086,-3.522,4.182,4.453,-0.271,,-0.66,55.564,-12.993,,42.571,0.0,0.0,0.0,42.571,0.0,42.571,0.0,0.0,42.571,44.52984,1.95884,136.359,0.31,0.31,0.326563,138.239,0.31,0.31,0.32417,
06/30/2017,434.124,434.124,-227.392,227.392,206.732,0.0,-140.102,97.056,43.046,0.0,66.63,-3.09,4.117,4.472,-0.355,,-1.027,63.54,-12.127,,51.413,0.0,0.0,0.0,51.413,0.0,51.413,0.0,0.0,51.413,52.473657,1.060657,136.865,0.38,0.38,0.383397,138.449,0.37,0.37,0.377661,
09/30/2017,464.712,464.712,-241.821,241.821,222.891,0.0,-135.805,92.932,42.873,0.0,87.086,-2.553,3.331,3.819,-0.488,,-0.778,84.533,-21.004,,63.529,0.0,0.0,0.0,63.529,0.0,63.529,0.0,0.0,63.529,67.503493,3.974493,137.849,0.46,0.46,0.489692,139.419,0.46,0.46,0.488508,
12/31/2017,494.784,494.784,-256.952,256.952,237.832,0.0,-160.673,93.735,43.368,23.57,77.159,-1.731,3.41,4.06,-0.65,,-1.679,75.428,-125.718,,-50.29,0.0,0.0,0.0,-50.29,0.0,-50.29,0.0,0.0,-50.29,76.954528,127.244528,138.723,-0.36,-0.36,0.554735,138.723,-0.36,-0.36,0.554735,
03/31/2018,439.618,439.618,-221.704,221.704,217.914,0.0,-162.422,107.683,44.561,10.178,55.492,-0.877,3.096,4.052,-0.956,,-2.219,54.615,-15.42,,39.195,0.0,0.0,0.0,39.195,0.0,39.195,0.0,0.0,39.195,51.467985,12.272985,138.504,0.28,0.28,0.371599,140.994,0.28,0.28,0.367046,
06/30/2018,452.707,452.707,-220.156,220.156,232.551,0.0,-143.885,97.456,46.429,0.0,88.666,-5.713,3.336,3.992,-0.656,,2.377,82.953,-11.39,,71.563,0.0,0.0,0.0,71.563,0.0,71.563,0.0,0.0,71.563,72.540043,0.977043,137.749,0.52,0.52,0.52661,140.149,0.51,0.51,0.516971,
09/30/2018,434.898,434.898,-212.824,212.824,222.074,0.0,-133.522,91.525,41.997,0.0,88.552,-3.134,3.063,4.042,-0.979,,0.071,85.418,-12.267,,73.151,0.0,0.0,0.0,73.151,0.0,73.151,0.0,0.0,73.151,75.800012,2.649012,138.19,0.53,0.53,0.54852,140.327,0.52,0.52,0.538877,
12/31/2018,448.463,448.463,-220.684,220.684,227.779,0.0,-141.883,92.519,43.951,5.413,85.896,-1.779,2.751,4.061,-1.31,,-0.972,84.117,14.399,,98.516,0.0,0.0,0.0,98.516,0.0,98.516,0.0,0.0,98.516,80.575739,-17.940261,136.834,0.72,0.72,0.588858,138.509,0.71,0.71,0.580476,
03/31/2019,444.736,444.736,-210.875,210.875,233.861,0.0,-152.779,104.49,47.68,0.609,81.082,-6.325,4.459,5.516,-1.057,,1.866,74.757,-13.009,,61.748,0.0,0.0,0.0,61.748,0.0,61.748,0.0,0.0,61.748,67.722,5.974,135.541,0.46,0.46,0.499642,137.165,0.45,0.45,0.493553,
06/30/2019,481.998,481.998,-248.59,248.59,233.408,0.0,-169.671,113.713,52.957,3.001,63.737,-5.614,6.834,7.272,-0.438,,-1.22,58.123,-12.005,,46.118,0.0,0.0,0.0,46.118,0.0,46.118,0.0,0.0,46.118,54.946,8.828,135.519,0.34,0.34,0.405449,137.084,0.34,0.34,0.404398,
09/30/2019,471.248,471.248,-241.661,241.661,229.587,0.0,-155.199,105.149,50.05,0.0,74.388,-7.262,6.97,7.582,-0.612,,0.292,67.126,-5.079,,62.047,0.0,0.0,0.0,62.047,0.0,62.047,0.0,0.0,62.047,67.215942,5.168942,134.741,0.46,0.46,0.498853,136.05,0.46,0.46,0.497993,
12/31/2019,489.044,489.044,-256.407,256.407,232.637,0.0,-178.584,121.089,53.172,4.323,54.053,-12.143,6.797,7.341,-0.544,,5.346,41.91,-40.226,,1.684,0.0,0.0,0.0,1.684,0.0,1.684,0.0,0.0,1.684,62.756848,61.072848,134.279,0.01,0.01,0.467362,135.691,0.01,0.01,0.460088,
03/31/2020,450.923,450.923,-231.555,231.555,219.368,0.0,-190.873,116.242,53.847,20.784,28.495,-5.297,6.612,6.961,-0.349,,-1.315,23.198,-7.774,,15.424,0.0,0.0,0.0,15.424,0.0,15.424,0.0,0.0,15.424,49.59789,34.17389,133.596,0.12,0.12,0.371253,134.927,0.11,0.11,0.363277,
06/30/2020,482.015,482.015,-229.815,229.815,252.2,0.0,-152.39,88.676,56.012,7.702,99.81,-17.916,6.835,6.962,-0.127,,11.081,81.894,-20.637,,61.257,0.0,0.0,0.0,61.257,0.0,61.257,0.0,0.0,61.257,75.38926,14.13226,130.831,0.47,0.47,0.576234,131.687,0.47,0.47,0.576234,
09/30/2020,472.1,,,,234.430697,,,,,,80.522,,,,,,,74.433,,,56.533,,,,,,56.533,,,56.533,69.95,,,0.437,0.437,0.558,,0.437,0.437,0.558,
12/31/2020,499.8,,,,248.9004,,,,,,89.167,,,,,,,83.011,,,62.2,,,,,,62.2,,,62.2,74.717,,,0.483,0.483,0.589,,0.483,0.483,0.589,
