Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/2014,309.722,309.722,-177.47,169.36,4.659,132.252,0.0,-69.619,35.856,35.856,,29.104,62.633,-1.315,2.023,2.104,-0.081,,-0.708,61.318,-20.441,,40.877,0.0,0.0,0.0,40.877,0.0,40.877,0.0,0.0,40.877,61.189,20.312,251.588,0.16,0.16,0.243211,262.972,0.155,0.155,0.23224,
07/31/2014,287.45,287.45,-170.511,161.96,4.825,116.939,0.0,-41.081,36.256,36.256,,0.0,75.858,-1.974,2.051,2.169,-0.118,,-0.077,73.884,-22.841,,51.043,0.0,0.0,0.0,51.043,0.0,51.043,0.0,0.0,51.043,51.888,0.845,251.918,0.205,0.205,0.205972,263.258,0.195,0.195,0.19821,
10/31/2014,290.386,290.386,-168.078,159.218,2.87,122.308,0.0,-39.907,37.037,37.037,,0.0,82.401,-0.178,1.771,1.91,-0.139,,-1.593,82.223,-29.608,,52.615,0.0,0.0,0.0,52.615,0.0,52.615,0.0,0.0,52.615,52.44535,-0.16965,252.434,0.21,0.21,0.207759,263.034,0.2,0.2,0.199355,
01/31/2015,276.258,276.258,-161.391,152.848,2.857,114.867,0.0,-34.399,27.587,27.587,,3.955,80.468,-0.364,4.505,4.688,-0.183,,-4.141,80.104,-27.911,,52.193,0.0,0.0,0.0,52.193,0.0,52.193,0.0,0.0,52.193,52.0656,-0.1274,252.6,0.205,0.205,0.206119,263.744,0.2,0.2,0.199517,
04/30/2015,297.142,297.142,-169.725,160.477,2.916,127.417,0.0,-32.65,25.94,25.94,,3.794,94.767,-6.471,5.656,5.917,-0.261,,0.815,88.296,-30.733,,57.563,0.0,0.0,0.0,57.563,0.0,57.563,0.0,0.0,57.563,57.3823,-0.1807,252.83,0.23,0.23,0.22696,264.248,0.22,0.22,0.219316,
07/31/2015,282.293,282.293,-163.509,155.247,3.01,118.784,0.0,-32.019,24.64,24.64,,4.369,86.765,-5.319,5.372,5.606,-0.234,,-0.053,81.446,-24.034,,57.412,0.0,0.0,0.0,57.412,0.0,57.412,0.0,0.0,57.412,57.67655,0.26455,249.486,0.23,0.23,0.231182,260.41,0.22,0.22,0.221016,
10/31/2015,288.838,288.838,-167.977,159.632,6.352,120.861,0.0,-34.615,23.535,23.535,,4.728,86.246,-4.486,5.513,5.724,-0.211,,-1.027,81.76,-29.15,,52.61,0.0,0.0,0.0,52.61,0.0,52.61,0.0,0.0,52.61,52.374,-0.236,240.31,0.22,0.22,0.217944,254.288,0.205,0.205,0.204072,
01/31/2016,299.706,299.706,-175.092,166.844,6.886,124.614,0.0,-32.529,20.933,20.933,,4.71,92.085,-0.533,4.968,5.57,-0.602,,-4.435,91.552,-32.548,,59.004,0.0,0.0,0.0,59.004,0.0,59.004,0.0,0.0,59.004,58.9331,-0.0709,234.612,0.25,0.25,0.251194,249.224,0.235,0.235,0.234715,
04/30/2016,347.246,347.246,-189.599,181.26,8.038,157.647,0.0,-35.699,23.341,23.341,,4.32,121.948,-5.38,5.419,5.702,-0.283,,-0.039,116.568,-41.944,,74.624,0.0,0.0,0.0,74.624,0.0,74.624,0.0,0.0,74.624,73.9627,-0.6613,221.088,0.34,0.34,0.334539,236.412,0.32,0.32,0.317203,
07/31/2016,332.659,332.659,-191.195,182.473,8.552,141.464,0.0,-35.273,22.285,22.285,,4.436,106.191,-0.206,6.257,6.61,-0.353,,-6.051,105.985,-21.863,,84.122,0.0,0.0,0.0,84.122,0.0,84.122,0.0,0.0,84.122,72.6151,-11.5069,219.156,0.385,0.385,0.33134,237.038,0.355,0.355,0.306455,
10/31/2016,345.991,345.991,-200.698,191.25,10.522,145.293,0.0,-40.469,25.663,25.663,,4.284,104.824,-2.29,5.622,5.959,-0.337,,-3.332,102.534,64.746,,167.28,0.0,0.0,0.0,167.28,0.0,167.28,0.0,0.0,167.28,65.9097,-101.3703,225.436,0.74,0.74,0.292366,237.758,0.705,0.705,0.278641,
01/31/2017,349.532,349.532,-202.767,193.05,10.996,146.765,0.0,-37.885,22.177,22.177,,4.712,108.88,-8.781,5.76,6.144,-0.384,,3.021,100.099,-34.033,,66.066,0.0,0.0,0.0,66.066,0.0,66.066,0.0,0.0,66.066,64.64295,-1.42305,229.142,0.29,0.29,0.282108,235.588,0.28,0.28,0.27396,
04/30/2017,373.862,373.862,-201.357,191.406,6.514,172.505,0.0,-35.717,25.023,25.023,,4.18,136.788,-5.7,5.506,5.869,-0.363,,0.194,131.088,-40.542,,90.546,0.0,0.0,0.0,90.546,0.0,90.546,0.0,0.0,90.546,86.5091,-4.0369,229.92,0.39,0.39,0.376257,237.135,0.38,0.38,0.362976,
07/31/2017,378.596,378.596,-211.131,200.292,6.058,167.465,0.0,-56.658,26.789,26.789,0.0,23.811,110.807,-4.428,5.485,5.807,-0.322,0.0,-1.057,106.379,-36.01,,70.369,0.0,0.0,0.0,70.369,-0.034,70.335,0.0,0.0,70.335,83.68785,13.35285,230.286,0.31,0.31,0.363408,237.634,0.3,0.3,0.356191,
10/31/2017,419.168,419.168,-255.904,245.368,10.732,163.264,0.0,-39.322,24.136,24.136,,4.454,123.942,-9.814,5.398,5.595,-0.197,,4.416,114.128,-36.568,,77.56,0.0,0.0,0.0,77.56,-0.045,77.515,0.0,0.0,77.515,76.742,-0.773,230.694,0.34,0.34,0.332657,238.791,0.32,0.32,0.316763,
01/31/2018,459.106,459.106,-267.497,255.604,11.956,191.609,0.0,-40.662,23.716,23.716,,4.99,150.947,-6.509,5.561,5.758,-0.197,,0.948,144.438,-41.137,,103.301,0.0,0.0,0.0,103.301,-0.045,103.256,0.0,0.0,103.256,110.784709,7.528709,231.478,0.45,0.45,0.478597,241.36,0.43,0.43,0.461193,
04/30/2018,478.198,478.198,-259.13,247.942,10.77,219.068,0.0,-44.449,28.796,28.796,,4.883,174.619,-3.403,4.134,4.416,-0.282,,-0.731,171.216,-43.811,,127.405,0.0,0.0,0.0,127.405,-0.057,127.348,0.0,0.0,127.348,124.79295,-2.55505,232.01,0.55,0.55,0.537877,242.96,0.52,0.52,0.509484,
07/31/2018,449.223,449.223,-260.798,237.185,9.278,188.425,0.0,-53.588,38.155,38.155,,6.155,134.837,-2.108,3.982,3.982,0.0,,-1.874,132.729,-22.988,,109.741,0.0,0.0,0.0,109.741,0.007,109.748,0.0,0.0,109.748,97.87584,-11.87216,232.995,0.47,0.47,0.420077,244.406,0.45,0.45,0.401424,
10/31/2018,461.368,461.368,-265.45,248.265,9.368,195.918,0.0,-44.478,30.121,30.121,,4.989,151.44,-2.654,3.691,4.651,-0.96,,-1.037,148.786,-34.703,,114.083,0.0,0.0,0.0,114.083,0.0,114.083,0.0,0.0,114.083,113.82742,-0.25558,233.888,0.49,0.49,0.486675,244.826,0.47,0.47,0.468956,
01/31/2019,484.898,484.898,-276.672,261.833,11.12,208.226,0.0,-43.487,27.676,27.676,,4.691,164.739,0.227,4.555,5.233,-0.678,,-4.782,164.966,-33.593,,131.373,0.0,0.0,0.0,131.373,0.0,131.373,0.0,0.0,131.373,121.93548,-9.43752,230.798,0.57,0.57,0.528321,240.66,0.55,0.55,0.510785,
04/30/2019,553.116,553.116,-301.537,286.139,11.428,251.579,0.0,-44.085,28.358,28.358,,4.299,207.494,-3.365,5.084,5.324,-0.24,,-1.719,204.129,-11.388,,192.741,0.0,0.0,0.0,192.741,0.0,192.741,0.0,0.0,192.741,154.90023,-37.84077,227.984,0.85,0.85,0.679435,237.892,0.81,0.81,0.650933,
07/31/2019,542.575,542.575,-299.956,284.211,11.54,242.619,0.0,-49.817,34.002,34.002,,4.275,192.802,-5.732,4.255,4.602,-0.347,,1.477,187.07,-33.574,,153.496,0.0,0.0,0.0,153.496,0.0,153.496,0.0,0.0,153.496,143.0042,-10.4918,229.204,0.67,0.67,0.623917,238.354,0.64,0.64,0.595982,
10/31/2019,554.424,554.424,-299.555,282.735,12.388,254.869,0.0,-49.478,32.649,32.649,,4.441,205.391,-3.309,4.026,4.611,-0.585,,-0.717,202.082,16.098,,218.18,0.0,0.0,0.0,218.18,0.0,218.18,0.0,0.0,218.18,152.59212,-65.58788,231.169,0.94,0.94,0.660089,238.662,0.91,0.91,0.635185,
01/31/2020,575.14,575.14,-315.251,297.02,12.102,259.889,0.0,-49.997,33.191,33.191,,4.704,209.892,-4.818,4.464,4.914,-0.45,,0.354,205.074,-36.367,,168.707,0.0,0.0,0.0,168.707,0.0,168.707,0.0,0.0,168.707,153.05403,-15.65297,232.671,0.73,0.73,0.657813,238.47,0.71,0.71,0.644361,
04/30/2020,550.36,550.36,-307.747,287.414,12.764,242.613,0.0,-47.512,30.635,30.635,,4.113,195.101,-3.301,5.578,5.803,-0.225,,-2.277,191.8,-44.313,,147.487,0.0,0.0,0.0,147.487,0.0,147.487,0.0,0.0,147.487,138.3793,-9.1077,234.133,0.63,0.63,0.591029,238.591,0.62,0.62,0.581827,
07/31/2020,525.659,525.659,-275.228,253.613,11.528,250.431,0.0,-44.716,28.879,28.879,,4.309,205.715,-3.832,4.803,,,,-0.971,201.883,-36.35,,165.533,0.0,0.0,0.0,165.533,0.0,165.533,0.0,0.0,165.533,157.43573,-8.09727,234.863,0.7,0.7,0.67033,238.927,0.69,0.69,0.65611,
10/31/2020,566.556,,,,,268.69484856,,,,,,,223.286,,,,,,,219.5,,,169.5,,,,,,169.5,,,169.5,167.25,,,0.61,0.61,0.694,,0.61,0.61,0.694,
01/31/2021,614.778,,,,,284.8573863,,,,,,,237.571,,,,,,,232.25,,,176.0,,,,,,176.0,,,176.0,177.25,,,0.64,0.64,0.734,,0.64,0.64,0.734,
