Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/2002,1374.758469,-48.332,0.0,0.0,1050.935,2377.36147,1865.734,56.328233,0.442059,1.437256,8.71748,14.18702,7.329066,23.616468,1377.44735,2380.05035,66.83721,,
03/31/2003,1282.459664,-74.115,0.0,0.0,871.345,2079.689664,1733.386,50.268376,0.418978,1.021912,7.064499,11.394374,5.781019,14.278141,1282.13988,2079.36988,58.006112,,
06/30/2003,1570.524575,-70.375,0.0,0.0,896.345,2396.494575,1772.003,50.583718,0.374023,1.148795,7.819314,12.361221,8.193298,33.713319,1562.82582,2388.79582,65.446701,,
09/30/2003,1518.2322,-13.648,0.0,0.0,952.294,2456.8782,1800.293,52.896612,0.387603,1.148937,7.96111,12.807113,10.352562,48.971257,1524.14954,2462.79554,66.963156,,
12/31/2003,1554.852763,-2.626,0.0,0.0,1089.251,2641.477763,1951.835,55.80651,0.412364,1.203864,8.485967,13.781887,13.099359,1128.168009,1554.47104,2641.09604,71.420091,,
03/31/2004,1674.483499,-59.449,0.0,0.0,896.33,2511.364499,1802.904,49.715903,0.35691,1.132595,8.59703,14.723107,11.173999,194.89487,1674.24105,2511.12205,66.965381,,
06/30/2004,1584.121342,-75.9,0.0,0.0,896.33,2404.551342,1786.883,50.16165,0.372764,1.082963,8.454019,14.962517,8.915972,33.861993,1589.9823,2410.4123,63.979846,,
09/30/2004,1572.753168,-7.228,0.0,0.0,953.002014,2518.527182,1823.085022,52.27414,0.378397,1.114294,8.862624,15.84358,10.700136,54.769182,1575.462311,2521.236325,66.744239,,
12/31/2004,1664.27865,-16.502001,0.0,0.0,1069.255966,2717.032616,1953.048965,54.748037,0.393538,1.135539,10.035579,18.856497,12.644482,41.972961,1669.792351,2722.546317,71.750956,,
03/31/2005,1591.639286,-100.475001,0.0,0.0,895.646973,2386.811257,1773.448975,50.503115,0.375248,0.957555,8.994243,16.961783,9.39335,22.062749,1596.858497,2392.030469,62.862942,,
06/30/2005,1655.763432,-100.064003,0.0,0.0,912.314013,2468.013443,1792.032031,50.90947,0.369655,0.968834,9.220806,16.606646,9.836955,26.541483,1659.52016,2471.77017,64.779704,,
09/30/2005,1512.204529,-18.186001,0.0,0.0,903.731008,2397.749535,1703.884999,53.039437,0.376908,0.922359,9.462908,17.481659,7.619869,15.783732,1508.214612,2393.759618,62.440877,,
12/31/2005,1342.927324,-17.511999,0.0,0.0,1072.479019,2397.894344,1874.58403,57.211573,0.447259,0.822729,13.970487,42.276737,10.059935,34.830427,1345.916402,2400.883422,62.620034,,
03/31/2006,1367.044104,-75.254997,0.0,0.0,1060.450989,2352.240096,1904.421997,55.683614,0.450826,0.766781,14.788662,54.016126,,,1370.963846,2356.159838,61.324896,,
06/30/2006,1379.894736,-116.472,0.0,0.0,1065.003983,2328.426719,1895.799973,56.177023,0.457392,0.773,16.438468,114.836612,,,1385.084579,2333.616562,60.594335,,
09/30/2006,1574.45093,-42.115002,0.0,0.0,1204.446014,2736.781942,2045.899994,58.871207,0.440096,0.906828,19.659237,177.724707,,,1570.878641,2733.209654,70.659672,,
