Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2017,14964.0,8965.0,868.0,8097.0,0.0,4297.0,1702.0,1360.0,342.0,-10314.0,633.0,8511.0,1451.0,-281.0,-3295.0,326.0,326.0,6156.0,6156.0,-3187.0,,1355,-283.0,0.0,1072.0,-120.0,952.0,76.0,76.0,0.0,876.0,-3.0,873.0,-6.0,0.0,867.0,704.45,-238.55,1090.4,0.8,0.87,0.646047,1098.7,0.79,0.859173,0.642052,
06/30/2017,15333.0,9580.0,882.0,8634.0,64.0,4097.0,1656.0,1364.0,292.0,-10719.0,596.0,10332.0,1292.0,-1501.0,-3312.0,357.0,357.0,6282.0,6282.0,-3327.0,,1302,-284.0,0.0,1018.0,-162.0,856.0,-58.0,-58.0,0.0,914.0,-3.0,911.0,-46.0,0.0,865.0,246.789632,-560.210368,1074.0,0.81,0.76,0.229786,1082.1,0.8,0.75,0.229786,
09/30/2017,16171.0,10876.0,895.0,9981.0,0.0,3566.0,1729.0,1428.0,301.0,-12066.0,645.0,10302.0,1338.0,-219.0,-3336.0,236.0,236.0,2324.0,2324.0,776.0,,769,-284.0,0.0,485.0,398.0,883.0,968.0,968.0,0.0,-85.0,-6.0,-91.0,-6.0,0.0,-97.0,1069.25,198.25,1062.3,-0.09,0.819919,1.006542,1071.5,-0.09,0.813406,0.998427,
12/31/2017,12690.0,8866.0,901.0,7965.0,0.0,4062.0,-238.0,-522.0,284.0,-8502.0,580.0,5988.0,995.0,939.0,-2718.0,230.0,230.0,3189.0,3189.0,-701.0,,1470,-254.0,0.0,1216.0,1181.0,2397.0,18.0,18.0,0.0,2379.0,2.0,2381.0,-45.0,0.0,2336.0,2264.2,-89.8,1052.1,2.220321,2.23743,2.152077,1061.7,2.200245,2.217199,2.132618,
03/31/2018,14805.0,9178.0,879.0,8299.0,0.0,3761.0,1866.0,1392.0,474.0,-9487.0,588.0,8427.0,769.0,-297.0,-3376.0,221.0,221.0,6408.0,6408.0,-3253.0,,1942,-286.0,0.0,1656.0,-399.0,1257.0,0.0,0.0,0.0,1257.0,-4.0,1253.0,-6.0,0.0,1247.0,1119.02,-127.98,1035.9,1.19,1.2,1.080239,1044.4,1.19,1.2,1.077461,
06/30/2018,21185.0,15153.0,892.0,14272.0,-11.0,4187.0,1845.0,1370.0,475.0,-16290.0,636.0,14539.0,1424.0,-309.0,-3485.0,236.0,236.0,3319.0,3319.0,-70.0,,1410,-309.0,0.0,1101.0,-207.0,894.0,0.0,0.0,0.0,894.0,-3.0,891.0,-46.0,0.0,845.0,813.446551,-31.553449,1015.6,0.83,0.83,0.800952,1023.8,0.83,0.83,0.79918,
09/30/2018,16289.0,10242.0,908.0,9370.0,-36.0,4225.0,1822.0,1343.0,479.0,-11414.0,620.0,9787.0,1334.0,-327.0,-3529.0,244.0,244.0,3287.0,3287.0,-2.0,,1346,-267.0,0.0,1079.0,-164.0,915.0,0.0,0.0,0.0,915.0,-3.0,912.0,-32.0,0.0,880.0,802.802899,-77.197101,992.7,0.89,0.89,0.808706,1000.7,0.88,0.88,0.802857,
12/31/2018,15662.0,9267.0,914.0,8353.0,0.0,4546.0,1849.0,1397.0,452.0,-9478.0,600.0,8392.0,486.0,0.0,-3453.0,238.0,238.0,2897.0,2897.0,318.0,,2731,-260.0,0.0,2471.0,-409.0,2062.0,0.0,0.0,0.0,2062.0,5.0,2067.0,-57.0,0.0,2010.0,1341.0,-669.0,985.294118,2.04,2.04,1.361015,987.6,2.04,2.04,1.361015,
03/31/2019,16302.0,9405.0,898.0,8507.0,0.0,5038.0,1859.0,1365.0,494.0,-11033.0,591.0,8481.0,1961.0,0.0,-3291.0,238.0,238.0,2951.0,2951.0,102.0,,1978,-234.0,0.0,1744.0,-359.0,1385.0,0.0,0.0,0.0,1385.0,-4.0,1381.0,-32.0,0.0,1349.0,1297.977021,-51.022979,956.5,1.41,1.41,1.357007,963.3,1.4,1.4,1.347033,
06/30/2019,17497.0,10129.0,912.0,9278.0,-61.0,5478.0,1890.0,1412.0,478.0,-11508.0,642.0,9653.0,1515.0,-302.0,-3418.0,243.0,243.0,3274.0,3274.0,-99.0,,2571,-274.0,0.0,2297.0,-551.0,1746.0,0.0,0.0,0.0,1746.0,-5.0,1741.0,-57.0,0.0,1684.0,2522.359571,838.359571,946.2,1.78,1.78,2.665778,952.9,1.77,1.77,2.649798,
09/30/2019,18678.0,10781.0,925.0,9936.0,-80.0,6038.0,1859.0,1440.0,419.0,-12148.0,674.0,10270.0,1500.0,-296.0,-3516.0,247.0,247.0,3309.0,3309.0,-40.0,,3014,-223.0,0.0,2791.0,-601.0,2190.0,0.0,0.0,0.0,2190.0,-6.0,2184.0,-32.0,0.0,2152.0,1020.283456,-1131.716544,929.6,2.31,2.31,1.097551,936.4,2.3,2.3,1.091418,
12/31/2019,17143.0,11920.0,925.0,10995.0,0.0,3386.0,1837.0,1386.0,451.0,-13236.0,697.0,11051.0,1488.0,0.0,-3720.0,245.0,245.0,3162.0,3162.0,313.0,,187,-224.0,0.0,-37.0,625.0,588.0,0.0,0.0,0.0,588.0,5.0,593.0,-57.0,0.0,536.0,1367.059406,831.059406,925.7,0.58,0.58,1.476784,925.7,0.58,0.58,1.476784,
03/31/2020,18310.0,9466.0,912.0,8554.0,0.0,6974.0,1870.0,1431.0,439.0,-9102.0,592.0,8430.0,80.0,0.0,-3343.0,233.0,233.0,2814.0,2814.0,296.0,,5865,-222.0,0.0,5643.0,-1242.0,4401.0,0.0,0.0,0.0,4401.0,-3.0,4398.0,-32.0,0.0,4366.0,1448.025676,-2917.974324,914.1,4.78,4.78,1.5841,920.0,4.75,4.75,1.578289,
06/30/2020,14099.0,8736.0,828.0,7919.0,-11.0,3608.0,1755.0,1299.0,456.0,-10629.0,527.0,8430.0,1962.0,-290.0,-3041.0,230.0,230.0,2872.0,2872.0,-61.0,,429,-232.0,0.0,197.0,-47.0,150.0,0.0,0.0,0.0,150.0,-5.0,145.0,-77.0,0.0,68.0,460.482057,392.482057,908.8,0.07,0.07,0.506692,913.1,0.07,0.07,0.499835,
09/30/2020,16017.5,,,,,,,,,,,,,,,,,,,,,1612,,,1885.2,,1287.75,,,,,,1287.75,,,1287.75,1432.25,,,1.408,1.408,1.591,,1.408,1.408,1.591,
12/31/2020,16008.833,,,,,,,,,,,,,,,,,,,,,1355,,,1790.2,,1206.0,,,,,,1206.0,,,1206.0,1327.75,,,1.298,1.298,1.461,,1.298,1.298,1.461,
