Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2014,1922784,16191,29956.0,29956.0,149475.0,30434.0,112777.0,,6264.0,6039.0,73755.0,52179.0,21576.0,1639790.0,1639790.0,0.0,0.0,1713545,-22574.0,1690971,0.0,0.0,0.0,0.0,18481.0,897.0,,10774,,,131043.0,,,131043.0,0.0,1772508,,,1772508.0,,,,,1930.0,12117,1917598,86445.0,,,,-3885.0,-79080.0,1706.0,5186,0,5186,1922784,
12/31/2014,1945539,10928,51903.0,51903.0,145522.0,30437.0,106550.0,,8535.0,6034.0,76469.0,53480.0,22989.0,1645872.0,1645872.0,0.0,0.0,1722341,-21761.0,1700580,0.0,0.0,0.0,0.0,19498.0,822.0,,10252,,,134619.0,0.0,0.0,134619.0,0.0,1794923,0.0,0.0,1794923.0,0.0,0.0,0.0,,1963.0,11383,1942888,86445.0,,,,-3885.0,-81639.0,1730.0,2651,0,2651,1945539,
03/31/2015,1951603,10407,47166.0,47166.0,138157.0,37660.0,100497.0,,,5998.0,78041.0,56122.0,21919.0,1650666.0,1650666.0,0.0,0.0,1728707,-18648.0,1710059,0.0,0.0,0.0,0.0,19388.0,695.0,,19733,,,116347.0,,,116347.0,0.0,1819282,,,1819282.0,,,,,2007.0,11421,1949057,86445.0,,,,-3885.0,-81966.0,1952.0,2546,0,2546,1951603,
06/30/2015,1947462,5461,37041.0,37041.0,122916.0,32085.0,90831.0,,0.0,5979.0,76700.0,55148.0,21552.0,1667590.0,1667590.0,0.0,0.0,1744290,-17327.0,1726963,,0.0,0.0,0.0,19545.0,492.0,0.0,29065,,,93107.0,,,93107.0,0.0,1835962,,,1835962.0,,,,,911.0,11769,1941749,86445.0,,,,-3885.0,-78543.0,1696.0,5713,0,5713,1947462,
09/30/2015,1962147,5000,38738.0,38738.0,117379.0,35806.0,81573.0,,0.0,6052.0,78516.0,55957.0,22559.0,1687770.0,1687770.0,0.0,0.0,1766286,-16419.0,1749867,,0.0,0.0,0.0,17817.0,605.0,0.0,26689,,,112280.0,,,112280.0,0.0,1835109,,,1835109.0,,,,,1670.0,11789,1960848,86445.0,,,,-3885.0,-82931.0,1670.0,1299,0,1299,1962147,
12/31/2015,1986050,5595,63644.0,63644.0,114215.0,39278.0,74937.0,,0.0,6074.0,73655.0,50798.0,22857.0,1695869.0,1695869.0,0.0,0.0,1769524,-15331.0,1754193,,0.0,0.0,0.0,18205.0,395.0,0.0,23729,,,113572.0,0.0,0.0,113572.0,0.0,1856855,0.0,0.0,1856855.0,0.0,0.0,0.0,1033.0,1254.0,10396,1983110,86445.0,,,,-3885.0,-80773.0,1153.0,2940,0,2940,1986050,
03/31/2016,1969100,6158,40098.0,40098.0,107595.0,36471.0,71124.0,,0.0,6091.0,77621.0,53072.0,24549.0,1699533.0,1699533.0,0.0,0.0,1777154,-14521.0,1762633,,0.0,0.0,0.0,18123.0,814.0,0.0,27588,,,85128.0,,,85128.0,0.0,1870490,,,1870490.0,,,,,1632.0,10850,1968100,72336.0,14109.0,,14109.0,-3885.0,-82867.0,1307.0,1000,0,1000,1969100,
06/30/2016,1986437,8140,48989.0,48989.0,112269.0,34209.0,78060.0,,0.0,6060.0,69417.0,44070.0,25347.0,1705670.0,1705670.0,0.0,0.0,1775087,-13502.0,1761585,,0.0,0.0,0.0,18671.0,1479.0,0.0,29244,,,75944.0,,,75944.0,0.0,1896159,,,1896159.0,,,,,1243.0,10958,1984304,86445.0,,,,-3885.0,-81874.0,1447.0,2133,0,2133,1986437,
09/30/2016,2015262,3940,55673.0,55673.0,115393.0,45375.0,70018.0,,0.0,6103.0,71188.0,43578.0,27610.0,1724604.0,1724604.0,0.0,0.0,1795792,-13356.0,1782436,,0.0,0.0,0.0,18730.0,1499.0,0.0,31488,,,77559.0,,,77559.0,0.0,1922282,,,1922282.0,,,,,1178.0,10733,2011752,86445.0,,,,-3885.0,-80478.0,1428.0,3510,0,3510,2015262,
12/31/2016,2023376,12369,51548.0,51548.0,111547.0,44790.0,66757.0,,,6135.0,71711.0,45465.0,26246.0,1744723.0,1744723.0,0.0,0.0,1816434,-13431.0,1803003,0.0,0.0,0.0,0.0,15818.0,747.0,0.0,22209,,,71517.0,0.0,0.0,71517.0,0.0,1930487,0.0,0.0,1930487.0,0.0,0.0,0.0,,795.0,15502,2018301,86445.0,0.0,0.0,0.0,-3885.0,-77941.0,456.0,5075,0,5075,2023376,
03/31/2017,2032308,10679,51257.0,51257.0,108627.0,48122.0,60505.0,,0.0,6221.0,71178.0,45565.0,25613.0,1769177.0,1769177.0,0.0,0.0,1840355,-12739.0,1827616,0.0,0.0,0.0,0.0,15806.0,569.0,0.0,11533,,,79627.0,,,79627.0,0.0,1938817,,,1938817.0,,,,,335.0,10695,2029474,86445.0,0.0,0.0,0.0,-3883.0,-80207.0,479.0,2834,0,2834,2032308,
06/30/2017,2022757,6666,47791.0,47791.0,98799.0,41760.0,57039.0,,0.0,6237.0,68887.0,43276.0,25611.0,1773566.0,1773566.0,0.0,0.0,1842453,-10311.0,1832142,,0.0,0.0,0.0,14751.0,951.0,0.0,15420,,,67742.0,,,67742.0,0.0,1941424,,,1941424.0,,,,,298.0,10707,2020171,86445.0,0.0,0.0,0.0,-3883.0,-80777.0,801.0,2586,0,2586,2022757,
09/30/2017,2030656,8183,47202.0,47202.0,87148.0,35726.0,51422.0,,,6268.0,68020.0,41913.0,26107.0,1786957.0,1786957.0,0.0,0.0,1854977,-10085.0,1844892,0.0,0.0,0.0,0.0,14576.0,705.0,0.0,21682,,,69554.0,,,69554.0,0.0,1940024,,,1940024.0,,,,,212.0,15616,2025406,86445.0,0.0,0.0,0.0,-3883.0,-78092.0,780.0,5250,0,5250,2030656,
12/31/2017,2049776,6848,55903.0,55903.0,84318.0,40721.0,43597.0,,0.0,6355.0,68515.0,41986.0,26529.0,1811668.0,1811668.0,0.0,0.0,1880183,-8966.0,1871217,0.0,0.0,0.0,0.0,8107.0,375.0,0.0,16653,,,73190.0,0.0,0.0,73190.0,0.0,1961440,0.0,0.0,1961440.0,0.0,0.0,0.0,,269.0,15189,2050088,86445.0,0.0,0.0,0.0,-3885.0,-83261.0,389.0,-312,0,-312,2049776,
03/31/2018,2022483,8617,41828.0,41828.0,75501.0,36206.0,39295.0,,0.0,6381.0,59936.0,36470.0,23466.0,1817263.0,1817263.0,0.0,0.0,1877199,-8848.0,1868351,0.0,0.0,0.0,0.0,8313.0,454.0,0.0,13038,,,54315.0,,,54315.0,0.0,1950492,,,1950492.0,,,,,345.0,15181,2020333,86757.0,0.0,0.0,0.0,-3885.0,-80424.0,-298.0,2150,0,2150,2022483,
06/30/2018,2041732,6752,41769.0,41769.0,77710.0,39888.0,37822.0,,0.0,6470.0,58088.0,35273.0,22815.0,1835160.0,1835160.0,0.0,0.0,1893248,-8397.0,1884851,,0.0,0.0,0.0,8299.0,391.0,0.0,15490,,,56952.0,,,56952.0,0.0,1964210,,,1964210.0,,,,,409.0,15576,2037147,86757.0,0.0,0.0,0.0,-3884.0,-77922.0,-366.0,4585,0,4585,2041732,
09/30/2018,2063457,7038,48540.0,48540.0,75930.0,41201.0,34729.0,,0.0,6600.0,56743.0,35379.0,21364.0,1852631.0,1852631.0,0.0,0.0,1909374,-6946.0,1902428,0.0,0.0,0.0,0.0,7876.0,469.0,0.0,14576,,,68652.0,,,68652.0,0.0,1973338,,,1973338.0,,,,,295.0,15613,2057898,86757.0,0.0,0.0,0.0,-3885.0,-76800.0,-513.0,5559,0,5559,2063457,
12/31/2018,2063060,7273,34771.0,34771.0,69111.0,35548.0,33563.0,,0.0,6728.0,62278.0,39007.0,23271.0,1870839.0,1870839.0,0.0,0.0,1933117,-6139.0,1926978,0.0,0.0,0.0,0.0,6888.0,335.0,0.0,10976,,,51080.0,0.0,0.0,51080.0,0.0,1993870,0.0,0.0,1993870.0,0.0,0.0,0.0,,583.0,13050,2058583,86757.0,0.0,0.0,0.0,-3885.0,-78260.0,-135.0,4477,0,4477,2063060,
03/31/2019,2092907,6239,50134.0,50134.0,65496.0,33552.0,31944.0,,0.0,6684.0,61500.0,35842.0,25658.0,1886134.0,1886134.0,0.0,0.0,1947634,-5546.0,1942088,0.0,0.0,0.0,0.0,6819.0,1146.0,0.0,14301,,,77325.0,,,77325.0,0.0,1996289,,,1996289.0,,,,,432.0,14196,2088242,86757.0,0.0,0.0,0.0,-3885.0,-78330.0,123.0,4665,0,4665,2092907,
06/30/2019,2124500,3427,52698.0,52698.0,69639.0,39951.0,29688.0,,0.0,6784.0,66310.0,36258.0,30052.0,1903672.0,1903672.0,0.0,0.0,1969982,-5292.0,1964690,,0.0,0.0,0.0,6416.0,1142.0,0.0,19704,,,71097.0,,,71097.0,0.0,2034238,,,2034238.0,,,,,463.0,13876,2119674,86757.0,0.0,0.0,0.0,-3885.0,-78489.0,443.0,4826,0,4826,2124500,
09/30/2019,2170246,8708,51187.0,51187.0,72982.0,44449.0,28533.0,,0.0,6790.0,75303.0,42279.0,33024.0,1927041.0,1927041.0,0.0,0.0,2002344,-4854.0,1997490,,0.0,0.0,0.0,5784.0,1592.0,0.0,25713,,,94517.0,,,94517.0,0.0,2054742,,,2054742.0,,,,,355.0,13958,2163572,86757.0,0.0,0.0,0.0,-3885.0,-76780.0,582.0,6674,0,6674,2170246,
12/31/2019,2203623,5189,66114.0,66114.0,75711.0,49537.0,26174.0,,0.0,6848.0,67609.0,36427.0,31182.0,1956825.0,1956825.0,0.0,0.0,2024434,-4234.0,2020200,0.0,0.0,0.0,0.0,5918.0,844.0,0.0,22799,,,110877.0,,,110877.0,0.0,2068651,,,2068651.0,0.0,0.0,0.0,,372.0,14601,2194501,86757.0,0.0,0.0,0.0,-3885.0,-74188.0,438.0,9122,0,9122,2203623,
03/31/2020,2241984,24324,45968.0,45968.0,79189.0,53851.0,25338.0,,0.0,6841.0,72157.0,34187.0,37970.0,1980621.0,1980621.0,0.0,0.0,2052778,-6121.0,2046657,0.0,0.0,0.0,0.0,4629.0,2815.0,0.0,31561,,,112440.0,,,112440.0,0.0,2103695,,,2103695.0,,,,,2226.0,14119,2232480,86757.0,0.0,0.0,0.0,-3885.0,-74255.0,887.0,9504,0,9504,2241984,
06/30/2020,2335655,7605,100525.0,100525.0,77902.0,53942.0,23960.0,,0.0,7132.0,85848.0,41976.0,43872.0,2021398.0,2021398.0,0.0,0.0,2107246,-6606.0,2100640,0.0,0.0,0.0,0.0,5698.0,1402.0,0.0,34751,,,86829.0,,,86829.0,0.0,2221472,,,2221472.0,,,,,839.0,15073,2324213,86757.0,0.0,0.0,0.0,-3885.0,-72478.0,1048.0,11442,0,11442,2335655,
