Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2016,21605,3998,868.0,1390.0,4639,-2310.0,,6949,10687,2144.0,,8543.0,,-20323.0,-515,160.0,-675,-469.0,40119.0,,,,-40588.0,-19339.0,-19339.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1068.0,-469.0,-4028.0,-2485.0,0.0,24743.0,-26286.0,168.0,1494.0,-1326.0,3261.0,0.0,-314.0,-100.0,1357.0,3032.0,
09/30/2016,7267,3840,938.0,1746.0,-206,1885.0,,-2091,919,3754.0,,-2835.0,,-14103.0,-638,77.0,-715,-7127.0,44896.0,,,,-52023.0,-6338.0,-6338.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8135.0,-689.0,8958.0,11119.0,0.0,16322.0,-18483.0,-2534.0,0.0,-2534.0,2400.0,0.0,-20.0,1279.0,810.0,4034.0,
12/31/2016,29357,3573,1006.0,1727.0,10444,-275.0,1459.0,9260,14063,17576.0,,-3513.0,,13523.0,-464,200.0,-664,6701.0,62299.0,,,,-55598.0,7144.0,3908.0,3236.0,0.0,0.0,0.0,0.0,0.0,142,-17653.0,-770.0,-4786.0,1174.0,0.0,15667.0,-21627.0,-4126.0,0.0,-4126.0,-7971.0,0.0,-349.0,24878.0,1504.0,2307.0,
03/31/2017,-3052,4090,896.0,1675.0,-1677,-192.0,,-1485,-8054,4487.0,,-12541.0,,3125.0,-653,133.0,-786,5762.0,53462.0,,,,-47700.0,-4762.0,-4762.0,0.0,0.0,0.0,0.0,0.0,0.0,2778,19138.0,-744.0,1553.0,-4574.0,0.0,25012.0,-18885.0,-2255.0,0.0,-2255.0,20584.0,0.0,340.0,19551.0,913.0,3250.0,
06/30/2017,-18561,3872,901.0,1666.0,-2185,-221.0,,-1964,-22794,-22075.0,,-719.0,,-15083.0,-779,82.0,-861,4574.0,51051.0,,,,-46477.0,-18934.0,-18934.0,0.0,0.0,0.0,0.0,0.0,0.0,56,39798.0,-760.0,33586.0,10392.0,0.0,25626.0,-2432.0,-1781.0,0.0,-1781.0,8753.0,0.0,-117.0,6037.0,1062.0,4079.0,
09/30/2017,16183,4133,920.0,2146.0,447,-213.0,,660,8532,2190.0,,6342.0,,-29533.0,-778,77.0,-855,-20603.0,52377.0,,,,-72980.0,-8885.0,-8885.0,0.0,0.0,0.0,0.0,0.0,0.0,733,13001.0,-1135.0,14278.0,1630.0,0.0,21116.0,-8468.0,-5437.0,0.0,-5437.0,5295.0,0.0,376.0,27.0,739.0,4275.0,
12/31/2017,-3344,-18893,942.0,2016.0,24294,-152.0,,24446,-11812,-7015.0,,-4797.0,,2740.0,-774,85.0,-859,16264.0,34847.0,,,,-18583.0,-12781.0,-17116.0,4335.0,0.0,0.0,0.0,0.0,0.0,31,-5083.0,-1158.0,5764.0,6303.0,0.0,10662.0,-11201.0,-5473.0,0.0,-5473.0,-4216.0,0.0,94.0,-5593.0,-631.0,4071.0,
03/31/2018,6956,4620,926.0,1803.0,-1350,-170.0,,-1180,950,2737.0,,-1787.0,,-32124.0,-868,101.0,-969,-24242.0,42197.0,,,,-66439.0,-7063.0,-7063.0,0.0,0.0,0.0,0.0,0.0,0.0,49,47363.0,-1095.0,10011.0,-8358.0,0.0,20769.0,-2400.0,-2950.0,0.0,-2950.0,41397.0,0.0,-7.0,22188.0,738.0,4586.0,
06/30/2018,1363,4490,929.0,1795.0,-9479,-102.0,,-9377,3643,2603.0,,1040.0,,-4505.0,-679,42.0,-721,-4023.0,44457.0,,,,-48480.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1936.0,-1137.0,9991.0,1139.0,0.0,19988.0,-11136.0,-2429.0,0.0,-2429.0,-4489.0,0.0,-596.0,-1802.0,1501.0,5371.0,
09/30/2018,21747,4622,945.0,1906.0,1043,-69.0,,1112,13223,12311.0,,912.0,0.0,-19934.0,-961,31.0,-992,-14141.0,31956.0,,,,-46097.0,-5195.0,-5195.0,,,0.0,0.0,0.0,0.0,363,-3323.0,-1384.0,-5219.0,-3462.0,0.0,31908.0,-33665.0,-5166.0,0.0,-5166.0,8446.0,0.0,-106.0,-1616.0,1022.0,6321.0,
12/31/2018,6886,4313,954.0,1850.0,2410,-80.0,,2490,-2649,-1985.0,,-664.0,,-16555.0,-1054,38.0,-1092,35014.0,44485.0,,,,-9471.0,-50549.0,-12343.0,-38206.0,0.0,0.0,0.0,0.0,0.0,34,-1448.0,-1404.0,-2875.0,-1425.0,0.0,9481.0,-10931.0,-5163.0,0.0,-5163.0,7994.0,0.0,-64.0,-11181.0,1052.0,6685.0,
03/31/2019,-37616,4710,931.0,1944.0,4478,-130.0,,4608,-49681,-38340.0,,-11341.0,,16043.0,-480,38.0,-518,9126.0,78799.0,0.0,78799.0,0.0,-69673.0,7359.0,1170.0,6189.0,0.0,0.0,0.0,0.0,0.0,38,39537.0,-1320.0,28564.0,6976.0,0.0,28156.0,-6568.0,-4893.0,0.0,-4893.0,17186.0,0.0,-176.0,17788.0,1325.0,6931.0,
06/30/2019,-140,4799,952.0,2089.0,9432,-468.0,,9900,-17395,-20447.0,,3052.0,,-10745.0,-2801,30.0,-2831,-1253.0,42480.0,,,,-43733.0,-6724.0,-6724.0,0.0,0.0,0.0,0.0,0.0,0.0,33,8775.0,-1330.0,-1682.0,3120.0,0.0,3693.0,-8495.0,-3464.0,0.0,-3464.0,15251.0,0.0,-540.0,-2650.0,1489.0,7069.0,
09/30/2019,2398,4913,983.0,2062.0,1616,-361.0,,1977,-7191,-712.0,,-6479.0,0.0,-17390.0,-997,14.0,-1011,-22739.0,66777.0,,,,-89516.0,6312.0,-3247.0,9559.0,0.0,0.0,0.0,0.0,0.0,34,32839.0,-1398.0,-4443.0,-7212.0,0.0,25604.0,-22835.0,-3482.0,1496.0,-4978.0,42162.0,0.0,-647.0,17200.0,921.0,8343.0,
12/31/2019,22521,4979,1039.0,2123.0,-1532,-515.0,,-1017,15908,14964.0,,944.0,,-11282.0,-799,177.0,-976,-9590.0,68168.0,,,,-77758.0,-984.0,-10787.0,9803.0,0.0,0.0,0.0,0.0,0.0,91,-38218.0,-1399.0,-13060.0,9819.0,0.0,1681.0,-24560.0,-6580.0,0.0,-6580.0,-17179.0,0.0,455.0,-26524.0,1153.0,6339.0,
03/31/2020,-25533,2522,927.0,7001.0,13109,-432.0,,13541,-49110,-44774.0,,-4336.0,,-72857.0,-458,2.0,-460,-35056.0,73602.0,0.0,73602.0,0.0,-108658.0,-37361.0,-26147.0,-11214.0,0.0,0.0,0.0,0.0,0.0,18,191358.0,-1365.0,81733.0,9902.0,0.0,84912.0,-13081.0,-3331.0,1500.0,-4831.0,114321.0,0.0,-967.0,92001.0,1441.0,5424.0,
06/30/2020,6325,1316,926.0,7809.0,-399,-748.0,,349,-3328,-12059.0,,8731.0,,-18832.0,-848,10.0,-858,-32545.0,66498.0,0.0,66498.0,0.0,-99043.0,14535.0,34916.0,-20381.0,0.0,0.0,0.0,0.0,0.0,26,36365.0,-1314.0,-11069.0,-14795.0,0.0,22942.0,-19216.0,-1.0,0.0,-1.0,48749.0,0.0,-5.0,23853.0,1102.0,3327.0,
