Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2014,43737,9664,1259,8405,2008,2008.0,0.0,1052,,,,,2469,,2419.0,15193,19944,31395.0,-11451.0,0.0,8600,6408.0,4089.0,2319.0,,2192,28544,,5001,1646,,,3355.0,1441,0.0,,,,1441.0,8637,,,0,15079,17566,17566.0,,,,9997,,5766.0,4231,27563,42642,0.0,14046,6.0,14040.0,,-10816.0,-2135,1095,0.0,1095,43737,
06/30/2014,44811,9459,1210,8249,1981,1981.0,0.0,1093,,,,,2433,,2433.0,14966,21236,32868.0,-11632.0,0.0,8609,6419.0,4089.0,2330.0,,2190,29845,,5003,1653,,,3350.0,1523,0.0,,,,1523.0,8562,,,0,15088,15620,15620.0,,,,10017,,5704.0,4313,25637,40725,0.0,15886,7.0,15879.0,-1.0,-9953.0,-1846,4086,0.0,4086,44811,
09/30/2014,44173,7899,1178,6721,1961,1961.0,,1182,,,,,2408,,2408.0,13450,22163,34196.0,-12033.0,0.0,8560,6394.0,4089.0,2305.0,,2166,30723,,4626,1498,,,3128.0,1439,0.0,,,,1439.0,7823,,,0,13888,15890,15890.0,,,,9424,,4964.0,4460,25314,39202,0.0,15950,7.0,15943.0,,-9086.0,-1893,4971,0.0,4971,44173,
12/31/2014,43225,7303,994,6309,1771,1771.0,0.0,1004,,,,,1672,,1672.0,11750,23084,35343.0,-12259.0,0.0,8391,6331.0,4091.0,2240.0,0.0,2060,31475,,4668,1377,0.0,0.0,3291.0,1677,0.0,,,,1677.0,7059,,,0,13404,16043,16043.0,,,,11757,0.0,7562.0,4195,27800,41204,0.0,15142,7.0,15135.0,0.0,-8562.0,-4559,2021,0.0,2021,43225,
03/31/2015,46754,9173,1048,8125,1826,1826.0,0.0,995,,,,,2135,,2135.0,14129,24042,36551.0,-12509.0,0.0,8583,6372.0,4091.0,2281.0,,2211,32625,,4758,1587,,,3171.0,1284,0.0,,,,1284.0,8191,,,0,14233,17638,17638.0,,,,12119,,7517.0,4602,29757,43990,0.0,15056,7.0,15049.0,0.0,-7702.0,-4590,2764,0.0,2764,46754,
06/30/2015,47868,8919,952,7967,1892,1892.0,0.0,1069,,,,,2229,,2229.0,14109,25288,38085.0,-12797.0,0.0,8471,6365.0,4091.0,2274.0,,2106,33759,,4994,1683,,,3311.0,1642,0.0,,,,1642.0,8409,,,0,15045,17152,17152.0,,,,12035,,7477.0,4558,29187,44232,0.0,14326,7.0,14319.0,0.0,-6070.0,-4620,3636,0.0,3636,47868,
09/30/2015,48715,8873,1016,7857,1828,1828.0,0.0,1010,,,,,1995,,1995.0,13706,26292,39207.0,-12915.0,0.0,8717,6352.0,4091.0,2261.0,,2365,35009,,4989,1525,,,3464.0,1712,0.0,,,,1712.0,7460,,,0,14161,18849,18849.0,,,,11943,,7433.0,4510,30792,44953,0.0,12858,6.0,12852.0,0.0,-4445.0,-4651,3762,0.0,3762,48715,
12/31/2015,48415,6254,390,5864,1425,1425.0,0.0,863,,,,,1443,0.0,1443.0,9985,27510,40654.0,-13144.0,0.0,10920,6340.0,4091.0,2249.0,2477.0,2103,38430,,5102,1563,0.0,,3539.0,2231,0.0,,,,2231.0,6272,,0.0,0,13605,18330,18330.0,,,,10845,0.0,7450.0,3395,29175,42780,0.0,11597,6.0,11591.0,0.0,-1230.0,-4732,5635,0.0,5635,48415,
03/31/2016,49909,6930,495,6435,1450,1450.0,,886,,,,,1536,,1536.0,10802,28633,42026.0,-13393.0,0.0,10474,6327.0,4091.0,2236.0,2072.0,2075,39107,,5440,1913,,,3527.0,2610,0.0,,,,2610.0,7227,,,0,15277,19134,19134.0,,,,10788,,7440.0,3348,29922,45199,0.0,10050,6.0,10044.0,0.0,-591.0,-4749,4710,0.0,4710,49909,
06/30/2016,51051,7118,446,6672,1593,1593.0,,999,,,,,1474,,1474.0,11184,29611,43415.0,-13804.0,0.0,10256,6304.0,4091.0,2213.0,1965.0,1987,39867,,5707,1944,,,3763.0,1715,0.0,,,,1715.0,7495,,,0,14917,21131,21131.0,,,,10691,,7426.0,3265,31822,46739,0.0,8356,5.0,8351.0,0.0,719.0,-4763,4312,0.0,4312,51051,
09/30/2016,51108,6755,381,6374,1703,1703.0,,1100,,,,,1490,,1490.0,11048,30304,44323.0,-14019.0,0.0,9756,6280.0,4091.0,2189.0,1524.0,1952,40060,,5272,1673,,,3599.0,1798,0.0,,,,1798.0,7463,,,0,14533,21545,21545.0,,,,10639,,7387.0,3252,32184,46717,0.0,7766,5.0,7761.0,0.0,1403.0,-4778,4391,0.0,4391,51108,
12/31/2016,51274,6359,322,6037,1594,1594.0,0.0,1094,,,,,1277,0.0,1277.0,10324,31159,45353.0,-14194.0,0.0,9791,6264.0,4091.0,2173.0,1498.0,2029,40950,,5316,1592,,,3724.0,1855,0.0,0.0,0.0,,1855.0,6701,,0.0,0,13872,22489,22489.0,0.0,0.0,,11128,0.0,7842.0,3286,33617,47489,0.0,7228,5.0,7223.0,0.0,1640.0,-5083,3785,0.0,3785,51274,
03/31/2017,52627,6676,374,6302,1397,1397.0,0.0,1154,,,,,1399,,1399.0,10626,32291,46931.0,-14640.0,0.0,9710,6327.0,4091.0,2236.0,1379.0,2004,42001,,5218,1882,,,3336.0,1714,0.0,,,,1714.0,8354,,,0,15286,22829,22829.0,,,,11055,,7808.0,3247,33884,49170,0.0,6731,5.0,6726.0,0.0,1823.0,-5097,3457,0.0,3457,52627,
06/30/2017,53336,6886,386,6500,1543,1543.0,0.0,1206,,,,,1381,,1381.0,11016,32993,48121.0,-15128.0,0.0,9327,6315.0,4091.0,2224.0,905.0,2107,42320,,5542,1924,,,3618.0,2334,0.0,,,,2334.0,8236,,,0,16112,22525,22525.0,,,,10984,,7500.0,3484,33509,49621,0.0,6250,5.0,6245.0,0.0,2577.0,-5112,3715,0.0,3715,53336,
09/30/2017,52401,5768,340,5428,1700,1700.0,0.0,1315,,,,,1219,,1219.0,10002,33311,48727.0,-15416.0,0.0,9088,6305.0,4091.0,2214.0,538.0,2245,42399,,5294,1638,,,3656.0,2467,0.0,,,,2467.0,7546,,,0,15307,22217,22217.0,,,,10929,,7467.0,3462,33146,48453,0.0,5923,5.0,5918.0,0.0,3152.0,-5127,3948,0.0,3948,52401,
12/31/2017,52785,5066,295,4771,1752,1752.0,0.0,1359,,,,,969,,969.0,9146,34156,49802.0,-15646.0,0.0,9483,6294.0,4091.0,2203.0,1816.0,1373,43639,,5641,1688,,,3953.0,2554,0.0,0.0,0.0,,2554.0,7163,5701.0,0.0,0,15358,22511,22511.0,0.0,0.0,,15696,0.0,7497.0,2498,38207,53565,0.0,5719,5.0,5714.0,0.0,-1345.0,-5154,-780,0.0,-780,52785,
03/31/2018,53280,5291,297,4994,1809,1809.0,0.0,1455,,,,,1118,,1118.0,9673,34333,50492.0,-16159.0,0.0,9274,6284.0,4091.0,2193.0,1581.0,1409,43607,,5490,1953,,,3537.0,2793,0.0,,,,2793.0,8725,5610.0,,0,17008,21946,21946.0,,,,15344,,7259.0,2475,37290,54298,0.0,5284,5.0,5279.0,0.0,-1130.0,-5172,-1018,0.0,-1018,53280,
06/30/2018,52622,4674,293,4381,1941,1941.0,0.0,1522,,,,,1039,,1039.0,9176,34424,51149.0,-16725.0,0.0,9022,6248.0,4091.0,2157.0,1399.0,1375,43446,,5753,2053,,,3700.0,2213,0.0,,,,2213.0,8703,5484.0,,0,16669,21863,21863.0,,,,14959,,7118.0,2357,36822,53491,0.0,4928,5.0,4923.0,0.0,-610.0,-5187,-869,0.0,-869,52622,
09/30/2018,52635,4855,303,4552,2170,2170.0,0.0,1576,,,,,897,,897.0,9498,34223,51500.0,-17277.0,0.0,8914,6238.0,4091.0,2147.0,1293.0,1383,43137,,5573,1886,,,3687.0,2493,0.0,,,,2493.0,8282,5317.0,,0,16348,22274,22274.0,,,,14581,,6898.0,2366,36855,53203,0.0,4951,5.0,4946.0,0.0,-316.0,-5203,-568,0.0,-568,52635,
12/31/2018,60580,4760,275,4485,1706,1706.0,0.0,1522,,,,,649,,649.0,8637,43249,60692.0,-17443.0,0.0,8694,6228.0,4091.0,2137.0,1145.0,1321,51943,,5542,1773,,,3769.0,4948,0.0,1735.0,81.0,1654.0,3213.0,7606,5272.0,0.0,0,18096,29081,20566.0,8515.0,613.0,7902.0,13572,0.0,6907.0,1393,42653,60749,0.0,4969,5.0,4964.0,0.0,758.0,-5896,-169,0.0,-169,60580,
03/31/2019,60787,4349,337,4012,1876,1876.0,0.0,1666,,,,,763,,763.0,8654,43534,61280.0,-17746.0,0.0,8599,6206.0,4091.0,2115.0,1007.0,1386,52133,,5566,2139,,,3427.0,4999,0.0,1629.0,,1629.0,3370.0,9284,5214.0,,0,19849,28445,20660.0,7785.0,,7785.0,13129,,6519.0,1396,41574,61423,0.0,4376,5.0,4371.0,0.0,897.0,-5909,-636,0.0,-636,60787,
06/30/2019,61967,5407,319,5088,1943,1943.0,0.0,1708,,,,,792,,792.0,9850,43804,61918.0,-18114.0,0.0,8313,6196.0,4091.0,2105.0,792.0,1325,52117,,5718,2118,,,3600.0,5139,0.0,1639.0,,1639.0,3500.0,9266,5249.0,,0,20123,29609,21791.0,7818.0,,7818.0,12257,,5641.0,1367,41866,61989,0.0,4391,5.0,4386.0,0.0,1514.0,-5927,-22,0.0,-22,61967,
09/30/2019,61175,5168,312,4856,1850,1850.0,0.0,1800,,,,,754,,754.0,9572,43461,61961.0,-18500.0,0.0,8142,6186.0,4091.0,2095.0,666.0,1290,51603,,5514,1932,,,3582.0,5280,0.0,1672.0,,1672.0,3608.0,8766,5325.0,,0,19560,29160,21625.0,7535.0,,7535.0,12295,,5609.0,1361,41455,61015,0.0,4212,4.0,4208.0,0.0,1894.0,-5946,160,0.0,160,61175,
12/31/2019,59995,3826,280,3546,1750,1750.0,0.0,1851,,,,,779,,779.0,8206,43732,62391.0,-18659.0,0.0,8057,6175.0,4091.0,2084.0,645.0,1237,51789,,5741,2062,,,3679.0,4569,0.0,1820.0,112.0,1708.0,2749.0,8001,5422.0,0.0,0,18311,28875,20896.0,7979.0,558.0,7421.0,12927,0.0,6052.0,1453,41802,60113,0.0,3949,4.0,3945.0,0.0,2264.0,-6331,-118,0.0,-118,59995,
03/31/2020,58580,3576,474,3102,1020,1020.0,0.0,1772,,,,,807,,807.0,7175,42825,59266.0,-16441.0,0.0,8580,6150.0,4091.0,2059.0,1237.0,1193,51405,,5376,1648,,,3728.0,5270,0.0,1752.0,,1752.0,3518.0,8567,5757.0,,0,19213,28803,21564.0,7239.0,,7239.0,13200,,6107.0,1336,42003,61216,0.0,3865,4.0,3861.0,0.0,-21.0,-6480,-2636,0.0,-2636,58580,
06/30/2020,64544,9813,462,9351,879,879.0,0.0,1653,,,,,1444,,1444.0,13789,41674,58167.0,-16493.0,0.0,9081,6140.0,4091.0,2049.0,1725.0,1216,50755,,6148,1175,,,4973.0,4379,0.0,1804.0,,1804.0,2575.0,7473,6608.0,,0,18000,35670,28698.0,6972.0,,6972.0,14043,,6019.0,1416,49713,67713,0.0,5382,5.0,5377.0,0.0,-2088.0,-6463,-3169,0.0,-3169,64544,
