Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2014,561.0,608.0,-47.0,-360.0,148.0,212.0,201.0,0.0,-68.0,68.0,68.0,0.0,133.0,-164.0,,38.0,,,126.0,-31.0,8.0,,-8.0,,-23.0,-1.0,-1.0,0.0,-22.0,0.0,-22.0,0.0,0.0,-22.0,59.55,82.55,136.0,-0.16,-0.16,0.437868,136.0,-0.16,-0.16,0.437868,
09/30/2014,590.0,610.0,-20.0,-385.0,157.0,228.0,205.0,0.0,-58.0,48.0,48.0,10.0,147.0,286.0,,38.0,,,-324.0,433.0,-155.0,1.0,154.0,,278.0,0.0,0.0,0.0,278.0,0.0,278.0,0.0,0.0,278.0,68.05,-209.95,137.0,2.04,2.04,0.496715,138.0,2.02,2.02,0.496715,
12/31/2014,563.0,495.0,68.0,-392.0,155.0,237.0,171.0,0.0,-57.0,50.0,50.0,7.0,114.0,465.0,,34.0,,,-499.0,579.0,-212.0,,,,367.0,7.0,7.0,0.0,360.0,0.0,360.0,0.0,0.0,360.0,48.0,-319.0,137.0,2.62,2.67,0.350365,138.0,2.6,2.65,0.338406,
03/31/2015,470.0,349.0,121.0,-374.0,137.0,237.0,96.0,0.0,-859.0,63.0,63.0,796.0,-763.0,3.0,,37.0,,,-40.0,-760.0,280.0,3.0,-283.0,,-480.0,0.0,0.0,0.0,-480.0,0.0,-480.0,0.0,0.0,-480.0,3.05,483.05,145.0,-3.3,-3.3,0.021034,145.0,-3.3,-3.3,0.021034,
06/30/2015,592.0,469.0,123.0,-390.0,142.0,248.0,202.0,0.0,-1575.0,51.0,51.0,1524.0,-1373.0,-193.0,,38.0,,,155.0,-1566.0,574.0,15.0,-589.0,,-992.0,0.0,0.0,0.0,-992.0,0.0,-992.0,0.0,0.0,-992.0,76.5,1068.5,163.0,-6.09,-6.09,0.469325,163.0,-6.09,-6.09,0.465215,
09/30/2015,508.0,377.0,131.0,-372.0,136.0,236.0,136.0,0.0,-1956.0,66.0,66.0,1890.0,-1820.0,-72.0,,29.0,,,43.0,-1892.0,665.0,7.0,-672.0,,-1227.0,0.0,0.0,0.0,-1227.0,0.0,-1227.0,0.0,0.0,-1227.0,33.352,1260.352,163.0,-7.52,-7.52,0.204613,163.0,-7.52,-7.52,0.204613,
12/31/2015,492.0,362.0,130.0,-324.0,128.0,196.0,168.0,0.0,-768.0,64.0,64.0,704.0,-600.0,-129.0,,27.0,,,102.0,-729.0,66.0,,,,-663.0,0.0,0.0,0.0,-663.0,0.0,-663.0,0.0,0.0,-663.0,47.95,710.95,163.0,-4.06,-4.06,0.294172,163.0,-4.06,-4.06,0.294172,
03/31/2016,366.0,284.0,82.0,-311.0,134.0,177.0,55.0,0.0,-551.0,44.0,44.0,507.0,-496.0,-130.0,,32.0,,,98.0,-626.0,2.0,-2.0,0.0,,-624.0,0.0,0.0,0.0,-624.0,0.0,-624.0,0.0,0.0,-624.0,-19.0,605.0,177.0,-3.52,-3.52,-0.107345,177.0,-3.52,-3.52,-0.107345,
06/30/2016,445.0,381.0,64.0,-299.0,139.0,160.0,146.0,0.0,-580.0,58.0,58.0,522.0,-434.0,-224.0,,27.0,,,197.0,-658.0,-9.0,6.0,3.0,,-667.0,0.0,0.0,0.0,-667.0,0.0,-667.0,0.0,0.0,-667.0,64.0,731.0,198.0,-3.36,-3.36,0.323232,198.0,-3.36,-3.36,0.323232,
09/30/2016,431.0,392.0,39.0,-264.0,144.0,120.0,167.0,0.0,-83.0,65.0,65.0,18.0,84.0,-32.0,,22.0,,,10.0,52.0,-4.0,-1.0,5.0,,48.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0,48.0,89.0,41.0,199.0,0.24,0.24,0.447236,200.0,0.24,0.24,0.445,
12/31/2016,431.0,415.0,16.0,-256.0,141.0,115.0,175.0,0.0,-47.0,46.0,46.0,1.0,128.0,-104.0,,22.0,,,82.0,24.0,-11.0,,,,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,68.25,55.25,199.0,0.07,0.07,0.342965,200.0,0.07,0.07,0.342965,
03/31/2017,437.0,417.0,20.0,-248.0,142.0,106.0,189.0,0.0,-48.0,47.0,47.0,1.0,141.0,13.0,,22.0,,,-35.0,154.0,-7.0,-2.0,9.0,,147.0,0.0,0.0,0.0,147.0,0.0,147.0,0.0,0.0,147.0,114.0,-33.0,199.0,0.74,0.74,0.572864,200.0,0.73,0.73,0.565,
06/30/2017,417.0,402.0,15.0,-252.0,142.0,110.0,165.0,0.0,-51.0,51.0,51.0,0.0,114.0,-7.0,,22.0,,0.0,-15.0,107.0,-9.0,2.0,7.0,,98.0,0.0,0.0,0.0,98.0,0.0,98.0,0.0,0.0,98.0,85.0,-13.0,199.0,0.49,0.49,0.427136,200.0,0.49,0.49,0.425,
09/30/2017,450.0,439.0,11.0,-273.0,149.0,124.0,177.0,0.0,-54.0,53.0,53.0,1.0,123.0,-55.0,,22.0,,,33.0,68.0,19.0,-28.0,9.0,,87.0,0.0,0.0,0.0,87.0,0.0,87.0,0.0,0.0,87.0,121.0,34.0,199.0,0.44,0.44,0.60804,200.0,0.44,0.44,0.60804,
12/31/2017,499.0,509.0,-10.0,-273.0,146.0,127.0,226.0,0.0,-53.0,49.0,49.0,4.0,173.0,-116.0,,23.0,,0.0,93.0,57.0,38.0,,,,95.0,0.0,0.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0,143.0,48.0,200.0,0.47,0.47,0.715,201.0,0.47,0.47,0.708806,
03/31/2018,548.0,580.0,-32.0,-293.0,160.0,133.0,255.0,0.0,-55.0,54.0,54.0,1.0,200.0,-101.0,,23.0,,,78.0,99.0,-13.0,0.0,13.0,,86.0,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,86.0,165.0,79.0,200.0,0.43,0.43,0.825,200.0,0.43,0.43,0.825,
06/30/2018,612.0,679.0,-67.0,-334.0,183.0,151.0,278.0,6.0,-51.0,51.0,51.0,0.0,233.0,-100.0,,22.0,,,78.0,133.0,-14.0,6.0,8.0,,119.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,0.0,119.0,189.0,70.0,200.0,0.6,0.6,0.945,201.0,0.59,0.59,0.938259,
09/30/2018,634.0,709.0,-75.0,-360.0,197.0,163.0,274.0,0.0,-56.0,54.0,54.0,2.0,218.0,0.0,,23.0,,,-23.0,218.0,6.0,-1.0,-5.0,,224.0,0.0,0.0,0.0,224.0,0.0,224.0,0.0,0.0,224.0,204.0,-20.0,200.0,1.12,1.12,1.02,201.0,1.11,1.11,1.010498,
12/31/2018,632.0,,,,,,,,,,,,251.2,,,,,,,203.25,,,,,159.125,,,,,,159.125,,,159.125,159.125,,,0.748,0.748,0.837,,0.748,0.748,0.837,
03/31/2019,564.444,,,,,,,,,,,,191.6,,,,,,,155.5,,,,,131.5,,,,,,131.5,,,131.5,129.5,,,0.557,0.557,0.702,,0.557,0.557,0.702,
