Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
12/31/2015,410.0,55.0,74.0,142.0,6.0,136.0,139.0,,,139.0,0.0,-2353.0,-171.0,0.0,0.0,0.0,-171.0,-171.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2183.0,1922.0,-18.0,1983.0,-204.0,2209.0,-22.0,10.0,10.0,0.0,-53.0,0.0,-21.0,
03/31/2016,-386.0,-127.0,75.0,227.0,-50.0,277.0,-561.0,,,-561.0,0.0,-185.0,-138.0,0.0,0.0,0.0,-138.0,-138.0,0.0,0.0,0.0,0.0,-36.0,0.0,-36.0,0.0,-11.0,572.0,-19.0,704.0,310.0,801.0,-407.0,-91.0,7.0,-98.0,-22.0,-20.0,-19.0,
06/30/2016,422.0,307.0,78.0,-84.0,-186.0,102.0,121.0,,,121.0,0.0,3054.0,-135.0,0.0,0.0,0.0,-135.0,-135.0,0.0,0.0,0.0,0.0,3264.0,0.0,3264.0,0.0,-75.0,2748.0,-18.0,2749.0,-60.0,3023.0,-214.0,16.0,16.0,0.0,1.0,-30.0,6194.0,
09/30/2016,-469.0,31.0,146.0,74.0,71.0,3.0,-720.0,,,-720.0,0.0,-1989.0,-125.0,0.0,,,-125.0,-125.0,0.0,0.0,0.0,0.0,-3666.0,0.0,-3666.0,0.0,1802.0,-3277.0,-23.0,-3275.0,-94.0,546.0,-3727.0,15.0,15.0,0.0,6.0,-19.0,-5754.0,
12/31/2016,627.0,14.0,154.0,-193.0,-128.0,-65.0,652.0,,,652.0,0.0,-208.0,-208.0,0.0,,,-208.0,-208.0,0.0,0.0,0.0,0.0,-3.0,2938.0,-2941.0,0.0,3.0,-430.0,-23.0,-409.0,-133.0,0.0,-276.0,1.0,10.0,-9.0,1.0,-37.0,-48.0,
03/31/2017,-401.0,68.0,148.0,63.0,2.0,61.0,-680.0,,,-680.0,0.0,-91.0,-125.0,0.0,0.0,0.0,-125.0,-125.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,3.0,380.0,-23.0,408.0,273.0,185.0,-50.0,-4.0,0.0,-4.0,-1.0,-30.0,-142.0,
06/30/2017,659.0,99.0,229.0,-173.0,-61.0,-112.0,504.0,,,504.0,0.0,-116.0,-115.0,0.0,0.0,0.0,-115.0,-115.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,-32.0,-608.0,-35.0,-588.0,-182.0,105.0,-511.0,15.0,15.0,0.0,0.0,38.0,-27.0,
09/30/2017,483.0,48.0,162.0,137.0,59.0,78.0,136.0,,,136.0,0.0,-163.0,-164.0,0.0,0.0,0.0,-164.0,-164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-201.0,-35.0,-69.0,129.0,150.0,-348.0,-96.0,4.0,-100.0,-1.0,3.0,122.0,
12/31/2017,733.0,159.0,190.0,-37.0,82.0,-119.0,421.0,,,421.0,0.0,-175.0,-152.0,0.0,0.0,0.0,-152.0,-152.0,0.0,0.0,0.0,0.0,-33.0,-2.0,-31.0,0.0,10.0,-644.0,-36.0,-612.0,-36.0,325.0,-901.0,9.0,9.0,0.0,-5.0,-19.0,-105.0,
03/31/2018,-74.0,125.0,180.0,41.0,3.0,38.0,-420.0,,,-420.0,0.0,-284.0,-242.0,0.0,0.0,0.0,-242.0,-242.0,0.0,0.0,0.0,0.0,-45.0,0.0,-45.0,0.0,3.0,384.0,-35.0,465.0,-14.0,1162.0,-683.0,-35.0,0.0,-35.0,-11.0,1.0,27.0,
06/30/2018,508.0,119.0,178.0,144.0,34.0,110.0,67.0,,,67.0,0.0,-166.0,-202.0,0.0,0.0,0.0,-202.0,-202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-220.0,-35.0,-44.0,-151.0,264.0,-157.0,-149.0,0.0,-149.0,8.0,-51.0,71.0,
09/30/2018,593.0,59.0,171.0,122.0,66.0,56.0,241.0,,,241.0,0.0,435.0,-172.0,0.0,0.0,0.0,-172.0,-172.0,0.0,0.0,0.0,0.0,596.0,0.0,596.0,0.0,11.0,-965.0,-34.0,-666.0,-24.0,49.0,-691.0,-255.0,25.0,-280.0,-10.0,-9.0,54.0,
12/31/2018,539.0,151.0,173.0,40.0,-68.0,108.0,175.0,,,175.0,0.0,-191.0,-200.0,0.0,0.0,0.0,-200.0,-200.0,0.0,0.0,0.0,0.0,-12.0,539.0,-551.0,0.0,21.0,-239.0,-33.0,67.0,69.0,0.0,-2.0,-272.0,3.0,-275.0,-1.0,8.0,117.0,
03/31/2019,-129.0,117.0,170.0,71.0,10.0,61.0,-487.0,,,-487.0,0.0,-163.0,-154.0,0.0,0.0,0.0,-154.0,-154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,225.0,-34.0,419.0,160.0,671.0,-412.0,-146.0,0.0,-146.0,-14.0,11.0,-56.0,
06/30/2019,382.0,197.0,171.0,-58.0,-17.0,-41.0,72.0,,,72.0,0.0,-101.0,-121.0,0.0,0.0,0.0,-121.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-118.0,-49.0,171.0,-7.0,375.0,-197.0,-250.0,0.0,-250.0,10.0,1.0,164.0,
09/30/2019,403.0,92.0,169.0,150.0,-9.0,159.0,-8.0,,,-8.0,0.0,-185.0,-150.0,0.0,0.0,0.0,-150.0,-150.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,0.0,15.0,-525.0,-50.0,-267.0,-22.0,52.0,-297.0,-202.0,16.0,-218.0,-6.0,-32.0,-339.0,
12/31/2019,892.0,160.0,168.0,-91.0,-29.0,-62.0,655.0,,,655.0,0.0,27.0,-173.0,0.0,0.0,0.0,-173.0,-173.0,0.0,0.0,0.0,0.0,210.0,0.0,210.0,0.0,-10.0,372.0,-49.0,789.0,-314.0,1721.0,-618.0,-347.0,3.0,-350.0,-21.0,18.0,1309.0,
03/31/2020,-708.0,23.0,169.0,137.0,-36.0,173.0,-1037.0,,,-1037.0,0.0,-234.0,-213.0,0.0,0.0,0.0,-213.0,-213.0,0.0,0.0,0.0,0.0,-17.0,0.0,-17.0,0.0,-4.0,25.0,-51.0,198.0,493.0,1252.0,-1547.0,-57.0,0.0,-57.0,-65.0,-78.0,-995.0,
06/30/2020,476.0,94.0,170.0,116.0,-14.0,130.0,96.0,,,96.0,0.0,-207.0,-234.0,0.0,,,-234.0,-234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-413.0,-49.0,-370.0,-1.0,0.0,-369.0,0.0,0.0,0.0,6.0,-14.0,-158.0,
