Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2015,8792,4190,4451,1175,,,1175,-1024,,-1024,0.0,-6491.0,-6480.0,629.0,629.0,0.0,-7109.0,-7109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-3194.0,-3066.0,923.0,926.0,0.0,-3.0,-1003.0,0.0,-1003.0,-48.0,52.0,-841.0,2846.0,93.0,
09/30/2015,9174,4240,4542,-104,,,-104,496,,496,0.0,-5657.0,-5910.0,491.0,491.0,0.0,-6401.0,-6401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,-3402.0,-3060.0,198.0,175.0,28.0,-5.0,-501.0,0.0,-501.0,-39.0,-162.0,-47.0,1522.0,196.0,
12/31/2015,4380,2780,4755,-1079,,,-1079,-2076,,-2076,0.0,-5324.0,-5351.0,785.0,785.0,0.0,-6136.0,-6136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,413.0,-3054.0,4257.0,4265.0,0.0,-8.0,-747.0,7.0,-754.0,-43.0,-60.0,-591.0,1675.0,127.0,
03/31/2016,4812,1810,4765,-1364,,,-1364,-399,,-399,0.0,-4349.0,-4424.0,177.0,177.0,0.0,-4601.0,-4601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,524.0,-3054.0,4341.0,-7622.0,11963.0,0.0,-721.0,5.0,-726.0,-42.0,154.0,1141.0,749.0,223.0,
06/30/2016,4519,1700,4821,-676,,,-676,-1326,,-1326,0.0,-3147.0,-3242.0,1029.0,1029.0,0.0,-4271.0,-4271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,-1775.0,-3133.0,1400.0,1399.0,1.0,0.0,1.0,2.0,-1.0,-43.0,-85.0,-488.0,1395.0,111.0,
09/30/2016,5355,2650,4605,-1239,,,-1239,-661,,-661,0.0,-3235.0,-2428.0,976.0,976.0,0.0,-3404.0,-3404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-807.0,-1296.0,-3133.0,1875.0,1875.0,0.0,0.0,-1.0,0.0,-1.0,-37.0,-89.0,735.0,905.0,375.0,
12/31/2016,7396,1680,8117,-3395,,,-3395,994,,994,0.0,-1672.0,-1794.0,2093.0,2093.0,0.0,-3887.0,-3887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,-6746.0,-3133.0,-3323.0,-3425.0,102.0,0.0,-250.0,0.0,-250.0,-40.0,-414.0,-1436.0,1165.0,109.0,
03/31/2017,8173,4010,4519,-1149,,,-1149,793,,793,0.0,-3761.0,-2203.0,687.0,687.0,0.0,-2890.0,-2890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1558.0,-3246.0,-3134.0,433.0,373.0,60.0,0.0,-501.0,0.0,-501.0,-44.0,74.0,1240.0,1970.0,368.0,
06/30/2017,6947,3350,4652,-34,,,-34,-1021,,-1021,0.0,-2878.0,-2944.0,154.0,154.0,0.0,-3098.0,-3098.0,0.0,0.0,,,0.0,0.0,0.0,0.0,66.0,-5059.0,-3289.0,-1681.0,-1681.0,0.0,,-13.0,0.0,-13.0,-76.0,135.0,-855.0,1277.0,219.0,
09/30/2017,7535,3970,4880,-996,,,-996,-319,,-319,0.0,-2555.0,-4059.0,854.0,854.0,0.0,-4913.0,-4913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.0,-4988.0,-3289.0,-1589.0,-1589.0,0.0,,-1.0,0.0,-1.0,-109.0,232.0,224.0,1364.0,378.0,
12/31/2017,7411,8380,5842,-6709,,,-6709,-102,,-102,0.0,-6536.0,-3093.0,1408.0,1408.0,0.0,-4501.0,-4501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3443.0,-1837.0,-3289.0,1789.0,1789.0,0.0,,-232.0,0.0,-232.0,-105.0,-127.0,-1089.0,2899.0,167.0,
03/31/2018,8519,4650,4470,-952,,,-952,351,,351,0.0,-1859.0,-1908.0,1441.0,1441.0,0.0,-3349.0,-3349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-5742.0,-3291.0,-1922.0,-1922.0,0.0,0.0,-427.0,0.0,-427.0,-102.0,30.0,948.0,2117.0,360.0,
06/30/2018,7780,3950,4589,574,,,574,-1333,,-1333,0.0,-5096.0,-4620.0,307.0,307.0,0.0,-4927.0,-4927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-476.0,-3244.0,-3502.0,568.0,568.0,0.0,0.0,-2.0,0.0,-2.0,-308.0,-135.0,-695.0,2309.0,117.0,
09/30/2018,11108,6240,4658,-747,,,-747,957,,957,0.0,-3907.0,-3713.0,1491.0,1491.0,0.0,-5204.0,-5204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-194.0,-4959.0,-3503.0,-1299.0,-1299.0,0.0,0.0,-1.0,0.0,-1.0,-156.0,-3.0,2239.0,2314.0,362.0,
12/31/2018,8607,6000,5028,-1090,,,-1090,-1331,,-1331,0.0,-5584.0,-5210.0,884.0,884.0,0.0,-6094.0,-6094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-374.0,-5501.0,-3502.0,-2272.0,-2318.0,46.0,,-196.0,0.0,-196.0,469.0,-149.0,-2627.0,2554.0,116.0,
03/31/2019,8338,2350,4571,-840,,,-840,2257,,2257,0.0,-5793.0,-5092.0,107.0,107.0,0.0,-5199.0,-5199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-701.0,-1044.0,-3505.0,2999.0,2999.0,0.0,0.0,-421.0,0.0,-421.0,-117.0,43.0,1544.0,1793.0,422.0,
06/30/2019,5947,3130,4631,-571,,,-571,-1243,,-1243,0.0,-6877.0,-6140.0,33.0,33.0,0.0,-6173.0,-6173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-737.0,548.0,-3715.0,4365.0,4322.0,43.0,,0.0,0.0,0.0,-102.0,9.0,-373.0,2091.0,210.0,
09/30/2019,9079,3170,4873,-514,,,-514,1550,,1550,0.0,-6150.0,-5825.0,460.0,460.0,0.0,-6285.0,-6285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-325.0,-1666.0,-3716.0,1958.0,-5018.0,6976.0,0.0,0.0,0.0,0.0,92.0,-125.0,1138.0,1375.0,423.0,
12/31/2019,6352,5690,4923,-2620,,,-2620,-1641,,-627,0.0,-4264.0,-3612.0,3092.0,3092.0,0.0,-6704.0,-6704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-652.0,-4456.0,-3716.0,-660.0,-692.0,33.0,-1.0,-173.0,0.0,-173.0,93.0,106.0,-2262.0,1759.0,236.0,
03/31/2020,6274,-610,5819,2007,,,2007,-942,,-942,0.0,-6367.0,-5859.0,86.0,86.0,0.0,-5945.0,-5945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-508.0,8785.0,-3719.0,12760.0,4296.0,8466.0,-2.0,-305.0,0.0,-305.0,49.0,-369.0,8323.0,1372.0,468.0,
06/30/2020,0,-1080,4916,-2376,,,-2376,-1460,,-1460,0.0,-5081.0,-4374.0,43.0,43.0,0.0,-4417.0,-4417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.0,6277.0,-3715.0,9838.0,,,,0.0,0.0,0.0,154.0,-32.0,1164.0,396.0,157.0,
