Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2018,13757.0,7311.0,,7311.0,0.0,4423.0,2023.0,1504.0,519.0,-8553.0,,7675.0,878.0,-3168.0,3168.0,2580.0,588.0,2036.0,23.0,-343.0,0.0,1693.0,-352.0,1364.0,0.0,0.0,0.0,1364.0,-1.0,1363.0,0.0,-16.0,1347.0,1012.83,-334.17,422.0,3.19,3.19,2.400071,430.9,3.14,3.14,2.364484,
06/30/2018,14655.0,7438.0,,7438.0,0.0,4781.0,2436.0,1480.0,956.0,-10946.0,,9512.0,1434.0,-3111.0,3111.0,2498.0,613.0,598.0,18.0,-348.0,0.0,250.0,-68.0,200.0,0.0,0.0,0.0,200.0,-3.0,197.0,0.0,-4.0,193.0,748.37,555.37,419.5,0.46,0.46,1.783957,428.0,0.46,0.46,1.757593,
09/30/2018,16148.0,8810.0,,8810.0,0.0,4197.0,3141.0,1498.0,1643.0,-10787.0,,9311.0,1476.0,-3166.0,3166.0,2603.0,563.0,2195.0,,-357.0,0.0,1859.0,-184.0,1675.0,0.0,0.0,0.0,1675.0,-3.0,1672.0,0.0,-19.0,1653.0,1378.87,-274.13,416.2,3.97,3.97,3.312999,424.7,3.9,3.9,3.254533,
12/31/2018,18432.0,12220.0,,12220.0,0.0,4752.0,1460.0,1520.0,-60.0,-13650.0,,12928.0,722.0,-3355.0,3355.0,3602.0,-247.0,1427.0,,-374.0,0.0,1067.0,-218.0,849.0,0.0,0.0,0.0,849.0,-7.0,842.0,0.0,0.0,842.0,476.23,-365.77,412.7,2.040223,2.040223,1.153937,421.2,1.99905,1.99905,1.130651,
03/31/2019,15091.0,7900.0,,7900.0,0.0,3450.0,3741.0,1471.0,2270.0,-10360.0,,8438.0,1922.0,-3203.0,3203.0,2768.0,435.0,1528.0,29.0,-388.0,0.0,1140.0,-232.0,937.0,0.0,0.0,0.0,937.0,-5.0,932.0,0.0,-10.0,922.0,1868.42,946.42,409.2,2.25,2.25,4.566031,417.6,2.22,2.22,4.486331,
06/30/2019,15388.0,8135.0,,8135.0,0.0,4054.0,3199.0,1473.0,1726.0,-10592.0,,8877.0,1715.0,-3525.0,3525.0,2743.0,782.0,1271.0,24.0,-395.0,0.0,876.0,-162.0,738.0,0.0,0.0,0.0,738.0,-30.0,708.0,0.0,-8.0,700.0,1576.11,876.11,405.3,1.73,1.73,3.888749,413.9,1.71,1.71,3.826719,
09/30/2019,15105.0,6937.0,,6937.0,0.0,5291.0,2877.0,1519.0,1358.0,-9495.0,,7722.0,1773.0,-3504.0,3504.0,2913.0,591.0,2106.0,,-381.0,0.0,1757.0,-332.0,1425.0,0.0,0.0,0.0,1425.0,-7.0,1418.0,0.0,-15.0,1403.0,873.7,-529.3,404.1,3.47,3.47,2.162089,408.5,3.44,3.44,2.144284,
12/31/2019,19223.0,11230.0,,11230.0,0.0,4331.0,3662.0,1515.0,2147.0,-13527.0,,12376.0,1151.0,-3965.0,3965.0,4183.0,-218.0,1731.0,,-387.0,0.0,1359.0,-221.0,1138.0,0.0,0.0,0.0,1138.0,-10.0,1128.0,0.0,0.0,1128.0,1145.38,17.38,400.7,2.815074,2.815074,2.858448,403.7,2.794154,2.794154,2.837206,
03/31/2020,13464.0,7664.0,,7664.0,0.0,5869.0,-69.0,1489.0,-1558.0,-9321.0,,9006.0,315.0,-4092.0,4092.0,3135.0,957.0,51.0,10.0,-389.0,0.0,-338.0,58.0,-270.0,0.0,0.0,0.0,-270.0,-1.0,-271.0,0.0,-5.0,-276.0,-391.34,-115.34,397.0,-0.7,-0.7,-0.985743,397.0,-0.7,-0.7,-0.990529,
06/30/2020,12115.0,7693.0,,7693.0,0.0,434.0,3988.0,1523.0,2465.0,-10813.0,,8450.0,2363.0,-3237.0,3237.0,2950.0,287.0,-1935.0,42.0,-397.0,0.0,-2332.0,-115.0,-2405.0,0.0,0.0,0.0,-2405.0,-4.0,-2409.0,0.0,-6.0,-2415.0,3084.19,5499.19,394.6,-6.12,-6.12,7.815991,394.6,-6.12,-6.12,7.815991,
09/30/2020,13429.25,,,,,,,,,,,,,,,,,,,,,1343.857,,1243.4,,,,,,1243.4,,,1243.4,1057.333,,,2.315,2.315,2.673,,2.315,2.315,2.673,
12/31/2020,14145.25,,,,,,,,,,,,,,,,,,,,,1304.714,,1230.4,,,,,,1230.4,,,1230.4,1024.0,,,2.225,2.225,2.544,,2.225,2.225,2.544,
