Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2002,900.933,720.051,291.461,-83.729,,-83.729,-26.85,3.294,-30.144,0.0,,-342.145,-309.615,0.0,,,-309.615,,,0.0,0.0,0.0,,,,,-32.53,-298.277,-367.133,101.159,,,,7.51,7.51,0.0,-39.813,,260.511,,,
12/31/2002,1199.529,627.107,285.836,134.472,,134.472,152.114,,,152.114,,-359.28,-386.294,0.0,,,-386.294,,,22.905,116.941,-94.036,,,,,4.109,-878.447,-367.196,-522.175,,,,7.7,7.7,0.0,3.224,,-38.198,,,
03/31/2003,943.016,800.981,312.655,-292.881,,-292.881,122.261,246.501,-124.24,0.0,,-268.39,-284.914,,,,-284.914,,,,,,,,,,16.524,-358.592,-367.353,-597.0,,,,-88.255,,-88.255,694.016,,316.034,,,
06/30/2003,1056.081,246.643,329.882,251.257,,251.257,228.299,57.354,170.945,0.0,,-260.805,-237.72,,,,-237.72,,,,,,,,,,-23.085,-645.1,-382.463,-369.0,,,,25.346,25.346,,81.017,,150.176,,,
09/30/2003,1809.385,761.217,800.898,104.59,,104.59,142.68,162.248,-19.568,0.0,,-958.219,-807.53,,,,-807.53,,,,,,,,,,-150.689,-921.303,-1132.665,-839.85,,,,-48.77,,-48.77,1099.982,,-70.137,,,
12/31/2003,453.377,944.392,224.604,-179.758,,-179.758,-535.701,,,-535.701,,-353.479,-113.784,0.0,,,-113.784,,,-207.739,81.693,-289.432,,,,,-31.956,-786.711,-383.038,-541.095,,,,26.188,35.55,-9.362,111.234,,-686.813,,,
03/31/2004,1355.342,822.909,327.421,86.306,,86.306,118.706,163.64,0.0,-44.934,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,1511.79,0.0,1500.0,,,,0.0,,0.0,11.79,,128.86,,,
06/30/2004,1222.856,634.258,315.116,499.666,,499.666,-226.184,-97.564,-173.554,44.934,,-3273.521,-561.787,,,,-561.787,,,,,,,,,,-2711.734,-580.018,-788.909,-378.0,,,,-227.362,,-227.362,814.253,,107.589,,,
09/30/2004,3474.292,804.079,955.34,529.963,,529.963,-272.257,-32.769,-239.488,0.0,,-3543.72,-933.708,,,,-933.708,,,,,,,,,,-2610.012,-114.805,-1194.82,538.0,,,,-405.349,,-405.349,947.364,,-184.233,,,
12/31/2004,802.603,974.605,333.36,-292.7,,-292.7,-212.662,-555.806,-45.84,388.984,,-379.67,-357.925,0.0,,,-357.925,,,0.0,0.0,0.0,,,,,-21.745,-8.196,-404.95,131.316,,,,60.801,118.49,-57.689,204.637,,414.737,,,
