Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2015,1413.0,1413.0,,-165.0,165.0,1248.0,0.0,-1066.0,343.0,,0.0,319.0,404.0,182.0,-358.0,,362.0,,-4.0,,,0.0,-176.0,73.0,-103.0,0.0,0.0,0.0,-103.0,0.0,-103.0,-53.0,0.0,-156.0,3.65,159.65,77.409871,-2.1,-2.1,0.047145,77.409871,-2.1,-2.1,-0.037605,
03/31/2016,1355.0,1355.0,,-160.0,160.0,1195.0,0.0,-1137.0,357.0,,,316.0,464.0,58.0,-362.0,,373.0,,,,,-11.0,-304.0,118.0,-186.0,0.0,0.0,0.0,-186.0,0.0,-186.0,-54.0,0.0,-240.0,-40.0,200.0,77.602737,-3.15,-3.15,-0.515445,77.602737,-3.15,-3.15,-0.572775,
06/30/2016,2608.0,2608.0,,-453.0,453.0,2155.0,0.0,-1844.0,596.0,,,575.0,673.0,311.0,-386.0,,386.0,,0.0,,,0.0,-75.0,48.0,-27.0,0.0,0.0,0.0,-27.0,0.0,-27.0,-53.0,0.0,-80.0,-21.0,59.0,77.617471,-1.05,-1.05,-0.270555,77.617471,-1.05,-1.05,-0.28986,
09/30/2016,2524.0,2524.0,,-440.0,440.0,2084.0,0.0,-1820.0,582.0,,,578.0,660.0,264.0,-390.0,,386.0,,-1.0,,,5.0,-126.0,46.0,-80.0,0.0,0.0,0.0,-80.0,0.0,-80.0,-54.0,1.0,-133.0,-44.45,88.55,77.611471,-1.8,-1.8,-0.57273,77.611471,-1.8,-1.8,-0.659055,
12/31/2016,2409.0,2409.0,,-417.0,417.0,1992.0,0.0,-1737.0,558.0,,0.0,562.0,617.0,255.0,-373.0,,386.0,,-1.0,,,-12.0,-118.0,38.0,-80.0,0.0,0.0,0.0,-80.0,0.0,-80.0,-53.0,0.0,-133.0,-57.0,76.0,77.605671,-1.8,-1.8,-0.734475,77.605671,-1.8,-1.8,-0.820695,
03/31/2017,2356.0,2356.0,,-411.0,411.0,1945.0,0.0,-1628.0,542.0,,,579.0,507.0,317.0,-431.0,,388.0,,,,,43.0,-114.0,39.0,-75.0,0.0,0.0,0.0,-75.0,0.0,-75.0,-54.0,-1.0,-130.0,-92.0,38.0,77.590616,-1.67001,-1.67001,-1.185705,77.590616,-1.67001,-1.67001,-1.185705,
06/30/2017,2304.0,2304.0,,-408.0,408.0,1896.0,0.0,-2271.0,531.0,,,552.0,1188.0,-375.0,-497.0,,388.0,,0.0,,,109.0,-872.0,210.0,-662.0,0.0,0.0,0.0,-662.0,0.0,-662.0,-53.0,1.0,-714.0,-84.0,630.0,77.794615,-9.20004,-9.20004,-1.07976,77.950614,-9.210045,-9.210045,-1.128,
09/30/2017,2251.0,2251.0,,-390.0,390.0,1861.0,0.0,-1552.0,486.0,,,539.0,527.0,309.0,-378.0,,381.0,,,,,-3.0,-69.0,31.0,-38.0,0.0,0.0,0.0,-38.0,0.0,-38.0,-54.0,0.0,-92.0,-82.35,9.65,77.797,-1.19,-1.19,-1.058524,77.797,-1.19,-1.19,-1.065959,
12/31/2017,2217.0,2217.0,,-388.0,388.0,1829.0,0.0,-3576.0,457.0,,,514.0,2605.0,-1747.0,-385.0,,377.0,,,,,8.0,-2132.0,1103.0,-1029.0,0.0,0.0,0.0,-1029.0,0.0,-1029.0,-53.0,0.0,-1082.0,780.0,1862.0,77.805,-13.91,-13.91,10.025063,77.805,-13.91,-13.91,10.021624,
03/31/2018,2199.0,2199.0,,-372.0,372.0,1827.0,0.0,-1461.0,469.0,,,505.0,487.0,366.0,-333.0,,374.0,,,,,-41.0,33.0,-13.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,-53.0,0.0,-33.0,-45.0,-12.0,77.416,-0.44,-0.44,-0.581275,77.416,-0.44,-0.44,-0.595007,
06/30/2018,2162.0,2162.0,,-369.0,369.0,1793.0,0.0,-1426.0,460.0,,,486.0,480.0,367.0,-405.0,,385.0,,,,,20.0,-38.0,20.0,-18.0,0.0,0.0,0.0,-18.0,0.0,-18.0,-54.0,0.0,-72.0,-62.0,10.0,78.026,-0.92,-0.92,-0.794607,78.026,-0.92,-0.92,-0.794607,
09/30/2018,2126.0,2126.0,,-353.0,353.0,1773.0,0.0,-1806.0,445.0,,,471.0,890.0,-33.0,-397.0,,389.0,,2.0,,,6.0,-430.0,4.0,-426.0,0.0,0.0,0.0,-426.0,0.0,-426.0,0.0,0.0,-426.0,-7.0,419.0,103.665,-4.11,-4.11,-0.067525,103.665,-4.11,-4.11,-0.068134,
12/31/2018,2124.0,2124.0,,-347.0,347.0,1777.0,0.0,-1650.0,441.0,,,492.0,717.0,127.0,-397.0,,388.0,,,,,9.0,-270.0,51.0,-219.0,0.0,0.0,0.0,-219.0,0.0,-219.0,0.0,0.0,-219.0,-219.0,213.0,103.68,-2.12,-2.12,-0.05787,103.68,-2.12,-2.12,-0.065602,
03/31/2019,2101.0,2009.0,92.0,-338.0,338.0,1763.0,0.0,-1424.0,456.0,,,484.0,484.0,339.0,-408.0,,379.0,,-3.0,,,32.0,-69.0,-18.0,-87.0,0.0,0.0,0.0,-87.0,0.0,-87.0,0.0,0.0,-87.0,-19.0,68.0,103.885,-0.84,-0.84,-0.182895,103.885,-0.84,-0.84,-0.18543,
06/30/2019,2067.0,2067.0,,-318.0,318.0,1749.0,0.0,-7208.0,445.0,,,454.0,6309.0,-5459.0,-392.0,,383.0,,1.0,,,8.0,-5851.0,534.0,-5317.0,0.0,0.0,0.0,-5317.0,0.0,-5317.0,0.0,0.0,-5317.0,102.0,5419.0,104.118,-51.067059,-51.067059,0.979658,104.118,-51.067059,-51.067059,0.979658,
09/30/2019,1997.0,1997.0,,-307.0,307.0,1690.0,0.0,-1664.0,445.0,,,422.0,797.0,26.0,-392.0,,382.0,,-2.0,,,12.0,-366.0,21.0,-345.0,0.0,0.0,0.0,-345.0,0.0,-345.0,0.0,0.0,-345.0,-16.0,329.0,104.135,-3.31,-3.31,-0.153647,104.135,-3.31,-3.31,-0.153647,
12/31/2019,1942.0,1942.0,,-284.0,284.0,1658.0,0.0,-1437.0,458.0,,,420.0,559.0,221.0,-457.0,,391.0,,13.0,,,53.0,-236.0,74.0,-162.0,0.0,0.0,0.0,-162.0,0.0,-162.0,0.0,0.0,-162.0,-15.0,147.0,104.122,-1.555867,-1.555867,-0.144062,104.122,-1.555867,-1.555867,-0.144062,
03/31/2020,1933.0,1843.0,90.0,-286.0,286.0,1647.0,0.0,-1375.0,444.0,,,415.0,516.0,272.0,-481.0,383.0,383.0,0.0,2.0,,,96.0,-209.0,23.0,-186.0,0.0,0.0,0.0,-186.0,0.0,-186.0,0.0,0.0,-186.0,-63.08,122.92,104.363,-1.78,-1.78,-0.604429,104.363,-1.78,-1.78,-0.604429,
06/30/2020,1801.0,1705.0,96.0,-255.0,255.0,1546.0,0.0,-1406.0,407.0,,,397.0,602.0,140.0,-378.0,160.0,160.0,0.0,2.0,,,216.0,-238.0,57.0,-181.0,0.0,0.0,0.0,-181.0,0.0,-181.0,0.0,0.0,-181.0,73.0,254.0,104.525,-1.73,-1.73,0.698398,104.525,-1.73,-1.73,0.698398,
09/30/2020,1701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,1747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
