Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/28/2008,84912,12809,10768,2041,9719,9719.0,,5052,839.0,1372.0,2841.0,0.0,6797,,,,,34377,14365,27392,-13027,4,4.0,36166,27695.0,13719.0,13976.0,,8471,50535,,7503,7503,,,,3732,,,,,,9617,,,9617,20852,8120,,,,,13429,,,,13429,21549,42401,0.0,3120,,,-19033.0,63379.0,-4955.0,42511,0.0,42511,84912,
03/29/2009,86100,13933,12589,1344,9831,9831.0,0.0,5359,822.0,1460.0,3077.0,0.0,5716,1196.0,,5479.0,3374.0,34839,14253,27521,-13268,17,17.0,36991,28923.0,14083.0,14840.0,,1393,51261,,15303,6395,705.0,,8203.0,6022,6022.0,,,,,0,,1755.0,0,21325,8052,8052.0,,,,12932,,7297.0,1487.0,2393,20984,42309,0.0,3120,3119.843,0.157,-19558.0,65398.0,-5169.0,43791,0.0,43791,86100,
06/28/2009,87438,14716,11686,3030,10133,10133.0,0.0,5472,948.0,1613.0,2911.0,0.0,5173,585.0,,5870.0,2719.0,35494,14502,28411,-13909,18,18.0,37424,28872.0,14152.0,14720.0,,2097,51944,,14451,5832,510.0,,8109.0,5435,5435.0,,,,,0,,1177.0,0,19886,8179,8179.0,,,,13126,,7370.0,1481.0,3098,21305,41191,0.0,3120,3119.843,0.157,-19800.0,67408.0,-4481.0,46247,0.0,46247,87438,
09/27/2009,91558,14337,11856,2481,10279,10279.0,0.0,5568,824.0,1554.0,3190.0,0.0,5418,707.0,,5888.0,2768.0,35602,14815,29452,-14637,19,19.0,41122,31653.0,15017.0,16636.0,,2874,55956,,15904,6419,1029.0,,8456.0,3341,3341.0,,,,,0,,1708.0,0,19245,8259,8259.0,,,,13670,,7111.0,1505.0,3346,21929,41174,0.0,3120,3119.843,0.157,-19546.0,69471.0,-2661.0,50384,0.0,50384,91558,
01/03/2010,94682,19425,15810,3615,9646,9646.0,0.0,5180,1144.0,1395.0,2641.0,0.0,5290,119.0,,5507.0,2497.0,39541,14759,29251,-14492,0,0.0,40382,31185.0,14862.0,16323.0,266.0,3305,55141,,15413,5541,442.0,0.0,9430.0,6318,6284.0,0.0,0.0,,34.0,0,0.0,517.0,0,21731,8223,8223.0,0.0,0.0,,14140,0.0,6769.0,1424.0,5430,22363,44094,0.0,3120,3119.843,0.157,-19780.0,70306.0,-3058.0,50588,0.0,50588,94682,
04/04/2010,93441,18010,13743,4267,10018,10018.0,0.0,5308,1002.0,1467.0,2839.0,0.0,5525,10.0,,4905.0,3293.0,38861,14277,28963,-14686,0,,40303,31776.0,14977.0,16799.0,,3612,54580,,14455,5126,1373.0,,7956.0,4044,0.0,,,,4044.0,0,,483.0,0,18499,8059,8059.0,,,,13969,,6254.0,1672.0,5560,22028,40527,0.0,3120,3119.843,0.157,-19553.0,73184.0,-3837.0,52914,0.0,52914,93441,
07/04/2010,92300,18901,12713,6188,9629,9629.0,0.0,5071,1072.0,1469.0,2530.0,0.0,5422,26.0,,5109.0,3172.0,39023,13881,28499,-14618,0,,39396,31087.0,14628.0,16459.0,,3174,53277,,13449,4871,791.0,,7787.0,3715,0.0,,,,3715.0,0,,645.0,0,17164,7937,7937.0,,,,14348,,6320.0,1669.0,5714,22285,39449,0.0,3120,3119.843,0.157,-19816.0,75252.0,-5705.0,52851,0.0,52851,92300,
10/03/2010,98247,22126,14338,7788,10290,10290.0,0.0,5409,1123.0,1548.0,2738.0,0.0,4892,6.0,,5175.0,2474.0,42717,14360,29927,-15567,0,,41170,32443.0,15375.0,17068.0,,3546,55530,,14571,5477,781.0,,8313.0,2843,0.0,,,,2843.0,0,,529.0,0,17414,9182,9182.0,,,,14360,,6409.0,1725.0,5697,23542,40956,0.0,3120,3119.843,0.157,-20177.0,77272.0,-2924.0,57291,0.0,57291,98247,
01/02/2011,102908,27658,19355,8303,9774,9774.0,0.0,5378,1073.0,1460.0,2845.0,0.0,4497,14.0,,5096.0,2273.0,47307,14553,30426,-15873,0,,41048,32010.0,15294.0,16716.0,615.0,3313,55601,,15455,5623,578.0,0.0,9254.0,7617,7604.0,0.0,0.0,,13.0,0,0.0,502.0,0,23072,9156,9156.0,0.0,0.0,,14101,0.0,6087.0,1447.0,6065,23257,46329,0.0,3120,3119.843,0.157,-20783.0,77773.0,-3531.0,56579,0.0,56579,102908,
04/03/2011,108150,26867,22356,4511,10861,10861.0,0.0,6200,1258.0,1652.0,3290.0,0.0,5293,3.0,,5327.0,3021.0,49221,15084,31805,-16721,0,,43845,34813.0,16126.0,18687.0,,3702,58929,,15436,5701,1007.0,,8728.0,8575,0.0,,,,8575.0,0,,404.0,0,24011,9255,9255.0,,,,15021,,6125.0,1895.0,6597,24276,48287,0.0,3120,3119.843,0.157,-20752.0,79515.0,-2020.0,59863,0.0,59863,108150,
07/03/2011,112114,29682,14974,14708,10982,10982.0,0.0,6413,1383.0,1897.0,3133.0,0.0,5596,2.0,,5653.0,3290.0,52673,14974,32435,-17461,0,,44467,34621.0,16243.0,18378.0,,4191,59441,,15939,5689,808.0,,9442.0,5046,0.0,,,,5046.0,0,,404.0,0,20985,13680,13680.0,,,,15317,,6202.0,1888.0,6823,28997,49982,0.0,3120,3119.843,0.157,-20632.0,80836.0,-1192.0,62132,0.0,62132,112114,
10/02/2011,111821,30927,15617,15310,10552,10552.0,0.0,6428,1348.0,1853.0,3227.0,0.0,5536,7.0,,5564.0,3056.0,53443,14635,31736,-17101,0,,43743,34274.0,16049.0,18225.0,,3898,58378,,16360,5730,1336.0,,9294.0,5326,0.0,,,,5326.0,0,,598.0,0,21686,13031,13031.0,,,,15577,,6215.0,1889.0,6875,28608,50294,0.0,3120,3119.843,0.157,-21159.0,82634.0,-3068.0,61527,0.0,61527,111821,
01/01/2012,113644,32261,24542,7719,10581,10581.0,0.0,6285,1206.0,1637.0,3442.0,0.0,5189,15.0,,6540.0,2633.0,54316,14739,31829,-17090,0,,44589,34276.0,16138.0,18138.0,249.0,3509,59328,,16153,5725,854.0,0.0,9574.0,6658,6042.0,0.0,0.0,,616.0,0,0.0,594.0,0,22811,12969,12969.0,0.0,0.0,,20784,0.0,8353.0,1800.0,10037,33753,56564,0.0,3120,3119.843,0.157,-21659.0,81251.0,-5632.0,57080,0.0,57080,113644,
04/01/2012,116194,33847,30267,3580,10982,10982.0,0.0,6800,1428.0,1798.0,3574.0,0.0,5378,6.0,,5911.0,2683.0,57007,14824,32550,-17726,0,,44363,34496.0,16339.0,18157.0,,3950,59187,,14759,5085,914.0,,8760.0,6439,0.0,,,,6439.0,0,,536.0,0,21198,13010,13010.0,,,,20620,,8236.0,1846.0,10002,33630,54828,0.0,3120,3119.843,0.157,-20317.0,83103.0,-4540.0,61366,0.0,61366,116194,
07/01/2012,115750,16915,14042,2873,10992,10992.0,0.0,7697,1300.0,1934.0,4463.0,0.0,6011,14.0,,4011.0,2894.0,41615,15622,33297,-17675,0,,58513,50611.0,21412.0,29199.0,,3877,74135,,17808,5145,1259.0,,11404.0,6040,0.0,,,,6040.0,0,,699.0,0,23848,11525,11525.0,,,,19943,,8180.0,2276.0,8788,31468,55316,0.0,3120,3119.843,0.157,-20012.0,83530.0,-6204.0,60434,0.0,60434,115750,
09/30/2012,118951,19771,15486,4285,11175,11175.0,0.0,7809,1408.0,2480.0,3921.0,0.0,6036,6.0,,4227.0,2789.0,44791,15845,34082,-18237,0,,58315,50567.0,21777.0,28790.0,,3515,74160,,18512,5344,1502.0,,11666.0,5423,0.0,,,,5423.0,0,,576.0,0,23935,11428,11428.0,,,,19827,,7904.0,2716.0,8631,31255,55190,0.0,3120,3119.843,0.157,-19314.0,84880.0,-4925.0,63761,,63761,118951,
12/30/2012,121347,21089,14911,6178,11309,11309.0,0.0,7495,1416.0,2262.0,3817.0,0.0,6223,96.0,,4541.0,3084.0,46116,16097,34654,-18557,0,,59134,51176.0,22424.0,28752.0,194.0,3127,75231,,19586,5831,1064.0,0.0,12691.0,4676,3164.0,0.0,0.0,,1512.0,0,0.0,4.0,0,24262,11489,11489.0,0.0,0.0,,20770,0.0,9082.0,3136.0,8548,32259,56521,0.0,3120,3119.843,0.157,-18476.0,85992.0,-5810.0,64826,,64826,121347,
03/31/2013,121536,21668,14855,6813,11515,11515.0,0.0,7691,1250.0,2368.0,4073.0,0.0,6354,10.0,,4506.0,3260.0,47228,15721,34695,-18974,0,,58587,50358.0,22349.0,28009.0,,3713,74308,,17995,5372,1178.0,,11445.0,4529,0.0,,,,4529.0,0,,30.0,0,22524,11363,11363.0,,,,20794,,8978.0,3619.0,8167,32157,54681,0.0,3120,3119.843,0.157,-16818.0,87242.0,-6689.0,66855,0.0,66855,121536,
06/30/2013,124325,25129,17307,7822,11614,11614.0,0.0,7822,1332.0,2604.0,3886.0,0.0,6708,57.0,,4740.0,3425.0,51273,15794,35401,-19607,0,,57258,50041.0,22337.0,27704.0,,2420,73052,,18428,5687,956.0,,11785.0,5339,0.0,,,,5339.0,0,,25.0,0,23767,9643,9643.0,,,,21250,,8996.0,3685.0,8544,30893,54660,0.0,3120,3119.843,0.157,-16094.0,89449.0,-6810.0,69665,0.0,69665,124325,
09/29/2013,126933,25228,17204,8024,12027,12027.0,0.0,8124,1345.0,2714.0,4065.0,0.0,6797,127.0,,4596.0,3312.0,52176,16127,36432,-20305,0,,58630,51319.0,22852.0,28467.0,,2588,74757,,20476,6055,1711.0,,12710.0,5359,0.0,,,,5359.0,0,,5.0,0,25835,9748,9748.0,,,,21546,,9038.0,3613.0,8890,31294,57129,0.0,3120,3119.843,0.157,-15673.0,87703.0,-5346.0,69804,0.0,69804,126933,
12/29/2013,132683,29206,20927,8279,11713,11713.0,0.0,7878,1224.0,2612.0,4042.0,0.0,7610,169.0,,3872.0,4003.0,56407,16710,37133,-20423,0,,59566,50745.0,22798.0,27947.0,2363.0,2417,76276,,20823,6266,770.0,0.0,13787.0,4852,3083.0,0.0,0.0,,1769.0,0,0.0,19.0,0,25675,13328,13328.0,0.0,0.0,,19627,0.0,7784.0,3989.0,7835,32955,58630,0.0,3120,3119.843,0.157,-15700.0,89493.0,-2860.0,74053,0.0,74053,132683,
03/30/2014,133330,29392,19722,9670,12116,12116.0,0.0,8009,1200.0,2310.0,4499.0,0.0,7852,210.0,,3685.0,3932.0,57369,15996,36248,-20252,0,,59965,49821.0,22178.0,27643.0,,6249,75961,,19891,6113,862.0,,12916.0,3949,0.0,,,,3949.0,0,,12.0,0,23840,13343,13343.0,,,,19565,,7700.0,4594.0,7259,32908,56748,0.0,3120,3119.843,0.157,-15280.0,91387.0,-2645.0,76582,0.0,76582,133330,
06/29/2014,135200,31624,14236,17388,12257,12257.0,0.0,8155,1251.0,2136.0,4768.0,0.0,8083,207.0,,3380.0,3982.0,60119,16155,36947,-20792,0,,58926,49111.0,21989.0,27122.0,,6228,75081,,20540,6193,1055.0,,13292.0,3819,0.0,,,,3819.0,0,,8.0,0,24359,13303,13303.0,,,,19490,,7626.0,4491.0,7365,32793,57152,0.0,3120,3119.843,0.157,-15810.0,93745.0,-3007.0,78048,0.0,78048,135200,
09/28/2014,132097,33005,13818,19187,11615,11615.0,0.0,8419,1165.0,2303.0,4951.0,0.0,6934,110.0,,3347.0,3107.0,59973,15804,36448,-20644,0,,56320,47940.0,21636.0,26304.0,,4923,72124,,20867,6603,1535.0,,12729.0,2115,0.0,,,,2115.0,0,,4.0,0,22982,13152,13152.0,,,,19372,,7551.0,4063.0,7754,32524,55506,0.0,3120,3119.843,0.157,-17707.0,96560.0,-5382.0,76591,0.0,76591,132097,
12/28/2014,130358,33089,14523,18566,10985,10985.0,0.0,8184,1214.0,2461.0,4509.0,0.0,3486,31.0,,6202.0,3486.0,55744,16126,36685,-20559,0,,58488,49054.0,21832.0,27222.0,233.0,2968,74614,,21393,7633,446.0,,13314.0,3638,3631.0,0.0,0.0,,7.0,0,0.0,8.0,0,25031,15122,15122.0,0.0,0.0,,20453,0.0,9972.0,2447.0,8026,35575,60606,0.0,3120,3119.843,0.157,-19891.0,97245.0,-10722.0,69752,0.0,69752,130358,
03/29/2015,128590,31319,11988,19331,11533,11533.0,0.0,8085,1115.0,2190.0,4780.0,0.0,7255,49.0,,3059.0,3731.0,58192,15364,35403,-20039,0,,55034,48370.0,21345.0,27025.0,,3556,70398,,19791,6719,1243.0,,11829.0,4045,0.0,,,,4045.0,0,,202.0,0,23836,14938,14938.0,,,,21938,,9750.0,3584.0,8402,36876,60712,0.0,3120,3119.843,0.157,-20598.0,98656.0,-13300.0,67878,0.0,67878,128590,
06/28/2015,132036,33954,10639,23315,11968,11968.0,0.0,8298,1179.0,2166.0,4953.0,0.0,6781,30.0,,3087.0,3058.0,61001,15583,36112,-20529,0,,55452,48510.0,21493.0,27017.0,,3825,71035,,19290,6140,916.0,,12234.0,5222,0.0,,,,5222.0,0,,141.0,0,24512,14085,14085.0,,,,22308,,9633.0,3702.0,8832,36393,60905,0.0,3120,3119.843,0.157,-21287.0,101352.0,-12054.0,71131,0.0,71131,132036,
09/27/2015,133266,37306,13639,23667,11366,11366.0,0.0,8206,1198.0,2026.0,4982.0,0.0,6616,45.0,,3150.0,3010.0,63494,15551,36397,-20846,0,,54221,47267.0,21279.0,25988.0,,3759,69772,,19583,5928,931.0,,12724.0,5677,0.0,,,,5677.0,0,,185.0,0,25260,14073,14073.0,,,,22379,,9515.0,3561.0,9118,36452,61712,0.0,3120,3119.843,0.157,-21453.0,102748.0,-12861.0,71554,0.0,71554,133266,
01/03/2016,133411,38376,13732,24644,10734,10734.0,0.0,8053,936.0,2241.0,4876.0,0.0,3047,28.0,,5490.0,3047.0,60210,15905,36648,-20743,0,,57296,47393.0,21629.0,25764.0,256.0,4129,73201,,20743,6668,750.0,,13325.0,7004,4900.0,0.0,0.0,,2104.0,0,0.0,241.0,0,27747,12857,12857.0,0.0,0.0,,21657,0.0,8854.0,2562.0,10000,34514,62261,0.0,3120,3119.843,0.157,-22684.0,103879.0,-13165.0,71150,0.0,71150,133411,
04/03/2016,136231,39855,13861,25994,11406,11406.0,0.0,8170,957.0,1930.0,5283.0,0.0,3307,43.0,,5678.0,3307.0,62738,15964,37430,-21466,0,,57529,47688.0,21848.0,25840.0,,4120,73493,,19018,5965,968.0,,12085.0,3116,0.0,,,,3116.0,0,,210.0,0,22134,20233,20233.0,,,,21217,,8591.0,2877.0,9539,41450,63584,0.0,3120,3119.843,0.157,-23072.0,104990.0,-12391.0,72647,0.0,72647,136231,
07/03/2016,139814,42584,18640,23944,12062,12062.0,0.0,8523,952.0,1984.0,5587.0,0.0,3122,41.0,,5776.0,3122.0,66291,15972,37779,-21807,0,,57551,47798.0,22104.0,25694.0,,3936,73523,,19828,6061,690.0,,13077.0,1708,0.0,,,,1708.0,0,,314.0,0,21536,24535,24535.0,,,,21270,,8359.0,2849.0,9748,45805,67341,0.0,3120,3119.843,0.157,-24678.0,106738.0,-12707.0,72473,0.0,72473,139814,
10/02/2016,140369,40433,18205,22228,11798,11798.0,0.0,8488,974.0,1859.0,5655.0,0.0,2600,35.0,,5897.0,2349.0,63319,16095,38373,-22278,0,,60955,50813.0,23171.0,27642.0,,4210,77050,,19133,5317,798.0,,13018.0,3443,0.0,,,,3443.0,654,,325.0,0,23230,23546,23546.0,,,,20824,,8217.0,3193.0,9089,44370,67600,0.0,3120,3119.843,0.157,-26496.0,108860.0,-12715.0,72769,0.0,72769,140369,
01/01/2017,141208,41907,18972,22935,11699,11699.0,0.0,8144,952.0,2185.0,5007.0,0.0,3282,31.0,,6148.0,3282.0,65032,15912,37773,-21861,0,,60264,49681.0,22805.0,26876.0,227.0,4177,76176,,21603,6918,971.0,,13714.0,4684,2980.0,0.0,0.0,,1704.0,0,0.0,382.0,0,26287,22442,22442.0,0.0,0.0,,22061,0.0,9615.0,2910.0,9154,44503,70790,0.0,3120,3119.843,0.157,-28352.0,110551.0,-14901.0,70418,0.0,70418,141208,
04/02/2017,144918,39343,20909,18434,12300,12300.0,0.0,8878,1046.0,2121.0,5711.0,0.0,2826,21.0,,6380.0,2826.0,63347,16191,38696,-22505,0,,65380,54310.0,24844.0,29466.0,,4669,81571,,19764,6082,1133.0,,12549.0,5355,0.0,,,,5355.0,0,,345.0,0,25119,27015,27015.0,,,,22443,,9609.0,3308.0,9181,49458,74577,0.0,3120,3119.843,0.157,-29900.0,111643.0,-14522.0,70341,0.0,70341,144918,
07/02/2017,152807,12853,12598,255,13283,13283.0,0.0,9699,1138.0,2515.0,6046.0,0.0,2954,11.0,,6111.0,2954.0,38789,16458,40075,-23617,0,,97560,86176.0,31234.0,54942.0,,5262,114018,,21663,6135,759.0,,14769.0,7209,0.0,,,,7209.0,0,,273.0,0,28872,27363,27363.0,,,,24650,,9687.0,4846.0,9844,52013,80885,0.0,3120,3119.843,0.157,-31172.0,113208.0,-13234.0,71922,0.0,71922,152807,
10/01/2017,155658,16231,15721,510,13155,13155.0,0.0,9521,1141.0,2388.0,5992.0,0.0,2922,10.0,,6303.0,2306.0,41829,16628,40928,-24300,0,,97201,85877.0,31308.0,54569.0,,5011,113829,,22945,6020,1183.0,,15742.0,8491,0.0,,,,8491.0,370,,210.0,0,31806,26675,26675.0,,,,23198,,9686.0,4410.0,8892,49873,81679,0.0,3120,3119.843,0.157,-31199.0,114805.0,-12747.0,73979,0.0,73979,155658,
12/31/2017,157303,18296,17824,472,13490,13490.0,0.0,8765,1140.0,2317.0,5308.0,0.0,2537,7.0,,7105.0,2537.0,43088,17005,41466,-24461,0,,97210,85134.0,31906.0,53228.0,526.0,4438,114215,,26631,7310,1854.0,,17467.0,3906,2407.0,0.0,0.0,,1499.0,0,0.0,15.0,0,30537,30675,30675.0,0.0,0.0,,35931,0.0,10074.0,8368.0,17474,66606,97143,0.0,3120,3119.843,0.157,-31554.0,101793.0,-13199.0,60160,0.0,60160,157303,
04/01/2018,156625,15204,14639,565,14166,14166.0,0.0,9014,1200.0,2339.0,5475.0,0.0,4384,2.0,1743.0,8785.0,2641.0,42768,17040,41996,-24956,0,,96817,83514.0,31149.0,52365.0,,4516,113857,,24385,6443,1559.0,,16383.0,2696,0.0,,,,2696.0,0,,14.0,0,27081,29837,29837.0,,,,36452,,10066.0,8057.0,18315,66289,93370,0.0,3120,3119.843,0.157,-31596.0,104339.0,-12608.0,63255,0.0,63255,156625,
07/01/2018,155365,18139,17569,570,14111,14111.0,0.0,8810,1166.0,2282.0,5362.0,0.0,4378,0.0,1809.0,8472.0,2569.0,45438,16632,41293,-24661,0,,93295,80402.0,30346.0,50056.0,,4421,109927,,24810,6516,928.0,,17366.0,2678,0.0,,,,2678.0,0,,0.0,0,27488,29405,29405.0,,,,35583,,9989.0,7666.0,17928,64988,92476,0.0,3120,3119.843,0.157,-31577.0,106123.0,-14777.0,62889,0.0,62889,155365,
09/30/2018,155703,19364,16056,3308,14048,14048.0,0.0,8678,1202.0,1986.0,5490.0,0.0,5104,4.0,2208.0,8076.0,2896.0,47194,16629,41520,-24891,0,,91880,79339.0,30702.0,48637.0,,4461,108509,,25664,7000,1096.0,,17568.0,1773,0.0,,,,1773.0,0,,6.0,0,27437,29480,29480.0,,,,34160,,9374.0,7711.0,17069,63640,91077,0.0,3120,3119.843,0.157,-31464.0,107617.0,-14647.0,64626,0.0,64626,155703,
12/30/2018,152954,19687,18107,1580,14098,14098.0,0.0,8599,1114.0,2109.0,5376.0,0.0,3649,161.0,950.0,7640.0,2699.0,46033,17035,41851,-24816,0,,89886,78064.0,30453.0,47611.0,475.0,3546,106921,,28434,7537,818.0,,20079.0,2796,160.0,0.0,0.0,,2636.0,0,0.0,292.0,0,31230,27684,27684.0,0.0,0.0,,34288,0.0,9951.0,7506.0,16539,61972,93202,0.0,3120,3119.843,0.157,-34362.0,106216.0,-15222.0,59752,0.0,59752,152954,
03/31/2019,150027,15336,14734,602,14115,14115.0,0.0,9086,1177.0,2081.0,5828.0,0.0,3450,,851.0,7533.0,2599.0,41987,17879,43141,-25262,0,,90161,78348.0,31450.0,46898.0,,4280,108040,,27154,6923,1025.0,,19206.0,1957,0.0,249.0,,249.0,1708.0,0,,2.0,0,29111,28316,27660.0,656.0,,656.0,33645,,9905.0,7394.0,16344,61961,91072,0.0,3120,3119.843,0.157,-35298.0,106650.0,-15517.0,58955,0.0,58955,150027,
06/30/2019,155117,15278,14376,902,14653,14653.0,0.0,9263,1198.0,2024.0,6041.0,0.0,2605,,194.0,7647.0,2411.0,41799,18228,43885,-25657,0,,95090,82993.0,33661.0,49332.0,,4450,113318,,29372,6912,1701.0,,20759.0,1981,0.0,262.0,,262.0,1719.0,0,,1.0,0,31353,28448,27699.0,749.0,,749.0,34531,,9910.0,7725.0,16895,62979,94332,0.0,3120,3119.843,0.157,-37175.0,109809.0,-14969.0,60785,0.0,60785,155117,
09/29/2019,155521,17945,16249,1696,14801,14801.0,0.0,9173,1094.0,2000.0,6079.0,0.0,2414,,194.0,7696.0,2220.0,44333,18011,43588,-25577,0,,93177,81137.0,33291.0,47846.0,,4344,111188,,32597,7491,2505.0,,22601.0,2565,0.0,266.0,,266.0,2299.0,0,,2.0,0,35162,27645,26919.0,726.0,,726.0,34504,,9830.0,6526.0,18146,62149,97311,0.0,3120,3119.843,0.157,-38619.0,109242.0,-15533.0,58210,0.0,58210,155521,
12/29/2019,157728,19287,17305,1982,14481,14481.0,0.0,9020,1117.0,1832.0,6071.0,0.0,2486,619.0,94.0,7819.0,2392.0,45274,18615,44289,-25674,0,,93839,81282.0,33639.0,47643.0,551.0,3568,112454,,34493,8544,2266.0,,23683.0,1471,102.0,269.0,0.0,269.0,1100.0,0,0.0,193.0,0,35964,27210,26494.0,716.0,0.0,716.0,35083,0.0,10663.0,5958.0,18269,62293,98257,0.0,3120,3119.843,0.157,-38417.0,110659.0,-15891.0,59471,0.0,59471,157728,
03/29/2020,155017,18024,15530,2494,14874,14874.0,0.0,8868,1213.0,2252.0,5403.0,0.0,2460,1.0,102.0,7539.0,2358.0,44226,17401,43247,-25846,0,,93390,80809.0,33471.0,47338.0,,5041,110791,,31499,7411,1930.0,,22158.0,2190,0.0,,,,2190.0,0,,,0,33689,25393,25393.0,,,,34641,,10529.0,5766.0,18346,60034,93723,0.0,3120,3119.843,0.157,-38484.0,112901.0,-16243.0,61294,0.0,61294,155017,
06/28/2020,158380,19135,11174,7961,14645,14645.0,0.0,9424,1303.0,1962.0,6159.0,0.0,2688,,100.0,7805.0,2588.0,45892,17598,44056,-26458,0,,94890,81303.0,33890.0,47413.0,,5782,112488,,31440,6765,1632.0,,23043.0,5332,0.0,,,,5332.0,0,,,0,36772,25062,25062.0,,,,33568,,10411.0,5532.0,17625,58630,95402,0.0,3120,3119.843,0.157,-38507.0,113898.0,-15533.0,62978,0.0,62978,158380,
