Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2011,197.397,197.397,,-174.238,174.238,23.159,0.0,-15.871,,,9.568,6.303,7.288,-0.526,,0.473,,,,0.053,6.762,-0.62,6.142,0.0,0.0,0.0,6.142,0.15,6.292,0.0,0.0,6.292,10.38895,4.09695,57.217,0.11,0.11,0.181571,57.217,0.11,0.11,0.181571,
03/31/2012,207.127,186.976,20.151,-90.056,90.056,117.071,0.0,-121.244,,,12.306,108.938,-4.173,-3.271,,3.154,,,,0.117,-7.444,3.029,-4.415,0.0,0.0,0.0,-4.415,,-4.415,0.0,0.0,-4.415,0.32675,4.74175,54.775,-0.08,-0.08,0.005965,54.775,-0.08,-0.08,0.005965,
06/30/2012,216.934,197.511,19.423,-88.343,88.343,128.591,0.0,-114.224,,,12.603,101.621,14.367,-4.646,,3.211,,,,1.435,9.721,-4.305,5.416,0.0,0.0,0.0,5.416,,5.416,0.0,0.0,5.416,7.08455,1.66855,55.146,0.09,0.09,0.128469,55.486,0.09,0.09,0.120072,
09/30/2012,219.644,202.83,16.814,-88.039,88.039,131.605,0.0,-113.267,,,12.136,101.131,18.338,-4.188,,3.288,,,,0.9,14.15,-2.148,12.002,0.0,0.0,0.0,12.002,,12.002,0.0,0.0,12.002,13.5841,1.5821,54.637,0.21,0.21,0.248625,55.211,0.21,0.21,0.238656,
12/31/2012,259.753,259.753,,-195.894,195.894,63.859,0.0,-18.491,,,12.287,6.204,45.368,-4.888,,2.593,,,,2.295,40.48,-13.561,26.919,0.0,0.0,0.0,26.919,0.266,27.185,0.0,-1.108,26.077,28.24735,2.17035,55.073,0.47,0.47,0.512907,55.073,0.47,0.47,0.509409,
03/31/2013,198.653,177.618,21.035,-86.894,86.894,111.759,0.0,-115.463,,,11.814,103.649,-3.704,-3.917,,2.613,,,,1.304,-7.621,4.95,-2.671,0.0,0.0,0.0,-2.671,,-2.671,0.0,0.0,-2.671,-2.03335,0.63765,56.33,-0.05,-0.05,-0.036097,56.33,-0.05,-0.05,-0.03868,
06/30/2013,207.853,186.201,21.652,-87.812,87.812,120.041,0.0,-111.855,,,11.774,100.081,8.186,-4.29,,2.656,,,,1.634,3.896,-0.711,3.185,0.0,0.0,0.0,3.185,,3.185,0.0,0.0,3.185,4.08395,0.89895,57.448,0.05,0.05,0.07109,58.747,0.05,0.05,0.065302,
09/30/2013,189.535,169.323,20.212,-86.057,86.057,103.478,0.0,-111.634,,,12.096,99.538,-8.156,-3.742,,2.655,,,,1.087,-11.898,3.047,-8.851,0.0,0.0,0.0,-8.851,,-8.851,0.0,0.0,-8.851,-7.89745,0.95355,56.177,-0.16,-0.16,-0.140582,56.177,-0.16,-0.16,-0.143026,
12/31/2013,220.83,220.83,,-188.405,188.405,32.425,0.0,-15.115,,,12.078,3.037,17.31,-10.259,,2.524,,,,7.735,7.051,0.562,7.613,0.0,0.0,0.0,7.613,0.25,7.863,0.0,0.0,7.863,14.5762,6.7132,55.98,0.14,0.14,0.260382,57.272,0.14,0.14,0.257216,
03/31/2014,203.794,179.069,24.725,-86.67,86.67,117.124,0.0,-115.186,,,11.729,103.457,1.938,-2.699,,2.254,,,,0.445,-0.761,0.149,-0.612,0.0,0.0,0.0,-0.612,,-0.612,0.0,0.0,-0.612,-0.3975,0.2145,56.084,-0.01,-0.01,-0.007088,56.084,-0.01,-0.01,-0.007088,
06/30/2014,119.696,111.349,8.347,-46.497,46.497,73.199,0.0,-75.348,,,7.438,67.91,-2.149,-2.278,,2.041,,,,0.237,-4.427,1.591,-2.836,0.399,0.399,0.0,-3.235,0.0,-3.235,0.0,0.0,-3.235,1.3578,4.1938,56.043,-0.06,-0.05,0.024228,56.043,-0.06,-0.05,0.024228,
09/30/2014,123.126,116.425,6.701,-42.612,42.612,80.514,0.0,-74.836,,,8.706,66.13,5.678,-1.88,,2.05,,,,-0.17,3.798,-2.755,1.043,2.384,2.384,0.0,-1.341,0.0,-1.341,0.0,0.0,-1.341,0.9156,-0.1274,56.469,-0.02,0.02,0.016214,56.469,-0.02,0.02,0.016214,
12/31/2014,150.626,150.626,,-111.617,111.617,39.009,0.0,-12.75,,,8.549,4.201,26.259,-9.632,,2.149,,,,7.483,16.627,-1.197,15.43,-0.287,-0.287,0.0,15.717,0.0,15.717,0.0,0.0,15.717,17.2799,1.8499,56.763,0.27,0.26,0.304422,57.474,0.27,0.26,0.292187,
03/31/2015,123.023,114.218,8.805,-50.392,50.392,72.631,0.0,-82.281,,,8.295,73.986,-9.65,-3.488,,2.052,,,,1.436,-13.138,5.023,-8.115,-3.015,-3.015,0.0,-5.1,0.0,-5.1,0.0,0.0,-5.1,-6.4185,1.6965,57.335,-0.09,-0.14,-0.111947,57.335,-0.09,-0.14,-0.111947,
06/30/2015,198.134,167.394,30.74,-74.998,74.998,123.136,0.0,-138.792,,,13.366,125.426,-15.656,-3.838,,4.225,,,,-0.387,-19.494,6.539,-12.955,18.448,18.448,0.0,-31.403,0.0,-31.403,0.0,0.0,-31.403,6.6672,19.6222,83.903,-0.37,-0.15,0.079463,83.903,-0.37,-0.15,0.079463,
09/30/2015,189.691,157.437,32.254,-78.484,78.484,111.207,0.0,-136.564,,,16.273,120.291,-25.357,-3.185,,4.246,,,,-1.061,-28.542,4.099,-24.443,0.0,0.0,0.0,-24.443,0.0,-24.443,0.0,0.0,-24.443,-5.58065,18.86235,84.107,-0.29,-0.29,-0.066352,84.107,-0.29,-0.29,-0.066352,
12/31/2015,204.808,204.808,,-173.168,173.168,31.64,0.0,-63.849,,,14.018,49.831,-32.209,-6.009,4.576,4.576,0.0,,,1.433,-38.218,17.094,-21.124,0.407,0.407,0.0,-21.531,0.0,-21.531,0.0,0.0,-21.531,9.19135,30.31535,83.775,-0.25,-0.25,0.109715,83.775,-0.25,-0.25,0.109715,
03/31/2016,209.498,206.833,2.665,-86.315,86.315,123.183,0.0,-114.32,,,14.411,99.909,8.863,-4.77,4.579,4.579,0.0,,,0.191,4.093,0.795,4.888,0.0,0.0,0.0,4.888,0.0,4.888,0.0,0.0,4.888,5.2663,0.3783,83.965,0.06,0.06,0.06272,84.225,0.06,0.06,0.06272,
06/30/2016,227.817,191.745,36.072,-93.787,93.787,134.03,0.0,-110.72,,,14.786,95.934,23.31,-4.89,4.432,4.432,0.0,,,0.458,18.42,-6.932,11.488,0.0,0.0,0.0,11.488,0.0,11.488,0.0,0.0,11.488,11.5023,0.0143,83.773,0.14,0.14,0.137303,84.051,0.13,0.13,0.13017,
09/30/2016,233.04,197.283,35.757,-95.624,95.624,137.416,0.0,-106.486,,,14.892,91.594,30.93,-8.793,4.592,4.592,0.0,,,4.201,22.137,-9.615,12.522,0.0,0.0,0.0,12.522,0.0,12.522,0.0,0.0,12.522,12.5389,0.0169,83.23,0.15,0.15,0.150654,83.23,0.15,0.15,0.150203,
12/31/2016,252.953,252.953,,-172.111,172.111,80.842,0.0,-14.079,,,13.643,0.436,66.763,-9.665,4.436,4.436,0.0,,,5.229,57.098,-20.799,36.299,-2.038,-2.038,0.0,38.337,0.0,38.337,0.0,0.0,38.337,36.5824,0.2834,82.401,0.46,0.44,0.443956,82.684,0.46,0.44,0.443428,
03/31/2017,198.475,187.064,11.411,-89.489,89.489,108.986,0.0,-108.833,,,13.861,94.972,0.153,-8.541,4.195,4.195,0.0,,,4.346,-8.388,5.655,-2.733,-0.794,-0.794,0.0,-1.939,0.0,-1.939,0.0,0.0,-1.939,-2.70245,0.03055,82.079,-0.02,-0.03,-0.032925,82.079,-0.02,-0.03,-0.032925,
06/30/2017,216.242,201.43,14.812,-96.105,96.105,120.137,0.0,-101.786,,,13.781,88.005,18.351,-6.612,8.248,8.248,0.0,,,-1.636,11.739,-4.884,6.855,-1.69,-1.69,0.0,8.545,0.0,8.545,0.0,0.0,8.545,6.86475,0.00975,82.302,0.1,0.08,0.083409,82.465,0.1,0.079506,0.079625,
09/30/2017,200.509,187.505,13.004,-98.151,98.151,102.358,0.0,-140.654,,,13.775,126.879,-38.296,-8.084,5.72,5.72,0.0,,,2.364,-46.38,18.776,-27.604,-0.92,-0.92,0.0,-26.684,0.0,-26.684,0.0,0.0,-26.684,-2.73955,24.86445,82.039,-0.32,-0.34,-0.033393,82.039,-0.32,-0.34,-0.036919,
12/31/2017,256.975,256.975,,-222.152,222.152,34.823,0.0,-16.934,,,14.926,2.008,17.889,-6.936,8.534,8.534,0.0,,,-1.598,10.953,0.507,11.46,6.009,6.009,0.0,5.451,1.511,6.962,0.0,0.0,6.962,14.2762,1.3052,81.792,0.09,0.16,0.174543,81.792,0.09,0.16,0.174543,
03/31/2018,254.191,192.059,62.132,-136.386,136.386,117.805,0.0,-118.433,,,15.42,103.013,-0.628,-9.98,8.759,8.759,0.0,,,1.221,-10.608,2.031,-8.577,18.504,18.504,0.0,-27.081,0.632,-26.449,0.0,0.0,-26.449,-4.37104,3.57396,81.554,-0.33,-0.1,-0.053597,81.554,-0.33,-0.1,-0.056177,
06/30/2018,283.395,213.248,70.147,-148.209,148.209,135.186,0.0,-112.717,,,15.382,97.335,22.469,-10.824,9.279,9.279,0.0,,,1.545,11.645,-2.983,8.662,2.942,2.942,0.0,5.72,0.0,5.72,0.0,0.0,5.72,10.45056,1.78856,81.824,0.06,0.1,0.12772,81.852,0.06,0.095943,0.117794,
09/30/2018,302.726,230.734,71.992,-149.98,149.98,152.746,0.0,-112.421,,,15.598,96.823,40.325,-13.078,9.003,9.003,0.0,,,4.075,27.247,-7.208,20.039,0.908,0.908,0.0,19.131,0.0,19.131,0.0,0.0,19.131,20.58726,0.54826,81.452,0.23,0.24,0.252753,82.084,0.23,0.24,0.246679,
12/31/2018,368.113,368.113,,-275.925,275.925,92.188,0.0,-24.395,,,17.587,6.808,67.793,-21.902,9.143,9.143,0.0,,,12.759,45.891,-9.938,35.953,13.974,13.974,0.0,21.979,0.0,21.979,0.0,0.0,21.979,41.33132,5.37832,81.348,0.27,0.44,0.50808,81.348,0.27,0.44,0.506115,
03/31/2019,292.163,203.387,88.776,-97.995,97.995,194.168,0.0,-194.028,,,17.792,176.236,0.14,-11.288,8.916,8.916,0.0,,,2.372,-11.148,4.334,-6.814,0.0,0.0,0.0,-6.814,0.0,-6.814,0.0,0.0,-6.814,-3.18711,3.62689,80.673,-0.08,-0.08,-0.039507,80.673,-0.08,-0.08,-0.039507,
06/30/2019,320.428,236.715,83.713,-89.993,89.993,230.435,0.0,-202.034,,,19.532,182.502,28.401,-19.218,18.023,18.023,0.0,,,1.195,9.183,-3.385,5.798,6.164,6.164,0.0,-0.366,0.0,-0.366,0.0,0.0,-0.366,8.87031,3.07231,81.196,-0.01,0.07,0.109246,81.196,-0.01,0.07,0.107838,
09/30/2019,349.777,252.392,97.385,-185.619,185.619,164.158,0.0,-163.66,,,22.241,141.419,0.498,-26.566,26.537,26.537,0.0,,,0.029,-26.068,4.305,-21.763,0.0,0.0,0.0,-21.763,-0.166,-21.929,0.0,0.0,-21.929,-8.69492,13.23408,80.877,-0.27,-0.27,-0.107508,80.877,-0.27,-0.27,-0.107508,
12/31/2019,444.401,443.394,1.007,-372.208,372.208,72.193,0.0,-29.466,,0.0,26.716,2.75,42.727,-29.34,27.12,27.12,0.0,,,2.22,13.387,-2.822,10.565,0.0,0.0,0.0,10.565,0.166,10.731,0.0,0.0,10.731,12.9035,2.1725,80.927,0.13,0.13,0.159446,81.322,0.13,0.13,0.156715,
03/31/2020,430.906,321.804,109.102,-144.969,144.969,285.937,0.0,-271.257,,,27.915,243.342,14.68,-25.71,25.798,25.798,0.0,,,-0.088,-11.03,-0.779,-11.809,0.0,0.0,0.0,-11.809,0.0,-11.809,0.0,0.0,-11.809,-6.79803,5.01097,81.077,-0.15,-0.15,-0.083847,81.077,-0.15,-0.15,-0.088195,
06/30/2020,358.883,276.747,82.136,-131.743,131.743,227.14,0.0,-225.59,,,26.645,198.945,1.55,-25.577,22.999,22.999,0.0,,,2.578,-24.027,6.515,-17.512,4.531,4.531,0.0,-22.043,0.0,-22.043,0.0,0.0,-22.043,-16.30488,1.20712,81.418,-0.27,-0.22,-0.200261,81.418,-0.27,-0.22,-0.205174,
09/30/2020,448.0,,,,,,,,,,,,67.3,,,,,,,,46.3,,,,,,,,,,,,34.7,,,,,0.462,,,,0.462,
12/31/2020,545.333,,,,,,,,,,,,148.0,,,,,,,,128.0,,,,,,,,,,,,96.2,,,,,1.023,,,,1.023,
