Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/02/2013,8272,8272.0,,-6341,6341.0,1931,0.0,-2428,2262.0,181.0,,-15.0,-497,-52,,61,,,-9,-549,2,-547,0.0,0.0,0.0,-547,13.0,-534,0.0,0.0,-534,-341.2,192.8,107.352481,-4.971315,-4.971315,-3.178315,107.352481,-4.971315,-4.971315,-3.178315,
02/01/2014,10593,10593.0,,-8111,8111.0,2482,0.0,-2614,2613.0,173.0,,-172.0,-132,107,,73,,,-180,-25,-125,-150,0.0,0.0,0.0,-150,-208.0,-358,0.0,0.0,-358,67.7,425.7,107.453662,-3.330682,-3.330682,0.630039,107.453662,-3.330682,-3.330682,0.630039,
05/03/2014,7879,7879.0,,-6051,6051.0,1828,0.0,-2203,2089.0,155.0,,-41.0,-375,-70,,71,,,-1,-445,3,-442,0.0,0.0,0.0,-442,40.0,-402,0.0,0.0,-402,-279.8,122.2,107.453662,-3.745782,-3.745782,-2.603914,107.453662,-3.745782,-3.745782,-2.608548,
08/02/2014,8013,8013.0,,-6271,6271.0,1742,0.0,-2256,2118.0,152.0,,-14.0,-514,-35,,72,,,-37,-549,-32,-581,0.0,0.0,0.0,-581,8.0,-573,0.0,0.0,-573,-318.1,254.9,107.554842,-5.327115,-5.327115,-2.957561,107.554842,-5.327115,-5.327115,-2.957561,
11/01/2014,7207,7207.0,,-5606,5606.0,1601,0.0,-2091,2011.0,148.0,,-68.0,-490,21,,78,,,-99,-469,-159,-628,0.0,0.0,0.0,-628,80.0,-548,0.0,0.0,-548,-276.9,271.1,106.4,-5.15,-5.15,-2.602444,106.4,-5.15,-5.15,-2.602444,
01/31/2015,8099,8099.0,,-6121,6121.0,1978,0.0,-2107,2002.0,126.0,,-21.0,-129,-93,,92,,,1,-222,63,-159,0.0,0.0,0.0,-159,0.0,-159,0.0,0.0,-159,-42.8,116.2,106.3,-1.5,-1.5,-0.402634,106.3,-1.5,-1.5,-0.406867,
05/02/2015,5882,5882.0,,-4364,4364.0,1518,0.0,-1696,1681.0,122.0,,-107.0,-178,-107,,90,,,17,-285,-18,-303,0.0,0.0,0.0,-303,,-303,0.0,0.0,-303,-222.55,80.45,106.5,-2.85,-2.85,-2.089671,106.5,-2.85,-2.85,-2.094601,
08/01/2015,6211,6211.0,,-4776,4776.0,1435,0.0,-1336,1694.0,114.0,,-472.0,99,-112,,85,,,27,-13,221,208,0.0,0.0,0.0,208,,208,0.0,0.0,208,-278.8,-486.8,106.5,1.95,1.95,-2.61784,113.3,1.84,1.84,-2.61784,
10/31/2015,5750,5750.0,,-4488,4488.0,1262,0.0,-1644,1630.0,94.0,,-80.0,-382,-57,,74,,,-17,-439,-14,-453,0.0,0.0,0.0,-453,-1.0,-454,0.0,0.0,-454,-301.65,152.35,106.6,-4.26,-4.26,-2.829737,106.6,-4.26,-4.26,-2.830826,
01/30/2016,7303,7303.0,,-5708,5708.0,1595,0.0,-2134,1852.0,92.0,,190.0,-539,-109,,74,,,35,-648,68,-580,0.0,0.0,0.0,-580,0.0,-580,0.0,0.0,-580,-173.55,406.45,106.6,-5.44,-5.44,-1.628049,106.6,-5.44,-5.44,-1.628049,
04/30/2016,5394,5394.0,,-4217,4217.0,1177,0.0,-1545,1503.0,95.0,,-53.0,-368,-88,,85,,,3,-456,-15,-471,0.0,0.0,0.0,-471,0.0,-471,0.0,0.0,-471,-206.3,264.7,106.8,-4.41,-4.41,-1.931648,106.8,-4.41,-4.41,-1.931648,
07/30/2016,5663,5663.0,,-4403,4403.0,1260,0.0,-1529,1484.0,92.0,,-47.0,-269,-113,,99,,,14,-382,-13,-395,0.0,0.0,0.0,-395,,-395,0.0,0.0,-395,-225.6,169.4,106.9,-3.7,-3.7,-2.110384,106.9,-3.7,-3.7,-2.115341,
10/29/2016,5029,5029.0,,-4067,4067.0,962,0.0,-1586,1543.0,91.0,,-48.0,-624,-113,,105,,,8,-737,-11,-748,0.0,0.0,0.0,-748,0.0,-748,0.0,0.0,-748,-339.45,408.55,107.0,-6.99,-6.99,-3.17243,107.0,-6.99,-6.99,-3.17243,
01/28/2017,6052,5125.0,927.0,-4765,4765.0,1287,0.0,-2004,1579.0,97.0,,328.0,-717,-103,,115,,,-12,-820,213,-607,0.0,0.0,0.0,-607,,-607,0.0,0.0,-607,-134.35,472.65,107.0,-5.67,-5.67,-1.255607,107.0,-5.67,-5.67,-1.255607,
04/29/2017,4199,3329.0,870.0,-3268,3268.0,931,0.0,-582,1221.0,87.0,,-726.0,349,-176,,128,,,48,173,72,245,0.0,0.0,0.0,245,0.0,245,0.0,0.0,245,-226.9,-471.9,107.2,2.29,2.29,-2.116604,107.2,2.29,2.29,-2.116604,
07/29/2017,4365,4365.0,,-3394,3394.0,971,0.0,-1077,1369.0,83.0,,-375.0,-106,-135,,123,,,12,-241,-10,-251,0.0,0.0,0.0,-251,0.0,-251,0.0,0.0,-251,-117.1,133.9,107.3,-2.34,-2.34,-1.091333,107.3,-2.34,-2.34,-1.092097,
10/28/2017,3575,2810.0,765.0,-2871,2871.0,704,0.0,-873,1091.0,89.0,,-307.0,-169,-384,,136,,,248,-553,-3,-556,0.0,0.0,0.0,-556,0.0,-556,0.0,0.0,-556,-755.55,-199.55,107.5,-5.17,-5.17,-7.028372,107.5,-5.17,-5.17,-7.028372,
02/03/2018,4376,3589.0,787.0,-3452,3452.0,924,0.0,-1131,1156.0,73.0,,-98.0,-207,-150,,152,,,-2,-357,539,182,0.0,0.0,0.0,182,0.0,182,0.0,0.0,182,-180.0115,-362.0115,107.7,1.69,1.69,-1.671416,107.7,1.69,1.69,-1.671416,
05/05/2018,2891,2212.0,679.0,-2286,2286.0,605,0.0,-822,906.0,67.0,,-151.0,-217,-198,,166,,,32,-415,-9,-424,0.0,0.0,0.0,-424,0.0,-424,0.0,0.0,-424,-543.29,-119.29,108.0,-3.93,-3.93,-5.030463,108.0,-3.93,-3.93,-5.034537,
08/04/2018,3182,2428.0,754.0,-2480,2480.0,702,0.0,-904,864.0,66.0,,-26.0,-202,-325,,188,,,137,-527,19,-508,0.0,0.0,0.0,-508,0.0,-508,0.0,0.0,-508,-402.14,105.86,108.6,-4.677716,-4.677716,-3.702947,108.6,-4.677716,-4.677716,-3.702947,
11/03/2018,2742,2069.0,673.0,-2315,2315.0,427,0.0,-1081,856.0,65.0,,160.0,-654,-336,,178,,,158,-990,40,-950,0.0,0.0,0.0,-950,,-950,0.0,0.0,-950,-829.13,120.87,109.0,-8.72,-8.72,-7.606697,109.0,-8.72,-8.72,-7.611101,
