Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2013,1800.846,1800.846,,,33.081,-1591.326,88.707,,1502.619,242.601,-35.643,35.643,36.684,-1.041,,0.0,206.958,-73.772,133.186,0.0,0.0,0.0,133.186,-8.665,124.521,0.0,0.0,124.521,124.521,0.0,98.237,1.27,1.27,1.27,100.075,1.24,1.24,1.24,
03/31/2014,1938.314,1938.314,,,0.43,-1667.768,93.359,,1574.409,270.976,-35.193,35.193,35.198,-0.005,,0.0,235.783,-83.931,151.852,0.0,0.0,0.0,151.852,-13.774,138.078,0.0,0.0,138.078,131.748,-6.33,98.572,1.4,1.4,1.336566,100.157,1.38,1.38,1.316799,
06/30/2014,2051.766,2051.766,,,2.174,-1760.508,90.691,,1669.817,293.432,-35.087,35.087,35.092,-0.005,,0.0,258.345,-91.731,166.614,0.0,0.0,0.0,166.614,-14.943,151.671,0.0,-0.077,151.594,151.594,0.0,98.872,1.53,1.53,1.53,100.235,1.51,1.51,1.51,
09/30/2014,2038.717,2038.717,,,1.425,-1863.531,93.456,,1770.075,176.611,-32.133,32.133,32.574,-0.441,,0.0,144.478,-48.44,96.038,0.0,0.0,0.0,96.038,-13.241,82.797,0.0,-0.017,82.78,134.50805,51.72805,99.052,0.84,0.84,1.357954,101.033,0.82,0.82,1.331992,
12/31/2014,2176.291,2176.291,,,23.873,-1877.878,98.118,,1779.76,322.286,-31.225,31.225,31.311,-0.086,,0.0,291.061,-100.569,190.492,0.0,0.0,0.0,190.492,-17.695,172.797,0.0,-0.072,172.725,165.902,-6.823,98.808,1.75,1.75,1.679034,100.751,1.71,1.71,1.642279,
03/31/2015,2225.353,2225.353,,,0.0,-1898.299,98.998,,1799.301,327.054,-30.037,30.037,30.042,-0.005,,0.0,297.017,-102.694,194.323,0.0,0.0,0.0,194.323,-20.024,174.299,0.0,0.0,174.299,174.299,0.0,98.91,1.76,1.76,1.76,100.647,1.73,1.73,1.73,
06/30/2015,2275.204,2275.204,,,1.395,-1941.207,97.257,,1843.95,335.392,-27.684,27.684,27.689,-0.005,,0.0,307.708,-106.304,201.404,0.0,0.0,0.0,201.404,-19.211,182.193,0.0,-0.071,182.122,182.122,0.0,99.004,1.84,1.84,1.84,100.927,1.8,1.8,1.8,
09/30/2015,2227.655,2227.655,,,0.356,-1952.854,99.442,,1853.412,275.157,-27.13,27.13,27.135,-0.005,,0.0,248.027,-84.373,163.654,0.0,0.0,0.0,163.654,-13.367,150.287,0.0,-0.082,150.205,150.205,0.0,98.858,1.52,1.52,1.52,101.159,1.48,1.48,1.48,
12/31/2015,2315.239,2315.239,,,14.064,-2007.511,102.921,,1904.59,321.792,-28.643,28.643,28.907,-0.264,,0.0,293.149,-101.832,191.317,0.0,0.0,0.0,191.317,-17.568,173.749,0.0,-0.06,173.689,172.0133,-1.6757,98.416,1.76,1.76,1.747818,100.043,1.74,1.74,1.72325,
03/31/2016,2449.798,2449.798,,,0.0,-2093.474,104.049,,1989.425,356.324,-29.6,29.6,29.63,-0.03,,0.0,326.724,-111.005,215.719,0.0,0.0,0.0,215.719,-24.96,190.759,0.0,-0.089,190.67,190.67,0.0,97.607,1.95,1.95,1.95,98.895,1.93,1.93,1.93,
06/30/2016,2430.855,2430.855,,,0.0,-2097.567,101.411,,1996.156,333.288,-30.442,30.442,30.455,-0.013,,0.0,302.846,-107.397,195.449,0.0,0.0,0.0,195.449,-9.872,185.577,0.0,-0.084,185.493,185.493,0.0,97.109,1.91,1.91,1.91,98.389,1.89,1.89,1.89,
09/30/2016,2409.872,2409.872,,,0.0,-2132.303,103.712,,2028.591,277.569,-32.129,32.129,32.154,-0.025,,0.0,245.44,-88.175,157.265,0.0,0.0,0.0,157.265,-5.4,151.865,0.0,-0.069,151.796,151.796,0.0,97.118,1.56,1.56,1.56,98.321,1.54,1.54,1.54,
12/31/2016,2475.685,2475.685,,,5.339,-2166.794,107.436,,2059.358,314.23,-32.882,32.882,32.964,-0.082,,0.0,281.348,-102.61,178.738,0.0,0.0,0.0,178.738,-4.53,174.208,0.0,-0.072,174.136,174.136,0.0,96.998,1.8,1.8,1.8,97.915,1.78,1.78,1.78,
03/31/2017,2612.858,2612.858,,,0.0,-2258.925,110.798,,2148.127,353.933,-35.507,35.507,35.52,-0.013,,0.0,318.426,-107.899,210.527,0.0,0.0,0.0,210.527,-4.472,206.055,0.0,-0.094,205.961,205.961,0.0,96.585,2.13,2.13,2.13,97.372,2.12,2.12,2.12,
06/30/2017,2612.356,2612.356,,,0.0,-2282.165,113.112,,2169.053,330.191,-35.92,35.92,35.932,-0.012,,0.0,294.271,-103.883,190.388,0.0,0.0,0.0,190.388,-4.994,185.394,0.0,-0.082,185.312,185.312,0.0,96.247,1.93,1.93,1.93,97.042,1.91,1.91,1.91,
09/30/2017,2541.864,2541.864,,,0.0,-2284.554,110.217,,2174.337,257.31,-36.956,36.956,36.973,-0.017,,0.0,220.354,-74.992,145.362,0.0,0.0,0.0,145.362,-4.117,141.245,0.0,-0.081,141.164,141.164,0.0,95.246,1.48,1.48,1.48,95.977,1.47,1.47,1.47,
12/31/2017,2642.787,2642.787,,,0.0,-2304.043,113.638,,2190.405,338.744,-36.786,36.786,36.825,-0.039,,0.0,301.958,-76.923,225.035,0.0,0.0,0.0,225.035,-5.426,219.609,0.0,-0.105,219.504,200.754,-18.75,94.53,2.32,2.32,2.123707,94.909,2.31,2.31,2.112442,
03/31/2018,2687.516,2687.516,,,0.0,-2353.702,113.103,,2240.599,333.814,-37.576,37.576,37.679,-0.103,,0.0,296.238,-67.569,228.669,0.0,0.0,0.0,228.669,-4.837,223.832,0.0,-0.104,223.728,233.08363,9.35563,94.226,2.37,2.37,2.473666,94.683,2.36,2.36,2.45881,
06/30/2018,2681.353,2681.353,,,0.0,-2356.891,109.581,,2247.31,324.462,-22.692,38.0,38.546,-0.546,,-15.308,301.77,-71.059,230.711,0.0,0.0,0.0,230.711,-4.659,226.052,0.0,-0.392,225.66,225.1151,-0.5449,93.842,2.4,2.4,2.398874,94.281,2.39,2.39,2.38422,
09/30/2018,2648.913,2648.913,,,0.0,-2391.749,112.286,,2279.463,257.164,-28.097,39.506,39.542,-0.036,,-11.409,229.067,-54.186,174.881,0.0,0.0,0.0,174.881,-3.135,171.746,0.0,-0.317,171.429,199.712,28.283,92.849,1.85,1.85,2.150933,93.33,1.84,1.84,2.143043,
12/31/2018,2754.496,2754.496,,,0.0,-2494.674,118.075,,2376.599,259.822,-52.372,39.874,40.72,-0.846,,12.498,207.45,-43.828,163.622,0.0,0.0,0.0,163.622,-5.547,158.075,0.0,-0.278,157.797,231.97233,74.17533,92.187,1.71,1.71,2.516324,92.706,1.7,1.7,2.500114,
03/31/2019,2804.391,2804.391,,,0.0,-2463.954,120.04,,2343.914,340.437,-44.141,39.64,39.909,-0.269,,4.501,296.296,-58.898,237.398,0.0,0.0,0.0,237.398,-3.23,234.168,0.0,-0.515,233.653,236.38201,2.72901,90.776,2.57,2.57,2.604014,90.967,2.57,2.57,2.6,
06/30/2019,2855.168,2855.168,,,0.0,-2509.605,121.168,,2388.437,345.563,-34.755,42.487,42.536,-0.049,,-7.732,310.808,-69.543,241.265,0.0,0.0,0.0,241.265,-2.945,238.32,0.0,-0.656,237.664,240.582,2.918,89.136,2.67,2.67,2.699044,89.235,2.66,2.66,2.6927,
09/30/2019,2822.453,2822.453,,,0.0,-2633.524,121.528,,2511.996,188.929,-50.854,41.447,41.512,-0.065,,9.407,138.075,-37.205,100.87,0.0,0.0,0.0,100.87,-3.68,97.19,0.0,-0.243,96.947,185.02622,88.07922,87.952,1.1,1.1,2.103718,88.355,1.1,1.1,2.096879,
12/31/2019,2896.247,2896.247,,,0.0,-2555.268,127.656,,2427.612,340.979,-19.821,39.159,39.245,-0.086,,-19.338,321.158,-73.148,248.01,0.0,0.0,0.0,248.01,-2.834,245.176,0.0,-0.614,244.562,230.13818,-14.42382,87.184,2.81,2.81,2.639684,87.603,2.79,2.79,2.62535,
03/31/2020,2829.667,2829.667,,,0.0,-2592.973,124.394,,2468.579,236.694,-45.911,36.351,36.381,-0.03,,9.56,190.783,-46.323,144.46,0.0,0.0,0.0,144.46,-2.423,142.037,0.0,-0.373,141.664,149.014,7.35,86.212,1.64,1.64,1.72846,86.455,1.64,1.64,1.725015,
06/30/2020,2729.754,2729.754,,,0.0,-2371.723,126.208,,2245.515,358.031,-22.373,25.473,25.79,-0.317,,-3.1,335.658,-79.154,256.504,0.0,0.0,0.0,256.504,-4.575,251.929,0.0,-0.824,251.105,250.58919,-0.51581,84.632,2.97,2.97,2.960927,85.059,2.95,2.95,2.943936,
09/30/2020,2785.917,,,2785.917,,,,,,244.75,,,,,,,200.556,,152.8,,,,,,152.8,,,152.8,157.333,,,1.943,1.943,1.889,,1.943,1.943,1.889,
12/31/2020,2949.25,,,2949.25,,,,,,327.375,,,,,,,278.667,,215.2,,,,,,215.2,,,215.2,221.889,,,2.673,2.673,2.585,,2.673,2.673,2.585,
