Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2015,-257.0,4640.0,,533.0,,,,,,,,0.0,70027.0,0.0,0.0,0.0,12389.0,12389.0,8552.0,0.0,3837.0,0.0,0.0,0.0,0.0,53743.0,53743.0,0.0,0.0,0.0,0.0,0.0,0.0,3895.0,-74317.0,-1796.0,-72444.0,0.0,0.0,198118.0,-270562.0,0.0,0.0,0.0,0.0,-77.0,0.0,-4547.0,370.0,26444.0,
09/30/2015,-4869.0,1960.0,,1050.0,,,,,,,,0.0,57175.0,0.0,0.0,0.0,11598.0,11598.0,7356.0,0.0,4242.0,0.0,0.0,0.0,0.0,42816.0,42816.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.0,-51704.0,-4359.0,-47459.0,0.0,0.0,215474.0,-262933.0,0.0,0.0,0.0,0.0,114.0,0.0,602.0,100.0,25905.0,
12/31/2015,-298.0,2466.0,,255.0,,,,,,,,0.0,54540.0,0.0,0.0,0.0,9970.0,9970.0,4392.0,3196.0,2382.0,0.0,0.0,0.0,0.0,41043.0,41043.0,0.0,0.0,0.0,0.0,0.0,0.0,3527.0,-59483.0,-2203.0,-57238.0,0.0,0.0,193983.0,-251221.0,0.0,0.0,0.0,0.0,-42.0,0.0,-5241.0,700.0,26344.0,
03/31/2016,-3111.0,1136.0,,-1184.0,,,,,,,,0.0,61816.0,0.0,0.0,0.0,12327.0,12327.0,5818.0,849.0,5660.0,0.0,0.0,0.0,0.0,39099.0,39099.0,0.0,0.0,0.0,0.0,0.0,0.0,10390.0,-54463.0,-2859.0,-51546.0,0.0,0.0,252045.0,-303591.0,0.0,0.0,0.0,0.0,-58.0,0.0,4242.0,360.0,26013.0,
06/30/2016,-871.0,2946.0,,-1601.0,,,,,,,,0.0,53047.0,0.0,0.0,0.0,13225.0,13225.0,7299.0,1115.0,4811.0,0.0,0.0,0.0,0.0,44109.0,44109.0,0.0,0.0,0.0,0.0,0.0,0.0,-4287.0,-47473.0,-919.0,-46642.0,0.0,0.0,350984.0,-397626.0,0.0,0.0,0.0,0.0,88.0,0.0,4703.0,250.0,26341.0,
09/30/2016,-767.0,3196.0,,-673.0,,,,,,,,0.0,61443.0,0.0,0.0,0.0,11593.0,11593.0,6701.0,1245.0,3647.0,0.0,0.0,0.0,0.0,46827.0,46827.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,-57736.0,-2869.0,-54775.0,0.0,0.0,423356.0,-478131.0,0.0,0.0,0.0,0.0,-92.0,0.0,2940.0,531.0,25927.0,
12/31/2016,3769.0,5035.0,,1303.0,,,,,,,,0.0,54747.0,0.0,0.0,0.0,11134.0,11134.0,7094.0,2013.0,2027.0,0.0,0.0,0.0,0.0,39573.0,39573.0,0.0,0.0,0.0,0.0,0.0,0.0,4040.0,-53777.0,-2977.0,-50876.0,0.0,0.0,393279.0,-444155.0,0.0,0.0,0.0,0.0,76.0,0.0,4739.0,570.0,26037.0,
03/31/2017,2673.0,2773.0,,-396.0,,,,,,,,0.0,43525.0,0.0,0.0,0.0,8108.0,8108.0,6784.0,0.0,1324.0,0.0,0.0,0.0,0.0,27506.0,27506.0,0.0,0.0,0.0,0.0,0.0,0.0,7911.0,-46434.0,-5471.0,-41148.0,0.0,0.0,308715.0,-349863.0,0.0,0.0,0.0,0.0,185.0,0.0,-236.0,0.0,25954.0,
06/30/2017,-6299.0,3200.0,,-1267.0,,,,,,,,0.0,43592.0,0.0,0.0,0.0,10285.0,10285.0,6175.0,2361.0,1749.0,0.0,0.0,0.0,0.0,33357.0,33357.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-51331.0,-2779.0,-48378.0,0.0,0.0,362350.0,-410728.0,0.0,0.0,0.0,0.0,-174.0,0.0,-14038.0,1070.0,30253.0,
09/30/2017,3798.0,3023.0,,182.0,,,,,,,,0.0,48319.0,0.0,0.0,0.0,8842.0,8842.0,4911.0,3038.0,893.0,0.0,0.0,0.0,0.0,30648.0,30648.0,0.0,0.0,0.0,0.0,0.0,0.0,8829.0,-47969.0,-3117.0,-44929.0,0.0,0.0,387748.0,-432677.0,0.0,0.0,0.0,0.0,77.0,0.0,4148.0,600.0,26445.0,
12/31/2017,90.0,-6533.0,,-560.0,,,,,,,,0.0,40156.0,0.0,0.0,0.0,11009.0,11009.0,4928.0,4842.0,1239.0,0.0,0.0,0.0,0.0,30846.0,30846.0,0.0,0.0,0.0,0.0,0.0,0.0,-1699.0,-40853.0,-648.0,-40123.0,0.0,0.0,359722.0,-399845.0,0.0,0.0,0.0,0.0,-82.0,0.0,-607.0,1420.0,26828.0,
03/31/2018,-1409.0,4261.0,,217.0,,,,,,,,0.0,15816.0,0.0,0.0,0.0,5268.0,5268.0,4164.0,80.0,1024.0,0.0,0.0,0.0,0.0,28683.0,28683.0,0.0,0.0,0.0,0.0,0.0,0.0,-18135.0,-37307.0,0.0,-37749.0,0.0,0.0,381461.0,-419210.0,0.0,0.0,0.0,0.0,442.0,0.0,-22900.0,0.0,27041.0,
06/30/2018,-266.0,4457.0,,-1730.0,,,,,,,,0.0,64690.0,0.0,0.0,0.0,6558.0,6558.0,3877.0,2475.0,206.0,0.0,0.0,0.0,0.0,32474.0,32474.0,0.0,0.0,0.0,0.0,0.0,0.0,25658.0,-53055.0,-938.0,-51655.0,0.0,0.0,268106.0,-319761.0,0.0,0.0,0.0,0.0,-462.0,0.0,11369.0,460.0,27367.0,
09/30/2018,-121.0,4011.0,,-716.0,,,,,,,,0.0,30058.0,0.0,0.0,0.0,12014.0,12014.0,3706.0,8082.0,226.0,0.0,0.0,0.0,0.0,25661.0,25661.0,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0,-27635.0,-4459.0,-23916.0,0.0,0.0,268943.0,-292859.0,0.0,0.0,0.0,0.0,740.0,0.0,2302.0,,27602.0,
12/31/2018,4044.0,3230.0,,-1080.0,,,,,,,,0.0,40289.0,0.0,0.0,0.0,10486.0,10486.0,3431.0,6874.0,181.0,0.0,0.0,0.0,0.0,33778.0,33778.0,0.0,0.0,0.0,0.0,0.0,0.0,-3975.0,-45941.0,-3975.0,-41309.0,0.0,0.0,232378.0,-273687.0,0.0,0.0,0.0,0.0,-657.0,0.0,-1608.0,0.0,28405.0,
03/31/2019,1816.0,2400.0,,650.0,,,,,,,,0.0,47446.0,0.0,0.0,0.0,3120.0,3120.0,2835.0,26.0,259.0,0.0,0.0,0.0,0.0,31797.0,31797.0,0.0,0.0,0.0,0.0,0.0,0.0,12529.0,-46444.0,-3240.0,-43204.0,0.0,0.0,237943.0,-281147.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.0,0.0,28650.0,
06/30/2019,364.0,3432.0,,-2525.0,,,,,,,,0.0,48060.0,0.0,0.0,0.0,8979.0,8979.0,2771.0,5795.0,413.0,0.0,0.0,0.0,0.0,35107.0,35107.0,0.0,0.0,0.0,0.0,0.0,0.0,3974.0,-39695.0,-2361.0,-37466.0,0.0,0.0,295311.0,-332777.0,0.0,0.0,0.0,0.0,132.0,0.0,8729.0,700.0,28987.0,
09/30/2019,-74.0,3963.0,,18.0,,,,,,,,0.0,39241.0,0.0,0.0,0.0,7061.0,7061.0,3430.0,3517.0,114.0,0.0,0.0,0.0,0.0,33351.0,33351.0,0.0,0.0,0.0,0.0,0.0,0.0,-1171.0,-36709.0,0.0,-37706.0,0.0,0.0,340531.0,-378237.0,0.0,0.0,0.0,0.0,997.0,0.0,2458.0,550.0,29062.0,
12/31/2019,-6860.0,4365.0,,-2154.0,,,,,,,,0.0,72305.0,0.0,0.0,0.0,12255.0,12255.0,3521.0,8456.0,278.0,0.0,0.0,0.0,0.0,48677.0,48677.0,0.0,0.0,0.0,0.0,0.0,0.0,11373.0,-67466.0,0.0,-66817.0,0.0,0.0,351022.0,-417839.0,0.0,0.0,0.0,0.0,-649.0,0.0,-2021.0,650.0,34843.0,
03/31/2020,2174.0,461.0,,2583.0,,,,,,,,0.0,47664.0,0.0,0.0,0.0,2467.0,2467.0,0.0,2308.0,159.0,0.0,0.0,0.0,0.0,38101.0,38101.0,0.0,0.0,0.0,0.0,0.0,0.0,7096.0,17463.0,0.0,17933.0,0.0,0.0,390477.0,-372544.0,0.0,0.0,0.0,0.0,-470.0,0.0,67301.0,0.0,28867.0,
06/30/2020,-41496.0,2545.0,,12.0,,,,,,,,0.0,-20936.0,0.0,0.0,0.0,2927.0,2927.0,427.0,2326.0,174.0,0.0,0.0,0.0,0.0,-7197.0,-7197.0,0.0,0.0,0.0,0.0,0.0,0.0,-16666.0,53948.0,0.0,53942.0,0.0,0.0,404913.0,-350971.0,0.0,0.0,0.0,0.0,6.0,0.0,-8484.0,0.0,28866.0,
