Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2017,20500.0,20500.0,-19280.0,19280.0,500.0,1220.0,0.0,-692.0,192.0,,192.0,0.0,528.0,-95.0,121.0,121.0,0.0,,-26.0,433.0,-112.0,321.0,0.0,0.0,0.0,321.0,-16.0,305.0,0.0,0.0,305.0,305.0,0.0,448.0,0.68,0.68,0.68,451.0,0.68,0.68,0.68,
06/30/2017,20870.0,20870.0,-19336.0,19336.0,499.0,1534.0,0.0,-674.0,175.0,,175.0,0.0,860.0,-92.0,119.0,119.0,0.0,,-27.0,768.0,-196.0,572.0,0.0,0.0,0.0,572.0,-24.0,548.0,0.0,0.0,548.0,548.0,0.0,444.0,1.23,1.23,1.23,446.0,1.23,1.23,1.23,
09/30/2017,22115.0,22115.0,-18882.0,18882.0,497.0,3233.0,0.0,-1901.0,225.0,,225.0,1179.0,1332.0,-91.0,114.0,134.0,-20.0,,-23.0,1241.0,-378.0,863.0,0.0,0.0,0.0,863.0,-22.0,841.0,0.0,0.0,841.0,841.0,0.0,439.0,1.91,1.91,1.91,441.0,1.91,1.91,1.91,
12/31/2017,24922.0,24922.0,-23812.0,23335.0,13.0,1110.0,0.0,-267.0,237.0,,237.0,17.0,843.0,-78.0,114.0,114.0,0.0,,-36.0,765.0,1635.0,2400.0,0.0,0.0,0.0,2400.0,-29.0,2371.0,0.0,0.0,2371.0,509.0,-1862.0,435.0,5.43,5.43,1.170115,437.0,5.42,5.42,1.15913,
03/31/2018,24975.0,24975.0,-23428.0,23428.0,498.0,1547.0,0.0,-746.0,238.0,,238.0,10.0,801.0,-70.0,121.0,121.0,0.0,,-51.0,731.0,-149.0,582.0,0.0,0.0,0.0,582.0,-113.0,469.0,0.0,0.0,469.0,431.0,-38.0,431.0,1.09,1.09,1.0,432.0,1.09,1.09,1.0,
06/30/2018,29545.0,29545.0,-27500.0,27500.0,523.0,2045.0,0.0,-792.0,248.0,,248.0,21.0,1253.0,-129.0,124.0,124.0,0.0,,5.0,1124.0,-249.0,875.0,0.0,0.0,0.0,875.0,-30.0,845.0,0.0,0.0,845.0,928.0,83.0,429.0,1.96,1.96,2.16317,431.0,1.96,1.96,2.152575,
09/30/2018,29511.0,29511.0,-26363.0,26363.0,517.0,3148.0,0.0,-1929.0,209.0,,209.0,1203.0,1219.0,-69.0,111.0,134.0,-23.0,,-42.0,1150.0,-276.0,874.0,0.0,0.0,0.0,874.0,-18.0,856.0,0.0,0.0,856.0,856.0,0.0,425.0,2.01,2.01,2.01,427.0,2.01,2.01,2.01,
12/31/2018,27376.0,27376.0,-25830.0,25312.0,13.0,1546.0,0.0,-247.0,230.0,,230.0,4.0,1299.0,-72.0,114.0,114.0,0.0,,-42.0,1227.0,-205.0,1022.0,0.0,0.0,0.0,1022.0,-70.0,952.0,0.0,0.0,952.0,900.0,-52.0,421.0,2.26,2.26,2.137767,422.0,2.24,2.24,2.116777,
03/31/2019,22933.0,22933.0,-22400.0,21863.0,14.0,533.0,0.0,-225.0,209.0,,209.0,2.0,308.0,-90.0,112.0,112.0,0.0,,-22.0,218.0,-51.0,167.0,0.0,0.0,0.0,167.0,-26.0,141.0,0.0,0.0,141.0,141.0,0.0,416.0,0.34,0.34,0.34,418.0,0.34,0.34,0.34,
06/30/2019,27523.0,27523.0,-25848.0,25848.0,566.0,1675.0,0.0,-767.0,199.0,,199.0,2.0,908.0,-100.0,112.0,112.0,0.0,,-12.0,808.0,-160.0,648.0,0.0,0.0,0.0,648.0,-36.0,612.0,0.0,0.0,612.0,629.0,17.0,415.0,1.47,1.47,1.515663,417.0,1.47,1.47,1.510767,
09/30/2019,25850.0,25850.0,-24731.0,24175.0,11.0,1119.0,0.0,-238.0,217.0,,217.0,10.0,881.0,-77.0,111.0,111.0,0.0,,-34.0,804.0,-165.0,639.0,0.0,0.0,0.0,639.0,-30.0,609.0,0.0,0.0,609.0,609.0,0.0,412.0,1.48,1.48,1.48,413.0,1.48,1.48,1.48,
12/31/2019,26423.0,26423.0,-24420.0,23863.0,14.0,2003.0,0.0,-264.0,243.0,,243.0,7.0,1739.0,-83.0,119.0,119.0,0.0,,-36.0,1656.0,-326.0,1330.0,0.0,0.0,0.0,1330.0,-270.0,1060.0,0.0,0.0,1060.0,1064.97,4.97,409.0,2.58,2.58,2.603839,410.0,2.58,2.58,2.592122,
03/31/2020,20734.0,20734.0,-22819.0,22250.0,13.0,-2085.0,0.0,-192.0,177.0,,177.0,2.0,-2277.0,-93.0,125.0,125.0,0.0,,-32.0,-2370.0,616.0,-1754.0,0.0,0.0,0.0,-1754.0,-97.0,-1851.0,0.0,0.0,-1851.0,-1851.0,0.0,408.0,-4.54,-4.54,-4.54,408.0,-4.54,-4.54,-4.54,
06/30/2020,10397.0,10397.0,-8424.0,7858.0,12.0,1973.0,0.0,-184.0,169.0,,169.0,3.0,1789.0,-115.0,142.0,142.0,0.0,,-27.0,1674.0,-339.0,1335.0,0.0,0.0,0.0,1335.0,-82.0,1253.0,0.0,0.0,1253.0,1253.0,0.0,406.0,3.07,3.07,3.07,407.0,3.07,3.07,3.07,
09/30/2020,15886.2,,,,,,,,,,,,-244.68,,,,,,,-416.625,,-362.167,,,,,,-362.167,,,-362.167,-394.556,,,-0.944,-0.944,-0.819,,-0.944,-0.944,-0.819,
12/31/2020,17777.6,,,,,,,,,,,,-71.054,,,,,,,-163.85,,-291.867,,,,,,-291.867,,,-291.867,-226.322,,,-0.711,-0.711,-0.614,,-0.711,-0.711,-0.614,
