Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2018,82062.0,523.0,523.0,0.0,1167.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,54944.0,,,,54944.0,56634.0,1235.0,,,0.0,0.0,24193.0,22840.0,12514.0,10326.0,1353.0,25428.0,,580.0,,,580.0,2623.0,2623.0,,,,,54743.0,,,2292.0,54275.0,57946.0,4269.0,4269.0,,,,2841.0,240.0,,,,309.0,7110.0,65056.0,0.0,11434.0,6.0,11428.0,-1448.0,7182.0,-190.0,16978.0,28.0,17006.0,82062.0,
06/30/2018,82847.0,532.0,532.0,0.0,1049.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,55979.0,,,,55979.0,57560.0,1220.0,,,0.0,0.0,24067.0,22707.0,12484.0,10223.0,1360.0,25287.0,,555.0,,,555.0,2645.0,2645.0,,,,,55694.0,,,2284.0,55322.0,58894.0,4271.0,4271.0,,,,2842.0,235.0,,,,323.0,7113.0,66007.0,0.0,11483.0,6.0,11477.0,-1911.0,7498.0,-265.0,16805.0,35.0,16840.0,82847.0,
09/30/2018,87242.0,515.0,515.0,0.0,1020.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,59760.0,,,,59760.0,61295.0,1206.0,,,0.0,0.0,24741.0,23379.0,12934.0,10445.0,1362.0,25947.0,,703.0,,,703.0,1198.0,1198.0,,,,,59164.0,,,2275.0,58915.0,61065.0,6488.0,6488.0,,,,2835.0,235.0,,,,325.0,9323.0,70388.0,0.0,11501.0,6.0,11495.0,-2213.0,7818.0,-274.0,16832.0,22.0,16854.0,87242.0,
12/31/2018,92791.0,724.0,724.0,0.0,953.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,65015.0,0.0,2.0,,65015.0,66692.0,1241.0,2507.0,-1266.0,0.0,,24858.0,23547.0,13085.0,10462.0,1309.0,26099.0,,801.0,,,801.0,951.0,951.0,0.0,0.0,,,64356.0,0.0,0.0,2337.0,64221.0,66108.0,6490.0,6490.0,0.0,0.0,,2891.0,204.0,3.0,,,347.0,9381.0,75489.0,0.0,11553.0,6.0,11547.0,-2354.0,8317.0,-315.0,17201.0,101.0,17302.0,92791.0,
03/31/2019,93857.0,653.0,653.0,0.0,1181.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,65651.0,,,,65651.0,67485.0,1846.0,,,0.0,,24526.0,23504.0,13098.0,10406.0,1022.0,26372.0,,634.0,,,634.0,1058.0,1005.0,53.0,,53.0,,65343.0,,,2308.0,64864.0,67035.0,6798.0,6492.0,306.0,,306.0,2823.0,203.0,,,,312.0,9621.0,76656.0,0.0,11603.0,6.0,11597.0,-2851.0,8644.0,-290.0,17106.0,95.0,17201.0,93857.0,
06/30/2019,90930.0,837.0,837.0,0.0,1062.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,62473.0,,,,62473.0,64372.0,1525.0,,,0.0,0.0,25033.0,23754.0,13308.0,10446.0,1279.0,26558.0,,695.0,,,695.0,1357.0,1303.0,54.0,,54.0,,62079.0,,,2296.0,61719.0,64131.0,6792.0,6494.0,298.0,,298.0,2789.0,200.0,,,,293.0,9581.0,73712.0,0.0,11657.0,6.0,11651.0,-3194.0,8961.0,-309.0,17115.0,103.0,17218.0,90930.0,
09/30/2019,95339.0,655.0,655.0,0.0,1056.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,67160.0,,,,67160.0,68871.0,1505.0,,,0.0,0.0,24963.0,23640.0,13310.0,10330.0,1323.0,26468.0,,771.0,,,771.0,1381.0,1329.0,52.0,,52.0,,66382.0,,,2281.0,66135.0,68534.0,6783.0,6496.0,287.0,,287.0,2765.0,197.0,,,,287.0,9548.0,78082.0,0.0,11712.0,6.0,11706.0,-3538.0,9335.0,-348.0,17161.0,96.0,17257.0,95339.0,
12/31/2019,94493.0,841.0,841.0,0.0,988.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,66150.0,0.0,0.0,,66150.0,67979.0,1536.0,3042.0,-1506.0,0.0,,24978.0,23600.0,13342.0,10258.0,1378.0,26514.0,,796.0,,,796.0,2622.0,2569.0,53.0,0.0,53.0,,65398.0,0.0,0.0,2314.0,65269.0,68816.0,5531.0,5250.0,281.0,0.0,281.0,2782.0,198.0,33.0,,,237.0,8313.0,77129.0,0.0,11748.0,6.0,11742.0,-3879.0,9629.0,-243.0,17255.0,109.0,17364.0,94493.0,
03/31/2020,138901.0,583.0,583.0,0.0,1569.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,110101.0,,,,110101.0,112253.0,1503.0,,,0.0,,25145.0,23739.0,13527.0,10212.0,1406.0,26648.0,,675.0,,,675.0,3071.0,0.0,,,,3071.0,109780.0,,,2312.0,109276.0,113526.0,5524.0,5252.0,272.0,,272.0,2789.0,191.0,,,,286.0,8313.0,121839.0,0.0,11816.0,6.0,11810.0,-4647.0,10103.0,-333.0,16939.0,123.0,17062.0,138901.0,
06/30/2020,124060.0,880.0,880.0,0.0,1279.0,1279.0,0.0,0.0,0.0,0.0,0.0,0.0,95276.0,,,,95276.0,97435.0,1510.0,,,0.0,0.0,25115.0,23683.0,13534.0,10149.0,1432.0,26625.0,,719.0,,,719.0,705.0,0.0,,,,705.0,94769.0,,,2317.0,94386.0,96193.0,7977.0,7703.0,274.0,,274.0,2801.0,190.0,,,,294.0,10778.0,106971.0,0.0,11862.0,6.0,11856.0,-5050.0,10462.0,-321.0,16953.0,136.0,17089.0,124060.0,
