Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
10/31/1996,464.460744,-11.794,0.0,0.0,36.200001,488.866745,320.959015,11.278699,0.074049,0.940054,,9.803609,9.206369,,478.5,502.906001,17.740665,,
01/31/1997,493.632999,-12.196,0.0,0.0,15.6,497.036999,302.270013,5.160949,0.031386,0.957525,,10.055778,10.522888,,510.1775,513.5815,18.036539,,
04/30/1997,497.642635,-24.091,0.0,0.0,0.0,473.551635,291.890993,0.0,0.0,0.90354,,8.900677,7.818961,10.567159,512.749982,488.658982,17.154883,,
07/31/1997,686.099621,-14.954,0.0,0.0,0.0,671.145621,294.169003,0.0,0.0,1.23858,,11.988811,9.87444,14.972919,704.329375,689.375375,24.380535,,
10/31/1997,764.935247,-11.822,0.0,0.0,0.0,753.113248,297.164003,0.0,0.0,1.372396,,13.383445,10.47422,17.474189,800.577742,788.755743,27.333753,,
01/31/1998,369.526969,-24.836,0.0,0.0,0.0,344.690969,298.880996,0.0,0.0,0.616439,,5.995355,4.482742,7.236104,752.91375,728.07775,12.502614,,
04/30/1998,709.466743,-36.484001,0.0,0.0,0.0,672.982741,302.176989,0.0,0.0,1.190117,,11.793473,11.009448,20.984974,724.59375,688.109749,24.434689,,
07/31/1998,691.766247,-7.052,0.0,0.0,0.0,684.714247,305.945,0.0,0.0,1.204238,,11.891942,15.439808,42.286337,696.635,689.583,24.87344,,
10/31/1998,625.012747,-5.129,0.0,0.0,0.0,619.883747,310.84,0.0,0.0,1.071918,,10.683414,17.258091,206.597511,643.102834,637.973834,22.523299,,
01/31/1999,692.662504,-5.824,0.0,0.0,0.0,686.838504,315.415989,0.0,0.0,1.167283,,11.565664,37.423516,-39.979252,732.350016,726.526016,24.930921,,
04/30/1999,568.031996,-8.683,0.0,0.0,8.966,568.314996,333.295,2.690109,0.015776,0.943329,,9.636541,12.904232,106.267288,634.809,635.092,20.62167,,
07/31/1999,655.805731,-52.454,0.0,0.0,75.0,678.351731,399.947,18.752485,0.110562,1.101791,,11.36496,,,705.742875,728.288875,24.932492,,
10/31/1999,548.362598,-25.019,0.0,0.0,75.0,598.343598,403.737,18.57645,0.125346,0.95773,,9.898976,,,575.499785,625.480785,21.917221,,
01/31/2000,464.386963,-26.054,0.0,0.0,75.0,513.332963,397.432,18.871153,0.146104,0.806354,,8.568545,,,500.5525,549.4985,18.929774,,
04/30/2000,416.281624,-23.773,0.0,0.0,75.0,467.508624,388.473,19.306361,0.160425,0.731161,,8.389266,,,457.6,508.827,17.463928,,
07/31/2000,433.17,-25.368,0.0,0.0,75.0,482.802,393.51,19.059236,0.155343,0.752016,,8.84901,9.029418,22.00166,508.32729,557.95929,21.227822,,
10/31/2000,538.1385,-9.207,0.0,0.0,135.0,663.9315,373.443,36.150095,0.203334,1.024772,,12.479212,7.841462,12.700661,565.229499,691.022499,29.045674,,
01/31/2001,598.03365,-30.788,0.0,0.0,135.0,702.24565,380.265,35.501558,0.19224,1.082243,,13.274714,7.569599,11.965776,601.808255,706.020255,30.626869,,
04/30/2001,637.23144,-51.125,0.0,0.0,135.0,721.10644,385.785,34.993585,0.187212,1.107279,9.21636,14.050904,7.742908,11.312144,671.21328,755.08828,31.322914,,
07/31/2001,663.003,-50.992,0.0,0.0,135.0,747.011,385.064,35.059107,0.18072,1.140987,9.541711,14.796106,8.977909,13.253228,665.8266,749.8346,32.367084,,
10/31/2001,817.50181,-33.218,,,135.0,919.28381,388.357,34.76183,0.146853,1.397697,11.545021,17.923955,13.869392,22.775704,781.530918,883.312918,39.79965,,
01/31/2002,795.115389,-67.44,0.0,0.0,135.0,862.675389,403.155,33.48588,0.15649,1.282833,8.887788,16.049775,11.65091,25.304627,757.047067,824.607067,36.758757,,
04/30/2002,815.592964,-91.914,0.0,0.0,135.0,858.678964,415.1439,32.518845,0.157218,1.249627,8.370414,14.418009,11.661479,22.938602,855.0427,898.1287,38.655301,,
07/31/2002,1660.226165,-74.095,0.0,0.0,135.0,1721.131165,1204.272,11.210092,0.078437,2.172344,14.253556,22.431299,23.726452,50.201282,1374.0695,1434.9745,34.728939,,
10/31/2002,1816.5882,-98.825,0.0,0.0,135.0,1852.7632,1225.344,11.017314,0.072864,1.878264,11.602903,16.298058,16.154188,24.557333,1827.16849,1863.34349,37.339041,,
01/31/2003,1990.61428,-150.831,0.0,0.0,135.0,1974.78328,1247.966,10.817602,0.068362,1.704078,11.307414,13.210136,13.676223,16.175297,2003.8216,1987.9906,39.681887,,
04/30/2003,1805.566351,-181.225,,,135.0,1759.341351,1259.171,10.72134,0.076733,1.341223,8.544266,9.978059,10.431089,13.797755,1732.90611,1686.68111,35.351182,,
07/31/2003,2000.438381,-167.468002,0.0,0.0,135.0,1967.970379,1274.531006,10.592131,0.068599,1.427389,8.984402,10.509294,10.719672,15.699561,2007.198369,1974.730367,39.390133,,
10/31/2003,2190.732213,-99.660002,0.0,0.0,135.0,2226.072211,1305.877014,10.33788,0.060645,1.606173,10.000998,11.79751,14.25612,28.377297,2201.674713,2237.014711,44.47608,,
01/31/2004,2334.060291,-142.573,0.0,0.0,135.0,2326.487291,1331.274963,10.140655,0.058027,1.675045,10.000676,12.266556,14.883444,39.63502,2352.701871,2345.128871,46.438836,,
04/30/2004,2624.1525,-163.265,0.0,0.0,135.0,2595.8875,1345.693,10.032006,0.052005,1.842864,11.480285,13.914267,20.203887,90.719115,2635.7108,2607.4458,51.736672,,
07/31/2004,2440.031626,-45.529999,0.0,0.0,548.776985,2943.278612,2172.388039,25.261462,0.186451,1.985321,12.401472,14.921867,27.532669,158.229581,2279.18855,2782.435537,50.433149,,
10/31/2004,2600.6245,-95.983,0.0,0.0,531.034,3035.6755,2210.064,24.027992,0.174931,1.788596,11.658053,13.928056,27.417546,92.202017,2617.2675,3052.3185,51.944277,,
01/31/2005,2717.587866,-134.414,0.0,0.0,505.693,3088.866866,2184.267,23.151611,0.163715,1.622572,11.004745,13.217627,19.818673,38.018044,2740.385301,3111.664301,53.02336,,
04/30/2005,2904.773953,-75.824,0.0,0.0,481.938,3310.887953,2172.738,22.181137,0.145562,1.617888,10.785389,13.194416,20.415736,44.383464,2925.765545,3331.879545,56.55733,,
07/31/2005,2778.920856,-117.047,0.0,0.0,465.135,3127.008856,2159.298,21.541029,0.148748,1.460577,9.933666,12.45855,16.560043,30.802644,2802.846092,3150.934092,53.528625,,
10/31/2005,2667.997349,-107.404,0.0,,469.871,3030.464349,2198.123,21.37601,0.155049,1.404109,9.253468,11.620369,14.117866,23.845108,2682.988583,3045.455583,51.920039,,
01/31/2006,2531.414205,-141.396,0.0,0.0,467.09,2857.108205,2208.705,21.147686,0.163483,1.332294,8.812034,11.279587,16.85224,31.7609,2544.158922,2869.852922,49.096749,,
04/30/2006,2235.819467,-86.838,0.0,0.0,457.222,2606.203467,2185.281,20.922801,0.175436,1.209529,7.958019,10.164164,12.16384,17.249769,2260.056982,2630.440982,45.763779,,
07/31/2006,2555.27494,-153.663,0.0,0.0,476.466,2878.07794,2221.995,21.443163,0.16555,1.325751,9.007195,11.424616,11.293389,15.116411,2552.575405,2875.378405,50.268023,,
10/31/2006,2782.14993,-133.164,0.0,0.0,427.122,3076.10793,2181.835,19.576274,0.138851,1.417826,9.974862,12.626457,11.723979,15.565736,2802.745806,3096.703806,54.17727,,
01/31/2007,2686.060994,-199.152,0.0,0.0,426.383,2913.291994,2181.774,19.54295,0.146358,1.351109,9.449444,11.768119,9.657974,12.276609,2696.843124,2924.074124,51.507481,,
04/30/2007,3169.451227,-244.236,0.0,0.0,425.643,3350.858227,2221.3,19.161887,0.127025,1.559978,10.533481,12.925649,11.608127,14.464374,3184.232475,3365.639475,59.014919,,
07/31/2007,3209.828044,-392.774,,,824.903,3641.957044,2670.592,30.888395,0.2265,1.668311,10.791783,13.05932,15.174364,20.10873,3195.967073,3628.096073,63.323524,,
10/31/2007,3073.973657,-327.323,,,791.164,3537.814657,2709.105,29.203888,0.223631,1.54763,10.079474,12.161534,15.62177,21.444296,3073.924929,3537.765929,61.492211,,
01/31/2008,2615.083959,-344.866,0.0,0.0,790.424,3060.641959,2641.028,29.928649,0.258254,1.260432,8.474477,10.227026,11.45407,15.262687,2658.192337,3103.750337,54.750376,,
04/30/2008,2724.575887,-200.218,,,789.684,3314.041887,2589.537,30.495181,0.238284,1.312609,9.258445,11.219664,15.95562,25.245277,2754.841425,3344.307425,60.671611,,
07/31/2008,2670.422684,-158.193,0.0,0.0,788.945,3301.174684,2606.23,30.271503,0.238989,1.256672,9.115289,11.078808,12.746452,18.635151,2664.502041,3295.254041,60.252354,,
10/31/2008,2444.621444,-166.312,0.0,0.0,1188.205,3466.514444,2700.49,43.999607,0.342766,1.254997,9.562297,11.666188,19.212049,40.997933,2449.744151,3471.637151,63.186832,,
01/31/2009,5346.901843,-359.907,0.0,0.0,1537.466,6524.460844,6452.406,23.827794,0.235646,1.989534,14.408668,18.120734,20.126037,30.146646,5191.700434,6369.259434,55.093476,,
04/30/2009,4665.831646,-456.693,0.0,0.0,1536.726,5745.864646,6476.657,23.727148,0.267449,1.528996,10.092788,12.739401,11.751526,15.18976,4667.753499,5747.786499,48.520196,,
07/31/2009,5950.742154,-300.283,0.0,0.0,1460.986,7111.445154,6495.316,22.492916,0.205442,1.715336,10.255152,12.976214,17.431329,24.335831,5940.874587,7101.577587,59.788442,,
10/31/2009,6273.573475,-409.708,0.0,0.0,1460.247,7324.112475,6595.601,22.139711,0.199375,1.598661,8.456819,10.569528,10.857865,13.813674,6280.165674,7330.704674,61.559883,,
01/31/2010,7155.670013,-125.561,0.0,0.0,910.0,7940.109013,6150.244,14.796161,0.114608,1.72433,8.420097,10.347401,11.097926,13.76081,7161.360084,7945.799084,66.655163,,
04/30/2010,7274.606613,-283.57,0.0,0.0,910.0,7901.036613,6236.32,14.591939,0.115175,1.715644,8.089846,9.989818,10.429617,12.731806,7283.714043,7910.144043,66.328852,,
07/31/2010,7340.897839,-579.848,0.0,0.0,1310.0,8071.049839,6705.108,19.537344,0.162309,1.754166,8.180207,10.252311,10.6896,13.051935,7337.229301,8067.381301,67.540048,,
10/31/2010,7683.351696,-535.549,0.0,0.0,1300.0,8447.802696,6804.009,19.106383,0.153886,1.835983,8.371862,10.611858,14.335006,17.61097,7690.613343,8455.064343,70.675504,,
01/31/2011,7209.07276,-588.182,0.0,0.0,1300.0,7920.89076,6663.301,19.50985,0.164123,1.682555,7.704974,9.911421,12.321628,15.610973,7288.804211,8000.622211,68.297628,,
04/30/2011,8570.901199,-319.845,0.0,0.0,1304.039,9555.095199,6596.402,19.768944,0.136476,1.980026,9.331959,12.183395,21.810744,37.033644,8670.324657,9654.518657,83.690265,,
07/31/2011,8912.774553,-102.475,0.0,0.0,1625.189,10435.488553,6973.443,23.305403,0.155737,2.100831,10.03069,13.047492,25.697738,56.310682,8819.018794,10341.732794,91.232339,,
10/31/2011,8768.86502,-496.288,0.0,0.0,2071.852,10344.42902,7435.201,27.865447,0.200287,1.988431,10.184953,13.410185,21.652161,46.172027,8682.600001,10258.164001,90.858728,,
01/31/2012,8922.287985,-370.428,0.0,0.0,2071.202,10623.061985,7455.342,27.781449,0.194972,1.982804,10.628291,14.000003,20.606674,42.547116,8862.263297,10563.037297,93.79711,,
