Date,Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2012,7312.0,7312.0,-1235.0,1235.0,6077.0,53.0,-5423.0,,,,5423.0,707.0,11.0,,68.0,,,,-79.0,718.0,-252.0,228.0,24.0,,466.0,0.0,0.0,0.0,466.0,0.0,466.0,0.0,0.0,466.0,523.95,57.95,284.891,1.64,1.64,1.839124,289.875,1.61,1.61,1.809914,
12/31/2012,7609.0,7609.0,-1377.0,1377.0,6232.0,0.0,-5570.0,,,154.0,5416.0,662.0,-43.0,,67.0,,,,-24.0,619.0,-212.0,,,,407.0,0.0,0.0,0.0,407.0,-1.0,406.0,0.0,0.0,406.0,483.75,77.75,288.71,1.41,1.41,1.675557,288.71,1.41,1.41,1.675557,
03/31/2013,8044.0,8044.0,-2200.0,2200.0,5844.0,0.0,-5909.0,,,,5909.0,-65.0,139.0,,67.0,,,,-206.0,74.0,-15.0,-101.0,116.0,,59.0,0.0,0.0,0.0,59.0,-2.0,57.0,0.0,0.0,57.0,483.0,426.0,283.804,0.2,0.2,1.701879,289.258,0.2,0.2,1.672734,
06/30/2013,7954.0,7954.0,-1359.0,1359.0,6595.0,0.0,-5854.0,,,,5854.0,741.0,26.0,,68.0,,,,-94.0,767.0,-261.0,181.0,80.0,,506.0,0.0,0.0,0.0,506.0,-1.0,505.0,0.0,0.0,505.0,512.15,7.15,282.043,1.79,1.79,1.815858,287.086,1.76,1.76,1.784905,
09/30/2013,8039.0,8039.0,-1421.0,1421.0,6618.0,0.0,-5846.0,,,,5846.0,772.0,27.0,,68.0,,,,-95.0,799.0,-246.0,205.0,41.0,,553.0,0.0,0.0,0.0,553.0,0.0,553.0,0.0,0.0,553.0,536.0,-17.0,278.054,1.99,1.99,1.927683,283.563,1.95,1.95,1.890049,
12/31/2013,8130.0,8130.0,-1521.0,1521.0,6609.0,0.0,-6027.0,,,95.0,5932.0,582.0,-46.0,,67.0,,,,-21.0,536.0,-176.0,216.0,-40.0,,360.0,0.0,0.0,0.0,360.0,1.0,361.0,0.0,0.0,361.0,387.35,26.35,278.96,1.29,1.29,1.38855,278.96,1.29,1.29,1.384458,
03/31/2014,8454.0,8454.0,-1580.0,1580.0,6874.0,0.0,-5996.0,,,98.0,5898.0,878.0,-25.0,,67.0,,,,-42.0,853.0,-324.0,310.0,14.0,,529.0,0.0,0.0,0.0,529.0,-1.0,528.0,0.0,0.0,528.0,501.0,-27.0,269.979,1.96,1.96,1.8557,274.467,1.92,1.92,1.821628,
06/30/2014,8668.0,8668.0,-1569.0,1569.0,7099.0,0.0,-6198.0,,,91.0,6107.0,901.0,0.0,,65.0,,,,-65.0,901.0,-329.0,329.0,,,572.0,0.0,0.0,0.0,572.0,1.0,573.0,0.0,0.0,573.0,530.75,-42.25,265.377,2.16,2.16,1.999985,269.921,2.12,2.12,1.963473,
09/30/2014,8734.0,8734.0,-1706.0,1706.0,7028.0,0.0,-6169.0,,,100.0,6069.0,859.0,-41.0,,64.0,,,,-23.0,818.0,-287.0,289.0,-2.0,,531.0,0.0,0.0,0.0,531.0,3.0,534.0,0.0,0.0,534.0,519.05,-14.95,261.402,2.04,2.04,1.985639,265.891,2.01,2.01,1.953774,
12/31/2014,8904.0,8904.0,-5983.0,5983.0,2921.0,0.0,-2075.0,,,208.0,1867.0,846.0,-114.0,,138.0,,,,-24.0,732.0,-270.0,304.0,-34.0,,462.0,0.0,0.0,0.0,462.0,5.0,467.0,0.0,0.0,467.0,446.0,-21.0,264.284,1.77,1.77,1.687579,264.284,1.77,1.77,1.687579,
03/31/2015,9394.0,9394.0,-6365.0,6365.0,3029.0,0.0,-2182.0,,,107.0,2075.0,847.0,7.0,,66.0,,,,-73.0,854.0,-323.0,308.0,15.0,,531.0,0.0,0.0,0.0,531.0,2.0,533.0,0.0,0.0,533.0,485.0,-48.0,256.707,2.08,2.08,1.889313,261.246,2.04,2.04,1.856265,
06/30/2015,9471.0,9471.0,-6305.0,6305.0,3166.0,0.0,-2189.0,,,112.0,2077.0,977.0,-41.0,,62.0,,,,-21.0,936.0,-352.0,375.0,-23.0,,584.0,0.0,0.0,0.0,584.0,4.0,588.0,0.0,0.0,588.0,640.0,52.0,255.73,2.3,2.3,2.50264,260.097,2.26,2.26,2.459925,
09/30/2015,9379.0,9379.0,-6301.0,6301.0,3078.0,0.0,-2148.0,,,110.0,2038.0,930.0,-52.0,,62.0,,,,-10.0,878.0,-334.0,282.0,52.0,,544.0,0.0,0.0,0.0,544.0,3.0,547.0,0.0,0.0,547.0,569.0,22.0,256.07,2.14,2.14,2.222049,260.519,2.1,2.1,2.184447,
12/31/2015,9575.0,9575.0,-6453.0,6453.0,3122.0,0.0,-2292.0,,,134.0,2158.0,830.0,-171.0,,124.0,,,,47.0,659.0,-241.0,264.0,-23.0,,418.0,0.0,0.0,0.0,418.0,8.0,426.0,0.0,0.0,426.0,482.0,56.0,256.626506,1.66,1.66,1.878216,260.518,1.64,1.64,1.854956,
03/31/2016,9916.0,9916.0,-6703.0,6703.0,3213.0,0.0,-2299.0,,,117.0,2182.0,914.0,-95.0,,63.0,,,,32.0,819.0,-305.0,294.0,11.0,,514.0,0.0,0.0,0.0,514.0,5.0,519.0,0.0,0.0,519.0,576.0,57.0,254.822,2.04,2.04,2.260401,259.447,2.0,2.0,2.219698,
06/30/2016,9893.0,9893.0,-6821.0,6821.0,3072.0,0.0,-2264.0,,,115.0,2149.0,808.0,5.0,,62.0,,,,-67.0,813.0,-310.0,338.0,-28.0,,503.0,0.0,0.0,0.0,503.0,7.0,510.0,0.0,0.0,510.0,492.0,-18.0,255.381,2.0,2.0,1.926533,259.5,1.97,1.97,1.900636,
09/30/2016,9805.0,9805.0,-6673.0,6673.0,3132.0,0.0,-2402.0,,,113.0,2289.0,730.0,12.0,,63.0,,,,-75.0,742.0,-290.0,210.0,80.0,,452.0,0.0,0.0,0.0,452.0,4.0,456.0,0.0,0.0,456.0,479.0,23.0,255.519,1.78,1.78,1.874616,259.754,1.76,1.76,1.848545,
12/31/2016,9885.0,9885.0,-6757.0,6757.0,3128.0,0.0,-2289.0,,,264.0,2025.0,839.0,-234.0,,126.0,,,,108.0,605.0,-231.0,220.0,11.0,,374.0,0.0,0.0,0.0,374.0,8.0,382.0,0.0,0.0,382.0,463.0,81.0,256.376,1.49,1.49,1.805941,259.882,1.47,1.47,1.78168,
03/31/2017,10428.0,10428.0,-6897.0,6897.0,3531.0,0.0,-2625.0,,,114.0,2511.0,906.0,-16.0,,62.0,,,,-46.0,890.0,-297.0,286.0,11.0,,593.0,0.0,0.0,0.0,593.0,5.0,598.0,0.0,0.0,598.0,699.0,101.0,255.68,2.34,2.34,2.733886,259.774,2.3,2.3,2.688799,
06/30/2017,10374.0,10374.0,-6851.0,6851.0,3523.0,0.0,-2380.0,,,,2380.0,1143.0,-9.0,,60.0,,,,-51.0,1134.0,-324.0,304.0,20.0,,810.0,0.0,0.0,0.0,810.0,3.0,813.0,0.0,0.0,813.0,826.0,13.0,254.087,3.2,3.2,3.250855,258.061,3.15,3.15,3.200376,
09/30/2017,10372.0,10372.0,-6799.0,6799.0,3573.0,0.0,-2805.0,,,,2805.0,768.0,56.0,,61.0,,,,-117.0,824.0,-262.0,231.0,31.0,,562.0,0.0,0.0,0.0,562.0,-2.0,560.0,0.0,0.0,560.0,700.0,140.0,249.242,2.25,2.25,2.808515,253.41,2.21,2.21,2.762464,
12/31/2017,10632.0,10632.0,-7172.0,7172.0,3460.0,0.0,-2663.0,2654.0,,,9.0,797.0,-39.0,62.0,62.0,0.0,,,-23.0,758.0,-491.0,,,,267.0,0.0,0.0,0.0,267.0,-1.0,266.0,0.0,0.0,266.0,471.0,205.0,249.181,1.07,1.07,1.890192,249.181,1.07,1.07,1.890192,
03/31/2018,11413.0,11413.0,-7333.0,7333.0,4080.0,0.0,-2772.0,2745.0,,,27.0,1308.0,-90.0,57.0,57.0,0.0,,,33.0,1218.0,-301.0,,,,917.0,0.0,0.0,0.0,917.0,-2.0,915.0,0.0,0.0,915.0,991.58,76.58,242.179,3.78,3.78,4.09441,245.788,3.72,3.72,4.031569,
06/30/2018,11480.0,11480.0,-7458.0,7458.0,4022.0,0.0,-2792.0,2837.0,,,-45.0,1230.0,-128.0,69.0,69.0,0.0,,,59.0,1102.0,-294.0,,,,808.0,0.0,0.0,0.0,808.0,-2.0,806.0,0.0,0.0,806.0,952.8,146.8,242.453,3.32,3.32,3.929834,245.339,3.29,3.29,3.888356,
09/30/2018,11457.0,11457.0,-7405.0,7405.0,4052.0,0.0,-2920.0,2872.0,,,48.0,1132.0,-99.0,99.0,99.0,0.0,,,0.0,1033.0,-259.0,,,,774.0,0.0,0.0,0.0,774.0,-2.0,772.0,0.0,0.0,772.0,909.0,137.0,242.577,3.18,3.18,3.747264,246.112,3.14,3.14,3.696657,
12/31/2018,14300.0,14300.0,-10125.0,10125.0,4175.0,0.0,-3800.0,3040.0,,,760.0,375.0,-147.0,102.0,102.0,0.0,,,45.0,228.0,-81.0,,,,147.0,0.0,0.0,0.0,147.0,-3.0,144.0,0.0,0.0,144.0,544.0,400.0,263.521,0.55,0.55,2.064352,263.521,0.55,0.55,2.064352,
03/31/2019,37946.0,37946.0,-31670.0,31670.0,6276.0,0.0,-4046.0,3303.0,,,743.0,2230.0,-442.0,452.0,452.0,0.0,,,-10.0,1788.0,-416.0,,,,1372.0,0.0,0.0,0.0,1372.0,-4.0,1368.0,0.0,0.0,1368.0,934.0,-434.0,379.387,3.61,3.61,2.461866,384.024,3.56,3.56,2.429862,
06/30/2019,38819.0,38819.0,-32539.0,32539.0,6280.0,0.0,-4117.0,3380.0,,,737.0,2163.0,-405.0,428.0,428.0,0.0,,,-23.0,1758.0,-348.0,,,,1410.0,0.0,0.0,0.0,1410.0,-2.0,1408.0,0.0,0.0,1408.0,1068.0,-340.0,377.962,3.73,3.73,2.825681,380.969,3.7,3.7,2.807539,
09/30/2019,38556.0,38556.0,-32286.0,32286.0,6270.0,0.0,-4147.0,3413.0,,,734.0,2123.0,-360.0,411.0,411.0,0.0,,,-51.0,1763.0,-409.0,,,,1354.0,0.0,0.0,0.0,1354.0,-3.0,1351.0,0.0,0.0,1351.0,1160.0,-191.0,374.842,3.6,3.6,3.094637,378.321,3.57,3.57,3.065138,
12/31/2019,38245.0,38245.0,-31992.0,31992.0,6253.0,0.0,-4692.0,3603.0,,,1089.0,1561.0,-300.0,391.0,391.0,0.0,,,-91.0,1261.0,-277.0,,,,984.0,0.0,0.0,0.0,984.0,-7.0,977.0,0.0,0.0,977.0,1067.58,90.58,376.045,2.6,2.6,2.838969,376.045,2.6,2.6,2.838969,
03/31/2020,38469.0,38469.0,-32512.0,32512.0,5957.0,0.0,-3896.0,3398.0,,,498.0,2061.0,-664.0,391.0,391.0,0.0,,,273.0,1397.0,-208.0,,,,1189.0,0.0,0.0,0.0,1189.0,-8.0,1181.0,0.0,0.0,1181.0,1449.0,268.0,370.44,3.19,3.19,3.911565,374.639,3.15,3.15,3.865355,
06/30/2020,39265.0,39265.0,-32723.0,32723.0,6542.0,0.0,-3903.0,3407.0,,,496.0,2639.0,-350.0,374.0,374.0,0.0,,,-24.0,2289.0,-529.0,,,,1760.0,0.0,0.0,0.0,1760.0,-6.0,1754.0,0.0,0.0,1754.0,1776.0,22.0,367.396,4.77,4.77,4.834021,370.697,4.73,4.73,4.789348,
09/30/2020,36633.267,,,,9872.29912383,,,,,,,1646.375,,,,,,,,1846.5,,,,,1110.109,,,,,,1110.109,,,1110.109,1568.294,,,3.325,3.325,4.232,,3.325,3.325,4.232,
12/31/2020,39232.846,,,,10583.45253696,,,,,,,1493.063,,,,,,,,1607.263,,,,,946.709,,,,,,946.709,,,946.709,1391.471,,,2.807,2.807,3.802,,2.807,2.807,3.802,
