Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Abnormal Losses/(Gains),Income Taxes from Sale of Assets,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Stock-Based Compensation,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
12/31/2012,1673.0,1015.0,0.0,0.0,0.0,658.0,-1565.0,917.0,34.0,272.0,,0.0,342.0,108.0,-81.0,101.0,,-20.0,27.0,-22.0,15.0,-10.0,-10.0,0.0,15.0,-6.0,15.0,,0.0,15.0,-15.0,-20.0,723.9,0.02,0.01,-0.020721,725.1,0.02,0.01,-0.020721,,220.0,,-1.0,60.0,7.0,,-2.0,,,,293.0,5.0,308.0,2.0,310.0,0.402194,0.404805,0.09,22.377273,22.232903,22.235836,
03/31/2013,1224.0,762.0,0.0,0.0,0.0,462.0,-1134.0,935.0,26.0,173.0,,0.0,0.0,90.0,-63.0,76.0,2.0,-15.0,27.0,7.0,60.0,-26.0,-26.0,0.0,60.0,-7.0,56.0,,0.0,56.0,18.0,-12.0,728.2,0.08,0.04,0.024718,738.6,0.08,0.04,0.023753,,176.0,,,,8.0,-19.0,,,,,218.0,-11.0,214.0,4.0,218.0,0.278755,0.283965,0.1,35.873832,35.215596,33.40367,
06/30/2013,1399.0,891.0,0.0,0.0,0.0,508.0,-1194.0,986.0,37.0,171.0,,0.0,0.0,205.0,-74.0,103.0,-6.0,-23.0,131.0,-15.0,121.0,-5.0,-5.0,0.0,121.0,-6.0,119.0,,0.0,119.0,93.0,-21.0,745.2,0.16,0.15,0.124799,745.9,0.16,0.15,0.121846,,174.0,,,,8.0,,,,,,297.0,45.0,348.0,8.0,356.0,0.448801,0.459118,0.11,24.50977,23.958989,27.6,
09/30/2013,1211.0,825.0,0.0,0.0,0.0,386.0,-1132.0,930.0,27.0,175.0,,0.0,0.0,79.0,-66.0,65.0,1.0,0.0,13.0,-11.0,18.0,-16.0,-16.0,0.0,18.0,-3.0,19.0,,0.0,19.0,6.0,3.0,749.0,0.03,0.01,0.008011,749.7,0.03,0.01,0.008011,,176.0,,,,8.0,-14.0,,,,,185.0,3.0,195.0,4.0,199.0,0.250257,0.25539,0.12,47.950769,46.986935,48.583784,
12/31/2013,1331.0,838.0,0.0,0.0,0.0,493.0,-1193.0,695.0,32.0,178.0,,0.0,288.0,138.0,-77.0,60.0,20.0,-3.0,61.0,-2.0,126.0,-67.0,-67.0,0.0,126.0,-8.0,123.0,,0.0,123.0,55.0,-1.0,754.7,0.16,0.07,0.072877,755.6,0.16,0.07,0.068677,,176.0,,,1.0,21.0,-65.0,,,,,251.0,0.0,258.0,,258.0,0.328453,0.328453,0.13,39.579457,39.579457,39.088048,
03/31/2014,1309.0,808.0,0.0,0.0,0.0,501.0,-1175.0,972.0,34.0,172.0,,0.0,-3.0,134.0,44.0,58.0,8.0,-110.0,178.0,7.0,185.0,0.0,0.0,0.0,185.0,-9.0,179.0,,0.0,179.0,176.0,-3.0,754.9,0.24,0.24,0.233143,785.1,0.24,0.24,0.233143,,171.0,,,,9.0,-109.0,,,,,247.0,3.0,257.0,4.0,261.0,0.327347,0.332442,0.14,42.768093,42.112644,42.787854,
06/30/2014,1431.0,921.0,0.0,0.0,0.0,510.0,-1206.0,1003.0,29.0,174.0,,0.0,0.0,225.0,-51.0,55.0,-4.0,0.0,174.0,-15.0,159.0,0.0,0.0,0.0,159.0,-8.0,155.0,,0.0,155.0,155.0,0.0,755.4,0.21,0.21,0.21,755.9,0.21,0.21,0.21,,173.0,,,,8.0,,,,,,332.0,2.0,341.0,6.0,347.0,0.433732,0.441364,0.15,34.583578,33.985591,34.129518,
09/30/2014,1294.0,884.0,0.0,0.0,0.0,410.0,-1092.0,959.0,-38.0,178.0,,0.0,-7.0,202.0,-51.0,51.0,1.0,-1.0,151.0,-6.0,145.0,0.0,0.0,0.0,145.0,-6.0,144.0,,0.0,144.0,136.0,-8.0,755.6,0.19,0.19,0.179989,756.4,0.19,0.19,0.179424,,172.0,,,6.0,7.0,-2.0,-1.0,,,,321.0,-58.0,270.0,5.0,275.0,0.343206,0.349561,0.2,58.274074,57.214545,47.077882,
12/31/2014,1320.0,839.0,0.0,0.0,0.0,481.0,-1171.0,976.0,18.0,177.0,,0.0,0.0,149.0,106.0,50.0,-30.0,-126.0,255.0,3.0,254.0,0.0,0.0,0.0,258.0,-3.0,254.0,,0.0,254.0,130.0,-124.0,755.7,0.34,0.34,0.172026,787.6,0.33,0.33,0.172026,,176.0,,,0.0,1.0,-122.0,0.0,,,,306.0,-1.0,312.0,7.0,319.0,0.39614,0.405028,0.26,65.633333,64.193103,64.209804,
03/31/2015,1302.0,818.0,0.0,0.0,0.0,484.0,-1169.0,972.0,24.0,173.0,,0.0,0.0,133.0,-43.0,49.0,-3.0,-3.0,90.0,9.0,98.0,0.0,0.0,0.0,99.0,-3.0,98.0,,0.0,98.0,94.0,-4.0,756.0,0.13,0.13,0.124339,756.3,0.13,0.13,0.124339,,172.0,,,,7.0,-3.0,,,,7.0,278.0,,278.0,,278.0,0.353061,0.353061,0.2,56.647482,56.647482,54.388489,
06/30/2015,1439.0,937.0,0.0,0.0,0.0,502.0,-1217.0,1016.0,23.0,178.0,,0.0,0.0,222.0,5.0,72.0,-24.0,-53.0,227.0,-13.0,214.0,0.0,0.0,0.0,214.0,-5.0,212.0,,0.0,212.0,159.0,-53.0,753.9,0.28,0.28,0.210903,785.5,0.28,0.28,0.210903,,177.0,,,,-6.0,-53.0,0.0,0.0,,,327.0,25.0,359.0,,359.0,0.457034,0.457034,0.2,43.760446,43.760446,46.110092,
09/30/2015,1283.0,870.0,0.0,0.0,0.0,413.0,-1150.0,956.0,21.0,177.0,,0.0,-4.0,133.0,-37.0,46.0,-5.0,-4.0,96.0,-9.0,85.0,0.0,0.0,0.0,87.0,-3.0,85.0,,0.0,85.0,76.0,-9.0,746.4,0.11,0.11,0.101822,746.8,0.11,0.11,0.097949,,176.0,,,0.0,10.0,-5.0,-4.0,,,,259.0,0.0,266.0,,266.0,0.341858,0.341858,0.2,58.503759,58.503759,57.637066,
12/31/2015,1326.0,840.0,0.0,0.0,,486.0,-1183.0,975.0,26.0,180.0,,0.0,2.0,143.0,18.0,60.0,-45.0,-33.0,161.0,4.0,176.0,0.0,0.0,0.0,165.0,-2.0,163.0,,0.0,163.0,132.0,-31.0,753.2,0.22,0.22,0.175252,761.9,0.22,0.22,0.175252,,179.0,,,0.0,-32.0,-32.0,2.0,,,,291.0,20.0,299.0,,299.0,0.39244,0.39244,0.2,50.963211,50.963211,51.766323,
03/31/2016,1339.0,843.0,0.0,0.0,,496.0,-1188.0,983.0,27.0,181.0,,0.0,-3.0,151.0,24.0,39.0,-2.0,-61.0,175.0,9.0,182.0,0.0,0.0,0.0,184.0,-3.0,182.0,,0.0,182.0,120.0,-62.0,749.6,0.24,0.24,0.160085,749.7,0.24,0.24,0.1573,,180.0,,,,8.0,-58.0,-1.0,,,,308.0,,308.0,,308.0,0.410831,0.410831,0.2,48.681818,48.681818,48.675325,
06/30/2016,1459.0,933.0,0.0,0.0,0.0,526.0,-1220.0,1015.0,27.0,178.0,,0.0,0.0,239.0,144.0,39.0,-9.0,-174.0,383.0,-32.0,347.0,0.0,0.0,0.0,351.0,-1.0,347.0,,0.0,347.0,175.0,-172.0,744.0,0.47,0.47,0.235215,744.3,0.47,0.47,0.235215,,177.0,,,,7.0,-172.0,,9.0,,,367.0,0.0,367.0,,367.0,0.493081,0.493081,0.2,40.561308,40.561308,40.544959,
09/30/2016,1295.0,879.0,0.0,0.0,,416.0,-1151.0,953.0,28.0,182.0,,0.0,-12.0,144.0,-17.0,38.0,-8.0,-13.0,127.0,-19.0,107.0,0.0,0.0,0.0,108.0,-3.0,107.0,,0.0,107.0,81.0,-26.0,740.6,0.14,0.14,0.109371,741.1,0.14,0.14,0.104917,,181.0,,,,5.0,-12.0,0.0,0.0,,0.0,278.0,0.0,278.0,,278.0,0.375118,0.375118,0.2,53.316547,53.316547,53.280576,
12/31/2016,1337.0,837.0,0.0,0.0,,500.0,-1187.0,980.0,24.0,183.0,,,0.0,150.0,-24.0,38.0,-2.0,-12.0,126.0,2.0,126.0,0.0,0.0,0.0,128.0,-4.0,126.0,,0.0,126.0,118.0,-8.0,737.9,0.17,0.17,0.159913,738.6,0.17,0.17,0.159169,,182.0,,,,8.0,-8.0,0.0,0.0,,,304.0,0.0,304.0,,304.0,0.411589,0.411589,0.25,60.740132,60.740132,60.682566,
03/31/2017,1348.0,843.0,0.0,0.0,,505.0,-1177.0,971.0,29.0,180.0,,,-3.0,171.0,-16.0,39.0,-7.0,-16.0,155.0,6.0,158.0,0.0,0.0,0.0,161.0,-2.0,158.0,,0.0,158.0,138.0,-20.0,738.0,0.21,0.21,0.186992,738.2,0.21,0.21,0.182907,,179.0,,,,6.0,-15.0,,,,,326.0,1.0,327.0,,327.0,0.442969,0.442969,0.2,45.149847,45.149847,45.276074,
06/30/2017,1441.0,940.0,0.0,0.0,,501.0,-1197.0,995.0,26.0,178.0,,0.0,-2.0,244.0,-5.0,43.0,-8.0,-30.0,239.0,-27.0,210.0,0.0,0.0,0.0,212.0,-3.0,210.0,,0.0,210.0,183.0,-27.0,738.6,0.28,0.28,0.247766,738.8,0.28,0.28,0.243454,,177.0,,,0.0,7.0,-28.0,,,,,363.0,1.0,365.0,,365.0,0.494044,0.494044,0.2,40.482192,40.482192,40.694215,
09/30/2017,1254.0,860.0,0.0,0.0,,394.0,-1127.0,928.0,24.0,176.0,,0.0,-1.0,127.0,20.0,43.0,-4.0,-59.0,147.0,-42.0,104.0,0.0,0.0,0.0,105.0,-2.0,104.0,,0.0,104.0,67.0,-37.0,738.8,0.14,0.14,0.090688,739.0,0.14,0.14,0.089932,,175.0,,,,7.0,-58.0,-1.0,22.0,,,247.0,0.0,247.0,,247.0,0.334235,0.334235,0.2,59.838057,59.838057,59.821862,
12/31/2017,1344.0,847.0,0.0,0.0,,497.0,-1210.0,982.0,19.0,217.0,,0.0,-8.0,134.0,-24.0,42.0,-11.0,-5.0,110.0,-17.0,92.0,0.0,0.0,0.0,93.0,-5.0,92.0,,0.0,92.0,87.0,5.0,739.0,0.12,0.12,0.117727,739.6,0.12,0.12,0.11324,,173.0,,,43.0,6.0,1.0,0.0,-4.0,,,306.0,6.0,311.0,,311.0,0.420043,0.420043,0.25,59.517685,59.517685,60.375817,
03/31/2018,1346.0,844.0,0.0,0.0,,502.0,-1175.0,969.0,28.0,178.0,,,0.0,171.0,89.0,44.0,-10.0,-123.0,260.0,-4.0,253.0,0.0,0.0,0.0,256.0,-1.0,253.0,,0.0,253.0,133.0,-120.0,739.2,0.34,0.34,0.179924,739.6,0.34,0.34,0.17775,,169.0,,,,6.0,-119.0,8.0,,,,316.0,0.0,316.0,,316.0,0.427258,0.427258,0.2,46.810127,46.810127,46.78481,
06/30/2018,1518.0,973.0,0.0,0.0,,545.0,-1255.0,1036.0,30.0,189.0,,0.0,0.0,263.0,-35.0,45.0,-9.0,-1.0,228.0,-17.0,209.0,0.0,0.0,0.0,211.0,-3.0,209.0,,0.0,209.0,89.0,-120.0,739.7,0.28,0.28,0.120319,740.2,0.28,0.28,0.117882,,175.0,,,13.0,8.0,0.0,0.0,,,,402.0,0.0,402.0,,402.0,0.543096,0.543096,0.2,36.825871,36.825871,36.800995,
09/30/2018,1299.0,874.0,0.0,0.0,,425.0,-1391.0,955.0,24.0,412.0,,0.0,0.0,-92.0,512.0,45.0,-6.0,-551.0,420.0,-42.0,322.0,0.0,0.0,0.0,378.0,54.0,322.0,,0.0,322.0,44.0,-278.0,739.9,0.43,0.43,0.059467,740.5,0.43,0.43,0.054578,,171.0,,,239.0,6.0,-546.0,0.0,29.0,,,275.0,0.0,275.0,,275.0,0.371371,0.371371,0.2,53.854545,53.854545,53.810909,
12/31/2018,1361.0,856.0,0.0,0.0,,505.0,-1173.0,993.0,22.0,165.0,,0.0,-7.0,188.0,205.0,42.0,-5.0,-242.0,393.0,-87.0,303.0,0.0,0.0,0.0,306.0,-2.0,303.0,,0.0,303.0,58.0,-245.0,740.3,0.41,0.41,0.078347,741.0,0.41,0.41,0.078347,,164.0,,,0.0,4.0,-238.0,0.0,84.0,,,315.0,0.0,315.0,,315.0,0.425101,0.425101,0.25,58.809524,58.809524,58.753968,
03/31/2019,1390.0,857.0,0.0,0.0,,533.0,-1174.0,975.0,29.0,170.0,,0.0,0.0,216.0,-25.0,43.0,-5.0,-13.0,191.0,-2.0,186.0,0.0,0.0,0.0,189.0,-1.0,186.0,,0.0,186.0,181.0,-5.0,740.6,0.25,0.25,0.244396,740.8,0.25,0.25,0.243251,,169.0,,,,4.0,-2.0,0.0,,,,356.0,,356.0,,356.0,0.480562,0.480562,0.2,41.617978,41.617978,41.606742,
06/30/2019,1483.0,931.0,0.0,0.0,,552.0,-1203.0,1012.0,25.0,166.0,,0.0,0.0,280.0,26.0,43.0,-4.0,-65.0,306.0,-16.0,286.0,0.0,0.0,0.0,290.0,-1.0,286.0,,0.0,286.0,229.0,-57.0,739.1,0.39,0.39,0.309836,739.4,0.39,0.39,0.309836,,165.0,,,0.0,0.0,-57.0,,,,,393.0,0.0,393.0,,393.0,0.531512,0.531512,0.2,37.628499,37.628499,37.613232,
09/30/2019,1262.0,830.0,0.0,0.0,,432.0,-1125.0,938.0,26.0,165.0,,0.0,-4.0,137.0,239.0,46.0,-4.0,-281.0,376.0,-4.0,368.0,0.0,0.0,0.0,372.0,1.0,368.0,,0.0,368.0,94.0,-274.0,725.5,0.51,0.51,0.129566,725.8,0.51,0.51,0.129566,,159.0,,,6.0,-1.0,-273.0,-4.0,-3.0,,,253.0,4.0,257.0,,257.0,0.354092,0.354092,0.2,56.48249,56.48249,57.351779,
12/31/2019,1334.0,813.0,0.0,0.0,,521.0,-1168.0,967.0,27.0,175.0,,0.0,-1.0,166.0,-77.0,90.0,-1.0,-12.0,89.0,-8.0,80.0,0.0,0.0,0.0,81.0,-2.0,80.0,,0.0,80.0,85.0,5.0,716.3,0.11,0.11,0.118665,717.1,0.11,0.11,0.116973,,164.0,,,0.0,3.0,-2.0,0.0,-3.0,,,240.0,52.0,292.0,,292.0,0.407196,0.407196,0.25,61.395548,61.395548,74.614583,
03/31/2020,1052.0,626.0,0.0,0.0,,426.0,-1063.0,874.0,25.0,164.0,,0.0,0.0,-11.0,-29.0,37.0,-4.0,-4.0,-40.0,37.0,-3.0,0.0,0.0,0.0,-3.0,-2.0,-3.0,,0.0,-3.0,-2.0,1.0,708.1,0.0,0.0,-0.002824,708.1,0.0,0.0,-0.002824,,164.0,,,,0.0,1.0,0.0,,,,160.0,0.0,160.0,,160.0,0.225829,0.225829,0.2,88.5625,88.5625,88.5125,
06/30/2020,103.0,61.0,0.0,0.0,,42.0,-456.0,263.0,25.0,168.0,,0.0,0.0,-353.0,-49.0,40.0,25.0,-16.0,-402.0,46.0,-352.0,0.0,0.0,0.0,-356.0,-2.0,-352.0,,0.0,-352.0,-352.0,0.0,705.1,-0.5,-0.5,-0.5,705.1,-0.5,-0.5,-0.5,,166.0,,,,5.0,-1.0,,,,,-184.0,1.0,-183.0,,-183.0,-0.259538,-0.259538,0.2,,,,
09/30/2020,287.846,,,,,,,,,,,,,-251.667,,,,,-299.0,,,,,,,,-280.714,,,-280.714,-245.087,,,-0.384,-0.384,-0.41,,-0.384,-0.384,-0.41,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,452.769,,,,,,,,,,,,,-217.0,,,,,-234.375,,,,,,,,-248.143,,,-248.143,-220.287,,,-0.334,-0.334,-0.333,,-0.334,-0.334,-0.333,,,,,,,,,,,,,,,,,,,,,,,
