Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2014,1761.0,1194.0,503.0,704.0,61.0,-11.0,,53.0,19.0,-701.0,-443.0,-258.0,,-7253.0,-121.0,0.0,-121.0,-666.0,2529.0,0.0,2529.0,0.0,-3195.0,0.0,-3195.0,0.0,-6466.0,-6466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6042.0,-183.0,8523.0,0.0,0.0,8523.0,,-375.0,566.0,-941.0,-2436.0,513.0,0.0,550.0,903.0,347.0,
09/30/2014,2781.0,1081.0,515.0,993.0,87.0,-12.0,,30.0,69.0,105.0,287.0,-182.0,,-4220.0,-155.0,0.0,-155.0,-162.0,6009.0,0.0,6009.0,0.0,-6171.0,0.0,-6171.0,0.0,-3903.0,-3903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-189.0,3238.0,0.0,0.0,3531.0,-293.0,-522.0,41.0,-563.0,-1628.0,-44.0,0.0,-584.0,225.0,450.0,
12/31/2014,1603.0,999.0,470.0,1109.0,-195.0,-7.0,,38.0,-226.0,-780.0,-70.0,-710.0,,-7904.0,-97.0,0.0,-97.0,-87.0,3312.0,1471.0,1841.0,0.0,-3399.0,0.0,-3399.0,0.0,-7833.0,-7833.0,0.0,0.0,-24.0,0.0,-24.0,0.0,137.0,7395.0,-187.0,6062.0,0.0,0.0,10165.0,-4103.0,67.0,569.0,-502.0,1282.0,171.0,0.0,1094.0,494.0,321.0,
03/31/2015,1993.0,1153.0,483.0,935.0,-17.0,-21.0,,50.0,-46.0,-561.0,-682.0,121.0,,3071.0,-153.0,0.0,-153.0,-390.0,3686.0,453.0,3233.0,0.0,-4076.0,-1193.0,-2883.0,0.0,3546.0,3546.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,-3415.0,-199.0,-7586.0,0.0,0.0,4235.0,-11821.0,-520.0,43.0,-563.0,4890.0,0.0,0.0,1649.0,-87.0,457.0,
06/30/2015,2355.0,863.0,529.0,1129.0,188.0,3.0,,74.0,111.0,-354.0,460.0,-814.0,,-7542.0,-76.0,0.0,-76.0,-535.0,3657.0,614.0,3043.0,0.0,-4192.0,-1040.0,-3152.0,0.0,-6546.0,-6546.0,0.0,0.0,0.0,0.0,0.0,0.0,-385.0,3452.0,-247.0,4920.0,-15192.0,0.0,20112.0,,441.0,1066.0,-625.0,-1662.0,0.0,0.0,-1735.0,802.0,396.0,
09/30/2015,4657.0,1114.0,546.0,1092.0,-166.0,-34.0,,-3.0,-129.0,2071.0,412.0,1659.0,,-5089.0,-182.0,0.0,-182.0,-273.0,3592.0,590.0,3002.0,0.0,-3865.0,-632.0,-3233.0,0.0,-4522.0,-4522.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,113.0,-246.0,-3664.0,-843.0,0.0,0.0,-2821.0,-97.0,530.0,-627.0,4120.0,0.0,0.0,-319.0,402.0,468.0,
12/31/2015,1122.0,920.0,542.0,1380.0,-364.0,-2.0,,40.0,-402.0,-1341.0,-327.0,-1014.0,,-20166.0,-121.0,0.0,-121.0,-995.0,3349.0,506.0,2843.0,0.0,-4344.0,-1412.0,-2932.0,0.0,-9555.0,-9555.0,0.0,0.0,-9314.0,0.0,-9314.0,0.0,-181.0,21013.0,-282.0,16725.0,-31.0,0.0,18217.0,-1461.0,-597.0,29.0,-626.0,4815.0,352.0,0.0,1969.0,615.0,322.0,
03/31/2016,4102.0,1013.0,591.0,1527.0,-132.0,-37.0,-139.0,44.0,0.0,1090.0,-38.0,1128.0,,-728.0,-134.0,0.0,-134.0,-1228.0,4281.0,456.0,3825.0,0.0,-5509.0,-917.0,-4592.0,0.0,655.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-6219.0,-248.0,-9089.0,-64.0,0.0,6350.0,-15375.0,-937.0,33.0,-970.0,4055.0,0.0,0.0,-2845.0,55.0,543.0,
06/30/2016,6568.0,1955.0,1207.0,3119.0,-346.0,-49.0,-377.0,90.0,-10.0,619.0,-131.0,750.0,,-8918.0,-324.0,0.0,-324.0,-954.0,7545.0,1109.0,6436.0,0.0,-8499.0,-1612.0,-6887.0,0.0,-7514.0,-7514.0,0.0,0.0,0.0,0.0,0.0,0.0,-126.0,724.0,-518.0,-557.0,18.0,0.0,16870.0,-17445.0,-1532.0,67.0,-1599.0,3331.0,0.0,0.0,-1626.0,1072.0,937.0,
09/30/2016,3293.0,1005.0,612.0,1588.0,-205.0,-21.0,-244.0,60.0,0.0,281.0,-103.0,384.0,0.0,-6259.0,-184.0,0.0,-184.0,-1501.0,3630.0,765.0,2865.0,0.0,-5131.0,-669.0,-4462.0,0.0,-4431.0,-4431.0,0.0,0.0,11.0,0.0,11.0,0.0,-154.0,4933.0,-239.0,830.0,79.0,0.0,8497.0,-7746.0,-576.0,618.0,-1194.0,4918.0,0.0,0.0,1967.0,479.0,581.0,
12/31/2016,1995.0,791.0,609.0,1752.0,24.0,1.0,-65.0,89.0,-1.0,-1180.0,-21.0,-1159.0,,-10453.0,-271.0,0.0,-271.0,-792.0,3519.0,807.0,2712.0,0.0,-4311.0,-1506.0,-2805.0,0.0,-8598.0,-8598.0,0.0,0.0,-640.0,0.0,-640.0,0.0,-152.0,11570.0,-269.0,1271.0,-97.0,0.0,3887.0,-2519.0,-214.0,654.0,-868.0,10782.0,0.0,0.0,3112.0,570.0,732.0,
03/31/2017,3163.0,810.0,566.0,1992.0,-81.0,-10.0,-137.0,77.0,-11.0,-124.0,319.0,-443.0,,2078.0,-222.0,0.0,-222.0,-987.0,5306.0,586.0,4720.0,0.0,-6293.0,-1047.0,-5246.0,0.0,3391.0,3391.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.0,-7933.0,-248.0,-11980.0,54.0,0.0,6976.0,-19010.0,-112.0,106.0,-218.0,4407.0,0.0,0.0,-2692.0,34.0,702.0,
06/30/2017,3860.0,1036.0,565.0,1800.0,-58.0,-5.0,-98.0,34.0,11.0,517.0,-30.0,547.0,,-6373.0,-261.0,0.0,-261.0,-475.0,2604.0,597.0,2007.0,0.0,-3079.0,-1846.0,-1233.0,0.0,-5445.0,-5445.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.0,-273.0,-275.0,1392.0,-75.0,0.0,7880.0,-6413.0,53.0,54.0,-1.0,-1443.0,0.0,0.0,-2786.0,433.0,567.0,
09/30/2017,3068.0,1107.0,588.0,1833.0,-128.0,-91.0,-86.0,53.0,-4.0,-273.0,-678.0,405.0,,-7450.0,-293.0,0.0,-293.0,346.0,5270.0,711.0,4559.0,0.0,-4924.0,-1838.0,-3086.0,0.0,-4167.0,-4167.0,0.0,0.0,-3220.0,0.0,-3220.0,0.0,-116.0,6155.0,-247.0,7049.0,-189.0,0.0,15919.0,-8681.0,49.0,66.0,-17.0,-696.0,0.0,0.0,1773.0,312.0,811.0,
12/31/2017,4091.0,-971.0,721.0,1926.0,1800.0,-31.0,1755.0,80.0,-4.0,917.0,1055.0,-138.0,,-3796.0,-242.0,0.0,-242.0,807.0,4808.0,700.0,4108.0,0.0,-4001.0,-1154.0,-2847.0,0.0,-4143.0,-4143.0,0.0,0.0,33.0,0.0,33.0,0.0,-251.0,5269.0,-275.0,761.0,-190.0,0.0,10634.0,-9683.0,58.0,62.0,-4.0,4725.0,0.0,0.0,5564.0,408.0,692.0,
03/31/2018,1607.0,1346.0,550.0,1674.0,72.0,-35.0,40.0,67.0,0.0,-2035.0,-643.0,-1392.0,,682.0,-205.0,0.0,-205.0,-3659.0,3418.0,541.0,2877.0,0.0,-7077.0,-3239.0,-3838.0,0.0,4647.0,4647.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.0,-2324.0,-249.0,-9155.0,67.0,0.0,3234.0,-12456.0,-210.0,63.0,-273.0,7290.0,0.0,0.0,-35.0,53.0,936.0,
06/30/2018,4080.0,1906.0,582.0,1276.0,-309.0,-405.0,55.0,41.0,0.0,625.0,379.0,246.0,,-4297.0,-224.0,0.0,-224.0,-14367.0,2602.0,658.0,1944.0,0.0,-16969.0,-11347.0,-5622.0,0.0,10557.0,10557.0,0.0,0.0,0.0,0.0,0.0,0.0,-263.0,-804.0,-276.0,2826.0,-163.0,0.0,2990.0,-1.0,-755.0,47.0,-802.0,-2599.0,0.0,0.0,-1021.0,118.0,860.0,
09/30/2018,3351.0,1502.0,589.0,1268.0,138.0,90.0,54.0,45.0,-51.0,-146.0,-314.0,168.0,,-2256.0,-240.0,0.0,-240.0,1707.0,5170.0,640.0,4530.0,0.0,-3463.0,-1787.0,-1676.0,0.0,-3631.0,-3631.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,-2763.0,-244.0,-989.0,1010.0,0.0,750.0,-2749.0,-506.0,65.0,-571.0,-1024.0,0.0,0.0,-1668.0,204.0,1085.0,
12/31/2018,3940.0,1261.0,675.0,1638.0,519.0,11.0,565.0,17.0,-74.0,-147.0,-19.0,-128.0,,-9747.0,-205.0,0.0,-205.0,-541.0,5138.0,580.0,4558.0,0.0,-5679.0,-2793.0,-2886.0,0.0,-8055.0,-8055.0,0.0,0.0,-600.0,0.0,-600.0,0.0,-346.0,7668.0,-269.0,6127.0,-914.0,0.0,8671.0,-1630.0,-600.0,38.0,-638.0,2410.0,0.0,0.0,1861.0,32.0,1052.0,
03/31/2019,4881.0,1412.0,704.0,1693.0,103.0,-30.0,61.0,72.0,0.0,969.0,590.0,379.0,,5013.0,-183.0,0.0,-183.0,1975.0,5219.0,619.0,4600.0,0.0,-3244.0,-365.0,-2879.0,0.0,3643.0,3643.0,0.0,0.0,0.0,0.0,0.0,0.0,-422.0,-3945.0,-243.0,-8932.0,-9082.0,0.0,2739.0,-2589.0,-13.0,52.0,-65.0,5243.0,0.0,0.0,5949.0,70.0,1248.0,
06/30/2019,4226.0,1625.0,881.0,1342.0,-96.0,-66.0,-76.0,57.0,-11.0,463.0,-1092.0,1555.0,,-5138.0,-213.0,0.0,-213.0,957.0,3783.0,1038.0,2745.0,0.0,-2826.0,-31.0,-2795.0,0.0,-5715.0,-5715.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-2705.0,-268.0,-1751.0,13.0,0.0,2524.0,-4288.0,44.0,46.0,-2.0,-730.0,0.0,0.0,-3617.0,111.0,1163.0,
09/30/2019,3412.0,1333.0,849.0,1383.0,-16.0,-1.0,-57.0,46.0,-4.0,-141.0,564.0,-705.0,,-5761.0,-235.0,0.0,-235.0,1287.0,4532.0,1552.0,2980.0,0.0,-3245.0,0.0,-3245.0,0.0,-6536.0,-6536.0,0.0,0.0,-85.0,0.0,-85.0,0.0,-192.0,4065.0,-243.0,700.0,105.0,0.0,5535.0,-4940.0,1049.0,1518.0,-469.0,2559.0,0.0,0.0,1716.0,183.0,1278.0,
12/31/2019,4120.0,1176.0,905.0,1818.0,-124.0,21.0,-224.0,64.0,15.0,353.0,808.0,-455.0,,-17112.0,-256.0,0.0,-256.0,1663.0,4849.0,1841.0,3008.0,0.0,-3186.0,0.0,-3186.0,0.0,-10115.0,-10115.0,0.0,0.0,-8308.0,0.0,-8308.0,0.0,-96.0,9204.0,-281.0,4797.0,8964.0,0.0,0.0,-4167.0,-883.0,62.0,-945.0,5571.0,0.0,0.0,-3788.0,262.0,1101.0,
03/31/2020,5409.0,-1340.0,893.0,5423.0,-727.0,-4.0,-748.0,24.0,1.0,1160.0,-751.0,1911.0,,1041.0,-154.0,0.0,-154.0,39.0,3966.0,0.0,3966.0,0.0,-3927.0,0.0,-3927.0,0.0,1352.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.0,5101.0,-240.0,-2267.0,-927.0,0.0,3243.0,-4583.0,906.0,1292.0,-386.0,6702.0,0.0,0.0,11551.0,64.0,1157.0,
06/30/2020,3806.0,-918.0,911.0,4246.0,-789.0,-7.0,-826.0,50.0,-6.0,357.0,406.0,-49.0,,4018.0,-188.0,0.0,-188.0,-5350.0,5291.0,0.0,5291.0,0.0,-10641.0,0.0,-10641.0,0.0,9737.0,9737.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.0,23434.0,-273.0,-10881.0,-5832.0,0.0,1992.0,-7041.0,56.0,58.0,-2.0,34532.0,0.0,0.0,31258.0,73.0,931.0,
