company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q1,2010-01-01,2010-03-31,2011-04-29 10:39:02+00:00,,0.28,0.28,,0.28,16924000.0,21310000.0,52440000.0,30009000.0,22431000.0,51356000.0,1084000.0,38814000.0,161582000.0,,4828000.0,12277000.0,234000.0,34844000.0,38814000.0,122768000.0,11998000.0,68665000.0,54103000.0,-7170000.0,46933000.0,161582000.0,183400000.0,183174000.0,184259000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 16:13:17+00:00,,0.87,0.87,,0.86,55031000.0,97432000.0,142891000.0,138556000.0,4335000.0,142891000.0,,165246000.0,771978000.0,,11530000.0,53277000.0,15512000.0,111122000.0,165246000.0,606732000.0,147332000.0,277343000.0,329389000.0,-135802000.0,193587000.0,771978000.0,164200000.0,165408000.0,166887000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q4,2011-10-01,2011-12-31,,,0.33,0.33,,0.32,31997000.0,27772000.0,53814000.0,45329000.0,8485000.0,53814000.0,,42016000.0,203646000.0,,-3688000.0,13121000.0,3352000.0,24512000.0,42016000.0,161630000.0,11859000.0,68757000.0,92873000.0,-15547000.0,77326000.0,203646000.0,164200000.0,165408000.0,166887000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q3TTM,2010-10-01,2011-09-30,,,0.23,0.23,3.0,0.23,8044000.0,90189000.0,48572000.0,61560000.0,-12988000.0,48572000.0,,161495000.0,747161000.0,,22638000.0,53337000.0,14979000.0,123159000.0,161495000.0,585666000.0,257036000.0,281664000.0,304002000.0,-234398000.0,69604000.0,747161000.0,163700000.0,163046000.0,163902000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q3YTD,2011-01-01,2011-09-30,,,0.54,0.54,,0.54,23034000.0,69660000.0,89077000.0,93227000.0,-4150000.0,89077000.0,,123230000.0,568332000.0,,15218000.0,40156000.0,12160000.0,86610000.0,123230000.0,445102000.0,135473000.0,208586000.0,236516000.0,-120255000.0,116261000.0,568332000.0,163700000.0,163046000.0,163902000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q3,2011-07-01,2011-09-30,2012-10-25 16:44:30+00:00,,0.36,0.36,,0.36,22126000.0,25090000.0,58916000.0,58615000.0,301000.0,58916000.0,,41694000.0,196965000.0,,3591000.0,13488000.0,2971000.0,24775000.0,41694000.0,155271000.0,11797000.0,66324000.0,88947000.0,-8206000.0,80741000.0,196965000.0,163700000.0,163046000.0,163902000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q2TTM,2010-07-01,2011-06-30,,,4.39,4.39,3.0,4.35,-6815000.0,83511000.0,775201000.0,48050000.0,727151000.0,774559000.0,642000.0,159552000.0,722482000.0,,23687000.0,54317000.0,18277000.0,131898000.0,159552000.0,562930000.0,257379000.0,288003000.0,274927000.0,-233692000.0,41235000.0,722482000.0,176800000.0,167471000.0,167471000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q2YTD,2011-01-01,2011-06-30,,,0.18,0.18,,0.18,908000.0,44570000.0,30161000.0,34612000.0,-4451000.0,30161000.0,,81536000.0,371367000.0,,11627000.0,26668000.0,9189000.0,61835000.0,81536000.0,289831000.0,123676000.0,142262000.0,147569000.0,-112049000.0,35520000.0,371367000.0,176800000.0,167471000.0,167471000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q2,2011-04-01,2011-06-30,2012-07-27 13:54:42+00:00,,-0.06,-0.06,,-0.06,-15967000.0,22179000.0,-10610000.0,-7681000.0,-2929000.0,-10610000.0,,40667000.0,189844000.0,,6149000.0,13074000.0,3659000.0,28206000.0,40667000.0,149177000.0,111856000.0,67118000.0,82059000.0,-105707000.0,-23648000.0,189844000.0,176800000.0,167471000.0,167471000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q1TTM,2010-04-01,2011-03-31,,,4.64,4.64,3.0,4.6,25273000.0,84471000.0,822185000.0,82316000.0,739869000.0,820382000.0,1803000.0,158731000.0,700519000.0,,21388000.0,54981000.0,22157000.0,136489000.0,158731000.0,541788000.0,157489000.0,298098000.0,243690000.0,-136101000.0,107589000.0,700519000.0,169900000.0,170193000.0,171979000.0
