company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q3,2012-07-01,2012-09-30,,,1082000.0,-39109000.0,65998000.0,15247000.0,13093000.0,150971000.0,450000000.0,443146000.0,-289981000.0,152705000.0,443146000.0,-289981000.0,152705000.0,305870000.0,86748000.0,86748000.0,-14216000.0,-61640000.0,14419000.0,-93551000.0,-304034000.0,-6843000.0,-2634000.0,,,-8770000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-05 17:01:36+00:00,,4122000.0,-101121000.0,194329000.0,16944000.0,-17778000.0,326653000.0,450000000.0,154839000.0,-482732000.0,375173000.0,154839000.0,-482732000.0,375173000.0,47280000.0,301178000.0,301178000.0,-106678000.0,-65271000.0,14419000.0,-270888000.0,-682871000.0,-13449000.0,-285655000.0,,,182225000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q2TTM,2011-07-01,2012-06-30,,,5389000.0,-142595000.0,254381000.0,4889000.0,-41027000.0,961383000.0,,-32901000.0,-342864000.0,445943000.0,-32901000.0,-342864000.0,445943000.0,70178000.0,582072000.0,582072000.0,-354872000.0,-11967000.0,2342000.0,-341193000.0,-785797000.0,-40692000.0,-641124000.0,,,476394000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q2,2012-04-01,2012-06-30,,,1565000.0,-19328000.0,65019000.0,-34000.0,-11998000.0,166726000.0,,19304000.0,-26411000.0,117128000.0,19304000.0,-26411000.0,117128000.0,110021000.0,156821000.0,156821000.0,-94279000.0,-3435000.0,,-92404000.0,-206498000.0,-3860000.0,-51583000.0,,,183981000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-02 14:03:36+00:00,,3040000.0,-62012000.0,128331000.0,1697000.0,-30871000.0,175682000.0,,-288307000.0,-192751000.0,222468000.0,-288307000.0,-192751000.0,222468000.0,-258590000.0,214430000.0,214430000.0,-92462000.0,-3631000.0,,-177337000.0,-378837000.0,-6606000.0,-283021000.0,,,190995000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q1TTM,2011-04-01,2012-03-31,,7572000.0,5491000.0,-152120000.0,252282000.0,15840000.0,396000.0,908634000.0,,-18220000.0,-484798000.0,461479000.0,-18220000.0,-484798000.0,461479000.0,-41539000.0,468442000.0,468442000.0,-265132000.0,-8849000.0,2342000.0,-326620000.0,-784946000.0,-41623000.0,-591385000.0,,,316017000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q1,2012-01-01,2012-03-31,2013-05-10 13:07:53+00:00,,1475000.0,-42684000.0,63312000.0,1731000.0,-18873000.0,8956000.0,,-307611000.0,-166340000.0,105340000.0,-307611000.0,-166340000.0,105340000.0,-368611000.0,57609000.0,57609000.0,1817000.0,-196000.0,,-84933000.0,-172339000.0,-2746000.0,-231438000.0,,,7014000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,FY,2013-01-01,2013-12-31,2016-02-25 17:48:46+00:00,,-22947000.0,179325000.0,573715000.0,,-23335000.0,4703000.0,834928000.0,-1995404000.0,-1181174000.0,724315000.0,-1995404000.0,-1181174000.0,724315000.0,-2452263000.0,352771000.0,352771000.0,-155889000.0,-63382000.0,34779000.0,-526082000.0,-2154175000.0,-24415000.0,-2210347000.0,,-35224000.0,962637000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q4,2013-10-01,2013-12-31,,,-7116000.0,316406000.0,105151000.0,,40924000.0,1829000.0,363718000.0,-99784000.0,13837000.0,254392000.0,-99784000.0,13837000.0,254392000.0,168445000.0,252090000.0,252090000.0,-136657000.0,-4086000.0,3655000.0,-138400000.0,-489399000.0,-13888000.0,-320948000.0,,-1897000.0,513469000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q3TTM,2012-10-01,2013-09-30,,,-13526000.0,-155228000.0,534329000.0,-120000.0,-36683000.0,2106411000.0,721210000.0,148873000.0,-1335665000.0,635569000.0,148873000.0,-1335665000.0,635569000.0,-551223000.0,223065000.0,223065000.0,-71616000.0,-68268000.0,33537000.0,-482395000.0,-1916213000.0,-20530000.0,-2094758000.0,,-33327000.0,567661000.0
