company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,grossppe,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2015.0,Q3,,2015-09-30,2015-10-29 10:33:41+00:00,267900000.0,735600000.0,2860300000.0,8500000.0,240400000.0,0.0,5549000000.0,276100000.0,16389200000.0,5903300000.0,,13528900000.0,10700000.0,208000000.0,586600000.0,535200000.0,,223200000.0,504600000.0,3492600000.0,0.0,850000000.0,16440800000.0,8986700000.0,2412600000.0,803100000.0,9011100000.0,9021800000.0,7419000000.0,16440800000.0,499300000.0,6615900000.0,-63400000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2015.0,Q2,,2015-06-30,2015-07-30 09:32:16+00:00,318900000.0,714400000.0,2716900000.0,14600000.0,648300000.0,0.0,5538700000.0,276100000.0,15886800000.0,5911300000.0,,13169900000.0,11300000.0,210000000.0,627900000.0,595000000.0,,251500000.0,526600000.0,3236000000.0,14400000.0,650000000.0,16338100000.0,8726200000.0,2640600000.0,928300000.0,8750600000.0,8761900000.0,7576200000.0,16338100000.0,527600000.0,6647900000.0,-63100000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2015.0,Q1,,2015-03-31,2015-04-30 12:00:25+00:00,296500000.0,795400000.0,2577700000.0,2100000.0,887800000.0,0.0,5526900000.0,276100000.0,15303000000.0,5919300000.0,,12725300000.0,10600000.0,182100000.0,625300000.0,625600000.0,,291000000.0,596100000.0,3011000000.0,211500000.0,745300000.0,16346200000.0,8480300000.0,3053800000.0,1133600000.0,8504500000.0,8515100000.0,7831100000.0,16346200000.0,567100000.0,6697500000.0,-59700000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2016.0,FY,,2016-12-31,2018-02-27 10:15:15+00:00,145900000.0,361000000.0,2073200000.0,19000000.0,1159700000.0,0.0,6402200000.0,,12992500000.0,4942600000.0,,10919300000.0,4400000.0,,316000000.0,376600000.0,,175900000.0,322500000.0,1864100000.0,331900000.0,1442600000.0,14374500000.0,8219500000.0,3279300000.0,854400000.0,8250600000.0,8255000000.0,6119500000.0,14374500000.0,175900000.0,5265100000.0,-65800000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2016.0,Q3,,2016-09-30,2016-10-27 10:03:30+00:00,156500000.0,352100000.0,1964200000.0,21500000.0,465400000.0,0.0,6157600000.0,,12923900000.0,4677000000.0,,10959700000.0,8300000.0,,346200000.0,408100000.0,,176900000.0,354100000.0,1828200000.0,25600000.0,1302000000.0,13602300000.0,7941700000.0,2465700000.0,590200000.0,7972700000.0,7981000000.0,5621300000.0,13602300000.0,176900000.0,5031100000.0,-65600000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2016.0,Q2,,2016-06-30,2016-07-28 10:06:14+00:00,152300000.0,408000000.0,1856000000.0,19800000.0,790300000.0,0.0,6148900000.0,,12877200000.0,4905600000.0,,11021200000.0,7000000.0,8700000.0,346400000.0,458500000.0,,189100000.0,361700000.0,1746000000.0,,1010000000.0,13765000000.0,7848900000.0,2554700000.0,610800000.0,7879900000.0,7886900000.0,5886800000.0,13765000000.0,189100000.0,5276000000.0,-65800000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2016.0,Q1,,2016-03-31,2016-04-28 10:06:17+00:00,213000000.0,574000000.0,1744100000.0,21800000.0,1084000000.0,0.0,5560300000.0,,12841200000.0,4991000000.0,,11097100000.0,5700000.0,,369800000.0,424400000.0,,190100000.0,405200000.0,1158500000.0,870000000.0,295000000.0,13610000000.0,6676300000.0,2322800000.0,1507400000.0,6700700000.0,6706400000.0,6903600000.0,13610000000.0,190100000.0,5396200000.0,-64300000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2017.0,FY,,2017-12-31,2019-02-28 09:17:01+00:00,432600000.0,345400000.0,2458400000.0,28600000.0,445400000.0,0.0,7195000000.0,,15332100000.0,4750700000.0,,12873700000.0,-2100000.0,,381200000.0,325900000.0,44800000.0,140200000.0,386700000.0,1532700000.0,,440000000.0,14625900000.0,8732100000.0,1612000000.0,758500000.0,8732100000.0,8730000000.0,5895900000.0,14625900000.0,140200000.0,5137400000.0,-69000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2017.0,Q3,,2017-09-30,2017-10-26 10:04:11+00:00,187900000.0,349000000.0,2396200000.0,28600000.0,724400000.0,0.0,6429800000.0,,13492600000.0,4747700000.0,,11096400000.0,2100000.0,,318300000.0,300800000.0,,125000000.0,279200000.0,1744200000.0,0.0,1069800000.0,13682900000.0,8133600000.0,2461500000.0,488700000.0,8165200000.0,8167300000.0,5515600000.0,13682900000.0,125000000.0,5026900000.0,-69000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2017.0,Q2,,2017-06-30,2017-07-27 10:03:51+00:00,188000000.0,366400000.0,2287800000.0,26900000.0,169600000.0,0.0,6422200000.0,,13346800000.0,4744700000.0,,11059000000.0,5700000.0,,315400000.0,315000000.0,,133100000.0,285900000.0,1772800000.0,0.0,1680400000.0,13723900000.0,8153500000.0,2531800000.0,503000000.0,8184600000.0,8190300000.0,5533600000.0,13723900000.0,133100000.0,5030600000.0,-68400000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2017.0,Q1,,2017-03-31,2017-04-27 10:02:21+00:00,165300000.0,324100000.0,2181000000.0,23500000.0,271700000.0,0.0,6412400000.0,,13301700000.0,4905900000.0,,11120700000.0,4600000.0,,312200000.0,343200000.0,,138000000.0,294500000.0,1821400000.0,37600000.0,1805600000.0,13972300000.0,8190100000.0,2713600000.0,546100000.0,8221200000.0,8225800000.0,5746500000.0,13972300000.0,138000000.0,5200400000.0,-67200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2018.0,Q3,,2018-09-30,2018-10-30 09:03:20+00:00,225800000.0,348500000.0,2812800000.0,19200000.0,196000000.0,0.0,7262800000.0,,15544400000.0,5002600000.0,,12731600000.0,-2200000.0,,404000000.0,310000000.0,,104500000.0,390000000.0,1082500000.0,,434000000.0,14218600000.0,8292400000.0,1382500000.0,535800000.0,8292400000.0,8290200000.0,5928400000.0,14218600000.0,104500000.0,5392600000.0,-72100000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2018.0,Q2,,2018-06-30,2018-07-26 09:04:21+00:00,218300000.0,332700000.0,2692600000.0,20500000.0,485500000.0,0.0,7255700000.0,,15476500000.0,4994900000.0,,12783900000.0,-2300000.0,,389600000.0,331500000.0,,93900000.0,362000000.0,1232000000.0,,255000000.0,14340600000.0,8436200000.0,1462800000.0,549800000.0,8436200000.0,8433900000.0,5906700000.0,14340600000.0,93900000.0,5356900000.0,-72000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2018.0,Q1,,2018-03-31,2018-04-26 10:08:14+00:00,251500000.0,304100000.0,2573500000.0,29000000.0,465400000.0,0.0,7247200000.0,,15408300000.0,4987300000.0,,12834800000.0,-2500000.0,,410200000.0,321800000.0,,120200000.0,382000000.0,1387400000.0,,399000000.0,14533700000.0,8593600000.0,1578700000.0,573300000.0,8593600000.0,8591100000.0,5942600000.0,14533700000.0,120200000.0,5369300000.0,-70000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2019.0,FY,,2019-12-31,2020-07-30 07:06:42+00:00,288200000.0,520700000.0,3296900000.0,6200000.0,97200000.0,0.0,8710300000.0,,18393800000.0,5923500000.0,128700000.0,15096900000.0,-1300000.0,,446500000.0,417700000.0,,641200000.0,867400000.0,671700000.0,124800000.0,,16931200000.0,9310900000.0,1064400000.0,830700000.0,9310900000.0,9309600000.0,7621600000.0,16931200000.0,769900000.0,6790900000.0,-77300000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2020.0,Q2,,2020-06-30,2020-07-30 07:06:42+00:00,151900000.0,363300000.0,2027700000.0,-13300000.0,202000000.0,0.0,8722500000.0,,13220300000.0,4092200000.0,117200000.0,11192600000.0,-5000000.0,,500800000.0,398100000.0,,663000000.0,693200000.0,-3442000000.0,2518100000.0,,13038900000.0,5190400000.0,1066100000.0,3068100000.0,5190400000.0,5185400000.0,7853500000.0,13038900000.0,780200000.0,4785400000.0,-76800000.0
