company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.35,1.35,0.69,1.35,215107000.0,302001000.0,302001000.0,,240374000.0,61627000.0,14976332000.0,15582464000.0,,,,98298000.0,14976332000.0,606132000.0,7659000.0,16933000.0,98298000.0,507834000.0,9274000.0,517108000.0,15582464000.0,178800000.0,178248000.0,178248000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q3TTM,2009-10-01,2010-09-30,,2.18,2.18,1.0,2.18,318038000.0,463246000.0,463246000.0,,389098000.0,74148000.0,20133084000.0,21061830000.0,,,,159778000.0,20133084000.0,928746000.0,10057000.0,22373000.0,159778000.0,768968000.0,12316000.0,781284000.0,21061830000.0,178800000.0,178248000.0,178248000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q3,2010-07-01,2010-09-30,2011-11-03 16:16:50+00:00,-0.3,-0.3,0.125,-0.3,54967000.0,-30088000.0,-30088000.0,,-53636000.0,23548000.0,5449681000.0,5511488000.0,,,,39563000.0,5449681000.0,61807000.0,2183000.0,4818000.0,39563000.0,22244000.0,2635000.0,24879000.0,5511488000.0,178800000.0,178248000.0,178248000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.65,1.65,0.44,1.65,160140000.0,332089000.0,332089000.0,,294010000.0,38079000.0,9526651000.0,10070976000.0,,,,58735000.0,9526651000.0,544325000.0,5476000.0,12115000.0,58735000.0,485590000.0,6639000.0,492229000.0,10070976000.0,178800000.0,178214000.0,180688000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q2TTM,2009-07-01,2010-06-30,,3.39,3.39,1.04,3.39,354929000.0,667338000.0,667338000.0,,604830000.0,62508000.0,19791547000.0,20970830000.0,,,,169837000.0,19791547000.0,1179283000.0,10459000.0,23280000.0,169837000.0,1009446000.0,12821000.0,1022267000.0,20970830000.0,178800000.0,178214000.0,180688000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q2,2010-04-01,2010-06-30,2011-08-04 16:18:20+00:00,0.88,0.88,0.125,0.87,80724000.0,178417000.0,178417000.0,,157375000.0,21042000.0,4868354000.0,5152121000.0,,,,27827000.0,4868354000.0,283767000.0,2304000.0,5505000.0,27827000.0,255940000.0,3201000.0,259141000.0,5152121000.0,178800000.0,178214000.0,180688000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q1TTM,2009-04-01,2010-03-31,,3.46,3.46,0.99,3.46,376116000.0,665260000.0,665260000.0,,616725000.0,48535000.0,19898842000.0,21111263000.0,,,,184013000.0,19898842000.0,1212421000.0,10643000.0,23611000.0,184013000.0,1028408000.0,12968000.0,1041376000.0,21111263000.0,177400000.0,178163000.0,180769000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 16:17:32+00:00,0.77,0.77,0.125,0.76,79416000.0,153672000.0,153672000.0,,136635000.0,17037000.0,4658297000.0,4918855000.0,,,,30908000.0,4658297000.0,260558000.0,3172000.0,6610000.0,30908000.0,229650000.0,3438000.0,233088000.0,4918855000.0,177400000.0,178163000.0,180769000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2011.0,Q4,2011-10-01,2011-12-31,,0.91,0.91,0.13,0.9,64783000.0,183826000.0,183826000.0,,153156000.0,30670000.0,5942381000.0,6252134000.0,,,,61271000.0,5942381000.0,309753000.0,7467000.0,7594000.0,61271000.0,248482000.0,127000.0,248609000.0,6252134000.0,172600000.0,172501000.0,174564000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2011.0,FY,2011-01-01,2011-12-31,2014-02-18 16:27:01+00:00,3.44,3.44,0.5,3.4,303729000.0,698087000.0,698087000.0,,593728000.0,104359000.0,22232483000.0,23381399000.0,,,,163460000.0,22232483000.0,1148916000.0,15601000.0,31961000.0,163460000.0,985456000.0,16360000.0,1001816000.0,23381399000.0,172600000.0,172501000.0,174564000.0
