company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q3YTD,2014-07-01,2015-03-31,2016-05-06 07:10:45+00:00,-1188000000.0,375000000.0,134000000.0,83000000.0,,-160000000.0,-1513000000.0,826000000.0,,,,-160000000.0,-1513000000.0,826000000.0,-847000000.0,285000000.0,347000000.0,-62000000.0,21000000.0,,16000000.0,-29000000.0,-257000000.0,-218000000.0,-131000000.0,0.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q3TTM,2014-04-01,2015-03-31,,-1194000000.0,506000000.0,227000000.0,-64000000.0,,-162000000.0,-1612000000.0,1052000000.0,,,,-162000000.0,-1612000000.0,1052000000.0,-722000000.0,314000000.0,518000000.0,-204000000.0,92000000.0,,16000000.0,-30000000.0,-329000000.0,-332000000.0,-132000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q3,2015-01-01,2015-03-31,,-5000000.0,124000000.0,20000000.0,108000000.0,,-4000000.0,-48000000.0,282000000.0,,,,-4000000.0,-48000000.0,282000000.0,230000000.0,34000000.0,56000000.0,-22000000.0,-6000000.0,,16000000.0,-12000000.0,-11000000.0,-68000000.0,8000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q2YTD,2014-07-01,2014-12-31,2016-02-05 07:08:24+00:00,-1183000000.0,251000000.0,114000000.0,-25000000.0,,-156000000.0,-1465000000.0,544000000.0,,,,-156000000.0,-1465000000.0,544000000.0,-1077000000.0,251000000.0,291000000.0,-40000000.0,27000000.0,,0.0,-17000000.0,-246000000.0,-150000000.0,-139000000.0,0.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q2TTM,2014-01-01,2014-12-31,,-1202000000.0,524000000.0,216000000.0,44000000.0,,-171000000.0,-1675000000.0,1166000000.0,,,,-171000000.0,-1675000000.0,1166000000.0,-680000000.0,341000000.0,523000000.0,-182000000.0,75000000.0,,,-28000000.0,-328000000.0,-361000000.0,-143000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q2,2014-10-01,2014-12-31,,-769000000.0,127000000.0,,-20000000.0,,-130000000.0,-956000000.0,324000000.0,,,,-130000000.0,-956000000.0,324000000.0,-762000000.0,163000000.0,182000000.0,-19000000.0,35000000.0,,,,-131000000.0,-56000000.0,-130000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q1,2014-07-01,2014-09-30,2015-11-06 07:09:39+00:00,-414000000.0,124000000.0,114000000.0,-5000000.0,,-26000000.0,-509000000.0,220000000.0,,,,-26000000.0,-509000000.0,220000000.0,-315000000.0,88000000.0,109000000.0,-21000000.0,-8000000.0,,0.0,-17000000.0,-115000000.0,-94000000.0,-9000000.0,0.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q1TTM,2013-10-01,2014-09-30,,-457000000.0,535000000.0,220000000.0,66000000.0,,-42000000.0,-821000000.0,1190000000.0,,,,-42000000.0,-821000000.0,1190000000.0,327000000.0,344000000.0,507000000.0,-163000000.0,82000000.0,,,-29000000.0,-199000000.0,-385000000.0,-13000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,FY,2015-07-01,2016-06-30,2018-08-15 06:53:36+00:00,-520000000.0,505000000.0,1000000.0,208000000.0,342000000.0,150000000.0,-1124000000.0,952000000.0,0.0,13000000.0,-74000000.0,150000000.0,-1111000000.0,878000000.0,-83000000.0,250000000.0,235000000.0,15000000.0,4000000.0,,-285000000.0,-147000000.0,-105000000.0,-256000000.0,-4000000.0,-41000000.0,,41000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q4,2016-04-01,2016-06-30,,-34000000.0,135000000.0,-3000000.0,116000000.0,,-54000000.0,-421000000.0,363000000.0,,-2000000.0,-8000000.0,-54000000.0,-423000000.0,355000000.0,-122000000.0,109000000.0,114000000.0,-5000000.0,-2000000.0,,-306000000.0,-59000000.0,-43000000.0,-76000000.0,5000000.0,,,41000000.0
