date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2009-01-21,False,daily,6.9,6.96,6.9,6.96,2600.0,6.9,6.96,6.9,6.96,2600.0
2009-01-20,False,daily,6.9,6.9,6.9,6.9,7000.0,6.9,6.9,6.9,6.9,7000.0
2009-01-19,False,daily,8.0,8.0,7.0,7.06,9650.0,8.0,8.0,7.0,7.06,9650.0
2009-01-16,False,daily,8.0,8.0,7.0,7.06,9650.0,8.0,8.0,7.0,7.06,9650.0
2009-01-15,False,daily,6.9,7.01,6.9,7.01,8950.0,6.9,7.01,6.9,7.01,8950.0
2009-01-14,False,daily,7.09,7.09,6.99,7.0,6950.0,7.09,7.09,6.99,7.0,6950.0
2009-01-13,False,daily,7.38,7.38,7.38,7.38,2500.0,7.38,7.38,7.38,7.38,2500.0
2009-01-09,False,daily,7.48,7.48,7.48,7.48,500.0,7.48,7.48,7.48,7.48,500.0
2009-01-08,False,daily,7.17,7.5,7.11,7.5,6733.0,7.17,7.5,7.11,7.5,6733.0
2009-01-07,False,daily,7.21,7.43,7.02,7.43,2750.0,7.21,7.43,7.02,7.43,2750.0
2009-01-06,False,daily,7.5,7.5,7.41,7.41,12000.0,7.5,7.5,7.41,7.41,12000.0
2009-01-05,False,daily,7.4,7.61,7.4,7.418,4670.0,7.4,7.61,7.4,7.418,4670.0
