date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
1990-08-02,False,daily,13.88,13.88,13.5,13.62,23000.0,7.0229480150172,7.0229480150172,6.8306771039432,6.891394233756,34500.0
1990-08-01,False,daily,14.37,14.37,13.62,14.0,26200.0,7.2708762950862,7.2708762950862,6.891394233756,7.08366514483,39300.0
1990-07-31,False,daily,13.88,14.62,13.88,14.37,27667.0,7.0229480150172,7.3973703155296,7.0229480150172,7.2708762950862,41500.5
1990-07-30,False,daily,13.88,13.88,13.75,13.75,10400.0,7.0229480150172,7.0229480150172,6.9571711243866,6.9571711243866,15600.0
1990-07-27,False,daily,14.0,14.0,13.88,13.88,24067.0,7.08366514483,7.08366514483,7.0229480150172,7.0229480150172,36100.5
1990-07-26,False,daily,14.0,14.0,13.88,14.0,9800.0,7.08366514483,7.08366514483,7.0229480150172,7.08366514483,14700.0
1990-07-25,False,daily,14.13,14.37,13.88,14.13,14000.0,7.1494420354605,7.2708762950862,7.0229480150172,7.1494420354605,21000.0
1990-07-24,False,daily,14.0,14.13,13.88,14.13,26400.0,7.08366514483,7.1494420354605,7.0229480150172,7.1494420354605,39600.0
1990-07-23,False,daily,14.0,14.25,13.88,14.0,29267.0,7.08366514483,7.2101591652734,7.0229480150172,7.08366514483,43900.5
1990-07-20,False,daily,14.75,14.75,14.0,14.0,137467.0,7.4631472061602,7.4631472061602,7.08366514483,7.08366514483,206200.5
1990-07-19,False,daily,15.12,15.5,15.12,15.12,17600.0,7.6503583564164,7.8426292674903,7.6503583564164,7.6503583564164,26400.0
1990-07-18,False,daily,15.25,15.63,15.12,15.12,15000.0,7.7161352470469,7.9084061581209,7.6503583564164,7.6503583564164,22500.0
1990-07-17,False,daily,15.5,15.5,15.25,15.25,6400.0,7.8426292674903,7.8426292674903,7.7161352470469,7.7161352470469,9600.0
1990-07-16,False,daily,15.38,15.75,15.12,15.5,12400.0,7.7819121376775,7.9691232879337,7.6503583564164,7.8426292674903,18600.0
1990-07-13,False,daily,15.25,15.63,15.25,15.38,7667.0,7.7161352470469,7.9084061581209,7.7161352470469,7.7819121376775,11500.5
1990-07-12,False,daily,14.62,15.12,14.5,15.0,7800.0,7.3973703155296,7.6503583564164,7.3366531857168,7.5896412266035,11700.0
1990-07-11,False,daily,14.62,14.62,14.37,14.62,2467.0,7.3973703155296,7.3973703155296,7.2708762950862,7.3973703155296,3700.5
1990-07-10,False,daily,14.88,14.88,14.25,14.75,10667.0,7.5289240967907,7.5289240967907,7.2101591652734,7.4631472061602,16000.5
1990-07-09,False,daily,15.38,15.63,15.0,15.0,5867.0,7.7819121376775,7.9084061581209,7.5896412266035,7.5896412266035,8800.5
1990-07-06,False,daily,15.5,15.63,15.38,15.38,1067.0,7.8426292674903,7.9084061581209,7.7819121376775,7.7819121376775,1600.5
1990-07-05,False,daily,15.5,15.5,15.25,15.5,1667.0,7.8426292674903,7.8426292674903,7.7161352470469,7.8426292674903,2500.5
1990-07-03,False,daily,15.5,15.5,15.12,15.5,18200.0,7.8426292674903,7.8426292674903,7.6503583564164,7.8426292674903,27300.0
1990-07-02,False,daily,15.75,15.87,14.62,15.5,19400.0,7.9691232879337,8.0298404177466,7.3973703155296,7.8426292674903,29100.0
1990-06-29,False,daily,13.5,15.75,13.5,15.75,15200.0,6.8306771039432,7.9691232879337,6.8306771039432,7.9691232879337,22800.0
1990-06-28,False,daily,13.12,13.38,13.12,13.38,6867.0,6.6384061928692,6.7699599741304,6.6384061928692,6.7699599741304,10300.5
1990-06-27,False,daily,13.38,13.38,13.12,13.12,11667.0,6.7699599741304,6.7699599741304,6.6384061928692,6.6384061928692,17500.5
1990-06-26,False,daily,13.62,13.62,13.12,13.38,7867.0,6.891394233756,6.891394233756,6.6384061928692,6.7699599741304,11800.5
1990-06-25,False,daily,13.38,13.62,13.0,13.62,13467.0,6.7699599741304,6.891394233756,6.5776890630564,6.891394233756,20200.5
1990-06-22,False,daily,13.5,13.5,13.0,13.38,9267.0,6.8306771039432,6.8306771039432,6.5776890630564,6.7699599741304,13900.5
1990-06-21,False,daily,13.5,13.75,13.25,13.5,12000.0,6.8306771039432,6.9571711243866,6.7041830834998,6.8306771039432,18000.0
1990-06-20,False,daily,13.5,13.5,12.87,13.5,18200.0,6.8306771039432,6.8306771039432,6.5119121724258,6.8306771039432,27300.0
1990-06-19,False,daily,13.75,14.13,13.38,13.62,9667.0,6.9571711243866,7.1494420354605,6.7699599741304,6.891394233756,14500.5
1990-06-18,False,daily,14.62,14.62,13.5,13.75,12667.0,7.3973703155296,7.3973703155296,6.8306771039432,6.9571711243866,19000.5
