company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lorillard Inc ,LO,,1424847,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 11:30:10+00:00,1.71,1.71,1.3,1.71,146000000.0,248000000.0,248000000.0,248000000.0,992000000.0,1535000000.0,122000000.0,992000000.0,543000000.0,28000000.0,1000000.0,122000000.0,421000000.0,-27000000.0,394000000.0,1535000000.0,145000000.0,144800000.0,144940000.0
Lorillard Inc ,LO,,1424847,2012.0,Q4,2012-10-01,2012-12-31,,0.79,0.79,0.51,0.79,175000000.0,309000000.0,309000000.0,309000000.0,1060000000.0,1705000000.0,123000000.0,1060000000.0,645000000.0,40000000.0,2000000.0,123000000.0,522000000.0,-38000000.0,484000000.0,1705000000.0,389700000.0,389270000.0,390130000.0
Lorillard Inc ,LO,,1424847,2012.0,FY,2012-01-01,2012-12-31,2015-02-11 18:13:31+00:00,2.82,2.82,2.07,2.81,629000000.0,1099000000.0,1099000000.0,1099000000.0,4241000000.0,6623000000.0,504000000.0,4241000000.0,2382000000.0,154000000.0,4000000.0,504000000.0,1878000000.0,-150000000.0,1728000000.0,6623000000.0,389700000.0,389270000.0,390130000.0
Lorillard Inc ,LO,,1424847,2012.0,Q3YTD,2012-01-01,2012-09-30,,2.02,2.02,1.56,2.02,454000000.0,790000000.0,790000000.0,790000000.0,3181000000.0,4918000000.0,381000000.0,3181000000.0,1737000000.0,114000000.0,2000000.0,381000000.0,1356000000.0,-112000000.0,1244000000.0,4918000000.0,393100000.0,390210000.0,391050000.0
Lorillard Inc ,LO,,1424847,2012.0,Q3TTM,2011-10-01,2012-09-30,,2.82,2.82,2.0,2.82,639000000.0,1100000000.0,1100000000.0,1100000000.0,4160000000.0,6535000000.0,490000000.0,4160000000.0,2375000000.0,149000000.0,3000000.0,490000000.0,1885000000.0,-146000000.0,1739000000.0,6535000000.0,393100000.0,390210000.0,391050000.0
Lorillard Inc ,LO,,1424847,2012.0,Q3,2012-07-01,2012-09-30,2013-10-23 16:27:44+00:00,0.72,0.72,,0.72,160000000.0,283000000.0,283000000.0,283000000.0,1059000000.0,1661000000.0,122000000.0,1059000000.0,602000000.0,38000000.0,1000000.0,122000000.0,480000000.0,-37000000.0,443000000.0,1661000000.0,393100000.0,390210000.0,391050000.0
Lorillard Inc ,LO,,1424847,2012.0,Q2YTD,2012-01-01,2012-06-30,,1.3,1.3,1.04,1.3,294000000.0,507000000.0,507000000.0,507000000.0,2122000000.0,3257000000.0,259000000.0,2122000000.0,1135000000.0,76000000.0,1000000.0,259000000.0,876000000.0,-75000000.0,801000000.0,3257000000.0,394400000.0,390530000.0,391440000.0
Lorillard Inc ,LO,,1424847,2012.0,Q2TTM,2011-07-01,2012-06-30,,2.78,2.78,1.93,2.78,633000000.0,1084000000.0,1084000000.0,1084000000.0,4160000000.0,6496000000.0,476000000.0,4160000000.0,2336000000.0,145000000.0,2000000.0,476000000.0,1860000000.0,-143000000.0,1717000000.0,6496000000.0,394400000.0,390530000.0,391440000.0
Lorillard Inc ,LO,,1424847,2012.0,Q2,2012-04-01,2012-06-30,2013-07-25 16:18:31+00:00,0.72,0.72,,0.72,163000000.0,284000000.0,284000000.0,284000000.0,1119000000.0,1731000000.0,128000000.0,1119000000.0,612000000.0,37000000.0,,128000000.0,484000000.0,-37000000.0,447000000.0,1731000000.0,394400000.0,390530000.0,391440000.0
Lorillard Inc ,LO,,1424847,2012.0,Q1TTM,2011-04-01,2012-03-31,,2.79,2.79,1.88,2.79,639000000.0,1091000000.0,1091000000.0,1091000000.0,4134000000.0,6457000000.0,460000000.0,4134000000.0,2323000000.0,136000000.0,3000000.0,460000000.0,1863000000.0,-133000000.0,1730000000.0,6457000000.0,391200000.0,391450000.0,392400000.0
