company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q3,2012-07-01,2012-09-30,2013-10-29 15:54:23+00:00,0.04,0.04,0.075,0.04,,16000000.0,24000000.0,35000000.0,-11000000.0,15000000.0,9000000.0,1413000000.0,1913000000.0,5000000.0,,1000000.0,391000000.0,1413000000.0,500000000.0,62000000.0,392000000.0,108000000.0,-57000000.0,51000000.0,1913000000.0,375000000.0,375000000.0,375000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q2YTD,2012-01-01,2012-06-30,,-0.13,-0.13,0.15,-0.13,,38000000.0,-23000000.0,10000000.0,-33000000.0,-42000000.0,19000000.0,2746000000.0,3751000000.0,17000000.0,,73000000.0,769000000.0,2746000000.0,1005000000.0,132000000.0,842000000.0,163000000.0,-115000000.0,48000000.0,3751000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q2TTM,2011-07-01,2012-06-30,,-1.68,-1.68,0.3,-1.68,450000000.0,-53000000.0,-542000000.0,-339000000.0,-203000000.0,-579000000.0,37000000.0,5335000000.0,7170000000.0,41000000.0,,77000000.0,1482000000.0,5335000000.0,1835000000.0,259000000.0,2009000000.0,-174000000.0,-218000000.0,-392000000.0,7170000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q2,2012-04-01,2012-06-30,2013-07-31 13:27:31+00:00,-0.22,-0.22,0.075,-0.22,,31000000.0,-67000000.0,-43000000.0,-24000000.0,-75000000.0,8000000.0,1424000000.0,1945000000.0,2000000.0,,75000000.0,392000000.0,1424000000.0,521000000.0,68000000.0,467000000.0,54000000.0,-66000000.0,-12000000.0,1945000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q1TTM,2011-04-01,2012-03-31,,-1.44,-1.44,0.3,-1.44,450000000.0,-46000000.0,-455000000.0,-270000000.0,-185000000.0,-496000000.0,41000000.0,5377000000.0,7223000000.0,71000000.0,,7000000.0,1521000000.0,5377000000.0,1846000000.0,255000000.0,1978000000.0,-132000000.0,-184000000.0,-316000000.0,7223000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q1,2012-01-01,2012-03-31,2013-05-02 13:37:44+00:00,0.09,0.09,0.075,0.09,,7000000.0,44000000.0,53000000.0,-9000000.0,33000000.0,11000000.0,1322000000.0,1806000000.0,15000000.0,,-2000000.0,377000000.0,1322000000.0,484000000.0,64000000.0,375000000.0,109000000.0,-49000000.0,60000000.0,1806000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,FY,2013-01-01,2013-12-31,2016-02-12 16:15:33+00:00,0.8,0.8,0.3,0.8,,86000000.0,329000000.0,300000000.0,29000000.0,288000000.0,41000000.0,4802000000.0,6761000000.0,9000000.0,,,1347000000.0,4802000000.0,1959000000.0,235000000.0,1347000000.0,612000000.0,-226000000.0,386000000.0,6761000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q4,2013-10-01,2013-12-31,,0.12,0.12,0.07,0.13,,-5000000.0,59000000.0,14000000.0,45000000.0,48000000.0,11000000.0,351000000.0,586000000.0,-14000000.0,,,155000000.0,351000000.0,235000000.0,57000000.0,155000000.0,80000000.0,-71000000.0,9000000.0,586000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q3YTD,2013-01-01,2013-09-30,,0.68,0.68,0.22,0.67,,91000000.0,270000000.0,286000000.0,-16000000.0,240000000.0,30000000.0,4451000000.0,6175000000.0,23000000.0,,,1192000000.0,4451000000.0,1724000000.0,178000000.0,1192000000.0,532000000.0,-155000000.0,377000000.0,6175000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q3TTM,2012-10-01,2013-09-30,,0.44,0.44,0.3,0.43,42000000.0,128000000.0,190000000.0,223000000.0,-33000000.0,153000000.0,37000000.0,5831000000.0,8006000000.0,26000000.0,,3000000.0,1567000000.0,5831000000.0,2175000000.0,238000000.0,1612000000.0,563000000.0,-212000000.0,351000000.0,8006000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q3,2013-07-01,2013-09-30,2014-10-28 13:59:09+00:00,0.31,0.31,0.075,0.3,,38000000.0,120000000.0,122000000.0,-2000000.0,109000000.0,11000000.0,1543000000.0,2150000000.0,6000000.0,,,395000000.0,1543000000.0,607000000.0,58000000.0,395000000.0,212000000.0,-52000000.0,160000000.0,2150000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q2YTD,2013-01-01,2013-06-30,,0.37,0.37,0.15,0.37,,53000000.0,150000000.0,164000000.0,-14000000.0,131000000.0,19000000.0,2908000000.0,4025000000.0,17000000.0,,,797000000.0,2908000000.0,1117000000.0,120000000.0,797000000.0,320000000.0,-103000000.0,217000000.0,4025000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q2TTM,2012-07-01,2013-06-30,,0.17,0.17,0.3,0.17,42000000.0,106000000.0,94000000.0,136000000.0,-42000000.0,59000000.0,35000000.0,5701000000.0,7769000000.0,25000000.0,,4000000.0,1563000000.0,5701000000.0,2068000000.0,242000000.0,1609000000.0,459000000.0,-217000000.0,242000000.0,7769000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q2,2013-04-01,2013-06-30,2014-07-29 13:33:18+00:00,0.22,0.22,0.075,0.22,,39000000.0,88000000.0,93000000.0,-5000000.0,78000000.0,10000000.0,1540000000.0,2149000000.0,4000000.0,,,421000000.0,1540000000.0,609000000.0,60000000.0,421000000.0,188000000.0,-56000000.0,132000000.0,2149000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q1TTM,2012-04-01,2013-03-31,,-0.27,-0.27,0.3,-0.27,42000000.0,98000000.0,-61000000.0,,-61000000.0,-94000000.0,33000000.0,5585000000.0,7565000000.0,23000000.0,,79000000.0,1534000000.0,5585000000.0,1980000000.0,250000000.0,1655000000.0,325000000.0,-227000000.0,98000000.0,7565000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2013.0,Q1,2013-01-01,2013-03-31,2014-04-30 15:36:05+00:00,0.15,0.15,0.075,0.15,,14000000.0,62000000.0,71000000.0,-9000000.0,53000000.0,9000000.0,1368000000.0,1876000000.0,13000000.0,,,376000000.0,1368000000.0,508000000.0,60000000.0,376000000.0,132000000.0,-47000000.0,85000000.0,1876000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,FY,2014-01-01,2014-12-31,2017-02-09 16:06:48+00:00,2.4,2.4,0.33,2.38,1000000.0,-361000000.0,903000000.0,868000000.0,35000000.0,856000000.0,47000000.0,4946000000.0,7006000000.0,11000000.0,,-9000000.0,1347000000.0,4946000000.0,2060000000.0,225000000.0,1339000000.0,721000000.0,-214000000.0,507000000.0,7006000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q4,2014-10-01,2014-12-31,,0.28,0.28,0.09,0.27,1000000.0,15000000.0,109000000.0,97000000.0,12000000.0,100000000.0,9000000.0,915000000.0,1331000000.0,1000000.0,,-9000000.0,257000000.0,915000000.0,416000000.0,56000000.0,249000000.0,167000000.0,-55000000.0,112000000.0,1331000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q3,2014-07-01,2014-09-30,2015-10-27 16:35:22+00:00,1.52,1.52,0.09,1.51,,-415000000.0,556000000.0,546000000.0,10000000.0,543000000.0,13000000.0,1312000000.0,1834000000.0,7000000.0,,,341000000.0,1312000000.0,522000000.0,57000000.0,341000000.0,181000000.0,-50000000.0,131000000.0,1834000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q3YTD,2014-01-01,2014-09-30,,2.12,2.12,0.24,2.11,,-376000000.0,794000000.0,771000000.0,23000000.0,756000000.0,38000000.0,4031000000.0,5675000000.0,10000000.0,,,1090000000.0,4031000000.0,1644000000.0,169000000.0,1090000000.0,554000000.0,-159000000.0,395000000.0,5675000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q3TTM,2013-10-01,2014-09-30,,2.24,2.24,0.32,2.24,,-381000000.0,853000000.0,785000000.0,68000000.0,804000000.0,49000000.0,4382000000.0,6261000000.0,-4000000.0,,,1245000000.0,4382000000.0,1879000000.0,226000000.0,1245000000.0,634000000.0,-230000000.0,404000000.0,6261000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q2YTD,2014-01-01,2014-06-30,,0.6,0.6,0.15,0.6,,39000000.0,238000000.0,225000000.0,13000000.0,213000000.0,25000000.0,2719000000.0,3841000000.0,3000000.0,,,749000000.0,2719000000.0,1122000000.0,112000000.0,749000000.0,373000000.0,-109000000.0,264000000.0,3841000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q2TTM,2013-07-01,2014-06-30,,1.03,1.03,0.3,1.03,,72000000.0,417000000.0,361000000.0,56000000.0,370000000.0,47000000.0,4613000000.0,6577000000.0,-5000000.0,,,1299000000.0,4613000000.0,1964000000.0,227000000.0,1299000000.0,665000000.0,-232000000.0,433000000.0,6577000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q2,2014-04-01,2014-06-30,2015-07-28 16:35:39+00:00,0.39,0.39,0.075,0.39,,34000000.0,152000000.0,137000000.0,15000000.0,139000000.0,13000000.0,1301000000.0,1876000000.0,6000000.0,,,354000000.0,1301000000.0,575000000.0,56000000.0,354000000.0,221000000.0,-50000000.0,171000000.0,1876000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q1TTM,2013-04-01,2014-03-31,,0.86,0.86,0.3,0.86,,77000000.0,353000000.0,317000000.0,36000000.0,309000000.0,44000000.0,4852000000.0,6850000000.0,-7000000.0,,,1366000000.0,4852000000.0,1998000000.0,231000000.0,1366000000.0,632000000.0,-238000000.0,394000000.0,6850000000.0,351000000.0,351000000.0,351000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2014.0,Q1,2014-01-01,2014-03-31,2015-04-28 15:10:00+00:00,0.21,0.21,0.075,0.21,,5000000.0,86000000.0,88000000.0,-2000000.0,74000000.0,12000000.0,1418000000.0,1965000000.0,-3000000.0,,,395000000.0,1418000000.0,547000000.0,56000000.0,395000000.0,152000000.0,-59000000.0,93000000.0,1965000000.0,351000000.0,351000000.0,351000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,FY,2015-01-01,2015-12-31,2018-02-08 16:47:28+00:00,1.03,1.03,0.365,1.02,,293000000.0,394000000.0,396000000.0,-2000000.0,355000000.0,39000000.0,4889000000.0,7142000000.0,0.0,,,1339000000.0,4889000000.0,2253000000.0,225000000.0,1339000000.0,914000000.0,-225000000.0,689000000.0,7142000000.0,338000000.0,338000000.0,338000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q4,2015-10-01,2015-12-31,,0.22,0.22,0.1,0.22,,74000000.0,85000000.0,86000000.0,-1000000.0,75000000.0,10000000.0,1183000000.0,1715000000.0,2000000.0,,,320000000.0,1183000000.0,532000000.0,54000000.0,320000000.0,212000000.0,-52000000.0,160000000.0,1715000000.0,338000000.0,338000000.0,338000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q3,2015-07-01,2015-09-30,2016-10-25 16:16:12+00:00,0.33,0.33,0.09,0.32,,77000000.0,121000000.0,121000000.0,0.0,111000000.0,10000000.0,1250000000.0,1839000000.0,-6000000.0,,,331000000.0,1250000000.0,589000000.0,54000000.0,331000000.0,258000000.0,-60000000.0,198000000.0,1839000000.0,335000000.0,335000000.0,335000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q3YTD,2015-01-01,2015-09-30,,0.81,0.81,0.27,0.8,,219000000.0,309000000.0,310000000.0,-1000000.0,280000000.0,29000000.0,3706000000.0,5427000000.0,-2000000.0,,,1019000000.0,3706000000.0,1721000000.0,171000000.0,1019000000.0,702000000.0,-173000000.0,529000000.0,5427000000.0,335000000.0,335000000.0,335000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q3TTM,2014-10-01,2015-09-30,,1.09,1.09,0.36,1.07,1000000.0,234000000.0,418000000.0,407000000.0,11000000.0,380000000.0,38000000.0,4621000000.0,6758000000.0,-1000000.0,,-9000000.0,1276000000.0,4621000000.0,2137000000.0,227000000.0,1268000000.0,869000000.0,-228000000.0,641000000.0,6758000000.0,335000000.0,335000000.0,335000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q2,2015-04-01,2015-06-30,2016-07-26 16:21:14+00:00,0.3,0.3,0.09,0.3,,102000000.0,115000000.0,119000000.0,-4000000.0,105000000.0,10000000.0,1292000000.0,1929000000.0,3000000.0,,,358000000.0,1292000000.0,637000000.0,61000000.0,358000000.0,279000000.0,-58000000.0,221000000.0,1929000000.0,340000000.0,340000000.0,340000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q2YTD,2015-01-01,2015-06-30,,0.48,0.48,0.18,0.48,,142000000.0,188000000.0,189000000.0,-1000000.0,169000000.0,19000000.0,2456000000.0,3588000000.0,4000000.0,,,688000000.0,2456000000.0,1132000000.0,117000000.0,688000000.0,444000000.0,-113000000.0,331000000.0,3588000000.0,340000000.0,340000000.0,340000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q2TTM,2014-07-01,2015-06-30,,2.28,2.28,0.36,2.26,1000000.0,-258000000.0,853000000.0,832000000.0,21000000.0,812000000.0,41000000.0,4683000000.0,6753000000.0,12000000.0,,-9000000.0,1286000000.0,4683000000.0,2070000000.0,230000000.0,1278000000.0,792000000.0,-218000000.0,574000000.0,6753000000.0,340000000.0,340000000.0,340000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q1,2015-01-01,2015-03-31,2016-04-26 16:32:15+00:00,0.18,0.18,0.09,0.18,,40000000.0,73000000.0,70000000.0,3000000.0,64000000.0,9000000.0,1164000000.0,1659000000.0,1000000.0,,,330000000.0,1164000000.0,495000000.0,56000000.0,330000000.0,165000000.0,-55000000.0,110000000.0,1659000000.0,344000000.0,344000000.0,344000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2015.0,Q1TTM,2014-04-01,2015-03-31,,2.37,2.37,0.35,2.35,1000000.0,-326000000.0,890000000.0,850000000.0,40000000.0,846000000.0,44000000.0,4692000000.0,6700000000.0,15000000.0,,-9000000.0,1282000000.0,4692000000.0,2008000000.0,225000000.0,1274000000.0,734000000.0,-210000000.0,524000000.0,6700000000.0,344000000.0,344000000.0,344000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2016.0,FY,2016-01-01,2016-12-31,2019-02-07 16:17:20+00:00,1.49,1.49,0.385,1.48,,296000000.0,536000000.0,536000000.0,,493000000.0,43000000.0,4899000000.0,7361000000.0,-26000000.0,,,1375000000.0,4899000000.0,2462000000.0,229000000.0,1375000000.0,1087000000.0,-255000000.0,832000000.0,7361000000.0,326000000.0,326000000.0,326000000.0
