company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,Q3,2012-07-01,2012-09-30,,-65000000.0,,,,48000000.0,,,-27000000.0,38400000.0,-8100000.0,-235500000.0,-274100000.0,173200000.0,-235500000.0,-274100000.0,173200000.0,-336400000.0,16800000.0,16800000.0,135400000.0,400000.0,-21200000.0,,,-399300000.0,-87100000.0,-16200000.0,-250000000.0,298500000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-08 16:42:02+00:00,-155800000.0,,,,137900000.0,,,-1300000.0,88200000.0,,-322300000.0,-367800000.0,487600000.0,-322300000.0,-367800000.0,487600000.0,-202500000.0,90800000.0,90800000.0,260200000.0,7200000.0,-24600000.0,,,-1020200000.0,-256800000.0,-17600000.0,-400100000.0,1089600000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,Q2,2012-04-01,2012-06-30,,-300000.0,,,,46500000.0,,,60000000.0,12000000.0,400000.0,-80500000.0,-400000.0,212100000.0,-80500000.0,-400000.0,212100000.0,131200000.0,57700000.0,57700000.0,47900000.0,2500000.0,-3400000.0,,,-245900000.0,-87700000.0,-1400000.0,-94000000.0,336900000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-08 16:10:35+00:00,-90800000.0,,,,89900000.0,,,25700000.0,49800000.0,8100000.0,-86800000.0,-93700000.0,314400000.0,-86800000.0,-93700000.0,314400000.0,133900000.0,74000000.0,74000000.0,124800000.0,6800000.0,-3400000.0,,,-620900000.0,-169700000.0,-1400000.0,-150100000.0,791100000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,Q1,2012-01-01,2012-03-31,2013-05-08 16:22:59+00:00,-90500000.0,,,,43400000.0,,,-34300000.0,37800000.0,7700000.0,-6300000.0,-93300000.0,102300000.0,-6300000.0,-93300000.0,102300000.0,2700000.0,16300000.0,16300000.0,76900000.0,4300000.0,,,,-375000000.0,-82000000.0,0.0,-56100000.0,454200000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2013.0,FY,2013-01-01,2013-12-31,2016-02-19 16:06:03+00:00,-20000000.0,,105100000.0,57400000.0,189900000.0,0.0,-7000000.0,-64100000.0,141700000.0,33900000.0,-401700000.0,-561000000.0,845900000.0,-401700000.0,-561000000.0,845900000.0,-123800000.0,439800000.0,439800000.0,280300000.0,1900000.0,-1200000.0,,0.0,-1821000000.0,-230000000.0,-1400000.0,-577800000.0,1511200000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2013.0,Q4,2013-10-01,2013-12-31,,,,105100000.0,57400000.0,54700000.0,,-7000000.0,108400000.0,18000000.0,-7900000.0,-235200000.0,-139300000.0,394000000.0,-235200000.0,-139300000.0,394000000.0,12500000.0,151800000.0,151800000.0,79100000.0,400000.0,-1200000.0,,,-445900000.0,-47000000.0,,-245700000.0,354800000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2013.0,Q3TTM,2012-10-01,2013-09-30,,-68900000.0,,118700000.0,50100000.0,185200000.0,,3600000.0,-217000000.0,134600000.0,41800000.0,-392500000.0,-649500000.0,602000000.0,-392500000.0,-649500000.0,602000000.0,-436400000.0,383700000.0,383700000.0,250100000.0,1500000.0,3800000.0,,,-1867700000.0,-273900000.0,12200000.0,-582600000.0,1557200000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2013.0,Q3,2013-07-01,2013-09-30,,,,,,40600000.0,,,-41600000.0,49400000.0,9400000.0,-33900000.0,-120900000.0,176400000.0,-33900000.0,-120900000.0,176400000.0,21600000.0,99100000.0,99100000.0,78300000.0,200000.0,,,,-463600000.0,-40700000.0,,-92900000.0,383400000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-11-10 17:00:53+00:00,-20000000.0,,,,135200000.0,,,-172500000.0,123700000.0,41800000.0,-166500000.0,-421700000.0,451900000.0,-166500000.0,-421700000.0,451900000.0,-136300000.0,288000000.0,288000000.0,201200000.0,1500000.0,0.0,,0.0,-1375100000.0,-183000000.0,-1400000.0,-332100000.0,1156400000.0
