company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt
Fortive Corp,FTV,,1659166,2019.0,Q3YTD,2019-01-01,2019-09-27,2019-10-24 19:01:38+00:00,-3387700000.0,211400000.0,97700000.0,,,-59600000.0,3125100000.0,0.0,2565000000.0,-3467300000.0,800400000.0,,0.0,-4400000.0,2565000000.0,-3467300000.0,796000000.0,-117900000.0,546600000.0,546600000.0,4300000.0,,0.0,-11600000.0,-104800000.0,-79600000.0,-455300000.0
Fortive Corp,FTV,,1659166,2019.0,Q3TTM,2018-09-29,2019-09-27,,-3377600000.0,265200000.0,132200000.0,,,19900000.0,3137200000.0,,1209600000.0,-3538800000.0,1222800000.0,,1019700000.0,18000000.0,1209600000.0,-2519100000.0,1240800000.0,-84600000.0,786700000.0,786700000.0,18800000.0,,-46100000.0,-15900000.0,-145500000.0,-115100000.0,-1782100000.0
Fortive Corp,FTV,,1659166,2019.0,Q3,2019-06-29,2019-09-27,,-150600000.0,81800000.0,35000000.0,,,79400000.0,-187900000.0,,-211400000.0,-181700000.0,379000000.0,,,2000000.0,-211400000.0,-181700000.0,381000000.0,-31600000.0,207300000.0,207300000.0,-24500000.0,,,-19500000.0,-23500000.0,-31100000.0,
Fortive Corp,FTV,,1659166,2019.0,Q2YTD,2019-01-01,2019-06-28,2019-07-25 16:16:30+00:00,-3237100000.0,129600000.0,62700000.0,,,-139000000.0,3313000000.0,0.0,2776400000.0,-3285600000.0,421400000.0,0.0,0.0,-6400000.0,2776400000.0,-3285600000.0,415000000.0,-86300000.0,339300000.0,339300000.0,28800000.0,,0.0,7900000.0,-81300000.0,-48500000.0,-455300000.0
Fortive Corp,FTV,,1659166,2019.0,Q2TTM,2018-06-30,2019-06-28,,-6042900000.0,215700000.0,127300000.0,,,6900000.0,5087000000.0,-800000.0,2676600000.0,-6201900000.0,1199600000.0,100000.0,1013900000.0,46900000.0,2676700000.0,-5188000000.0,1246500000.0,-1276100000.0,793400000.0,793400000.0,56300000.0,,-45900000.0,-11300000.0,-164100000.0,-113100000.0,-2245500000.0
Fortive Corp,FTV,,1659166,2019.0,Q2,2019-03-30,2019-06-28,,-3237100000.0,77400000.0,33000000.0,,,-41400000.0,451400000.0,,365200000.0,-3261600000.0,260200000.0,,,-1400000.0,365200000.0,-3261600000.0,258800000.0,-2636800000.0,175300000.0,175300000.0,15900000.0,,,800000.0,-40600000.0,-24500000.0,-45600000.0
Fortive Corp,FTV,,1659166,2019.0,Q1,2019-01-01,2019-03-29,2020-04-30 16:18:16+00:00,0.0,52200000.0,29700000.0,,,-97600000.0,2861600000.0,,2411200000.0,-24000000.0,161200000.0,,,-5000000.0,2411200000.0,-24000000.0,156200000.0,2550500000.0,164000000.0,164000000.0,12900000.0,,0.0,7100000.0,-40700000.0,-24000000.0,-409700000.0
Fortive Corp,FTV,,1659166,2019.0,Q1TTM,2018-03-31,2019-03-29,,-2807400000.0,162400000.0,124400000.0,,,22800000.0,4646500000.0,1337400000.0,3384400000.0,-2960000000.0,1231700000.0,100000.0,1008400000.0,97900000.0,3384500000.0,-1951600000.0,1329600000.0,2713200000.0,868300000.0,868300000.0,53800000.0,,-42200000.0,-49300000.0,-147900000.0,-110400000.0,-2451600000.0
Fortive Corp,FTV,,1659166,2020.0,Q1TTM,2019-03-30,2020-03-27,,-3954500000.0,326200000.0,135700000.0,,,140400000.0,933200000.0,,108500000.0,-4074800000.0,1315100000.0,,,-8900000.0,108500000.0,-4074800000.0,1306200000.0,-2688400000.0,603700000.0,603700000.0,109100000.0,,2000000.0,-28300000.0,-145600000.0,-122300000.0,-679100000.0
Fortive Corp,FTV,,1659166,2020.0,Q1,2020-01-01,2020-03-27,2020-04-30 16:18:16+00:00,-10600000.0,85500000.0,32100000.0,,,-69900000.0,373800000.0,,-283200000.0,-44200000.0,191400000.0,,,-400000.0,-283200000.0,-44200000.0,191000000.0,-164700000.0,42300000.0,42300000.0,101400000.0,,200000.0,-28300000.0,-23500000.0,-33800000.0,-633500000.0
