company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q4,2012-10-01,2012-12-31,,6000000.0,265000000.0,298000000.0,-116000000.0,11000000.0,5154000000.0,529000000.0,5381000000.0,-5628000000.0,1183000000.0,5381000000.0,-5628000000.0,1183000000.0,936000000.0,7808000000.0,712000000.0,712000000.0,258000000.0,-29000000.0,-37000000.0,,,-264000000.0,318000000.0,-10542000000.0,-7764000000.0,-56000000.0,,4656000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 17:51:38+00:00,55000000.0,1208000000.0,1159000000.0,1162000000.0,158000000.0,37330000000.0,2449000000.0,11567000000.0,-17261000000.0,6809000000.0,11567000000.0,-17261000000.0,6809000000.0,1115000000.0,8051000000.0,2994000000.0,2994000000.0,732000000.0,507000000.0,527000000.0,,,-997000000.0,987000000.0,-41428000000.0,-35735000000.0,-216000000.0,,23435000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-06 16:59:52+00:00,49000000.0,943000000.0,861000000.0,1278000000.0,147000000.0,32176000000.0,1920000000.0,6186000000.0,-11633000000.0,5626000000.0,6186000000.0,-11633000000.0,5626000000.0,179000000.0,243000000.0,2282000000.0,2282000000.0,474000000.0,536000000.0,564000000.0,,,-733000000.0,669000000.0,-30886000000.0,-27971000000.0,-160000000.0,0.0,18779000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q3TTM,2011-10-01,2012-09-30,,66000000.0,1295000000.0,1151000000.0,864000000.0,184000000.0,37392000000.0,1920000000.0,7684000000.0,-14456000000.0,7074000000.0,7684000000.0,-14456000000.0,7074000000.0,302000000.0,261000000.0,2775000000.0,2775000000.0,69000000.0,1425000000.0,447000000.0,,,-940000000.0,859000000.0,-40324000000.0,-31413000000.0,-167000000.0,,25799000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q3,2012-07-01,2012-09-30,,18000000.0,310000000.0,307000000.0,380000000.0,35000000.0,9704000000.0,438000000.0,-1272000000.0,-392000000.0,1812000000.0,-1272000000.0,-392000000.0,1812000000.0,148000000.0,-671000000.0,925000000.0,925000000.0,-79000000.0,-28000000.0,-287000000.0,,,-274000000.0,228000000.0,-5891000000.0,-10108000000.0,-109000000.0,,5578000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-08 11:30:46+00:00,31000000.0,633000000.0,554000000.0,898000000.0,112000000.0,22472000000.0,1482000000.0,7458000000.0,-11241000000.0,3814000000.0,7458000000.0,-11241000000.0,3814000000.0,31000000.0,914000000.0,1357000000.0,1357000000.0,553000000.0,564000000.0,851000000.0,,,-459000000.0,441000000.0,-24995000000.0,-17863000000.0,-51000000.0,0.0,13201000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q2TTM,2011-07-01,2012-06-30,,190000000.0,1331000000.0,1125000000.0,-601000000.0,160000000.0,31334000000.0,2470000000.0,15150000000.0,-21021000000.0,6142000000.0,15150000000.0,-21021000000.0,6142000000.0,271000000.0,6727000000.0,2684000000.0,2684000000.0,700000000.0,2042000000.0,29000000.0,,,-855000000.0,892000000.0,-46696000000.0,-24643000000.0,-72000000.0,,24975000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q2,2012-04-01,2012-06-30,,20000000.0,295000000.0,285000000.0,-484000000.0,42000000.0,10758000000.0,1482000000.0,3069000000.0,-4133000000.0,1038000000.0,3069000000.0,-4133000000.0,1038000000.0,-26000000.0,804000000.0,546000000.0,546000000.0,-277000000.0,435000000.0,-649000000.0,,,-236000000.0,256000000.0,-10346000000.0,-9106000000.0,-26000000.0,,6490000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q1,2012-01-01,2012-03-31,2013-05-09 14:48:30+00:00,11000000.0,338000000.0,269000000.0,1382000000.0,70000000.0,11714000000.0,0.0,4389000000.0,-7108000000.0,2776000000.0,4389000000.0,-7108000000.0,2776000000.0,57000000.0,110000000.0,811000000.0,811000000.0,830000000.0,129000000.0,1500000000.0,0.0,,-223000000.0,185000000.0,-14649000000.0,-8757000000.0,-25000000.0,0.0,6711000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2012.0,Q1TTM,2011-04-01,2012-03-31,,603000000.0,1410000000.0,1130000000.0,1488000000.0,128000000.0,23009000000.0,988000000.0,11461000000.0,-18770000000.0,8082000000.0,11461000000.0,-18770000000.0,8082000000.0,773000000.0,5510000000.0,3050000000.0,3050000000.0,861000000.0,1498000000.0,414000000.0,,,-827000000.0,916000000.0,-47036000000.0,-17696000000.0,-65000000.0,,27405000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2013.0,FY,2013-01-01,2013-12-31,2016-02-26 18:10:56+00:00,237000000.0,891000000.0,1146000000.0,-775000000.0,244000000.0,35175000000.0,496000000.0,12203000000.0,-18935000000.0,5555000000.0,12203000000.0,-18935000000.0,5555000000.0,-1177000000.0,7804000000.0,4212000000.0,4212000000.0,-530000000.0,329000000.0,1308000000.0,,,-1148000000.0,643000000.0,-41218000000.0,-31502000000.0,-24000000.0,-150000000.0,22813000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2013.0,Q4,2013-10-01,2013-12-31,,7000000.0,193000000.0,263000000.0,-1868000000.0,49000000.0,11120000000.0,,10582000000.0,-11106000000.0,-341000000.0,10582000000.0,-11106000000.0,-341000000.0,-865000000.0,4862000000.0,1074000000.0,1074000000.0,-1076000000.0,77000000.0,1332000000.0,,,-283000000.0,113000000.0,-14020000000.0,-6497000000.0,-1000000.0,,3990000000.0
