date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2009-03-25,False,daily,3.76,3.8,3.69,3.74,5086.0,3.76,3.8,3.69,3.74,5086.0
2009-03-23,False,daily,3.75,3.91,3.75,3.88,900.0,3.75,3.91,3.75,3.88,900.0
2009-03-20,False,daily,3.65,3.66,3.61,3.61,1914.0,3.65,3.66,3.61,3.61,1914.0
2009-03-18,False,daily,3.44,3.44,3.44,3.44,2000.0,3.44,3.44,3.44,3.44,2000.0
2009-03-12,False,daily,3.44,3.55,3.44,3.55,1100.0,3.44,3.55,3.44,3.55,1100.0
2009-03-10,False,daily,3.13,3.13,3.13,3.13,1500.0,3.13,3.13,3.13,3.13,1500.0
2009-03-05,False,daily,2.99,2.99,2.99,2.99,500.0,2.99,2.99,2.99,2.99,500.0
2009-03-04,False,daily,3.09,3.2,3.17,3.2,3800.0,3.09,3.2,3.17,3.2,3800.0
2009-03-03,False,daily,3.09,3.12,2.91,3.12,2300.0,3.09,3.12,2.91,3.12,2300.0
2009-03-02,False,daily,3.04,3.04,3.04,3.04,300.0,3.04,3.04,3.04,3.04,300.0
2009-02-26,False,daily,3.38,3.38,3.38,3.38,750.0,3.38,3.38,3.38,3.38,750.0
2009-02-17,False,daily,4.15,4.2,3.71,3.71,1180.0,4.15,4.2,3.71,3.71,1180.0
2009-02-13,False,daily,3.92,4.33,2.9,4.33,15996.0,3.92,4.33,2.9,4.33,15996.0
2009-02-09,False,daily,4.11,4.11,4.0,4.0,1500.0,4.11,4.11,4.0,4.0,1500.0
2009-02-04,False,daily,3.73,3.73,3.73,3.73,100.0,3.73,3.73,3.73,3.73,100.0
2009-02-02,False,daily,3.68,3.68,3.48,3.48,3000.0,3.68,3.68,3.48,3.48,3000.0
2009-01-29,False,daily,3.72,3.72,3.72,3.72,500.0,3.72,3.72,3.72,3.72,500.0
2009-01-26,False,daily,3.7,3.7,3.7,3.7,2500.0,3.7,3.7,3.7,3.7,2500.0
2009-01-23,False,daily,3.62,3.62,3.62,3.62,1700.0,3.62,3.62,3.62,3.62,1700.0
2009-01-20,False,daily,3.03,3.03,3.03,3.03,750.0,3.03,3.03,3.03,3.03,750.0
2009-01-15,False,daily,3.97,3.97,3.97,3.97,200.0,3.97,3.97,3.97,3.97,200.0
2009-01-14,False,daily,4.03,4.03,3.96,3.96,1400.0,4.03,4.03,3.96,3.96,1400.0
2009-01-08,False,daily,4.46,4.46,4.46,4.46,5800.0,4.46,4.46,4.46,4.46,5800.0
2009-01-06,False,daily,4.52,4.52,4.52,4.52,2000.0,4.52,4.52,4.52,4.52,2000.0
