company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Transocean Ltd,RIG,,1451505,2011.0,Q2TTM,2010-07-01,2011-06-30,,-3.57,0.29,1314000000.0,0.31,50000000.0,282000000.0,170000000.0,894000000.0,-724000000.0,92000000.0,78000000.0,4219000000.0,9342000000.0,,,-17000000.0,1883000000.0,361000000.0,-8000000.0,324000000.0,4219000000.0,5484000000.0,766000000.0,38000000.0,3563000000.0,1921000000.0,-745000000.0,1176000000.0,9703000000.0,-2755600000.0,320000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2011.0,Q2,2011-04-01,2011-06-30,2012-08-03 12:53:11+00:00,-0.09,0.78,718000000.0,0.78,50000000.0,154000000.0,266000000.0,262000000.0,4000000.0,248000000.0,18000000.0,,4192000000.0,,,-10000000.0,3057000000.0,476000000.0,1000000.0,132000000.0,,4668000000.0,294000000.0,10000000.0,3958000000.0,710000000.0,-294000000.0,416000000.0,4668000000.0,-2755600000.0,320000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2011.0,Q1TTM,2010-04-01,2011-03-31,,-1.25,1.74,989000000.0,1.75,,226000000.0,624000000.0,1344000000.0,-720000000.0,559000000.0,65000000.0,4219000000.0,7451000000.0,,,-10000000.0,173000000.0,63000000.0,-277000000.0,250000000.0,4219000000.0,3295000000.0,613000000.0,33000000.0,1135000000.0,2160000000.0,-590000000.0,1570000000.0,7514000000.0,322900000.0,319000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2011.0,Q1,2011-01-01,2011-03-31,2012-05-02 17:29:11+00:00,0.96,0.96,354000000.0,0.96,,81000000.0,340000000.0,164000000.0,176000000.0,310000000.0,30000000.0,,1960000000.0,,,3000000.0,1359000000.0,184000000.0,-8000000.0,67000000.0,,2144000000.0,145000000.0,15000000.0,1772000000.0,372000000.0,-127000000.0,245000000.0,2144000000.0,322900000.0,319000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q4,2012-10-01,2012-12-31,,1.27,1.27,277000000.0,1.27,-22000000.0,-72000000.0,457000000.0,448000000.0,9000000.0,456000000.0,1000000.0,1191000000.0,2447000000.0,,,-17000000.0,,-372000000.0,4000000.0,65000000.0,1191000000.0,884000000.0,180000000.0,13000000.0,324000000.0,560000000.0,-184000000.0,376000000.0,2075000000.0,353200000.0,356000000.0,356000000.0
Transocean Ltd,RIG,,1451505,2012.0,FY,2012-01-01,2012-12-31,2015-02-25 21:48:52+00:00,-0.62,-0.62,1122000000.0,-0.62,118000000.0,52000000.0,-211000000.0,832000000.0,-1043000000.0,-219000000.0,8000000.0,5859000000.0,8945000000.0,,,-49000000.0,,,-36000000.0,282000000.0,5859000000.0,3086000000.0,723000000.0,56000000.0,1486000000.0,1600000000.0,-716000000.0,884000000.0,8945000000.0,353200000.0,356000000.0,356000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q3YTD,2012-01-01,2012-09-30,,-1.89,-1.89,845000000.0,-1.89,140000000.0,124000000.0,-668000000.0,384000000.0,-1052000000.0,-675000000.0,7000000.0,4668000000.0,6498000000.0,,,-32000000.0,,372000000.0,-40000000.0,217000000.0,4668000000.0,2202000000.0,543000000.0,43000000.0,1162000000.0,1040000000.0,-532000000.0,508000000.0,6870000000.0,359400000.0,359000000.0,359000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q3,2012-07-01,2012-09-30,2013-11-06 17:06:45+00:00,-1.06,-1.06,280000000.0,-1.06,,105000000.0,-383000000.0,533000000.0,-916000000.0,-381000000.0,-2000000.0,1321000000.0,2310000000.0,,,-8000000.0,,121000000.0,-50000000.0,69000000.0,1321000000.0,1110000000.0,180000000.0,15000000.0,299000000.0,811000000.0,-173000000.0,638000000.0,2431000000.0,359400000.0,359000000.0,359000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q2,2012-04-01,2012-06-30,2013-08-07 17:03:54+00:00,-0.86,-0.86,280000000.0,-0.86,,-15000000.0,-303000000.0,-303000000.0,,-304000000.0,1000000.0,2105000000.0,2174000000.0,,,-6000000.0,,155000000.0,7000000.0,79000000.0,2105000000.0,224000000.0,183000000.0,13000000.0,366000000.0,-142000000.0,-176000000.0,-318000000.0,2329000000.0,353500000.0,353000000.0,353000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q2YTD,2012-01-01,2012-06-30,,-0.83,-0.83,565000000.0,-0.83,140000000.0,19000000.0,-285000000.0,-149000000.0,-136000000.0,-294000000.0,9000000.0,3347000000.0,4188000000.0,,,-24000000.0,,251000000.0,10000000.0,148000000.0,3347000000.0,1092000000.0,363000000.0,28000000.0,863000000.0,229000000.0,-359000000.0,-130000000.0,4439000000.0,353500000.0,353000000.0,353000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q2TTM,2011-07-01,2012-06-30,,-19.58,-20.45,602000000.0,-20.45,5291000000.0,108000000.0,-6568000000.0,-6337000000.0,-231000000.0,-6606000000.0,38000000.0,9526000000.0,6063000000.0,,,-116000000.0,-4416000000.0,-409000000.0,29000000.0,237000000.0,9526000000.0,-3872000000.0,545000000.0,47000000.0,1743000000.0,-5615000000.0,-614000000.0,-6229000000.0,5654000000.0,353500000.0,353000000.0,353000000.0
Transocean Ltd,RIG,,1451505,2012.0,Q1TTM,2011-04-01,2012-03-31,,-18.81,-18.81,1040000000.0,-18.81,5341000000.0,277000000.0,-5999000000.0,-5772000000.0,-227000000.0,-6054000000.0,55000000.0,7421000000.0,8081000000.0,,,-120000000.0,-1359000000.0,-88000000.0,23000000.0,290000000.0,7421000000.0,572000000.0,656000000.0,44000000.0,5335000000.0,-4763000000.0,-732000000.0,-5495000000.0,7993000000.0,333300000.0,350000000.0,350000000.0
